81101: ACCT,"Accounting 1 Part 1"
81819: ENGL,"English Grammar Syntax"
81820: ENGL,"English Ind Stdy 3cr"
81821: ENGL,"English Major Internship"
81822: ENGL,"English Workshop"
81823: ENGL,"Enterprise Cluster"
81824: ENGL,"Enterprise Pair"
81825: ENGL,"Enx 200"
81826: ENGL,"Enx 220"
81827: ENGL,"Esl 2 Bus & Computer"
81828: ENGL,"Esl 3 Bus & Comp"
81829: ENGL,"Esl Thru Video"
81830: ENGL,"Esx_200"
81831: ENGL,"Feature Writing"
81832: ENGL,"Fictional Writing Workshop"
81833: ENGL,"First Year Seminar for English"
81834: ENGL,"Fundamental Writing"
81835: ENGL,"Humor in Literature"
81836: ENGL,"Ideal Societies"
81837: ENGL,"Images of Women in Literature"
81838: ENGL,"Immig Exper Amer Lit"
81839: ENGL,"Independent Study: English"
81840: ENGL,"Intermediate ESL"
81841: ENGL,"Intro to Creative Wr"
81842: ENGL,"Intro to Digital Journalism"
81843: ENGL,"Introduction to Literary Stud"
81844: ENGL,"Introduction to Poetry"
81845: ENGL,"Introductory ESL"
81846: ENGL,"Journalism: Its Scope and Use"
81847: ENGL,"Journalism: The News"
81848: ENGL,"Journlsm:Writ For TV"
81849: ENGL,"LGBTQ Literature"
81850: ENGL,"Lang Nrsg Fund"
81851: ENGL,"Lang Prnt/Child Nrsg"
81852: ENGL,"Lang Psych Nrsg"
81853: ENGL,"Lang Wkshp Nursing 1"
81854: ENGL,"Lang Work Nurs2"
81855: ENGL,"Latino/a Writing US"
81856: ENGL,"Literature and Film"
81857: ENGL,"Literature of the City"
81858: ENGL,"New Media Workshop"
81859: ENGL,"Poetry Writing"
81860: ENGL,"Screenwriting"
81861: ENGL,"Second Chance Express Workshop"
81862: ENGL,"Seminar in Teaching Writing"
81863: ENGL,"Sexuality in Literature"
81864: ENGL,"Shakespeare"
81865: ENGL,"Teaching Writing"
81866: ENGL,"Technical Writing"
81867: ENGL,"The Bible as Literature"
81868: ENGL,"The Devil in Literature"
81869: ENGL,"The Drama"
81870: ENGL,"The Great Writer"
81871: ENGL,"The Novel"
81872: ENGL,"The Research Paper"
81873: ENGL,"The Short Story"
81874: ENGL,"The Woman Writer"
81875: ENGL,"Violence Art/Cul"
81876: ENGL,"World Lits in Eng"
81877: ENGL,"Writing Express"
81878: ENGL,"Writing Thru Lit"
81879: ENSL,"Advanced ESL"
81880: ENSL,"Basic Writing Non Native Eng"
81881: ENSL,"Beginning ESL"
81882: ENSL,"CLIP ESL I"
81883: ENSL,"CLIP ESL II"
81884: ENSL,"Conversation and Oral Skills"
81885: ENSL,"ESC - ESL Selected Readers"
81886: ENSL,"ESL III - Sci/Health"
81887: ENSL,"ESL III for Select Readers"
81888: ENSL,"ESL IV for Select Readers"
81889: ENSL,"ESL Through Video"
81890: ENSL,"ESL for Select Readers"
81891: ENSL,"English as a Second Lang II"
81892: ENSL,"English as a Second Lang III"
81893: ENSL,"English as a Second Lang IV"
81894: ENSL,"Int Basic Write NNS"
81895: ENSL,"Intermediate ESL"
81896: ENSL,"Reading and Discussion"
81897: EVST,"Environmental Science"
81898: EVST,"Intro Geo Info Syst"
81899: EVST,"Introduction to Oceanography"
81900: EVST,"Soil Science"
81901: EVST,"Sust Vegetable Prod"
81902: EVST,"Sustainable Urban Agriculture"
81903: FILM,"Film & New York City"
81904: FINA,"Bcf 101"
81905: FINA,"Bcf 102"
81906: FINA,"Principles of Finance"
81907: FREN,"Elementary French 2"
81908: FREN,"Elementary French I"
81909: FREN,"Elementary French II"
81910: FREN,"French Lit Global Perspect"
81911: FREN,"French Lit in Translation"
81912: FREN,"French for Heritage Speakers"
81913: FREN,"Intermediate French"
81914: FREN,"Intermediate French 2"
81915: FREN,"Language & Culture French"
81916: FROR,"FYS IDT"
81917: FROR,"FYS LA:SS/Hum"
81918: FROR,"First Year Sem MRT"
81919: FROR,"First Yr LA:SS/Hum"
81920: FROR,"First Yr Sem LA:M/S"
81921: FROR,"Freshman Initiative"
81922: FROR,"Fyi Pair"
81923: FROR,"New Sdt Sem Xday/Esl"
81924: FROR,"New Std Sem Food Scv"
81925: FROR,"New Stu Sem Esl8/9"
81926: FROR,"New Stu Sem/Ext Day"
81927: FROR,"New Stud Sem/Esl6/7"
81928: FROR,"New Student Seminar/Extend Day"
81929: FROR,"Problem Solving SC"
81930: FROR,"Urban Government"
81931: FRSE,"First Yr Seminar CS"
81932: GRLM,"Intermediate Greek"
81933: GRLM,"Modern Greek Lit"
81934: GSIS,"CUNY Edge Seminar"
81935: GSIS,"Gsi Seminar"
81936: HEAL,"Community Health"
81937: HEAL,"Getting Sick in NYC"
81938: HEAL,"Intr Between Science & Society"
81939: HEAL,"Topics in Health"
81940: HEBR,"Contemp Hebrew Lit in Transl"
81941: HEBR,"Contemporary Hebrew Literature"
81942: HEBR,"Elementary Hebrew I"
81943: HEBR,"Elementary Hebrew II"
81944: HESC,"First Year Sem HS"
81945: HOMA,"New Stdnt House Prog"
81946: HOSE,"Intel Analysis"
81947: HOSE,"Intro to Homeland Security"
81948: HOSE,"Trans Border Control"
81949: HUMA,"Adv Span Convers"
81950: HUMA,"Bil Lang Arts"
81951: HUMA,"Crit Think X Culture"
81952: HUMA,"Elem Spanish 1"
81953: HUMA,"Elem Spanish 2"
81954: HUMA,"Elementary Portuguese I"
81955: HUMA,"Elementary Portuguese II"
81956: HUMA,"Exploring the Humanities"
81957: HUMA,"French for Francophone"
81958: HUMA,"Humanities Intensive"
81959: HUMA,"Ind Study Span"
81960: HUMA,"Ind Study Spanish"
81961: HUMA,"Independent Study"
81962: HUMA,"Interm Spanish"
81963: HUMA,"Latin American Lit"
81964: HUMA,"Modern Chinese Literature"
81965: HUMA,"Skills Maint Modern"
81966: HUMA,"Skills Maint-Spanish"
81967: HUMA,"Spanish Fluent Speaker"
81968: HUSE,"Aids-Related Case Management"
81969: HUSE,"American Sign Language I"
81970: HUSE,"American Sign Language II"
81971: HUSE,"American Sign Language III"
81972: HUSE,"American Sign Language IV"
81973: HUSE,"Child Dev Coop/Sem"
81974: HUSE,"Child Dev Coop/Sem 2"
81975: HUSE,"Child Welfare"
81976: HUSE,"Co-op Prep Human Services"
81977: HUSE,"Comm Skils Handicap"
81978: HUSE,"Community Org"
81979: HUSE,"Conflict Resolution"
81980: HUSE,"Coop Educ Child Dev"
81981: HUSE,"Coop Educ Day Care"
81982: HUSE,"Coop Educ Mt Hlt/Ger"
81983: HUSE,"Coop Education Mental Health"
81984: HUSE,"Coop Sem Child H.S."
81985: HUSE,"Coop Sem Mental Hlth"
81986: HUSE,"Coop Seminar Hum Svs"
81987: HUSE,"Disabled Children"
81988: HUSE,"Doc Of Prof Compnt 1"
81989: HUSE,"Fragile Infant/Todds"
81990: HUSE,"Gerontological Serv"
81991: HUSE,"Group Interview"
81992: HUSE,"H.S. Roles & Systems"
81993: HUSE,"HHS Seminar"
81994: HUSE,"Hsx_211"
81995: HUSE,"Hum Serv Activities"
81996: HUSE,"Hum Serv Child/Adult Maltreat"
81997: HUSE,"Hum Serv Fld & Sem"
81998: HUSE,"Human Pair"
81999: HUSE,"Human Serv Coop/Sem1"
82000: HUSE,"Human Services & Disabilities"
82001: HUSE,"Human Services Cl"
82002: HUSE,"Human Services Practice"
82003: HUSE,"Human Services and Children"
82004: HUSE,"Human Services in Communities"
82005: HUSE,"Ind Stdy:Mental Hlth"
82006: HUSE,"Integrated Curr A"
82007: HUSE,"Integrated Curr B"
82008: HUSE,"Integrated Curr C"
82009: HUSE,"Interviewing and Counseling"
82010: HUSE,"Intro Devel Disablil"
82011: HUSE,"Introduction to Human Services"
82012: HUSE,"Mental Health Roles and Resp"
82013: HUSE,"Mh/Ger Int/ Sem 2"
82014: HUSE,"Mh/Ger Int/ Sem 3"
82015: HUSE,"Orientation to Human Services"
82016: HUSE,"Perspectives on Homelessness"
82017: HUSE,"Principles and Practice CH"
82018: HUSE,"Principles of Human Relations"
82019: HUSE,"Psych Treatment"
82020: HUSE,"Residential Care"
82021: HUSE,"Social Gerontology"
82022: HUSE,"Social Policy & Welfare"
82023: HUSE,"Supported Employment"
82024: HUSE,"Urb Study-Comm Dyn"
82025: INTE,"Adv L.A. Cluster"
82026: INTE,"Aging and Health"
82027: INTE,"Art and Society"
82028: INTE,"Art in NY"
82029: INTE,"Drugs & Behavior"
82030: INTE,"Epidemiology"
82031: INTE,"Ethics and Society"
82032: INTE,"Film and New York City"
82033: INTE,"Health Behavior Change"
82034: INTE,"Health and Diversity"
82035: INTE,"Health and Wellness"
82036: INTE,"Hip Hop Culture"
82037: INTE,"Hist & Prin Pub Hlth"
82038: INTE,"History Of Science"
82039: INTE,"Human Sexuality"
82040: INTE,"Ind Study"
82041: INTE,"Independant Study in Science"
82042: INTE,"Intercultural Comm"
82043: INTE,"Intro Cluster"
82044: INTE,"Photo Journalism"
82045: INTE,"Photography in New York"
82046: INTE,"Science & Modern Society"
82047: INTE,"Scientific Survey Of Environ"
82048: INTE,"Soc & Beh Detrm Hlth"
82049: INTE,"The Mediated City"
82050: INTE,"Urb Study-NY Thea Ex"
82051: INTG,"Intent to Grad - Rev Trnsfr"
82052: INTG,"Intent to Graduate"
82053: ITAL,"Elementary Italian I"
82054: ITAL,"Elementary Italian II"
82055: ITAL,"Intermediate Italian"
82056: ITAL,"Intermediate Italian 2"
82057: ITAL,"Ital For Span Spkrs"
82058: ITAL,"Italian Language Lab"
82059: ITAL,"Italian Lit in Translation"
82060: ITAL,"Social Themes Italian Lit"
82061: JAPA,"Elem Japanese I"
82062: JAPA,"Elementary Japanese II"
82063: JAPA,"Int Elm Japanese 1&2"
82064: JAPA,"Intermediate Japanese I"
82065: JAPA,"Intermediate Japanese II"
82066: JAPA,"Japanese Lit Trans"
82067: JAPA,"Japanese for Heritage Speakers"
82068: JAPA,"Modern Japanese Literature"
82069: KORE,"Elementary Korean I"
82070: KORE,"Elementary Korean II"
82071: KORE,"Intermediate Korean"
82072: KORE,"Intermediate Korean 2"
82073: KORE,"Korean for Heritage Speakers"
82074: KORE,"Modern Kor Lit Trans"
82075: KORE,"Modern Korean Literature"
82076: LANG,"American Music"
82077: LANG,"Art Of Theatre"
82078: LANG,"Art of Theater"
82079: LANG,"Beginning Drawing"
82080: LANG,"Beginning Painting"
82081: LANG,"Beginning Sculpture"
82082: LANG,"Binlingualism 101"
82083: LANG,"Binlingualism 102"
82084: LANG,"Binlingualism 103"
82085: LANG,"Binlingualism 105"
82086: LANG,"Binlingualism 201"
82087: LANG,"Binlingualism 202"
82088: LANG,"Binlingualism 203"
82089: LANG,"Comm And Media"
82090: LANG,"Comm And Society"
82091: LANG,"Communication and the Media"
82092: LANG,"Elementary Italian 1"
82093: LANG,"Elementary Italian 2"
82094: LANG,"Elementary Italian 3"
82095: LANG,"Humanities Intensive"
82096: LANG,"Italian life and Institution"
82097: LANG,"Language & Culture Art"
82098: LANG,"Language & Culture Comm Arts"
82099: LANG,"Language & Culture Intensive"
82100: LANG,"Language & Culture Music"
82101: LANG,"Lci150"
82102: LANG,"Lcm 103"
82103: LANG,"Oral Communication"
82104: LANG,"Photography"
82105: LANG,"Teach Read"
82106: LIAR,"Exp Learn Lib Arts"
82107: LIAR,"Exp Learn in Lib Arts"
82108: LIAR,"First Yr LA:SS/Hum"
82109: LIAR,"Intg. Sem:La Cluster"
82110: LIAR,"Intro to WGS"
82111: LIAR,"L.A. Sem; Hum & Tech"
82112: LIAR,"Liberal Arts"
82113: LIAR,"Transnational Feminisms"
82114: LISC,"Info In A Globalizing World"
82115: LISC,"Infocity"
82116: LISC,"Information Strategies"
82117: LISC,"Internet Research Strategies"
82118: LISC,"Lib Research Ind Stu"
82119: MARK,"Marketing"
82120: MAST,"Accounts Receivable Financing"
82121: MAST,"Basics of Advertising"
82122: MAST,"Business Communication"
82123: MAST,"Business Law I"
82124: MAST,"Business Law II"
82125: MAST,"Consumer Finance"
82126: MAST,"Entrepreneur Institute"
82127: MAST,"Entrepreneurial Financing"
82128: MAST,"Fin Plan & Indiv Inv"
82129: MAST,"Financial Statement Analysis"
82130: MAST,"Global Marketing"
82131: MAST,"International Finance"
82132: MAST,"Intl Trade Document"
82133: MAST,"Intro Credit Mgmt"
82134: MAST,"Introduction to Business"
82135: MAST,"Introduction to E-Business"
82136: MAST,"Marketing on the Internet"
82137: MAST,"New Venture Creation"
82138: MAST,"Office & Personnel Mgmt"
82139: MAST,"Org & Oper a Small Bus"
82140: MAST,"Predictive Analytics"
82141: MAST,"Princ of Intl Bus"
82142: MAST,"Principles of Finance"
82143: MAST,"Principles of Management"
82144: MAST,"Principles of Marketing"
82145: MAST,"Principles of Personal Selling"
82146: MAST,"Principles of Real Estate"
82147: MAST,"Real Estate"
82148: MAST,"Strategy Entrepr Growth"
82149: MAST,"Topics: B & T"
82150: MATH,"Adv Wdows & UNIX Syst Admin"
82151: MATH,"Advanced C++ Programming"
82152: MATH,"Advanced Network Security"
82153: MATH,"Advanced Systems Security"
82154: MATH,"Advanced Topics in Computer Sc"
82155: MATH,"Advanced Unix System Admin"
82156: MATH,"Advanced Window NT"
82157: MATH,"Algebra"
82158: MATH,"Algebra and Trigonometry"
82159: MATH,"App Develop for Android"
82160: MATH,"Appl Deve for iPhone iPad"
82161: MATH,"Assemb Lang Comp Sci"
82162: MATH,"Basic Math 1"
82163: MATH,"Basic Math 2 Express"
82164: MATH,"Basic Math I"
82165: MATH,"Basic Math II"
82166: MATH,"Blueprint"
82167: MATH,"C++ for Engineers"
82168: MATH,"CUNY Start Math"
82169: MATH,"Calculus I"
82170: MATH,"Calculus II"
82171: MATH,"Calculus III"
82172: MATH,"Circuit Analysis I"
82173: MATH,"Circuit Analysis II"
82174: MATH,"College Algeb & Trig"
82175: MATH,"College Algebra with Modeling"
82176: MATH,"Comp Org Assembly Lang"
82177: MATH,"Comp Project Lab"
82178: MATH,"Comparative Operating Systems"
82179: MATH,"Computer Architecture"
82180: MATH,"Computer Electronics I"
82181: MATH,"Computer Electronics II"
82182: MATH,"Computer Logic I"
82183: MATH,"Computer Logic II"
82184: MATH,"Computer Repair"
82185: MATH,"Computer Security"
82186: MATH,"Computer-Aided Design"
82187: MATH,"Computing Fundamentals"
82188: MATH,"Data Comm & Net Sec"
82189: MATH,"Data Communications"
82190: MATH,"Data Structures"
82191: MATH,"Dbase Concepts & Prog"
82192: MATH,"Digital Forensics"
82193: MATH,"Discrete Structures"
82194: MATH,"Earth Sys Sci & Eng"
82195: MATH,"Elec. Measurement"
82196: MATH,"Electrical Circuits I"
82197: MATH,"Electromechanical Devices"
82198: MATH,"Elem Differential Equations"
82199: MATH,"Elem Stat 1 Biling"
82200: MATH,"Elem. Algebra 12week"
82201: MATH,"Elem. Algebra 18week Session"
82202: MATH,"Elem. Algebra Rtprs"
82203: MATH,"Elementary Algebra"
82204: MATH,"Elementary Algebra : 6 week"
82205: MATH,"Elementary Algebra Intensive"
82206: MATH,"Elementary Statistics I"
82207: MATH,"Elementary Statistics II"
82208: MATH,"Engineering Lab I"
82209: MATH,"Engineering Lab II"
82210: MATH,"Engineering Mechanics: Statics"
82211: MATH,"Essential Math 2"
82212: MATH,"Essential Math I"
82213: MATH,"Essential Math I & II"
82214: MATH,"Essential Math II"
82215: MATH,"Extended Introduction Algebra"
82216: MATH,"FYS Engineering"
82217: MATH,"Fundamentals of Algebra"
82218: MATH,"Game Programming"
82219: MATH,"H/W & S/W Interface"
82220: MATH,"HVAC"
82221: MATH,"History of Mathematics"
82222: MATH,"Ind Study Math"
82223: MATH,"Instrumentation"
82224: MATH,"Intro Algbra Intnsve"
82225: MATH,"Intro Algebra 12week"
82226: MATH,"Intro Algebra 18week Session"
82227: MATH,"Intro Comp Science"
82228: MATH,"Intro Discrete Math"
82229: MATH,"Intro To Visual Prog"
82230: MATH,"Intro to Crypto"
82231: MATH,"Intro to Disc Math Structures"
82232: MATH,"Intro to Mobile App Develpmnt"
82233: MATH,"Intro to Prog Python"
82234: MATH,"Introduction to Algebra"
82235: MATH,"Introduction to Engineering"
82236: MATH,"Introduction to Probability"
82237: MATH,"Introduction to Telephony"
82238: MATH,"Introduction to Teleprocessing"
82239: MATH,"Introductory Statistics"
82240: MATH,"Linear Alg. & Vect. Analys"
82241: MATH,"Linear Algebra"
82242: MATH,"Lycee Engineer. Lab"
82243: MATH,"MDCA"
82244: MATH,"Manufacturing Processes"
82245: MATH,"Mat 095 2nd Chnc Exp"
82246: MATH,"Mat 096 Ex 2nd Chanc"
82247: MATH,"Material Science"
82248: MATH,"Math Elementary Ed"
82249: MATH,"Math For Children"
82250: MATH,"Math Start"
82251: MATH,"Math Using Micro"
82252: MATH,"Math in Action I"
82253: MATH,"Math in Action II"
82254: MATH,"Math in Modern World"
82255: MATH,"Mathematics in Action I"
82256: MATH,"Mathematics in Action II"
82257: MATH,"Mathematics of Medical Dosages"
82258: MATH,"Modern Problem Solving"
82259: MATH,"Network Operations"
82260: MATH,"Novell NOS"
82261: MATH,"Object-Oriented Programming"
82262: MATH,"Objective C Programming"
82263: MATH,"Precalculus"
82264: MATH,"Quantitative Literacy"
82265: MATH,"Senior Design Project"
82266: MATH,"Stat with Alg"
82267: MATH,"Statics & Strength of Material"
82268: MATH,"Structural and Site Plans"
82269: MATH,"Structured Cobol"
82270: MATH,"Systems Analysis and Design"
82271: MATH,"Systems Analysis of the Earth"
82272: MATH,"Technical Mathematics I"
82273: MATH,"Technical Mathematics II"
82274: MATH,"Thermo. for Techs"
82275: MATH,"Thermodynamics I"
82276: MATH,"Unix Network Operating Systems"
82277: MATH,"Web Development I"
82278: MATH,"Web Development II"
82279: MATH,"Windows NT NOS"
82280: MELE,"Leave of Absence"
82281: MESG,"Ac"
82282: MESG,"Animal Hlth Cluster"
82283: MESG,"Ce"
82284: MESG,"Ce Emt"
82285: MESG,"Cel"
82286: MESG,"Cepo"
82287: MESG,"Class in Progress 1"
82288: MESG,"Class in Progress 2"
82289: MESG,"Class in Progress 3"
82290: MESG,"Class in Progress 4"
82291: MESG,"Class in Progress 5"
82292: MESG,"Class in Progress 6"
82293: MESG,"Class in Progress 7"
82294: MESG,"Class in Progress 8"
82295: MESG,"Class in Progress 9"
82296: MESG,"Cont Ed"
82297: MESG,"Coop Seminar Mental Health"
82298: MESG,"Cope Program"
82299: MESG,"Cpe Test -March"
82300: MESG,"Cpe Test January"
82301: MESG,"Cpe Test June"
82302: MESG,"Cpe Test October"
82303: MESG,"Cpe Wkshp - January"
82304: MESG,"Cpe Wokshp - October"
82305: MESG,"Cpe Worshop - March"
82306: MESG,"Cpe Worshop-June"
82307: MESG,"Cs"
82308: MESG,"Economic Development"
82309: MESG,"Emt"
82310: MESG,"Esl House"
82311: MESG,"Honor’S Pair"
82312: MESG,"Int To Reg 6cr"
82313: MESG,"Intent Reg For 3cr"
82314: MESG,"Job Bound"
82315: MESG,"Keyboarding 1 Exp"
82316: MESG,"No Accredited Institution"
82317: MESG,"No Advance Standing"
82318: MESG,"No Transfer Credit Awarded"
82319: MESG,"Older Adults Program"
82320: MESG,"Paired Course"
82321: MESG,"Permit 0.9 Units"
82322: MESG,"Permit 1"
82323: MESG,"Permit 10"
82324: MESG,"Permit 11"
82325: MESG,"Permit 12"
82326: MESG,"Permit 13 Credits"
82327: MESG,"Permit 14 Credits"
82328: MESG,"Permit 15"
82329: MESG,"Permit 2"
82330: MESG,"Permit 3"
82331: MESG,"Permit 4"
82332: MESG,"Permit 5"
82333: MESG,"Permit 6"
82334: MESG,"Permit 7"
82335: MESG,"Permit 8"
82336: MESG,"Permit 9"
82337: MESG,"Permit Brooklyn"
82338: MESG,"Permit To Baruch"
82339: MESG,"Permit To Bmcc"
82340: MESG,"Permit To Bronx Cc"
82341: MESG,"Permit To City"
82342: MESG,"Permit To Hostos Cc"
82343: MESG,"Permit To Hunter"
82344: MESG,"Permit To John Jay"
82345: MESG,"Permit To Kcc"
82346: MESG,"Permit To Lehman"
82347: MESG,"Permit To Medgar"
82348: MESG,"Permit To Nyctc"
82349: MESG,"Permit To Qcc"
82350: MESG,"Permit To Queens"
82351: MESG,"Permit To Staten Isl"
82352: MESG,"Permit To York"
82353: MESG,"Service Learning Sem"
82354: MESG,"Taxi Instiute"
82355: MESG,"Veterans Program"
82356: MUSI,"Amer Musical Thea"
82357: MUSI,"Amer Musical Thea II"
82358: MUSI,"American Music"
82359: MUSI,"Applied Music I"
82360: MUSI,"Applied Music II"
82361: MUSI,"Applied Music III"
82362: MUSI,"Blues82363: MUSI,"Contemporary Vocal Ensemble"
82364: MUSI,"Contemporary Vocal Ensemble I"
82365: MUSI,"Ensemble I"
82366: MUSI,"Ensemble II"
82367: MUSI,"Ensemble III"
82368: MUSI,"Guitar I"
82369: MUSI,"Guitar II"
82370: MUSI,"Harmony and Counterpoint"
82371: MUSI,"Hum_121"
82372: MUSI,"Humanities Intensive"
82373: MUSI,"Improv for Contemp Musician"
82374: MUSI,"Introduction to Jazz"
82375: MUSI,"Introduction to Music"
82376: MUSI,"Music Audio Recording I"
82377: MUSI,"Music Audio Recording II"
82378: MUSI,"Music For Children"
82379: MUSI,"Music Theory I"
82380: MUSI,"Music of Latin America"
82381: MUSI,"Musicianship I"
82382: MUSI,"Musicianship II"
82383: MUSI,"Percussion I"
82384: MUSI,"Percussion II"
82385: MUSI,"Piano I"
82386: MUSI,"Piano II"
82387: MUSI,"Piano III"
82388: MUSI,"Piano IV"
82389: MUSI,"Popular Percussion Ensemble"
82390: MUSI,"Vocal Ens III"
82391: MUSI,"Vocal Ensemble II"
82392: MUSI,"Voice Class I"
82393: MUSI,"Voice Class II"
82394: MUSI,"Voice Class III - Advance"
82395: MUSI,"Wind Instruments I"
82396: MUSI,"Wind Instruments II"
82397: MUSI,"World Music"
82398: MUSR,"Analog Equipment & Microphones"
82399: MUSR,"Audio Career Applications"
82400: MUSR,"Audio Electronics Elective"
82401: MUSR,"Audio Process Storge"
82402: MUSR,"Basics of Digital Audio"
82403: MUSR,"Digital Music Production"
82404: MUSR,"Ear Training and Acoustics"
82405: MUSR,"Midi Applications"
82406: MUSR,"Mixing Music I"
82407: MUSR,"Mixing Music II"
82408: MUSR,"Post Production Audio"
82409: MUSR,"Recording Workshop"
82410: MUSR,"The Business of Music"
82411: NASS,"Algebra"
82412: NASS,"Basic Math I"
82413: NASS,"Basic Math II"
82414: NASS,"Basic Math III"
82415: NASS,"Calculus 1"
82416: NASS,"Calculus 2"
82417: NASS,"Elem Statistics"
82418: NASS,"Math & Modern World"
82419: NASS,"Pre Calculus Mathematics"
82420: NASS,"Probability & Statistics"
82421: NASS,"Struc Num Syst 2"
82422: NASS,"Struc Num System"
82423: NEME,"Dynamic Web Design"
82424: NEME,"E-Commerce Technology"
82425: NEME,"Exp Learn NMT"
82426: NEME,"Internet Game Design"
82427: NEME,"Internet Video"
82428: NEME,"Introduction to New Media"
82429: NEME,"Multimedia Web Design"
82430: NEME,"New Media Project Lab"
82431: NEME,"Topics in New Media"
82432: NEME,"Web Animation"
82433: NEME,"Web Development"
82434: NURS,"Fund of Pract Nurs"
82435: NURS,"Fundamentals of Nursing"
82436: NURS,"Intent to LPN"
82437: NURS,"Intent to LRN"
82438: NURS,"Intro To Prac. Nurs"
82439: NURS,"LPN to RN Bridge Course"
82440: NURS,"Leadership and Delegation"
82441: NURS,"Maternal/Child Hth"
82442: NURS,"Med Surg Nursing II"
82443: NURS,"Med-Surg Nursing/Lpn"
82444: NURS,"Medical Surgical Nursing I"
82445: NURS,"Medical Surgical Nursing II"
82446: NURS,"Medical-Surgical Nursing-PN"
82447: NURS,"Mental Health Nur-PN"
82448: NURS,"Nursing Candidacy"
82449: NURS,"Nursing Pair"
82450: NURS,"Parent Child Health Nursing"
82451: NURS,"Parent-Child Nursing-PN"
82452: NURS,"Peds Nursing"
82453: NURS,"Perspectives of Nursing"
82454: NURS,"Pharmacology and Nutrition"
82455: NURS,"Psych Nursing"
82456: NURS,"Sci & Art Nurs II"
82457: NURS,"Trans Prac Nursing"
82458: NURS,"Trends in Nursing"
82459: OCTH,"Coop Prep O/T"
82460: OCTH,"Functional Pathology"
82461: OCTH,"Human Growth & Development"
82462: OCTH,"Ind Study Occupational Therapy"
82463: OCTH,"Independent Study Ot"
82464: OCTH,"Independent Sty O.T."
82465: OCTH,"Intent to O.T.A."
82466: OCTH,"Intro Occup Therapy"
82467: OCTH,"Legal Ethical Ot"
82468: OCTH,"OT Fieldwork Psych/Geriatr Con"
82469: OCTH,"Occu Therapy Media"
82470: OCTH,"Occup Therapy Theory Prac"
82471: OCTH,"Ot Clerk Phy Dev"
82472: OCTH,"Ot Clerkship For Psy"
82473: OCTH,"Ot Documentation"
82474: OCTH,"Ot Fieldwork 2"
82475: OCTH,"Ot Media & Appl"
82476: OCTH,"Ot Proc: Phys&Develo"
82477: OCTH,"Ot Process Phy/Ger"
82478: OCTH,"Ot Process Psy & Ger"
82479: OCTH,"Ot Skills & Fun  Act"
82480: OCTH,"Ot Skills &Func Act2"
82481: OCTH,"Otclinreas"
82482: OFTC,"Adv Court Report 1"
82483: OFTC,"Adv Court Report 2"
82484: OFTC,"Business Communications"
82485: OFTC,"C-Print I"
82486: OFTC,"C-Print II"
82487: OFTC,"Commercial Sp"
82488: OFTC,"Comp Med Info Mgmt"
82489: OFTC,"Court Report 1"
82490: OFTC,"Court Reporting 2"
82491: OFTC,"Courtroom Communic"
82492: OFTC,"Data Base"
82493: OFTC,"Decision Support Sys"
82494: OFTC,"Deskstop Publishing1"
82495: OFTC,"Elect Off Procedur"
82496: OFTC,"Electronic Health Records"
82497: OFTC,"Essential Computer Skills"
82498: OFTC,"Health Insurance B & R"
82499: OFTC,"Integrated Software"
82500: OFTC,"Intro To Office Sys"
82501: OFTC,"Keyboarding 1"
82502: OFTC,"Keyboarding 2"
82503: OFTC,"Keyboarding 3"
82504: OFTC,"Keyboarding II"
82505: OFTC,"Keyboarding III"
82506: OFTC,"Leg Dic&Tra 2 Mach"
82507: OFTC,"Leg Dic&Tran 2 Gregg"
82508: OFTC,"Legal Dict&Tran 1 Gr"
82509: OFTC,"Legal Dict&Tran 1mac"
82510: OFTC,"Legal Dict&Tran 1pit"
82511: OFTC,"Legal Off Tech 1mach"
82512: OFTC,"Legal Off Tech 1pitm"
82513: OFTC,"Legal/Med Term"
82514: OFTC,"Medical Terminology"
82515: OFTC,"Offices Practice"
82516: OFTC,"Secretarial Science"
82517: OFTC,"Spreadsheets"
82518: OFTC,"Sten 3  Alpha Hand"
82519: OFTC,"Steno 3 Pitman"
82520: OFTC,"Stenography 182521: OFTC,"Stenography 182522: OFTC,"Stenography 182523: OFTC,"Stenography 2 Mach"
82524: OFTC,"Stenography 282525: OFTC,"Stenography 3 Gregg"
82526: OFTC,"Stenography 3 Mach"
82527: OFTC,"Term Med Off Person"
82528: OFTC,"U.S. Health Admin"
82529: OFTC,"Word Processing 1"
82530: OFTC,"Word Processing 2"
82531: OFTC,"Word Processing I"
82532: OFTC,"Word Processing II"
82533: PARA,"Administrative Law"
82534: PARA,"Advanced Paramedic I"
82535: PARA,"Advanced Paramedic II"
82536: PARA,"Bankruptcy Law"
82537: PARA,"Civil Litigation"
82538: PARA,"Clinical Rotation"
82539: PARA,"Computer Apps for Paralegals"
82540: PARA,"Criminal Law and Procedure"
82541: PARA,"Cvs Phys. & Path"
82542: PARA,"Emt-Basic"
82543: PARA,"Family Law"
82544: PARA,"Fl Dyn Shk & Clin"
82545: PARA,"Fundamentals of Paramedic I"
82546: PARA,"Fundamentals of Paramedic II"
82547: PARA,"Immigration Law"
82548: PARA,"Intent to Paramedic"
82549: PARA,"Intermediate Paramedic I"
82550: PARA,"Intermediate Paramedic II"
82551: PARA,"Intro Emt/Para Tech"
82552: PARA,"Intro Paralegal"
