23670: ACCT,"Accounting Information Systems"
25024: DAAN,"Coop Ed Field Placement"
25025: DAAN,"Coop Ed Fld Placemnt"
25026: DAAN,"Data Analysis and Modeling"
25027: DAAN,"Data Mngt25028: DAAN,"Data and Society"
25029: DAAN,"Demography"
25030: DAAN,"Dev Of Sociologic Theory"
25031: DAAN,"Internship Soc Res"
25032: DAAN,"Internship in Social Research"
25033: DAAN,"Intro to Social Statistics"
25034: DAAN,"Introductory Analytics"
25035: DAAN,"Prof Writ&Comm Social Research"
25036: DAAN,"Qualitative Methods"
25037: DAAN,"Research"
25038: DAAN,"Research Methods"
25039: DAAN,"Social Science Research Method"
25040: DAAN,"Sociological Theory"
25041: DAAN,"Sociology of Orgs & Industry"
25042: DAAN,"Special Topics Research Method"
25043: DAAN,"Thesis Research"
25044: DAAN,"Tutorial"
25045: DAAN,"Vt:Sem Select Topics"
25046: DANC,"Adv Dance & Rep Wkshp"
25047: DANC,"Analysis of Dance Movement"
25048: DANC,"Asian Performing Arts"
25049: DANC,"Ballet I"
25050: DANC,"Ballet II"
25051: DANC,"Ballet III"
25052: DANC,"Chi Gong"
25053: DANC,"Choreographers’ Showcase"
25054: DANC,"Choreography I"
25055: DANC,"Choreography II"
25056: DANC,"Choreography III"
25057: DANC,"Collab Wrkshp Dance & Theatre"
25058: DANC,"Dance And Culture"
25059: DANC,"Dance Production"
25060: DANC,"Dance Technique Practicum"
25061: DANC,"Dance Techniques  Caribbean I"
25062: DANC,"Dance Techniques Caribbean II"
25063: DANC,"Dance Techniques of Africa I"
25064: DANC,"Dance Techniques of Africa II"
25065: DANC,"Dances of the African Diaspora"
25066: DANC,"Independent Study in Dance"
25067: DANC,"Introduction to Dance"
25068: DANC,"Introduction to Dance Therapy"
25069: DANC,"Jazz I"
25070: DANC,"Jazz II"
25071: DANC,"Jazz III"
25072: DANC,"Modern Dance I"
25073: DANC,"Modern Dance II"
25074: DANC,"Modern Dance III"
25075: DANC,"Music for Movement"
25076: DANC,"Practicum in Technical Theatre"
25077: DANC,"Principles of Teaching Dance"
25078: DANC,"Seminar in Dance"
25079: DANC,"Spec Topics Dance & Mvmnt"
25080: DANC,"Spec Topics Dance/Move"
25081: DANC,"Tai Chi Chuan"
25082: DANC,"Tap I"
25083: DANC,"Tap II"
25084: DANC,"Tap III"
25085: DANC,"Time & Dance Image In U.S. I"
25086: DANC,"Time & Dance Image In U.S. II"
25087: DESI,"3D Modeling"
25088: DESI,"Advertising Design"
25089: DESI,"Animation and 3-D Modeling"
25090: DESI,"App Design"
25091: DESI,"Basic Software for Design"
25092: DESI,"Book Design and Production"
25093: DESI,"Children?s Book Illustration"
25094: DESI,"Creative Coding"
25095: DESI,"Data Visualization"
25096: DESI,"Design & Typography Spec Proj"
25097: DESI,"Design Foundations"
25098: DESI,"Design I"
25099: DESI,"Design II"
25100: DESI,"Design III"
25101: DESI,"Design Thinking"
25102: DESI,"Digital Illustration"
25103: DESI,"Digital Moviemaking 1"
25104: DESI,"Digital Moviemaking II"
25105: DESI,"Game Design"
25106: DESI,"Graphic Novel I"
25107: DESI,"Graphic Novel II"
25108: DESI,"Graphic Novel III"
25109: DESI,"Illustration I"
25110: DESI,"Illustration II"
25111: DESI,"Illustration Portfolio"
25112: DESI,"Information Design"
25113: DESI,"Interaction Design"
25114: DESI,"Intro to Adobe Illustrator"
25115: DESI,"Intro to Video Editing I"
25116: DESI,"Motion Graphics"
25117: DESI,"Photoshop Basics"
25118: DESI,"Photoshop Color"
25119: DESI,"Physical Computing"
25120: DESI,"Publication Design"
25121: DESI,"Senior Capstone"
25122: DESI,"Shoot25123: DESI,"Storyboarding & Storytelling"
25124: DESI,"Traditional Animation"
25125: DESI,"Typeface Design"
25126: DESI,"Typography I"
25127: DESI,"Typography II"
25128: DESI,"VT:  Pixel-based Imagery"
25129: DESI,"VT: Art of the Book"
25130: DESI,"VT: Intro to Digital Animation"
25131: DESI,"VT: Special Topics in Design"
25132: DESI,"VT: Vector-Based Imagery"
25133: DESI,"VT: Vid Graphics & Compositing"
25134: DESI,"Web Design I"
25135: DESI,"Web Design II"
25136: DESK,"ACSKL Events"
25137: DESK,"Academic Reading"
25138: DESK,"Academic Reading and Writing"
25139: DESK,"Academic Writing"
25140: DESK,"Accounting Workshop"
25141: DESK,"ESL Reading Development"
25142: DESK,"ESL Writing Development"
25143: DESK,"Economics Workshop"
25144: DESK,"English Workshop"
25145: DESK,"Esl Read/Writ Devel"
25146: DESK,"Esl Reading Devel"
25147: DESK,"Fundamentals of Mathematics"
25148: DESK,"Prep: Cuny Math Test"
25149: DESK,"Read & Learn Stratgs"
25150: DESK,"Read/Learn In Acadma"
25151: DESK,"STEM Workshop"
25152: DRAF,"Descriptive Geom & Mech Dr"
25153: DRAF,"Descriptive Geometry"
25154: DRAF,"Eng Drawing"
25155: DRAF,"Engineering Drawing"
25156: DRAT,"20 Cent Play & Perf"
25157: DRAT,"Acting 4"
25158: DRAT,"Acting I"
25159: DRAT,"Acting II"
25160: DRAT,"Acting III"
25161: DRAT,"Acting IV"
25162: DRAT,"Acting Musical Thea"
25163: DRAT,"Acting Project"
25164: DRAT,"Acting Projects"
25165: DRAT,"Adv Topics in Theater Studies"
25166: DRAT,"Advanced Seminar Scenography"
25167: DRAT,"African Dance"
25168: DRAT,"Anal Dance Mvmt"
25169: DRAT,"Anal Of Dance Movmt"
25170: DRAT,"Ballet 1"
25171: DRAT,"Ballet 3"
25172: DRAT,"Black Drama In Amer"
25173: DRAT,"Black Drama Workshop"
25174: DRAT,"Black Thea Wkshp"
25175: DRAT,"Classical European Drama"
25176: DRAT,"Collab Wrkshp Dance & Theatre"
25177: DRAT,"Costume Design I"
25178: DRAT,"Costume Design II"
25179: DRAT,"Dance Analysis"
25180: DRAT,"Dance Improv"
25181: DRAT,"Dance Improv & Comp"
25182: DRAT,"Dance Notation"
25183: DRAT,"Dickens & Drama"
25184: DRAT,"Direct Projects"
25185: DRAT,"Directing I"
25186: DRAT,"Directing II"
25187: DRAT,"Drama for Teachers"
25188: DRAT,"Dramatic Literature 1880-1980"
25189: DRAT,"Dramatic Literature 1980- Pres"
25190: DRAT,"Dramatizing Science"
25191: DRAT,"Experimental Theatre Workshop"
25192: DRAT,"Family In Amer Dr"
25193: DRAT,"Film & Perf:Ibsen"
25194: DRAT,"Films Of I. Bergman"
25195: DRAT,"Folk Dance"
25196: DRAT,"His Thea Beg-1700"
25197: DRAT,"Hist Dnce Thr 19c"
25198: DRAT,"Hist Play & Perf"
25199: DRAT,"Hist Thea To 1700"
25200: DRAT,"History of Musical Theatre"
25201: DRAT,"History of World Theater I"
25202: DRAT,"History of World Theater II"
25203: DRAT,"Indepen Study Technical Theatr"
25204: DRAT,"Indepen Study in Scenography"
25205: DRAT,"Independent Study in Dance"
25206: DRAT,"Independent Study in Directing"
25207: DRAT,"Intr To Play & Perf"
25208: DRAT,"Intro Dance"
25209: DRAT,"Intro Design Thea"
25210: DRAT,"Intro Dram And Theat"
25211: DRAT,"Intro Play & Perf"
25212: DRAT,"Intro Tech Theatre"
25213: DRAT,"Intro To Direct"
25214: DRAT,"Intro to Dramatic Literature"
25215: DRAT,"Introduction to Acting"
25216: DRAT,"Introduction to Theater Design"
25217: DRAT,"Jazz"
25218: DRAT,"Lighting Design & Technology I"
25219: DRAT,"Lighting Design& Technology II"
25220: DRAT,"Modern Dance I"
25221: DRAT,"Modern Dance Ii"
25222: DRAT,"Modern Drama"
25223: DRAT,"Mus Thea Wkshp"
25224: DRAT,"Music For Movemnt"
25225: DRAT,"Musical Theatre Workshop I"
25226: DRAT,"Musical Theatre Workshop II"
25227: DRAT,"Phy Train Actor 1"
25228: DRAT,"Phys Train Act"
25229: DRAT,"Phys Training for the Actor I"
25230: DRAT,"Phys Training for the Actor II"
25231: DRAT,"Play Perf Contp"
25232: DRAT,"Plays Of Ibsen"
25233: DRAT,"Plays Perf Ibsen"
25234: DRAT,"Plays Strindberg"
25235: DRAT,"Playwriting II"
25236: DRAT,"Playwriting Workshop"
25237: DRAT,"Practicum in Technical Theater"
25238: DRAT,"Prin Tchng Dance"
25239: DRAT,"Produc Apprent 1"
25240: DRAT,"Puppet Theater Workshop"
25241: DRAT,"Rehears & Perf"
25242: DRAT,"Repertory Theatre"
25243: DRAT,"Rev Mod Thea & Film"
25244: DRAT,"Scenic Design I"
25245: DRAT,"Scenic Design II"
25246: DRAT,"Sem In Pinter"
25247: DRAT,"Sem Thea Dance"
25248: DRAT,"Seminar in Drama and Theatre"
25249: DRAT,"Shakespeare Workshop I"
25250: DRAT,"Shakespeare Workshop II"
25251: DRAT,"Spec Prob Drama"
25252: DRAT,"Spec Styles Jazz"
25253: DRAT,"Special Problems"
25254: DRAT,"Stage Management"
25255: DRAT,"Studies in Theatre History"
25256: DRAT,"Thea Dance Wksp"
25257: DRAT,"Thea Lighting"
25258: DRAT,"Theatrical Texts and Times"
25259: DRAT,"Thtr Dance Wkshop"
25260: DRAT,"VT: Sp Prob Dram &Theatre"
25261: DRAT,"VT: Special Topics Stagecraft"
25262: DRAT,"Vocal Train Actor"
25263: DRAT,"Voice & Articulation For Actor"
25264: DRAT,"Voice Train Actor"
25265: DRAT,"Vt: Sp Prob Dram/Thea"
25266: DRAT,"Vt: Special Problems in Drama"
25267: DRAT,"Vt: Tai Chi Chuam"
25268: DRAT,"Vt:Sp Prob Theat/Dan"
25269: DRAT,"Vt:Spc Prob Dram/The"
25270: DRAT,"Vt:Special Problems"
25271: DRAT,"Writing About Performance"
25272: DRAT,"Xi Gong"
25273: EAST,"Civilization of Korea"
25274: EAST,"Contemporary Chinese Film"
25275: EAST,"Early Japan Women Writing"
25276: EAST,"East Asian Civilization I"
25277: EAST,"East Asian Civilization II"
25278: EAST,"East Asian Religion"
25279: EAST,"East Asian Studies"
25280: EAST,"Introduction to Korean Cinema"
25281: EAST,"Introduction to Modern Japan"
25282: EAST,"Korean History through Film"
25283: EAST,"Korean Lit In Trans"
25284: EAST,"Korean Women?s Writings"
25285: EAST,"Mod Jpns Fict:Transl"
25286: EAST,"Modern Chinese Fiction Trans"
25287: EAST,"Music in Korea"
25288: EAST,"Topics in East Asian Studies"
25289: EAST,"Vt:Struct East Asian Language"
25290: ECON,"Acc Pro Small Bus"
25291: ECON,"Accounting for Risk Management"
25292: ECON,"Acct 1 Elem Acct"
25293: ECON,"Acct 4 Auditing"
25294: ECON,"Adv Acc Problems"
25295: ECON,"Adv Acct"
25296: ECON,"Adv Econometrics"
25297: ECON,"Advanced Derivatives"
25298: ECON,"Advanced Econometrics"
25299: ECON,"Amer Economic Hist"
25300: ECON,"Amer Economic Hist since 1914"
25301: ECON,"American Economy to 1914"
25302: ECON,"Analysis of Invest&Market Risk"
25303: ECON,"App Fin Dynamic Analysis Model"
25304: ECON,"Applied Dynamic Fin Analysis"
25305: ECON,"Applied Financial Analysis"
25306: ECON,"Auditing"
25307: ECON,"Blockchain and Money"
25308: ECON,"Bus Cycles"
25309: ECON,"Bus Organ & Corp Finance"
25310: ECON,"Business Cycles"
25311: ECON,"Comp Econ Systems"
25312: ECON,"Comparative Econ & Fin Systems"
25313: ECON,"Consum Econ & Pers Fin"
25314: ECON,"Corporate Finance"
25315: ECON,"Corporate Strategy& Macroecon"
25316: ECON,"Cost Acct"
25317: ECON,"Cycles/Stabilization"
25318: ECON,"Data Sci via Machine Learning"
25319: ECON,"Dev Of Amer Econ"
25320: ECON,"Devel Amer Econ"
25321: ECON,"Devel Econ Thought"
25322: ECON,"Develop Econ Th"
25323: ECON,"Dist Markt"
25324: ECON,"Ec & Gov Con Am Bus"
25325: ECON,"Eco & Min Gps"
25326: ECON,"Eco Dist & Marketing"
25327: ECON,"Eco Gov Con Bus"
25328: ECON,"Eco Health"
25329: ECON,"Eco Organiz Labor"
25330: ECON,"Eco Pblms Lat Am"
25331: ECON,"Econ & Society"
25332: ECON,"Econ Class/Race/Sex"
25333: ECON,"Econ Dist Mktng"
25334: ECON,"Econ Labor Force"
25335: ECON,"Econ Of Bus Organ"
25336: ECON,"Econ Of Environment"
25337: ECON,"Econ Princ/Problems"
25338: ECON,"Econ Prob Lat America"
25339: ECON,"Econ State/Local Fin"
25340: ECON,"Econ Statistics"
25341: ECON,"Econ Statistics 1"
25342: ECON,"Econ of Health & Income Prog"
25343: ECON,"Econ25344: ECON,"Econometrics"
25345: ECON,"Economic Development"
25346: ECON,"Economic Development of China"
25347: ECON,"Economic Geography"
25348: ECON,"Economic Probs Lat America"
25349: ECON,"Economics Of Africa"
25350: ECON,"Economics Of Bus Org"
25351: ECON,"Economics Writing Workshop"
25352: ECON,"Economics and Society"
25353: ECON,"Economics of Asia"
25354: ECON,"Economics of Climate Change"
25355: ECON,"Economics of Organized Labor"
25356: ECON,"Economics of the Labor Force"
25357: ECON,"Ecostatistics"
25358: ECON,"Elem Acct 1"
25359: ECON,"Elem Acct 2"
25360: ECON,"Engineering Economics"
25361: ECON,"Enterprise Risk Management"
25362: ECON,"Eur Ec Community & Us"
25363: ECON,"Eur Economic Hist"
25364: ECON,"European Economics Since 1750"
25365: ECON,"Evol Of Industry"
25366: ECON,"Financial Econometrics"
25367: ECON,"Financial Markets"
25368: ECON,"Financial Statement Analysis"
25369: ECON,"Fixed Income Instruments"
25370: ECON,"Globalization Now and Then"
25371: ECON,"Govt Con Am Bus"
25372: ECON,"Hist Bus/Fin 1850-Pres"
25373: ECON,"Hist Econ Thought"
25374: ECON,"Honors Seminar"
25375: ECON,"Imp&Und 3 Wld Cnt"
25376: ECON,"Income Determin"
25377: ECON,"Industrial Organiz & Control"
25378: ECON,"Industrial Organization"
25379: ECON,"Inter Price Th"
25380: ECON,"Interm Acct"
25381: ECON,"Intermed Acct 1"
25382: ECON,"Intermediate Fin"
25383: ECON,"International Economics"
25384: ECON,"International Fin"
25385: ECON,"International Finance"
25386: ECON,"International Trade"
25387: ECON,"Internship for Economics"
25388: ECON,"Intr Corp Fin & Money & Bank"
25389: ECON,"Intrntl Econ"
25390: ECON,"Intro Econ 1"
25391: ECON,"Intro Economics 1"
25392: ECON,"Intro Regional Sci"
25393: ECON,"Intro To Economic"
25394: ECON,"Intro To Economics"
25395: ECON,"Intro To Geography"
25396: ECON,"Intro To Macroecon"
25397: ECON,"Intro to Micro & Macro Econ"
25398: ECON,"Intro to Operations Research"
25399: ECON,"Introduction to Econometrics"
25400: ECON,"Introduction to Macroeconomics"
25401: ECON,"Introduction to Microeconomics"
25402: ECON,"Introductory Economics"
25403: ECON,"Int’L Polit Econ"
25404: ECON,"Int’l Monetary Sys"
25405: ECON,"Labor Econ"
25406: ECON,"Labor Economics"
25407: ECON,"Macro Econ Anal"
25408: ECON,"Macro Economics"
25409: ECON,"Macro-Economic Analysis"
25410: ECON,"Macroecon"
25411: ECON,"Macroeconomic Analysis /Math"
25412: ECON,"Macroeconomics"
25413: ECON,"Marketing Policies"
25414: ECON,"Mathematical Economics"
25415: ECON,"Meas Econ Variables"
25416: ECON,"Microecon"
25417: ECON,"Microeconomics"
25418: ECON,"Money & Banking"
25419: ECON,"Money & Fin Mkts"
25420: ECON,"Money and Banking"
25421: ECON,"Money and Capital Markets"
25422: ECON,"N Y Money Market"
25423: ECON,"Pol Eco Europ Union"
25424: ECON,"Polit Econ of Euro Union"
25425: ECON,"Political Geography"
25426: ECON,"Portfolio Management"
25427: ECON,"Price Theory"
25428: ECON,"Price Theory W Math"
25429: ECON,"Price and Distribution Theory"
25430: ECON,"Prin/Prac Real Estat"
25431: ECON,"Prob Of Lat Am"
25432: ECON,"Pub Fin/Fiscal Pol"
25433: ECON,"Public Finance"
25434: ECON,"Python for Financial Appl"
25435: ECON,"Regl of American Business"
25436: ECON,"Research Methods in Economics"
25437: ECON,"Risk Measurement"
25438: ECON,"Risk Transf to Insurance Mkts"
25439: ECON,"Risk Trnsfr to Financial Mrkts"
25440: ECON,"Sem Adv Micro Thry"
25441: ECON,"Sem Econ Research"
25442: ECON,"Sem M.A. Thesis Rsch"
25443: ECON,"Sem Urban Economics"
25444: ECON,"Special Problems"
25445: ECON,"Special Topics In R"
25446: ECON,"Stat Appl To Econ"
25447: ECON,"Stat Applied Econ & Bus"
25448: ECON,"Statistics"
25449: ECON,"Stats in Economics & Business"
25450: ECON,"Surv Econ Prin & Pbl"
25451: ECON,"Technology25452: ECON,"The Economics of CryptoAssets"
25453: ECON,"The Economy of Greece"
25454: ECON,"The Eur Econ & US"
25455: ECON,"The Global Economy"
25456: ECON,"The Market Society"
25457: ECON,"The Process Of Econ Devel"
25458: ECON,"The Soviet Econ"
25459: ECON,"Transform of Eco Syst"
25460: ECON,"US & New Wrld Eco"
25461: ECON,"Ub30.9-La Polecon"
25462: ECON,"Underdeveloped Area"
25463: ECON,"Urb Resource Dev."
25464: ECON,"Urban Econ"
25465: ECON,"Urban Econ: Tools25466: ECON,"Urban Economics"
25467: ECON,"Vt: Semi Select Studies Econ"
25468: ECON,"Vt:Sem Sel Stud Econ"
25469: ECON,"Vt:Seminar"
25470: ECON,"Vt:Sp Prob Reg Sci"
25471: ECON,"Women’s Issues in Economics"
25472: ECON,"World Resources"
25473: ECON,"Writing Tutorial"
25474: EDAC,"Art & Music Sem"
25475: EDAC,"Arts & Music"
25476: EDAC,"Eng Comp 1"
25477: EDAC,"English Composition"
25478: EDAC,"Great Works of Literature"
25479: EDAC,"Intro Coll Writ"
25480: EDAC,"Phys Sci"
25481: EDAC,"Soc Sci Sem 1"
25482: EDAC,"Social Science Seminar I"
25483: EDAC,"Social Science Seminar II"
25484: EDAC,"St Vis Art Lit Mu"
25485: EDAC,"Stud Hist Soc Sci"
25486: EDCO,"Coop Edu Placemt"
25487: EDCO,"Coop Edub Placemt"
25488: EDCO,"Coop Educ Placemt"
25489: EDCO,"Fldwork & Amer Exp"
25490: EDCO,"Ind In Organization"
25491: EDCO,"Orientation to World of Work"
25492: EDCO,"World Of Work"
25493: EDCO,"Wrld Of Wrk-Intrnshp"
25494: EDCP,"Aff Strat Ex Ind"
25495: EDCP,"Assess Cogn Funct"
25496: EDCP,"Case Study"
25497: EDCP,"Computers Sch Admin"
25498: EDCP,"Consul Skls Sp Ed"
25499: EDCP,"Desgn Inst Ex Ind"
25500: EDCP,"Educ and Comm Prog Elec Cr"
25501: EDCP,"Excpt Child"
25502: EDCP,"Fieldwork"
25503: EDCP,"Fieldwork 4"
25504: EDCP,"Fieldwork 5"
25505: EDCP,"Fieldwork 6"
25506: EDCP,"Group Dynamics"
25507: EDCP,"Group Practicum"
25508: EDCP,"Ind Int Testing"
25509: EDCP,"Ind Study Couns"
25510: EDCP,"Indep Study"
25511: EDCP,"Indep Study Spec Ed"
25512: EDCP,"Indep Study in Educ"
25513: EDCP,"Indep Study-Educ"
25514: EDCP,"Independent Study"
25515: EDCP,"Int Tech/Agen Aw"
25516: EDCP,"Internship 1"
25517: EDCP,"Internship 2"
25518: EDCP,"Mainstr Ex Ind"
25519: EDCP,"Parent Role In Se"
25520: EDCP,"Pers Dev Adol"
25521: EDCP,"Personality Theo"
25522: EDCP,"Prac In Career Ed"
25523: EDCP,"Pract In Testing"
25524: EDCP,"Prg Cur Ad Ex Ind"
25525: EDCP,"Psych Couns W/ Ind"
25526: EDCP,"Res In Schl Psych"
25527: EDCP,"Resource Rm Tchg"
25528: EDCP,"Rsch Sp Ed Advncd"
25529: EDCP,"Rsch Sp Ed Into"
25530: EDCP,"Schl Psy/Sch Comm"
25531: EDCP,"Self Aware Train"
25532: EDCP,"Sem Adv Pers Theo"
25533: EDCP,"Super Practicum"
25534: EDCP,"Supervisory Pract"
25535: EDCP,"Tch Writ Ex Ind"
25536: EDCP,"Teho of Psych"
25537: EDCP,"Vt: Wrkshp Curr Issue"
25538: EDCP,"Vt:Wksp Curr Iss"
25539: EDCP,"Vt:Wrkshp Curr Issue"
25540: EDCP,"Wkshp Behv Tech"
25541: EDCP,"Wkshp Consult Rdg"
25542: EDCP,"Wkshp Spec Iss"
25543: EDCP,"Workshop in Current Issues"
25544: EDCP,"Wrkshp Current Issue"
25545: EDHE,"Adult Diet & Exer"
25546: EDHE,"Att Beh Ch Health"
25547: EDHE,"Curriculum Develop"
25548: EDHE,"Exer Nut & Wgt Cntr"
25549: EDHE,"Gerontology"
25550: EDHE,"Ind Cmm Hlth Pr"
25551: EDHE,"Intern In Health"
25552: EDHE,"Org Adm Comm Hlth"
25553: EDHE,"Org Amn Comm Hlth"
25554: EDHE,"Parent & Child"
25555: EDHE,"Parent & Child Hlth"
25556: EDHE,"Patient Education"
25557: EDHE,"Rl Ind Comm Dis"
25558: EDHE,"School Hlth Prog"
25559: EDHE,"Sem Drug Use & Abus"
25560: EDHE,"Und Hum Sexuality"
25561: EDIL,"Act Rsch Sch Dist Ld"
25562: EDIL,"Critical Issues and Guidelines"
25563: EDIL,"Curriculum and Supervision."
25564: EDIL,"Data For School Planning"
25565: EDIL,"Guided Field Experience"
25566: EDIL,"Human Relations"
25567: EDIL,"Leadership Diverse Populations"
25568: EDIL,"Leadershp Thry&Pract"
25569: EDIL,"Legal Prb In Educ"
25570: EDIL,"Mgmt of Teaching and Learning"
25571: EDIL,"Organizational Leader Change"
25572: EDIL,"Sch Dis Org25573: EDIL,"School Finance"
25574: EDIL,"Supervisory Practicum"
25575: EDIL,"Technology for School Leaders"
25576: EDLI,"Adv Adol Lit Gr 5-12"
25577: EDLI,"Adv Asmt Lit To Gr 6"
25578: EDLI,"Adv Pract Lit To Gr6"
25579: EDLI,"Adv Prct Litr Gr5-12"
25580: EDLI,"Asmt &Inst Lit-Gr 6"
25581: EDLI,"Asmt&Inst Lit Gr5-12"
25582: EDLI,"Consultation"
25583: EDLI,"Found Of Literacy"
25584: EDLI,"Lit Dev Gr 5-12"
25585: EDLI,"Lit Dev&Inst -Gr 6"
25586: EDLI,"Litrcy Diff Brth-Gr6"
25587: EDLI,"Pract Litr Diff 5-12"
25588: EDLI,"Prob & Issues In Rdg"
25589: EDLI,"Research In Literacy"
25590: EDLI,"Sem:Research In Litr"
25591: EDOC,"Administrative Thry"
25592: EDOC,"Adv Fashion Des"
25593: EDOC,"Adv Fd Pur & Eqp"
25594: EDOC,"Clothing Constr"
25595: EDOC,"Computers Sch Admin"
25596: EDOC,"Curric/Suprvis Elem"
25597: EDOC,"Curriculum/Suprvis"
25598: EDOC,"Drugs Fm Schl Com"
25599: EDOC,"Drugs Fsc Prob"
25600: EDOC,"Elective Credit"
25601: EDOC,"Experim Foods"
25602: EDOC,"Externship: Nutr"
25603: EDOC,"Fam As Consum 1"
25604: EDOC,"Fam Cons Studies"
25605: EDOC,"Fam Meal Mgmt"
25606: EDOC,"Family As Cons 1"
25607: EDOC,"Family As Consums"
25608: EDOC,"Fd Serv Mgmt"
25609: EDOC,"Fld Exper Adm/Super"
25610: EDOC,"Food Serv Mgmt"
25611: EDOC,"His Cos Fur Egypt"
25612: EDOC,"Hm Ec In Media"
25613: EDOC,"Home Management"
25614: EDOC,"Human Relations 1"
25615: EDOC,"Id Text & Cloth"
25616: EDOC,"Ind Study Adm"
25617: EDOC,"Indep Study Admin"
25618: EDOC,"Inst Mgmt"
25619: EDOC,"Inter Decor"
25620: EDOC,"Issues: Home Ec/Nutr"
25621: EDOC,"Legal Prob Pub Educ"
25622: EDOC,"Manage Teach/Learn"
25623: EDOC,"Nutrition"
25624: EDOC,"Prob/Pract Sch Adm 1"
25625: EDOC,"Quant Foods"
25626: EDOC,"Sem Hec Research"
25627: EDOC,"Senior Sem"
25628: EDOC,"Soc Cult Asp Food"
25629: EDOC,"Soc Cult Asp Of Fds"
25630: EDOC,"Soc Cult Fds & Ntr"
25631: EDOC,"Soc/Cult/Asp/Food"
25632: EDOC,"Spec Problems"
25633: EDOC,"Study Of Foods"
25634: EDOC,"Supervisory Pract 1"
25635: EDOC,"Supervisory Pract 2"
25636: EDOC,"Workshop In Adm"
25637: EDOC,"Workshop In Sch Adm"
25638: EDPH,"Adult Fitness"
25639: EDPH,"Adv Athletic Train"
25640: EDPH,"Adv Basketball"
25641: EDPH,"Adv Beg Tennis"
25642: EDPH,"Adv Beg/Int Basketball"
25643: EDPH,"Adv Scuba Diving"
25644: EDPH,"Adv Swim/Lifegd Trng"
25645: EDPH,"Adv Swim/Lifgd Trng"
25646: EDPH,"Adv Wrkshp Phys Ed"
25647: EDPH,"Advanced Swimming"
25648: EDPH,"Advbeg/Int Tennis"
25649: EDPH,"Aerobic Dance"
25650: EDPH,"Aerobic Fit/Dance"
25651: EDPH,"Aerobics"
25652: EDPH,"Afr Dance & Rhys"
25653: EDPH,"Afr Dnce Ryth M&W"
25654: EDPH,"Archery"
25655: EDPH,"Badminton"
25656: EDPH,"Ballet"
25657: EDPH,"Bas Judo & Aikido"
25658: EDPH,"Bas Skin/Scuba Diving"
25659: EDPH,"Bas Skin/Scuba Divng"
25660: EDPH,"Baseball"
25661: EDPH,"Baseball Men"
25662: EDPH,"Basketball"
25663: EDPH,"Basketball Women"
25664: EDPH,"Beg Swimmer"
25665: EDPH,"Begin Swimmer"
25666: EDPH,"Begin Swimming"
25667: EDPH,"Bio Mech Lab"
25668: EDPH,"Biomechanics"
25669: EDPH,"Body Conditioning"
25670: EDPH,"Bskt Tch Ftball"
25671: EDPH,"Camping"
25672: EDPH,"Cardiac Rehab"
25673: EDPH,"Coach Internship"
25674: EDPH,"Coach Team Sports"
25675: EDPH,"Cur Issues & Prob"
25676: EDPH,"Curric Dev/Pgm Org"
25677: EDPH,"Dance"
25678: EDPH,"Dance 1"
25679: EDPH,"Dance 1 Women"
25680: EDPH,"Dance Educ In Us"
25681: EDPH,"Elem Badmintn M & W"
25682: EDPH,"Elem Badminton"
25683: EDPH,"Elem Ballet"
25684: EDPH,"Elem Fencing"
25685: EDPH,"Elem Fencing M&W"
25686: EDPH,"Elem Golf"
25687: EDPH,"Elem Mod Dance"
25688: EDPH,"Elem Skin & Scuba"
25689: EDPH,"Elem Tennis"
25690: EDPH,"Eur Amer Folk Dance"
25691: EDPH,"Eur Folk Dance"
25692: EDPH,"Eur/Amer Folk Dance"
25693: EDPH,"Europ Folk Dance"
25694: EDPH,"Exer & Wght Control"
25695: EDPH,"Exer & Wt Control"
25696: EDPH,"Exer/Energy Bal/Wgt"
25697: EDPH,"Fencing"
25698: EDPH,"Field & Track"
25699: EDPH,"Field Hockey"
25700: EDPH,"First Aid"
25701: EDPH,"First Aid & Safety"
25702: EDPH,"First Aid/Emerg Care"
25703: EDPH,"Fitness & Wght Cont"
25704: EDPH,"Fitness Assessment"
25705: EDPH,"Folk Dance"
25706: EDPH,"Football"
25707: EDPH,"Found Phys Activ"
25708: EDPH,"Fundamental Sport Skills"
25709: EDPH,"Gymnastics"
25710: EDPH,"Gymnastics Men"
25711: EDPH,"Gymnastics Women"
25712: EDPH,"Handball Paddleball"
25713: EDPH,"Health Educ"
25714: EDPH,"Hist & Prin P Ed"
25715: EDPH,"Hist & Principles"
25716: EDPH,"Hist/Princ Hed/Ped"
25717: EDPH,"Hndball/Pddleball"
25718: EDPH,"Homestead Pioneer"
25719: EDPH,"Homestead/Rel Tech"
25720: EDPH,"Hum Sexuality"
25721: EDPH,"Individual Sports & Combatives"
25722: EDPH,"Int Badminton M&W"
25723: EDPH,"Int Modern Dance"
25724: EDPH,"Int/Adv Badminton"
25725: EDPH,"Int/Adv Scuba Diving"
25726: EDPH,"Int/Adv Soccer"
25727: EDPH,"Inter Ballet"
25728: EDPH,"Inter Swimming"
25729: EDPH,"Inter Tennis"
25730: EDPH,"Internship Exer Sci"
25731: EDPH,"Intn Ad Fit/Card Reh"
25732: EDPH,"Intr Outdoor Ed"
25733: EDPH,"Intro Outdoor Educ"
25734: EDPH,"Intro Stat Meth Pe"
