58877: ACCT,"ACC 2203 Lecture"
59561: COLI,"Italian Cinema"
59562: COLI,"Italian Cinema and Culture"
59563: COLI,"Journalism & Literary Imaginat"
59564: COLI,"Lang59565: COLI,"Latin American Cinema"
59566: COLI,"Latin American Jewish Women Wr"
59567: COLI,"Latino/a Literature in the U.S"
59568: COLI,"Laughter Through Tears"
59569: COLI,"Lit Of Holocaust"
59570: COLI,"Liter Latin America"
59571: COLI,"Literary Theory"
59572: COLI,"Major German Writers"
59573: COLI,"Modrn Hero Compt Lit"
59574: COLI,"Post-Colonial French Lit"
59575: COLI,"Renaissance Drama"
59576: COLI,"Russian Lit 19th Cen"
59577: COLI,"Russian Literature"
59578: COLI,"Soc Novel Span Amer"
59579: COLI,"Span Lit Masterpiece"
59580: COLI,"Spanish Cinema"
59581: COLI,"Spanish Literary Masterpieces"
59582: COLI,"Special Topics in Literature"
59583: COLI,"Srv Carib Ltt In Eng"
59584: COLI,"The City & The Text"
59585: COLI,"The Dead Sea Scrolls"
59586: COLI,"The French Novel from Madame d"
59587: COLI,"The Literature of Italy"
59588: COLI,"The Works of Cervantes"
59589: COLI,"Tran Btwn Wolds: Lit & Ant"
59590: COLI,"Women/Famil Bible Lt"
59591: COMM,"Advan Video Comm & Prod"
59592: COMM,"Advanced Speech Writing"
59593: COMM,"American Public Address"
59594: COMM,"American Television Programmin"
59595: COMM,"Anat Physi Of Sp H M"
59596: COMM,"Argumentation and Debate"
59597: COMM,"Bus Communications Graduated"
59598: COMM,"Business Communication"
59599: COMM,"Business Communication Hon"
59600: COMM,"Business Issues For Corp Comm"
59601: COMM,"Capstone Commun Stud"
59602: COMM,"Classical Rhetoric"
59603: COMM,"Comm & Adv In Busin & Publ Aff"
59604: COMM,"Comm & Info Technology"
59605: COMM,"Comm Law & Free Spch"
59606: COMM,"Comm Research Strategies"
59607: COMM,"Communication Honors II"
59608: COMM,"Communication Strategy"
59609: COMM,"Communication and Migration"
59610: COMM,"Communication for Executives"
59611: COMM,"Communication in Intercultural"
59612: COMM,"Conflict Resolution"
59613: COMM,"Contemporary Issues in Dig Med"
59614: COMM,"Contemporary Issues in Intercu"
59615: COMM,"Corp Adv59616: COMM,"Corp Comm Internship"
59617: COMM,"Corp Culture & Sustainability"
59618: COMM,"Corporate Commun Orientation"
59619: COMM,"Corporate Communication"
59620: COMM,"Corporate Media Relations"
59621: COMM,"Corporate Representation in Fi"
59622: COMM,"Corporations and the Media"
59623: COMM,"Counseling the Corporation"
59624: COMM,"Crisis Communication"
59625: COMM,"Elmnts of Legal Argumentation"
59626: COMM,"Employee Communication"
59627: COMM,"Ethics Of Img Making"
59628: COMM,"Facework Communication"
59629: COMM,"From Plato to Twitter"
59630: COMM,"Gender Communication"
59631: COMM,"Gender59632: COMM,"Global Comm59633: COMM,"Graphic Design Media"
59634: COMM,"Group Communication"
59635: COMM,"Healthcare Comm and PR"
59636: COMM,"Hon Comm For Exec"
59637: COMM,"Hon Corp Com"
59638: COMM,"Hon Independent Study COM I"
59639: COMM,"Hon Top In COM Stud"
59640: COMM,"Honors"
59641: COMM,"Honors - Communication I"
59642: COMM,"Honors - Selected Topics"
59643: COMM,"Honors Intercultural Comm"
59644: COMM,"Honors Speech Communications"
59645: COMM,"Honors-Thesis Pub Affairs II"
59646: COMM,"Honors: Visual Rhetoric"
59647: COMM,"Independent Study"
59648: COMM,"Independent Study COM I"
59649: COMM,"Independent Study COM II"
59650: COMM,"Information and Society"
59651: COMM,"Intensive Voice and Diction"
59652: COMM,"Intercultural Communication"
59653: COMM,"Intercultural Training59654: COMM,"Intern Bus Pub Comm"
59655: COMM,"International Business and Org"
59656: COMM,"International Communication"
59657: COMM,"International Perspectives on"
59658: COMM,"Internship Bus Comm"
59659: COMM,"Internship in Corporate Commun"
59660: COMM,"Interpersonal Communication"
59661: COMM,"Interprsnl & Group Com"
59662: COMM,"Intl Business Commun"
59663: COMM,"Intro Linguist & Lang"
59664: COMM,"Intro to Communication Studies"
59665: COMM,"Intro to Digital Comm & Cult"
59666: COMM,"Introduction to Business Com"
59667: COMM,"Investor Relations"
59668: COMM,"Lang and Soc Interaction"
59669: COMM,"Lecture Speech Communication"
59670: COMM,"Legal/Ethical Iss in Corp Comm"
59671: COMM,"MA Capstone Project"
59672: COMM,"Ma Thesis & Capst Proj Orienta"
59673: COMM,"Managerial Communica"
59674: COMM,"Markets59675: COMM,"Masters Thesis In Cc"
59676: COMM,"Media Analysis"
59677: COMM,"Media Analysis and Criticism"
59678: COMM,"Memory59679: COMM,"Multi Corp Com & Cul"
59680: COMM,"Nonverbal Communication"
59681: COMM,"Oral Interpretation"
59682: COMM,"Org Resp Soc Mvmnts & Soc Med"
59683: COMM,"Orgs in Intrnl Development"
59684: COMM,"Persuasion"
59685: COMM,"Persuasion and Advocacy"
59686: COMM,"Phonetic of American English"
59687: COMM,"Platforms59688: COMM,"Power59689: COMM,"Principles of Public Relations"
59690: COMM,"Professional Speech Communicat"
59691: COMM,"Public Relations Campaigns"
59692: COMM,"Public Relations Writing"
59693: COMM,"Public Speaking"
59694: COMM,"Qntv Res In Corp Com"
59695: COMM,"Qualitative Research Methods"
59696: COMM,"Reputation Mngment"
59697: COMM,"Resea Met In Corp Communi II"
59698: COMM,"Resea Met In Corpo Communi I"
59699: COMM,"Rhetoric of Science"
59700: COMM,"Rhetorical Theory and Criticis"
59701: COMM,"Sel Topics/Corp Comm"
59702: COMM,"Selected Topics"
59703: COMM,"Selected Topics in Corp Comm"
59704: COMM,"Selected Topics in Corporate C"
59705: COMM,"Speaking to the Camera"
59706: COMM,"Speech & Lang Devlpt"
59707: COMM,"Speech Clinic"
59708: COMM,"Speech Communication"
59709: COMM,"Speech Composition & Delivery"
59710: COMM,"Spoken Eng For Intl"
59711: COMM,"Structure & History Of English"
59712: COMM,"Studies in Electronic Media"
59713: COMM,"The Globalization of English"
59714: COMM,"Thries of Globalization & Cult"
59715: COMM,"Video Comm & Product"
59716: COMM,"Video Production Corp Comm"
59717: COMM,"Virtual Teamwork"
59718: COMM,"Visual Culture"
59719: COMM,"Visual Rhetoric"
59720: COMM,"Voice and Diction"
59721: COMM,"Work-Life Communication"
59722: CUBA,"CUNY Baccalaureate"
59723: DESK,"College Skills I"
59724: DESK,"College Skills I ESL"
59725: DESK,"College Skills II"
59726: DESK,"Intnsv Workshop Writ"
59727: DESK,"Study Lab In Writing"
59728: DESK,"Study Lab Reading"
59729: DESK,"Study Lab in Music"
59730: DESK,"Study Lab in Psychology 1001"
59731: ECON,"Advanced Labor Economics"
59732: ECON,"Advanced Macro-Economics"
59733: ECON,"Advanced Micro-Economics"
59734: ECON,"Applied Micro-Econometrics"
59735: ECON,"Behavioral Economics"
59736: ECON,"Contemp Eco Develpmt"
59737: ECON,"Contemporary Economic Thought"
59738: ECON,"Curr Prob Micro Eco"
59739: ECON,"Current Economic Problems"
59740: ECON,"Eco 9705 Lecture"
59741: ECON,"Eco An Of Legal Inst"
59742: ECON,"Eco Analy For Bus Dec"
59743: ECON,"Eco Fluctu&Forcastg"
59744: ECON,"Eco Geo And Spa Theo"
59745: ECON,"Eco Geography Europe"
59746: ECON,"Eco Prob Lin Regr An"
59747: ECON,"Econ Geog Of U.S. & Can"
59748: ECON,"Econometrics - Theory & App I"
59749: ECON,"Econometrics-Thry & Apps II"
59750: ECON,"Economic & Business Forecast"
59751: ECON,"Economic Analysis"
59752: ECON,"Economic Development"
59753: ECON,"Economics of Labor"
59754: ECON,"Economics of Urban Areas"
59755: ECON,"Electronic Comp Appl"
59756: ECON,"Env Eco/Sustain Deve"
59757: ECON,"Environmental Eco"
59758: ECON,"Evolution of Economic Thought"
59759: ECON,"Field Study Economic Lecture"
59760: ECON,"Field Study of the Economics o"
59761: ECON,"Financial Econometrics"
59762: ECON,"Firms in the Global Economy"
59763: ECON,"Fundamentals of Macroeconomics"
59764: ECON,"Fundamentals of Microeconomics"
59765: ECON,"Game Theory"
59766: ECON,"Hca Economics & FIN"
59767: ECON,"Health Care Economics"
59768: ECON,"Hon Adv Labor Econ"
59769: ECON,"Hon Fin Econometrics"
59770: ECON,"Hon Imtermd Macro"
59771: ECON,"Honors - Macro Economics"
59772: ECON,"Honors - Micro Economics"
59773: ECON,"Honors - Money & Banking"
59774: ECON,"Honors - Statistics Analysis"
59775: ECON,"Honors Courses in Economics"
59776: ECON,"Honors- International Econ/Fin"
59777: ECON,"Honors-Intermd Microecon"
59778: ECON,"Ind Org & Pub Policy"
59779: ECON,"Independent Research ECO I"
59780: ECON,"Intermediate Macro-Economics"
59781: ECON,"Intermediate Micro-Economics"
59782: ECON,"International Economics"
59783: ECON,"Internship in Economics I"
59784: ECON,"Internship in Economics II"
59785: ECON,"Int’L Econ & Finance"
59786: ECON,"Invest/Human Capital"
59787: ECON,"Labor Economics"
59788: ECON,"Macro-Economics"
59789: ECON,"Macroeconomics"
59790: ECON,"Managerial Economics"
59791: ECON,"Micro-Economics"
59792: ECON,"Microeconomics for Managers"
59793: ECON,"Monetary Economics"
59794: ECON,"Money Banking Monetary Policy"
59795: ECON,"Money Bnkng Mont Pol"
59796: ECON,"Natl Inc Anal&Fluct"
59797: ECON,"Principles of Public Finance"
59798: ECON,"Public Enterprise Economics"
59799: ECON,"Public Finance I"
59800: ECON,"Res Method For Sem"
59801: ECON,"Res Mthd For Thesis"
59802: ECON,"Research Seminar"
59803: ECON,"Seminar in Economics"
59804: ECON,"Special Topics in Economics"
59805: ECON,"Sta Analysis Eco/Fin"
59806: ECON,"The Economics of Int Trade"
59807: ECON,"Thesis (Thesis II)"
59808: ECON,"Urban Economics"
59809: EDHE,"Alcohol and Drug Abuse"
59810: EDHE,"Critical Health Issues"
59811: EDHE,"Elem Sch Hlth Ed Prg"
59812: EDHE,"Hum Sex & Fam Plan"
59813: EDHE,"Independent Study HED I"
59814: EDHE,"Indiv & Commun Healt"
59815: EDHE,"Nutrition and Health"
59816: EDHE,"Safety Education and First Aid"
59817: EDHE,"The Consumer Health"
59818: EDHE,"Women and Health"
59819: EDLA,"Theory Of Trans-Span"
59820: EDLA,"Theory of Translation"
59821: EDLA,"Translation Workshop I"
59822: EDLA,"Translation Workshop II"
59823: EDOC,"Essentials of Real Estate"
59824: EDOC,"Fund Hotel Managemnt"
59825: EDOC,"Real Est Value & Appraisal"
59826: EDOC,"Real Estate Administ"
59827: EDPH,"Advanced Swimming/Lifesaving"
59828: EDPH,"Aerobic Dance"
59829: EDPH,"Archery"
59830: EDPH,"Badminton"
59831: EDPH,"Badminton&Volleyball"
59832: EDPH,"Basic Water Saf&Emer"
59833: EDPH,"Basketball (Men)"
59834: EDPH,"Bowling"
59835: EDPH,"Ethnic and Cultural Dance"
59836: EDPH,"Fencing (Coed)"
59837: EDPH,"Fitness And Wght Con"
59838: EDPH,"Fitness and Weight Training"
59839: EDPH,"Foil Fencing (Men)"
59840: EDPH,"Foil Fencing (Women)"
59841: EDPH,"Independent Study PED I"
59842: EDPH,"Independent Study PED II"
59843: EDPH,"Intro Cross Cty Skig"
59844: EDPH,"Karate Skill Techniques"
59845: EDPH,"Modern (Interpretive) Dance"
59846: EDPH,"Recreat Activ Phys Limit Indiv"
59847: EDPH,"Sabre Fencing (Men)"
59848: EDPH,"Soccer (Men)"
59849: EDPH,"Sport in Modern Society"
59850: EDPH,"Swimming (Intermediate)"
59851: EDPH,"Swimming for Beginners"
59852: EDPH,"Tech For Lifetim Fit"
59853: EDPH,"Tech Lifetme Fitness"
59854: EDPH,"Tennis"
59855: EDPH,"The Admin Of Sports"
59856: EDPH,"Volleyball"
59857: EDPH,"Volleyball and Badminton"
59858: EDPH,"Water Safety Instructor Trng"
59859: EDUC,"2nd Language Teach"
59860: EDUC,"Adm Of Urban Sch"
59861: EDUC,"Admin Of Urban Univ"
59862: EDUC,"Administration of Higher Edu"
59863: EDUC,"Adv Assessment Tech"
59864: EDUC,"Adv Field Work Edu Service II"
59865: EDUC,"Adv Fieldwk Meth Spe"
59866: EDUC,"Adv Fld Exp Ed Svc I"
59867: EDUC,"Adv Fld Wrk Edu Sv III"
59868: EDUC,"Adv Seminar Social Studies"
59869: EDUC,"Adv Study Humanities"
59870: EDUC,"Adv Study Mth/Comput"
59871: EDUC,"Adv Study Nat Sci/Ed"
59872: EDUC,"Adv Topics Sp Ed Adm"
59873: EDUC,"Anal & Des Comp Educ"
59874: EDUC,"Analysis of Teaching"
59875: EDUC,"Anlt Stu Of Read App"
59876: EDUC,"Aprnt Tch In Bus Edu"
59877: EDUC,"Asian History and Culture"
59878: EDUC,"Assessment Technique"
59879: EDUC,"Author Comp Asst Ins"
59880: EDUC,"Behv Sci Contr Ed Ad"
59881: EDUC,"Bilingual Ed Theo/Pr"
59882: EDUC,"Bs Cont To Ed  Ad"
59883: EDUC,"Bus Edu Curriculum"
59884: EDUC,"Choose Use Eval Comp"
59885: EDUC,"Cls Mgt Thy And Prac"
59886: EDUC,"Clsrm Tch Elm&Child"
59887: EDUC,"Clsrm Tch In Spec Ed"
59888: EDUC,"Com Coll Pur Pro Adm"
59889: EDUC,"Comm Set - Urb Sch"
59890: EDUC,"Comm Setting Urb Sch"
59891: EDUC,"Cont Prob - Urb Edu"
59892: EDUC,"Cur Teach Erly Chd I"
59893: EDUC,"Curm & Tchg Urban Sc"
59894: EDUC,"Current Prbms in Bus Edu"
59895: EDUC,"Current Teaching Early Child"
59896: EDUC,"Curriculum&Instruct"
59897: EDUC,"Dev Hgher Edu N Amer"
59898: EDUC,"Diag Read Difficult"
59899: EDUC,"Diag Tch Prob Sec Sc"
59900: EDUC,"Diagnosis of Teaching Problems"
59901: EDUC,"Early Child Ed Lab"
59902: EDUC,"Ed Yg Chldrn At Home"
59903: EDUC,"Edu & Eco & Soc Polc"
59904: EDUC,"Educ Computng Pascal"
59905: EDUC,"Elem Edu Lab"
59906: EDUC,"Fd Wk Paraprof III"
59907: EDUC,"Fd Wk Paraprof IV"
59908: EDUC,"Fd Wk Paraprof V"
59909: EDUC,"Fd Wk Paraprofess II"
59910: EDUC,"Fed&State Gov In Edu"
59911: EDUC,"Field Exp Edu Ser"
59912: EDUC,"Field Experience Educ Service"
59913: EDUC,"Field Wk Paraprofess"
59914: EDUC,"Field Work In Teaching Reading"
59915: EDUC,"First Language Teach"
59916: EDUC,"Fld Wk As Paraproivb"
59917: EDUC,"Gen Mthd Tch Sec Sch"
59918: EDUC,"History and Culture Hispanic"
59919: EDUC,"Honors Program in Education I"
59920: EDUC,"Honors Program in Education II"
59921: EDUC,"ID & Instruct Lrnrs Spec Needs"
59922: EDUC,"Imp Inst Business Ed"
59923: EDUC,"Ind Proj Edu Technol"
59924: EDUC,"Independent Study EDU I"
59925: EDUC,"Inf Sys In High Edu"
59926: EDUC,"Inst Strategies & Materials"
59927: EDUC,"Int Prog Tech Insruct Appps"
59928: EDUC,"Int Sem In Spe Ed II"
59929: EDUC,"Int Skills In Class"
59930: EDUC,"Integrative Sem in Spec Edu I"
59931: EDUC,"Internship Higher Ed"
59932: EDUC,"Internship and Seminar II"
59933: EDUC,"Intro Spec Edu Admin"
59934: EDUC,"Intro Tech Educati & Training"
59935: EDUC,"Intro To Urban Educ"
59936: EDUC,"Law For The Ed Adm"
59937: EDUC,"Leadship & Dec Mking"
59938: EDUC,"Linguis Persp Biling"
59939: EDUC,"Literacy Dev/Read"
59940: EDUC,"Measmt & Eval Bus Ed"
59941: EDUC,"Meth Math Bilingual"
59942: EDUC,"Meth Tch Elem/Early"
59943: EDUC,"Meth Tch Mth In Elem"
59944: EDUC,"Meth/Mat Tch Reading"
59945: EDUC,"Method59946: EDUC,"Methods of Teaching Humanities"
59947: EDUC,"Mth Tch Natural Sci"
59948: EDUC,"Mth Tch Social Stud"
59949: EDUC,"Newer Media In Educ"
59950: EDUC,"Obs & Stu Tch Sec Sc"
59951: EDUC,"Obs & Student Tchng Sec Schl"
59952: EDUC,"Parent Ed Second Yrs"
59953: EDUC,"Parent Educ for Element Years"
59954: EDUC,"Pcpt Pro For Lern Ds"
59955: EDUC,"Prac In Supervision"
59956: EDUC,"Prct In Precisn Tchg"
59957: EDUC,"Prin Of Business Edu"
59958: EDUC,"Prin&Prac Inst Dsgn"
59959: EDUC,"Prn&Prac Inter D/B"
59960: EDUC,"Pro Of Urban Sch Sys"
59961: EDUC,"Prob Contm Edu Persp"
59962: EDUC,"Prob Of Teach Readin"
59963: EDUC,"Psy Chd&Adol in Urban Context"
59964: EDUC,"Read & Write Biling"
59965: EDUC,"Report & Commun"
59966: EDUC,"Reporting/Communication"
59967: EDUC,"Res for School Administration"
59968: EDUC,"Sch Comm Relations"
59969: EDUC,"Scr & Diag Instr Learn Disab"
59970: EDUC,"Sem & Stud Tchng Erly Ch Edu I"
59971: EDUC,"Sem Child Educ II"
59972: EDUC,"Sem Elem Educ II"
59973: EDUC,"Sem In Ed Res I"
59974: EDUC,"Sem In Elem Edu"
59975: EDUC,"Sem Prob Adm Urb Sch"
59976: EDUC,"Sem Prob Supervision"
59977: EDUC,"Seminar & Stu Tchg Elem Edu I"
59978: EDUC,"Seminar in Early Childhood Edu"
59979: EDUC,"Sftwre Jhs/Hs Inst"
59980: EDUC,"Spec Methods Sec Sch"
59981: EDUC,"Special Project in Education"
59982: EDUC,"Strat Tchng Office Tech"
59983: EDUC,"Strat Teach Off Tech"
59984: EDUC,"Strat Teach Office Tech"
59985: EDUC,"Stu Tch-Mental Retrd"
59986: EDUC,"Stu Tchng Erly Childhd Edu II"
59987: EDUC,"Stu Teach Spec Ed II"
59988: EDUC,"Stu Teach Spec Edu I"
59989: EDUC,"Stud Serv In High Ed"
59990: EDUC,"Stud Teach/Int Pers Learn Dis"
59991: EDUC,"Student Teaching/Emotional Dis"
59992: EDUC,"Supv Anal Of Teachng"
59993: EDUC,"Supv Self Asmnt Tch"
59994: EDUC,"Supv St Tch Erly Chd"
59995: EDUC,"Supv Std Teaching II"
59996: EDUC,"Supv Stu Tch El Ed I"
59997: EDUC,"Tch Acc Busarth Sshl"
59998: EDUC,"Tch Bkp&Bus Artm Ss"
59999: EDUC,"Tch De In Sec School"
60000: EDUC,"Tch Dstrv Ed Sec Shl"
60001: EDUC,"Tch Greg Steno Sc Sh"
60002: EDUC,"Tch Ptm Steno Sc Sh"
60003: EDUC,"Tch Ptm Stn Sec Sch"
60004: EDUC,"Tch Typwrtg Sec Schl"
60005: EDUC,"Teach - Young Child"
60006: EDUC,"Teach Grg Stno Sc Sl"
60007: EDUC,"Teach Int Bilingual"
60008: EDUC,"Teach Int Early Chld"
60009: EDUC,"Teach Readg Sec Sch"
60010: EDUC,"Teach Typwrt Sec Sch"
60011: EDUC,"Teach Young Child II"
60012: EDUC,"Teaching Internship III"
60013: EDUC,"Teaching Internshp 1"
60014: EDUC,"Teaching Internshp 2"
60015: EDUC,"The Exceptional Child"
60016: EDUC,"Theo & Budg Quan"
60017: EDUC,"Theo Learn In Teach"
60018: EDUC,"Theo Org & Pers Adm"
60019: EDUC,"Thry & Pract - Teach"
60020: EDUC,"Thry Prac Peer Advmt"
60021: EDUC,"User Ins Software Dv"
60022: EDUC,"Using Logo In Class"
60023: ELEC,"Puerto Rico Initiative Credit"
60024: ENGL,"19th Century English Novel"
60025: ENGL,"20 Cent British Lit"
60026: ENGL,"Academic Ltt Skills"
60027: ENGL,"Adv Reportng/Writing"
60028: ENGL,"Advanced Tech Poetry"
60029: ENGL,"Advanced Topics in Language60030: ENGL,"Advncd Essay Writing"
60031: ENGL,"Aestheticism and Decadence"
60032: ENGL,"Afr Dias: Us60033: ENGL,"African Americ Liter"
60034: ENGL,"Amer Lit I"
60035: ENGL,"Amer Lit II"
60036: ENGL,"Approaches to Modern Criticism"
60037: ENGL,"Basic Writing - ESL"
60038: ENGL,"Basic Writing ESL II"
60039: ENGL,"Basic Writing ESL Level III"
60040: ENGL,"Basic Writing ESL Living I"
60041: ENGL,"Basic Writing I"
60042: ENGL,"Basic Writing II"
60043: ENGL,"Basic Writing Tutor l"
60044: ENGL,"Basic Writing-ESL 3 T"
60045: ENGL,"Basic Writing-ESL II"
60046: ENGL,"Basic Writing-ESL III"
60047: ENGL,"Black Women Writers"
60048: ENGL,"Brit Poetry Fr 1900"
60049: ENGL,"Bsc Writ ESL Lev 1b"
60050: ENGL,"Bsc Writ ESL Levl IV"
60051: ENGL,"Bsc Wrtng ESL Lvl I"
60052: ENGL,"Bsc Wrtng ESL Lvl IV"
60053: ENGL,"Bus Press Covrg Pol"
60054: ENGL,"Bus/Fin Writing"
60055: ENGL,"Business Communication"
60056: ENGL,"Business and Financial Writing"
60057: ENGL,"Century Of Muckrakin"
60058: ENGL,"Chaucer"
60059: ENGL,"Children’s Literature"
60060: ENGL,"College Literacy"
60061: ENGL,"College Now: Page to Stage"
60062: ENGL,"Cont Drama: New Thea"
60063: ENGL,"Cont Lit Asia60064: ENGL,"Copy Editing"
60065: ENGL,"Corporations and Media"
60066: ENGL,"Covering Banking"
60067: ENGL,"Covering Economic Issues"
60068: ENGL,"Covering Labor and Management"
60069: ENGL,"Covering NYC Business"
60070: ENGL,"Covering Policy Issues"
60071: ENGL,"Covering Technology"
60072: ENGL,"Covering Wall Street"
60073: ENGL,"Covrng the Bus of Arts & Cult"
60074: ENGL,"Craft Of Poetry"
60075: ENGL,"Creative Journalism"
60076: ENGL,"Cs - Basic Wrtg Lv 1"
60077: ENGL,"Cs-Bsc Wrt ESL Level I"
60078: ENGL,"Currents Literary Expression"
60079: ENGL,"Currents in the Modern Novel"
60080: ENGL,"Documentary Film"
60081: ENGL,"Drama:Ibsen/Williams"
60082: ENGL,"Early English Literature"
60083: ENGL,"Early Modern Europe"
60084: ENGL,"Editing Business News"
60085: ENGL,"Elect Resource Writr"
60086: ENGL,"Elements Of Poetry"
60087: ENGL,"Engl Placement 0132"
60088: ENGL,"Engl Placement 2100"
60089: ENGL,"English Placement 0152"
60090: ENGL,"English Placement E0132"
60091: ENGL,"Environmental Reporting"
60092: ENGL,"Ethnic Literature"
60093: ENGL,"Evol of Amer Bus Press & Co"
60094: ENGL,"Feature Artcl Writng"
60095: ENGL,"Feature Article Writing"
60096: ENGL,"Fiction Workshop"
60097: ENGL,"Film and Literature"
60098: ENGL,"Fin/Acc Bas For Jour"
60099: ENGL,"Gothic Mysteries"
60100: ENGL,"Graphic Design Media"
60101: ENGL,"Great Works Lit II"
60102: ENGL,"Great Works Tutorial"
60103: ENGL,"Great Works of Literature I"
60104: ENGL,"Great Works of Literature II"
60105: ENGL,"Holocaust Literature"
60106: ENGL,"Hon - Lit & Psychology"
60107: ENGL,"Hon Craft Poetry"
60108: ENGL,"Hon Cur & Mod Novels"
60109: ENGL,"Hon Great Works of Lit I"
60110: ENGL,"Hon Jrn & Lit Imag"
60111: ENGL,"Hon Wrkshp Fict Writ"
60112: ENGL,"Honors - Creative Journalism"
60113: ENGL,"Honors - Shakespeare"
60114: ENGL,"Honors - Topics In Literature"
60115: ENGL,"Honors - Topics in Film"
60116: ENGL,"Honors - Topics in Shakespeare"
60117: ENGL,"Honors - Writing II"
60118: ENGL,"Honors Apprch Mod Crit"
60119: ENGL,"Honors English"
60120: ENGL,"Honors English II"
60121: ENGL,"Honors English III"
60122: ENGL,"Honors Great Works II"
60123: ENGL,"Honors Journalism Criticism"
60124: ENGL,"Honors Playwriting Works"
60125: ENGL,"Honors Program in English"
60126: ENGL,"Honors Writing I"
60127: ENGL,"Honors-English I"
60128: ENGL,"Honors: Sudden Fiction / Craft"
60129: ENGL,"Independent Study"
60130: ENGL,"Independent Study English I"
60131: ENGL,"Independent Study English II"
60132: ENGL,"Independent Study English III"
60133: ENGL,"Independent Study English IV"
60134: ENGL,"Internship Bus Journ"
60135: ENGL,"Intl Business Reporting"
60136: ENGL,"Intro to Science Wrtng"
60137: ENGL,"Introduction To Literary Studi"
60138: ENGL,"Invest Business Reporting"
60139: ENGL,"Investigative Reporting"
60140: ENGL,"Jewish American Lit"
60141: ENGL,"Jour Lit Imagination"
60142: ENGL,"Journal Writing"
60143: ENGL,"Journalism Internship"
60144: ENGL,"Journalistic Writing"
60145: ENGL,"Journstc Criticism"
60146: ENGL,"Law and Literature"
60147: ENGL,"Legal & Eth Iss in Bus Journal"
60148: ENGL,"Ling & Eng Grammars"
60149: ENGL,"Linguistics And Lang"
60150: ENGL,"Lit & Eco Perspectiv"
60151: ENGL,"Lit & Philo S. Asia"
60152: ENGL,"Lit Mov In Eng Lit I"
60153: ENGL,"Lit Mov In Eng Lt II"
60154: ENGL,"Lit of the Harlem Renaissance"
60155: ENGL,"Literary Theory"
60156: ENGL,"Literature and Globalization"
60157: ENGL,"Literature and Psychology"
60158: ENGL,"Literature for Young Adults"
60159: ENGL,"Lyrics as Literature"
60160: ENGL,"Maj Genr Eng/Cont Lt"
60161: ENGL,"Maj Top Rest & XVIII Cent Lit"
60162: ENGL,"Media Analysis"
60163: ENGL,"Media Analysis Comm"
60164: ENGL,"Media Ethics"
60165: ENGL,"Media Internship"
60166: ENGL,"Media Internship II"
60167: ENGL,"Medieval Literature"
60168: ENGL,"Medieval Romance"
60169: ENGL,"Milton"
60170: ENGL,"Mixed-Race Literature"
60171: ENGL,"Modern Irish Writers"
60172: ENGL,"Naked English"
60173: ENGL,"Narrative Writing"
60174: ENGL,"New Media Workshop"
60175: ENGL,"Oscar Wilde"
60176: ENGL,"Perspec Literary Int"
60177: ENGL,"Perspectives on the News"
60178: ENGL,"Photojournalism"
60179: ENGL,"Post Colonial Literature"
60180: ENGL,"Post-Colonial Literature"
60181: ENGL,"Radio Prog Prod&Mgt"
60182: ENGL,"Rdngs Queer Lit60183: ENGL,"Reading Workshop"
60184: ENGL,"Regional Literature"
60185: ENGL,"Renaissance Drama"
60186: ENGL,"Renaissance Literature: Nondr"
60187: ENGL,"Renaissance Poetry"
60188: ENGL,"Reptng In Cyberspace"
60189: ENGL,"Romanticism"
60190: ENGL,"Satire Through Ages"
60191: ENGL,"Science Communication"
60192: ENGL,"See English Advisor"
60193: ENGL,"Shakespeare"
60194: ENGL,"Srv Carib Ltt In Eng"
60195: ENGL,"Structure & History of English"
60196: ENGL,"Studies in American Poetry"
60197: ENGL,"Study Of Language"
60198: ENGL,"Stylistics"
60199: ENGL,"Sudden Fiction"
60200: ENGL,"Surv Afro Amer Lit"
60201: ENGL,"Surv American Lit II"
60202: ENGL,"Surv English Lit II"
60203: ENGL,"Survey American Literature I"
60204: ENGL,"Survey of English Literature I"
60205: ENGL,"Television Journalism Basics I"
60206: ENGL,"The American Novel"
60207: ENGL,"The American Short Story"
60208: ENGL,"The Art of Film"
60209: ENGL,"The Eighteenth-Century Novel"
60210: ENGL,"The Global Business of Lit"
60211: ENGL,"The Globalization of English"
60212: ENGL,"The Holocaust and Film"
60213: ENGL,"The Modern Short Novel"
60214: ENGL,"The Modern Short Story"
60215: ENGL,"Third World Lit"
60216: ENGL,"Tools for On-Line Journalism"
60217: ENGL,"Topics In Pol & Lit"
60218: ENGL,"Topics in Business Journalism"
60219: ENGL,"Topics in Film"
60220: ENGL,"Topics in Journalism"
60221: ENGL,"Topics in Language"
60222: ENGL,"Topics in Literature"
60223: ENGL,"Topics in Shakespeare"
60224: ENGL,"Trad/Infl African Am"
60225: ENGL,"Tutorial In Writing"
60226: ENGL,"Victorian Literature"
60227: ENGL,"Wkshp: Flm&Tv Wrtng"
60228: ENGL,"Women In Film"
60229: ENGL,"Women in Film"
60230: ENGL,"Women in Literature"
60231: ENGL,"Workshop: Fiction Writing"
60232: ENGL,"Workshop: Film Writing"
60233: ENGL,"Workshop: Playwriting"
60234: ENGL,"Writing I"
60235: ENGL,"Writing II"
60236: ENGL,"Written Eng Intl Bus"
60237: EVSC,"Air and Water Pollution"
60238: EVSC,"Animal Behavior"
