31215: ACCT,"Principles 1"
35158: EDCH,"Health Ed. for Yg. Child & Fam"
35159: EDCH,"Hist Found Spec Educ"
35160: EDCH,"Hm Sc Prtnrsp:Lit"
35161: EDCH,"How Child Learn Math Birth-2Gr"
35162: EDCH,"How Children Learn Math Gr 1-6"
35163: EDCH,"How Chldrn Lrn Math"
35164: EDCH,"Human Development and The Arts"
35165: EDCH,"In Defense Of Child"
35166: EDCH,"Inclsve Prctces Arts"
35167: EDCH,"Inclusive Practices for Gen Ed"
35168: EDCH,"Indep Study & Research Educat"
35169: EDCH,"Independent Study in Education"
35170: EDCH,"Inq Bilit-Bilng Ed"
35171: EDCH,"Inquiry in Education"
35172: EDCH,"Inquiry35173: EDCH,"Inquyry35174: EDCH,"Integ Curr-Soc Stud"
35175: EDCH,"Intern Biling Sp Ed"
35176: EDCH,"Intr Esl In Urb Schl"
35177: EDCH,"Intr Esl in Urb Schl"
35178: EDCH,"Intr Schls & Esol"
35179: EDCH,"Intrnshp Bilingual Spec Edu"
35180: EDCH,"Intro Physical Thtr"
35181: EDCH,"Intro To Teach Esl"
35182: EDCH,"Intro to Teach ESL"
35183: EDCH,"LOTE for TESOL"
35184: EDCH,"Lang Devlp & Lit 2"
35185: EDCH,"Lang-Arts in Chinese to Mult."
35186: EDCH,"Lang-Mind-Society"
35187: EDCH,"Language And Learning"
35188: EDCH,"Linguistics for Teachers"
35189: EDCH,"Lit Inq Prc: 5-12"
35190: EDCH,"Lit Inq Prc: B-6"
35191: EDCH,"Lit Strat & Rsrcs Across Curr"
35192: EDCH,"Lit Strat: Birth-6"
35193: EDCH,"Lit Strat: Resrc Cnt"
35194: EDCH,"Lit Strug Rdrs-Wrtrs"
35195: EDCH,"Lit-As-Lrng-Tch 5-12"
35196: EDCH,"Lit-As-Lrng-Tch B-6"
35197: EDCH,"Lit:Fluent To Exper"
35198: EDCH,"Literacy Res Sem 2"
35199: EDCH,"Literacy Res Sem 3"
35200: EDCH,"Literacy Res Sem 4"
35201: EDCH,"Literacy Research Seminar II"
35202: EDCH,"Literacy Research Seminar IV"
35203: EDCH,"Literacy and the Arts"
35204: EDCH,"Literacy:Fluent to Experienced"
35205: EDCH,"Lng & Lit Dv Yng Chl"
35206: EDCH,"Lng & Rd Spn Bln Ed"
35207: EDCH,"Lng Min Fam & Sp Ed"
35208: EDCH,"Managing Environ Yc"
35209: EDCH,"Masks in the Classroom"
35210: EDCH,"Mat Flex Indvdl Cur"
35211: EDCH,"Math For Tch Pre-K-6"
35212: EDCH,"Math For Teachers"
35213: EDCH,"Math Inq Digital Environment"
35214: EDCH,"Math Know Birth-Gr 6"
35215: EDCH,"Meth Teach Span Sec"
35216: EDCH,"Methods Teachng Esl"
35217: EDCH,"Mindfulness in the Arts"
35218: EDCH,"Mng Env for Yng Chld SN"
35219: EDCH,"Multi-Cultural Education"
35220: EDCH,"Multicultural Education"
35221: EDCH,"Music Mvmnt Yng Chldrn"
35222: EDCH,"Neg Curr-Matrls 5-12"
35223: EDCH,"Neg Curr-Matrls B-6"
35224: EDCH,"Nontraditional Arts Curriculum"
35225: EDCH,"Obs-Rec Yn Ch Dv Cls"
35226: EDCH,"Obsrv Chldrn & Devl"
35227: EDCH,"Parent-Child-School"
35228: EDCH,"Performing Tya"
35229: EDCH,"Planning Thtre Ntra"
35230: EDCH,"Positive Behav Suppo"
35231: EDCH,"Positive Behavioral Support"
35232: EDCH,"Pr Tch Sec Lng Mx Lv"
35233: EDCH,"Practcm-Tesol-Elem"
35234: EDCH,"Practcm-Tesol-Sec"
35235: EDCH,"Practicum I in TESOL"
35236: EDCH,"Practicum II in TESOL"
35237: EDCH,"Practicum In Childhood Educ"
35238: EDCH,"Practicum in Adult TESOL"
35239: EDCH,"Practicum-Childh Ed"
35240: EDCH,"Prblm With Salvadori"
35241: EDCH,"Prct Tch Blng Sp Ed"
35242: EDCH,"Preparing Stu Bus Th"
35243: EDCH,"Problems Ece"
35244: EDCH,"Problems Elem Ed"
35245: EDCH,"Problems Elem Ed	"
35246: EDCH,"Psyc Socio Lin Bln Edu"
35247: EDCH,"Puppetry And Masks"
35248: EDCH,"Research Seminar 2"
35249: EDCH,"Research into Teaching: TESOL"
35250: EDCH,"Research: Bilingual Education"
35251: EDCH,"Rsch Sem 2 Ed Thtr"
35252: EDCH,"Sch Family&Community"
35253: EDCH,"Schl Amer Soc Blng"
35254: EDCH,"School-Family-Comm"
35255: EDCH,"Sci Inq Pre-K-6"
35256: EDCH,"Sci Tchr:Prf Dv Res"
35257: EDCH,"Science Early Child"
35258: EDCH,"Sem Biling Chldhd Ed"
35259: EDCH,"Sem Bilng Child Educ"
35260: EDCH,"Sem In Ed Research"
35261: EDCH,"Sem Teach Edu Theatr"
35262: EDCH,"Sem in Teaching in Arts"
35263: EDCH,"Seminar in Childhood Education"
35264: EDCH,"Seminar in TESOL"
35265: EDCH,"Seminar in Teaching in the Art"
35266: EDCH,"Shakespeare in the Classroom"
35267: EDCH,"Soc St Inq Pre-K-6"
35268: EDCH,"Soc Studies In Ece"
35269: EDCH,"Social Media Classrm"
35270: EDCH,"Social Stud Chld Ed"
35271: EDCH,"Social Stud In Ece"
35272: EDCH,"Sp Tpcs Educ Theatre"
35273: EDCH,"Spanish Bilingual Education"
35274: EDCH,"Spanish in Bilingual Education"
35275: EDCH,"Special Topics Ed Th"
35276: EDCH,"Special Topics in Educ Thtr"
35277: EDCH,"Sprvsd Tch/Sem Ece"
35278: EDCH,"Spv Tch Che 2 & Sem"
35279: EDCH,"Spv Tch In Child Ed 1 Smnr"
35280: EDCH,"Std Tch Tesol:Prek-12"
35281: EDCH,"Stdt Tch Bilng Ed"
35282: EDCH,"Stu Tchng: Childhood Education"
35283: EDCH,"Stud Superv Tchng in Arts 7-12"
35284: EDCH,"Stud Tch Blng Ch Ed"
35285: EDCH,"Stud Tch Che 1 & Sem"
35286: EDCH,"Stud Tch Che 2 & Sem"
35287: EDCH,"Stud Tch Tesol 7-12"
35288: EDCH,"Stud Tch-Sem Ece 1"
35289: EDCH,"Stud Tch-Sem Ece 2"
35290: EDCH,"Stud/Super Teach K-6"
35291: EDCH,"Student Teaching in Childhood"
35292: EDCH,"Student/Supervised Teaching"
35293: EDCH,"Supervised Tchng K-5"
35294: EDCH,"Suprvised Tchng 6-12"
35295: EDCH,"Supv Prcticm n Sem Erly Chldhd"
35296: EDCH,"Tch Art/Crft Chl Ed"
35297: EDCH,"Tch Ell Thru Theater"
35298: EDCH,"Tch Eng Oth II (7-12)"
35299: EDCH,"Tch Eng Secnd Lang"
35300: EDCH,"Tch Lng-Arts-in Spa to Mult St"
35301: EDCH,"Tch Rdng In Chinese"
35302: EDCH,"Tchg Ela To Ell 7-Ad"
35303: EDCH,"Tchg Ela To Ells P-6"
35304: EDCH,"Tchng Eng Non-Spkrs Grds (K-6)"
35305: EDCH,"Tchng Frgn Lngs Elem Edu"
35306: EDCH,"Tchng Lang Rdg Haitian"
35307: EDCH,"Tchng Lit Thru Drama"
35308: EDCH,"Teach Fellow In Bilgl Chld Edu"
35309: EDCH,"Teach for America and Alternat"
35310: EDCH,"Teacher As Designer"
35311: EDCH,"Teaching Content (Math35312: EDCH,"Teaching Content Math35313: EDCH,"Teaching English"
35314: EDCH,"Teaching Literacy Through Dram"
35315: EDCH,"Teaching Multilingual Learners"
35316: EDCH,"Tec Lit Inst B-6"
35317: EDCH,"Tech & Literacy Instruction"
35318: EDCH,"Tech Lit Instr 5-12"
35319: EDCH,"The Differentiated Classroom"
35320: EDCH,"Theater in the Classroom"
35321: EDCH,"Theatre For Youth"
35322: EDCH,"Theatre for the Very Young"
35323: EDCH,"Theories35324: EDCH,"Theory Sec Lng Acq"
35325: EDCH,"Thinking With Chess"
35326: EDCH,"Thtr Perf Audnc K-12"
35327: EDCH,"Topics In Ece Sp Ed"
35328: EDCH,"Trnds Iss Ed Theater"
35329: EDCH,"Working with Children & Family"
35330: EDCH,"Writing For Teachers"
35331: EDCH,"Writing Workshop Bilingual ESL"
35332: EDCH,"Writng Wkshp Bil Esl"
35333: EDCH,"Wrkng Prnts Stdnts Dsblty"
35334: EDCM,"Indpnt Study:Rsrch In Chem"
35335: EDCM,"Modern Concepts in Chemistry I"
35336: EDEC,"2nd Lang Acquistin"
35337: EDEC,"Adv Pract In Read"
35338: EDEC,"Adv Psy Field Wrk 1"
35339: EDEC,"Advocacy Chld Abuse"
35340: EDEC,"Affective Develpmnt"
35341: EDEC,"Affectng Legislatn"
35342: EDEC,"Anthro & Urban Educ"
35343: EDEC,"Art In Ece"
35344: EDEC,"Art Methods Ece"
35345: EDEC,"Art-Exspv Act Ece 2"
35346: EDEC,"Artistic Lrng Meth"
35347: EDEC,"Beginnings Of Rdg"
35348: EDEC,"Bld Strngths"
35349: EDEC,"Bld Strngths Chldrn"
35350: EDEC,"Bldg Strngth Chldrn"
35351: EDEC,"Bln Tch Convrs Span"
35352: EDEC,"Blng Ed Haitn Studs"
35353: EDEC,"Blng Lang Arts Rdg"
35354: EDEC,"C & T Emot Dist 1"
35355: EDEC,"C&T Hispn Blng Ed 1"
35356: EDEC,"C&T Hispn Blng Ed 2"
35357: EDEC,"Child Develpmnt"
35358: EDEC,"Chld & Adol Develop"
35359: EDEC,"Chld & Adol Dvlpmnt"
35360: EDEC,"Chld Behav Classrm"
35361: EDEC,"City Sci Natr Env 1"
35362: EDEC,"City Sci Natr Env 2"
35363: EDEC,"Clssrm Mainstrmng"
35364: EDEC,"Cmctn Skls Blngl Ed"
35365: EDEC,"Cmftbl Phys Wkshp 2"
35366: EDEC,"Cntmp Prob Bilng Ed"
35367: EDEC,"Cognitive Develpmnt"
35368: EDEC,"Constructivist Math"
35369: EDEC,"Cont Res Biling Ed"
35370: EDEC,"Cont Res Elem Ed"
35371: EDEC,"Cont Res In Rdg"
35372: EDEC,"Cont Research Sem"
35373: EDEC,"Contr Ling Blngl Ed"
35374: EDEC,"Contrastive Grammar"
35375: EDEC,"Contrastv Grammar"
35376: EDEC,"Contrstv Phonology"
35377: EDEC,"Creative Exprsn Ece"
35378: EDEC,"Creatv Cnflct Resol"
35379: EDEC,"Crit Rsrch Lang Art"
35380: EDEC,"Crmd Student Tchg 1"
35381: EDEC,"Crmd Student Tchg 2"
35382: EDEC,"Crtcl Issue Rd Inst"
35383: EDEC,"Crtv Expr-Sci & Mth"
35384: EDEC,"Cty Sci Hum Envr 1"
35385: EDEC,"Cty Sci Hum Envr 2"
35386: EDEC,"Cult & Art Dom Rep"
35387: EDEC,"Cultur Thru Dance 2"
35388: EDEC,"Cur & Tchg Crmd 1"
35389: EDEC,"Cur & Tchg Crmd 2"
35390: EDEC,"Cur & Tchg E Chld 1"
35391: EDEC,"Cur & Tchg E Chld 2"
35392: EDEC,"Cur & Tchg El Sch 1"
35393: EDEC,"Cur & Tchg El Sch 2"
35394: EDEC,"Cur & Tchg Sp Ed 2"
35395: EDEC,"Cur Devel El Ed 1"
35396: EDEC,"Cur Devel El Ed 2"
35397: EDEC,"Curr Enrch Chld Lit"
35398: EDEC,"Curr Teach Sem"
35399: EDEC,"Curric Emot Dist"
35400: EDEC,"Curric-Bilt Envir 2"
35401: EDEC,"Day Care Prg Plan"
35402: EDEC,"Dev Eval Mat Bln Ed"
35403: EDEC,"Devlp Adj Early Ch"
35404: EDEC,"Diag Treat Read Dis"
35405: EDEC,"Dialect Lang In Scl"
35406: EDEC,"Dvers Countrng Bias"
35407: EDEC,"Dvl Vw Chl Lrn Math"
35408: EDEC,"Dvlpg Chlds Compreh"
35409: EDEC,"Ece Rog & Lang Arts"
35410: EDEC,"Ece Student Tchg 1"
35411: EDEC,"Ece Student Tchg 2"
35412: EDEC,"Ed Psy 1 Field Work"
35413: EDEC,"Ed Psy 2 Field Work"
35414: EDEC,"Educ Environments"
35415: EDEC,"Effective Engl Skls"
35416: EDEC,"El Int Environ Stdy"
35417: EDEC,"El Sc Restruc Ds6 1"
35418: EDEC,"El Sc Tchr Training"
35419: EDEC,"El Sci Restrctrng 2"
35420: EDEC,"El Sci Restrctrng 4"
35421: EDEC,"El Sci Tchr Trng 2"
35422: EDEC,"Elem Sci Inquiry"
35423: EDEC,"Elem Student Tchg 1"
35424: EDEC,"Elem Student Tchg 2"
35425: EDEC,"Emot Dist St Tch 1"
35426: EDEC,"Enhancing Literatur"
35427: EDEC,"Ethncty-Chld Advcy"
35428: EDEC,"Ethnic Cur In Rdg"
35429: EDEC,"Exceptional Child"
35430: EDEC,"Finding Rdg Materls"
35431: EDEC,"Fld Pr Read Splst 1"
35432: EDEC,"Fld Pr Read Splst 2"
35433: EDEC,"Focus Inquiry In Ed"
35434: EDEC,"Foundat Of Rdg"
35435: EDEC,"Foundtns Of Lang"
35436: EDEC,"Foundtns Of Lnguage"
35437: EDEC,"Haitn Cltr Thru Lit"
35438: EDEC,"Health & Sickness"
35439: EDEC,"Hispn Blng St Tch 1"
35440: EDEC,"Hispn Blng St Tch 2"
35441: EDEC,"Hlistc App Tch Math"
35442: EDEC,"Holistic Sci Biling"
35443: EDEC,"How Chldrn Lrn Math"
35444: EDEC,"Hum Lrng & Instrctn"
35445: EDEC,"Humanst Tech In Esl"
35446: EDEC,"In Service Training"
35447: EDEC,"Independent Study"
35448: EDEC,"Indiv Res Cur Tch 1"
35449: EDEC,"Indiv Res Cur Tch 2"
35450: EDEC,"Indiv Stud Res Ed"
35451: EDEC,"Indiv Study Ed Res"
35452: EDEC,"Indv Inst Clsrm K-6"
35453: EDEC,"Indvidlzng Rdg Prog"
35454: EDEC,"Inquiry Approach Sc"
35455: EDEC,"Inquiry Biling Ed"
35456: EDEC,"Inquiry In Elem Ed"
35457: EDEC,"Inqy In Mid Schls 1"
35458: EDEC,"Inqy In Mid Schls 2"
35459: EDEC,"Intgr Math Blng Cur"
35460: EDEC,"Intgrat Sci Bln Cur"
35461: EDEC,"Intr Logo Comp Lang"
35462: EDEC,"Intro Ed Rsrch"
35463: EDEC,"Intro Inqry In Ece"
35464: EDEC,"Intro To Education"
35465: EDEC,"Intrvwng Hirng Frng"
35466: EDEC,"Issues In Tchg Esl"
35467: EDEC,"Lang Arts Bilng Scl"
35468: EDEC,"Lang Arts In El Scl"
35469: EDEC,"Lang Development"
35470: EDEC,"Lang Lrng Math 3"
35471: EDEC,"Lang Lrng Sci 4"
35472: EDEC,"Language Arts Ece"
35473: EDEC,"Linguistcs Bilngism"
35474: EDEC,"Lit & Story Telling"
35475: EDEC,"Lit Stry Tellng Ed"
35476: EDEC,"Lng & Rd Spn Bln Ed"
35477: EDEC,"Lng For Dev Skls N3"
35478: EDEC,"Lng Rdg Htn Bln Ed"
35479: EDEC,"Logic Math Prin Bln"
35480: EDEC,"Long Term Planning"
35481: EDEC,"Mat Devel Biling Ed"
35482: EDEC,"Mat Flex Indvdl Cur"
35483: EDEC,"Math & Science Meth"
35484: EDEC,"Math Envir In Clsrm"
35485: EDEC,"Math In Ece"
35486: EDEC,"Math-Sci-Tec Cur Dv"
35487: EDEC,"Math-Sci-Tech:El Sc"
35488: EDEC,"Meth Mat Tch El P E"
35489: EDEC,"Meth Of Tch In Ecei"
35490: EDEC,"Mini Cmptrs Bln Ed1"
35491: EDEC,"Mini Cmptrs Bln Ed2"
35492: EDEC,"Mnstrm:Env-Org Adap"
35493: EDEC,"Mth Tch Math El Scl"
35494: EDEC,"Mth-Sc-Tec Cur Dv 2"
35495: EDEC,"Music Methods Ece"
35496: EDEC,"Needs Assessmnt Sup"
35497: EDEC,"Nutrition"
35498: EDEC,"Obs Assessmnt Rcrdg"
35499: EDEC,"Parent-Child-School"
35500: EDEC,"Parents In Chld Rdg"
35501: EDEC,"Phlsphy Blng Curr 2"
35502: EDEC,"Physical Developmnt"
35503: EDEC,"Practic Rem Read"
35504: EDEC,"Practic Rem Read 1"
35505: EDEC,"Practic Rem Read 2"
35506: EDEC,"Practicum:Biling Ed"
35507: EDEC,"Prgm-Cur:Ece Drctrs"
35508: EDEC,"Probl Indiv Inst"
35509: EDEC,"Problems Ece"
35510: EDEC,"Problems Elem Ed"
35511: EDEC,"Prog Curric Ece 1"
35512: EDEC,"Prog Curric Ece 2"
35513: EDEC,"Prog Planning Ece"
35514: EDEC,"Prov Math Env Clsrm"
35515: EDEC,"Psy & Ed Emot Dist"
35516: EDEC,"Psych Lrng & Tchg"
35517: EDEC,"Rcnstrctng Mth Ed 1"
35518: EDEC,"Rdg Actv Erly Grade"
35519: EDEC,"Rdg Games Ec N-3"
35520: EDEC,"Rdg Psyling Prspctv"
35521: EDEC,"Rdng/Wrtng Elem Sch"
35522: EDEC,"Real Wrld Mathmatcs"
35523: EDEC,"Reluctnt Rdr Stratg"
35524: EDEC,"Rights & Ethnicity"
35525: EDEC,"Schl Age Programs 1"
35526: EDEC,"Schl Age Programs 2"
35527: EDEC,"Schl Amer Soc Blng"
35528: EDEC,"Schl In Amer Soc"
35529: EDEC,"Sci In Elem Educ 2"
35530: EDEC,"Sci Inquiry Methods"
35531: EDEC,"Sci Inquiry Wkshp"
35532: EDEC,"Sci Instr Bil Ed"
35533: EDEC,"Sci Prog In Elem Sc"
35534: EDEC,"Sci Wksp:Blt Env 1"
35535: EDEC,"Sci Wksp:Blt Env 2"
35536: EDEC,"Science In Ece"
35537: EDEC,"Science In Ece 2"
35538: EDEC,"Science In Elem Ed"
35539: EDEC,"Scl Com:Rsc Fr Inqy"
35540: EDEC,"Scl In Amer Society"
35541: EDEC,"Selctn Devl Rdg Mat"
35542: EDEC,"Sem Blng Comunty Ed"
35543: EDEC,"Sem Communty Ed 2"
35544: EDEC,"Sem In Ed Research"
35545: EDEC,"Seminar Communty Ed"
35546: EDEC,"Soc Std El Int Sch"
35547: EDEC,"Social Development"
35548: EDEC,"Spcl Student Tchg 2"
35549: EDEC,"Surv Except Chldrn"
35550: EDEC,"Survey Develop Read"
35551: EDEC,"Tch At Risk Child 1"
35552: EDEC,"Tch At Risk Child 2"
35553: EDEC,"Tch At Risk Child 3"
35554: EDEC,"Tch Bln Cmnty Agncy"
35555: EDEC,"Tch Bln Lng Art Rdg"
35556: EDEC,"Tch Blng Agency 1"
35557: EDEC,"Tch Pract Biling 1"
35558: EDEC,"Tch Rd Lng Art Ece"
35559: EDEC,"Tch Rd-Rel Lng Els"
35560: EDEC,"Tch Rdg Thru Writng"
35561: EDEC,"Tch Read Blng Chl 1"
35562: EDEC,"Tch Read Elem Sch"
35563: EDEC,"Tch-Rdg In Chinese"
35564: EDEC,"Tchg Esl To Adults"
35565: EDEC,"Tchg Pract Biling 2"
35566: EDEC,"Tchg Pract Ece 1"
35567: EDEC,"Tchg Pract Ece 2"
35568: EDEC,"Tchg Pract El Ed 1"
35569: EDEC,"Tchg Pract El Ed 2"
35570: EDEC,"Tchg Rdg In Spanish"
35571: EDEC,"Tchg-Writing Span"
35572: EDEC,"Tchng Engl Sec Lang"
35573: EDEC,"Tchng Reading Ece"
35574: EDEC,"Teach Strategies 1"
35575: EDEC,"Teach Strategies 2"
35576: EDEC,"Teacher Researcher"
35577: EDEC,"Teaching Of Reading"
35578: EDEC,"Theory Knldg Bln Ed"
35579: EDEC,"Using Cmptrs Ece"
35580: EDEC,"Usng Logo El Curric"
35581: EDEC,"Wkp:Pdgogy-Bylt Env"
35582: EDEC,"Wksp/Sem Day Cre Ed"
35583: EDEC,"Wksp/Sm Day Cr Ed 2"
35584: EDEC,"Wksp:Ped-Nat Envr 2"
35585: EDEC,"Wksp:Pedag-Nat Env"
35586: EDEC,"Workshop Practicum"
35587: EDEC,"Wrt Cur:Hum Env 1"
35588: EDEC,"Wrt Cur:Hum Env 2"
35589: EDEE,"Indpnt Stud:Rsrch Eas"
35590: EDEE,"Introduction To Meteorology"
35591: EDEE,"Meteorology"
35592: EDEE,"Physical Climatology"
35593: EDEE,"The Ocean Environment"
35594: EDEE,"Weather Prediction"
35595: EDEN,"Adv Topics Ela Cont"
35596: EDEN,"Chld-Adol Amer Fict"
35597: EDEN,"Creative Writing"
35598: EDEN,"Criticism & Appreciat Poetry"
35599: EDEN,"Modern Short Story"
35600: EDEN,"Rdg Non-Fict Info Txts"
35601: EDEN,"Reading Nonfiction Texts"
35602: EDEN,"Structure & Growth: Engl Lang"
35603: EDEN,"The Adolescent In Literature"
35604: EDEN,"The Fundamentals Of English"
35605: EDEN,"The Short Novel"
35606: EDEN,"The Technique of Poetry"
35607: EDEO,"Comparative Economic Systems"
35608: EDEO,"Inpdnt Stud:Rsrch Economics"
35609: EDHI,"African-American Hist to 1865"
35610: EDHI,"Afro Amer Hist Snc 1865"
35611: EDHI,"Amer Soc & Cul Hist 1865"
35612: EDHI,"Amer Soc & Cul Hist Snc 1865"
35613: EDHI,"Ethn Ptrn New Immig"
35614: EDHI,"Ethnc Patt:Old Imm In Am Hist"
35615: EDHI,"Euro Soc & Cul Hist"
35616: EDHI,"Historic Methods&Historiograph"
35617: EDHI,"Historical Method"
35618: EDHI,"History Of China & Japan"
35619: EDHI,"Indpnt Stud: History"
35620: EDHI,"Modern Latin America"
35621: EDHI,"Prob Amer Hist 19--"
35622: EDHI,"Rec Eur Soc & Cult Hist"
35623: EDHI,"The Modern Far East"
35624: EDHI,"The Renaissance"
35625: EDHI,"Us In World Affairs"
35626: EDLE,"Adm/Supv Early Childhood"
35627: EDLE,"Adm/Supv Sp Prog/Dpt"
35628: EDLE,"Administration of Special Educ"
35629: EDLE,"Adult Education"
35630: EDLE,"Adv Prb Sm Urb Educ Admin"
35631: EDLE,"Adv Seminar Ed Org Dvpmt"
35632: EDLE,"App Challenging Beh"
35633: EDLE,"App Literacy 1 7-12"
35634: EDLE,"App Literacy 1 Ch Ed"
35635: EDLE,"App Literacy 2 7-12"
35636: EDLE,"App Literacy 2 Ch E"
35637: EDLE,"Assessing Educational Needs"
35638: EDLE,"Bld Com Inclus Cntxt"
35639: EDLE,"Build Comm in Inclusive Contex"
35640: EDLE,"Comp App School Admin"
35641: EDLE,"Content Res Sem Educ Admin"
35642: EDLE,"Critiq Rsrch Edu Admin Superv"
35643: EDLE,"Curr Devl Spv 2"
35644: EDLE,"Curric Devleopment/Supervis I"
35645: EDLE,"Curriculum Development"
35646: EDLE,"Dev Programs for Non-Profit"
35647: EDLE,"Dev. Programs for NPOs"
35648: EDLE,"Developing Programs for NPOs"
35649: EDLE,"Different Ins 1 7-12"
35650: EDLE,"Different Ins 1 Ch E"
35651: EDLE,"Different Ins 2 Ch E"
35652: EDLE,"Different Ins 2 Mce"
35653: EDLE,"Disability Stud Ch E"
35654: EDLE,"Disability Stud M Ce"
35655: EDLE,"Disability-Schls-Soc"
35656: EDLE,"District Leader Internship & S"
35657: EDLE,"Dynamics Educ Org"
35658: EDLE,"Ed Systm Problm Slv"
35659: EDLE,"Educ Lang Min Stud Disabl"
35660: EDLE,"Educ Pol School Admin"
35661: EDLE,"Field Prob Se:Ed Ldr"
35662: EDLE,"Found Educ Pol Mkng"
35663: EDLE,"Identity and Disability"
35664: EDLE,"Ind Res Ed Ad Sup"
35665: EDLE,"Inst. Lead. in STEM"
35666: EDLE,"Instr Chng Ed:Admin"
35667: EDLE,"Instruc. Leader. in Mathematic"
35668: EDLE,"Instructional Leadership"
35669: EDLE,"Internship & Seminar"
35670: EDLE,"Internship and Seminar II"
35671: EDLE,"Intrn Spec Ed 1"
35672: EDLE,"Intro Inclusive Educ"
35673: EDLE,"Intro To Inclusve Ed"
35674: EDLE,"Ldrshp At Dist Level"
35675: EDLE,"Leadership in Education I"
35676: EDLE,"Leadership in Education II"
35677: EDLE,"Lng Min Fam & Sp Ed"
35678: EDLE,"Management Of Schools"
35679: EDLE,"Mngmnt & Orgnzational Ldrshp"
35680: EDLE,"Moral Dimensions of Leadership"
35681: EDLE,"Org Dvpt In Educ Admin"
35682: EDLE,"Prct Tch In Spec Ed"
35683: EDLE,"Res Sem Spec Ed"
35684: EDLE,"Rsch/Ass Sem:Edls"
35685: EDLE,"Schl Business Mgmt Budgeting"
35686: EDLE,"Schl Law & Admin"
35687: EDLE,"School Fin Eco Pub Educ"
35688: EDLE,"School Law"
35689: EDLE,"School Management"
35690: EDLE,"School Personnel I"
35691: EDLE,"School Personnel Ii"
35692: EDLE,"School-Community Building"
35693: EDLE,"School-Public Relations"
35694: EDLE,"Scl-Soc:Hst-Phl-Soc"
35695: EDLE,"Sem In Ed Research"
35696: EDLE,"Soc Respon Polit Edu"
35697: EDLE,"Soc Respon-Pol-Educ"
35698: EDLE,"Survy Probs Educ Admin"
35699: EDMA,"Advanced Calculus"
35700: EDMA,"Advanced Euclidean Geometry"
35701: EDMA,"Algebra Hs Teachers"
35702: EDMA,"Algebra Math Tch"
35703: EDMA,"Algebra: High School Teachers"
35704: EDMA,"Clsc App Calculus 1"
35705: EDMA,"Connections to Advanced Calcul"
35706: EDMA,"Data Anal M S Math"
35707: EDMA,"Data Analysis35708: EDMA,"Found In Alg & Geo"
35709: EDMA,"Foundations  Of Geometry"
35710: EDMA,"Foundations Of Geometry"
35711: EDMA,"Fund Cncpts Mod Mth"
35712: EDMA,"Fundamental Ideas of Calculus"
35713: EDMA,"Fundamental Math for Teachers"
35714: EDMA,"Gaudi and Geometry"
35715: EDMA,"Geometry H.S. Teach"
35716: EDMA,"Geometry for MS Teachers"
35717: EDMA,"HS Math for adv perspective"
35718: EDMA,"HS Math from Advanced Perspect"
35719: EDMA,"High School Math From Adv Pers"
35720: EDMA,"Indpt Study Resrch Math"
35721: EDMA,"Intro Discrete Math"
35722: EDMA,"Intro To Math Think"
35723: EDMA,"Introduction to Lie Groups"
35724: EDMA,"Linear Algebra"
35725: EDMA,"Math Appl Sci-Ind"
35726: EDMA,"Math Found Alg-Geom"
35727: EDMA,"Math Found Algebra-Geometry"
35728: EDMA,"Math Model For Tchrs"
35729: EDMA,"Mathematical Computer Software"
35730: EDMA,"Mathematical Statistics"
35731: EDMA,"Modeling with Algeb and Trig"
35732: EDMA,"Modern Algebra"
35733: EDMA,"Numerical Analysis"
35734: EDMA,"Probability"
35735: EDMA,"Problem Solving in Mathematics"
35736: EDMA,"Ratn Num Pro Reason"
35737: EDMA,"Sch Math Adv St Dpt"
35738: EDMA,"The History Of Mathematics"
35739: EDMA,"Theory of Numbers"
35740: EDMA,"Topics in Higher Algebra"
35741: EDMA,"Topology"
35742: EDMA,"Transformational Geometry"
35743: EDPH,"Activities"
35744: EDPH,"Adv Weight Training"
35745: EDPH,"Basketball"
35746: EDPH,"Beginning Skiing"
35747: EDPH,"Campng-Back Packing"
35748: EDPH,"Dev Knowledge Phys 2"
35749: EDPH,"Dev Of Know Phys 1"
35750: EDPH,"Indep Stdy & Rsrch Physics"
35751: EDPH,"Independent Study"
35752: EDPH,"Intermediate Skiing"
35753: EDPH,"Ldrship In Aquatics"
35754: EDPH,"Leadership In Aquat"
35755: EDPH,"Learn To Swim"
35756: EDPH,"Life Saving"
35757: EDPH,"Modern Concepts in Physics I"
35758: EDPH,"P E For Elem School"
35759: EDPH,"Physical Fitness"
35760: EDPH,"Sci Of Motor Lrng"
35761: EDPH,"Understanding Electricity & Ma"
35762: EDPH,"Weight Training"
35763: EDPH,"Wrestling"
35764: EDSA,"Adv Comp & Expression"
35765: EDSA,"Advanced Spanish Grammar"
35766: EDSA,"Advanced Spanish Phonetics"
35767: EDSA,"Civilizations Of Latin America"
35768: EDSA,"Ind Study & Res Span"
35769: EDSA,"Span & Spn-Am Poetry"
35770: EDSA,"Spanish Civilization"
35771: EDSC,"Aerospace Science"
35772: EDSC,"Devlpmt of Knowledge in Physic"
35773: EDSC,"Environmental Chemistry"
35774: EDSC,"Environmental Energetics"
35775: EDSC,"Environmental Systems Science"
35776: EDSC,"Exploration of Non-Formal Lear"
35777: EDSC,"GlobalCUNY: International Rese"
