62689: ACCT,"Advanced Federal Taxation"
63368: ENGL,"Drama"
63369: ENGL,"ENG Integ Studies Seminar"
63370: ENGL,"Eng 2 for Spa Speaker"
63371: ENGL,"Eng 4/ Native Spkrs"
63372: ENGL,"English German Speaker"
63373: ENGL,"English III / Native Speakers"
63374: ENGL,"English Tutorial"
63375: ENGL,"Explore Literary NY"
63376: ENGL,"Fluency Read/Write"
63377: ENGL,"Fndtn Coll Lev Writ"
63378: ENGL,"Found College Level Rdng"
63379: ENGL,"Gothic and Horror Fiction"
63380: ENGL,"IS Adv Research Techiques"
63381: ENGL,"IS Colonial Lit"
63382: ENGL,"IS Creative Writing Poetry"
63383: ENGL,"IS Faulkner & Lit/South"
63384: ENGL,"IS Image of Italy"
63385: ENGL,"IS Lit Them"
63386: ENGL,"IS Mod European Lit"
63387: ENGL,"IS Natnal Cinema Italy"
63388: ENGL,"IS Prep for Tutoring"
63389: ENGL,"IS Roman Writ In Trans"
63390: ENGL,"IS Write Improvement"
63391: ENGL,"IS in Eng Literature"
63392: ENGL,"Independent Study"
63393: ENGL,"Integrative Language Seminar"
63394: ENGL,"Intens Prep ACT"
63395: ENGL,"Intensive Reading"
63396: ENGL,"Intensive Writing 1"
63397: ENGL,"Intensive Writing 2"
63398: ENGL,"Intro to Creative Writing"
63399: ENGL,"Intro to Literary Studies"
63400: ENGL,"Introduction to Literature"
63401: ENGL,"Literature and Film"
63402: ENGL,"Literature and Psychology"
63403: ENGL,"Modern European Literature"
63404: ENGL,"Overseas in Greece"
63405: ENGL,"Poetry"
63406: ENGL,"Prep - CUNY Reading"
63407: ENGL,"Prep CUNY Writing Test"
63408: ENGL,"Read/Keep Journals"
63409: ENGL,"Reading Comprehension & Speed"
63410: ENGL,"Roots of African-American Lit"
63411: ENGL,"Science Fiction"
63412: ENGL,"Sexuality and Literature"
63413: ENGL,"Shakespeare Survey"
63414: ENGL,"Short Fiction"
63415: ENGL,"The Novel"
63416: ENGL,"The Outsider in Cont"
63417: ENGL,"Themes in Amer Lit I"
63418: ENGL,"Themes in Americ Literature II"
63419: ENGL,"Violence in Am Lit & Vis Cult"
63420: ENGL,"Women and Literature"
63421: ENGL,"World Literature"
63422: ENSL,"Accelerated Academic ESL 1"
63423: ENSL,"Accelerated Academic ESL 2"
63424: ENSL,"Accelerated Academic Esl"
63425: ENSL,"Basic Read & Wrtg for Stu ESL"
63426: ENSL,"Corr Writing Skills"
63427: ENSL,"Fluency Reading/Writ"
63428: ENSL,"Fndtn Coll Lev Read"
63429: ENSL,"Fndtn Coll Lev Write"
63430: ENSL,"Fndtn Coll R/W ESL 1"
63431: ENSL,"Fndtn Coll R/W ESL 2"
63432: ENSL,"Independent Study in ESL"
63433: ENSL,"Independent Study: ESL"
63434: ENSL,"Intermediate R/W ESL"
63435: ENSL,"Is Fndtn College Wrt"
63436: ENSL,"Is In Esl"
63437: ENSL,"Skill Improvement in ESL"
63438: EXSC,"Exercise Leadership Seminar"
63439: EXSC,"Exercuse63440: EXSC,"Fitness Assess & Progam Design"
63441: EXSC,"Fld Exp in Exercise Sci"
63442: EXSC,"Health Risk Appraisal"
63443: EXSC,"IS Exercise Science"
63444: EXSC,"IS Field Experience"
63445: EXSC,"IS Fit Assess & Exs"
63446: EXSC,"IS Fitness Asses & Prgm Design"
63447: EXSC,"IS Health Risk Appraisal"
63448: EXSC,"IS Kinesiology of Exercise"
63449: EXSC,"IS Lifetime Strength & Flex Tr"
63450: EXSC,"IS Physiology of Exercise"
63451: EXSC,"Intro Personal Training"
63452: EXSC,"Intro to Exercise Science"
63453: EXSC,"Kinesiology of Exercise"
63454: EXSC,"Lifetime Strength & Flex Train"
63455: EXSC,"Physiology of Exercise"
63456: FADE,"Advanced CAD for Fashion Desgn"
63457: FADE,"Computerized Fashion Design"
63458: FADE,"Design Trends and Aesthetics"
63459: FADE,"Fashion Design I"
63460: FADE,"Fashion Design II"
63461: FADE,"Fashion Sketching"
63462: FADE,"Fashion Sketching II"
63463: FADE,"Flat Patternmaking"
63464: FADE,"Fld Exp Fashion Design"
63465: FADE,"Garment Construction"
63466: FADE,"IS Fashion Design"
63467: FADE,"IS Fashion Design II"
63468: FILM,"Animation C & C"
63469: FILM,"Film Genre"
63470: FILM,"Film and Society"
63471: FILM,"Film: The Creative Medium"
63472: FREN,"C & C of Haiti English"
63473: FREN,"Elementary French I"
63474: FREN,"Elementary French II"
63475: FREN,"Fr Lit of 19th Cent"
63476: FREN,"French Conversation"
63477: FREN,"French Workshop 4"
63478: FREN,"French Workshop II"
63479: FREN,"IS Intermediate French I"
63480: FREN,"Intermediate French I"
63481: FREN,"Intermediate French II"
63482: FROR,"Education & Career Planning"
63483: HEBR,"Adv Conv Hebrew"
63484: HEBR,"Biblical Exegesis I"
63485: HEBR,"Biblical Exegesis II"
63486: HEBR,"Conv Hebrew Communication"
63487: HEBR,"Cult & Civ of Israel"
63488: HEBR,"Elementary Hebrew I"
63489: HEBR,"Elementary Hebrew II"
63490: HEBR,"Great Personalities"
63491: HEBR,"Hebrew Lit Trans I"
63492: HEBR,"Hebrew Lit Trans II"
63493: HEBR,"IS Elementary Hebrew II"
63494: HEBR,"IS Intermediate Heb"
63495: HEBR,"Int Conv Heb Commun"
63496: HEBR,"Inter Conv Heb Commun"
63497: HEBR,"Intermediate Hebrew I"
63498: HEBR,"Readings Cont Hebrew"
63499: HEBR,"Topics in Classical"
63500: HEBR,"Women in the Old Testament"
63501: HESC,"Drugs:The Individual & Society"
63502: HESC,"Food Systems and Health"
63503: HESC,"Global Health Issues"
63504: HESC,"Human Sexuality"
63505: HIST,"Africa: Past and Present"
63506: HIST,"African-American History"
63507: HIST,"American Cities: An Intro"
63508: HIST,"American Civilization I"
63509: HIST,"American Civilization II"
63510: HIST,"American Jewish History"
63511: HIST,"Ancient Israel"
63512: HIST,"Caribbean 1492-Pres"
63513: HIST,"Contemporary World"
63514: HIST,"Era of the Civil War 1828-1877"
63515: HIST,"Europe in the 20th C"
63516: HIST,"Europe in the Middle Ages"
63517: HIST,"His US Civil Rights & Movement"
63518: HIST,"Hist/Childhood 1500-Present"
63519: HIST,"Historical Geography"
63520: HIST,"History of Italian-Americans"
63521: HIST,"History of New York City"
63522: HIST,"History of Policing U.S."
63523: HIST,"History of Religion"
63524: HIST,"IS Intro Women’s & Gender Stud"
63525: HIST,"IS The Ancient World"
63526: HIST,"Independent Study: History"
63527: HIST,"Intro Women’s & Gender Studies"
63528: HIST,"Jewish Hist Post Bib"
63529: HIST,"Latin American History"
63530: HIST,"Middle East WW I-Present"
63531: HIST,"Military History"
63532: HIST,"Modern America :1920-Present"
63533: HIST,"Modern China"
63534: HIST,"Modern Jewish History"
63535: HIST,"Napoleon-Hitler 1789-1945"
63536: HIST,"Popular Culture in America"
63537: HIST,"Russian History 1860-Present"
63538: HIST,"Shaping Modern World"
63539: HIST,"Social Unrest/Rev"
63540: HIST,"The Ancient World"
63541: HIST,"The City in Amer His"
63542: HIST,"The History of Puerto Rico"
63543: HIST,"The History of the Cold War"
63544: HIST,"The Indian in American History"
63545: HIST,"The Nazi Holocaust"
63546: HIST,"U.S. Immigration History"
63547: HIST,"US His-Thru Civil War"
63548: HIST,"US History: 1865 - Present"
63549: HIST,"Witchcraft: A Historical Study"
63550: HIST,"Women in American History"
63551: HUMA,"Devt of Literacy in Children"
63552: HUMA,"Early Literacy"
63553: HUMA,"Independent Study: Humanities"
63554: HUMA,"Interdisciplinary Studies"
63555: HUMA,"Mod Hum:Arts & Ideas"
63556: HUMA,"Music in the 20th Century"
63557: IMME,"Immersion ESL Reading-Writing"
63558: IMME,"Immersion English Orientation"
63559: IMME,"Immersion Math"
63560: IMME,"Immersion Math 1"
63561: IMME,"Immersion Math II"
63562: IMME,"Immersion Math Orientation"
63563: IMME,"Immersion Math Quick Refresh"
63564: IMME,"Immersion Math Workshop"
63565: IMME,"Immersion Math X1"
63566: IMME,"Immersion Math X2"
63567: IMME,"Immersion Reading"
63568: IMME,"Immersion Reading-Writing"
63569: IMME,"Immersion Writing"
63570: ITAL,"Elementary Italian I"
63571: ITAL,"Elementary Italian II"
63572: ITAL,"IS Intermediate Italian I"
63573: ITAL,"Independent Study: Italian"
63574: ITAL,"Independent Study: Italian II"
63575: ITAL,"Intermediate Italian I"
63576: ITAL,"Intermediate Italian II"
63577: ITAL,"Italian Cinema"
63578: ITAL,"Readings Italian Lit in Transl"
63579: JOUR,"Advanced Journalism"
63580: JOUR,"Basic Journalism"
63581: JOUR,"Community Internship"
63582: JOUR,"Community Journalism"
63583: JOUR,"Feature and Magazine Writing"
63584: JOUR,"IS Community Jrlsm"
63585: JOUR,"IS Featur/Mag Wrting"
63586: JOUR,"IS Jrnlsm Internship"
63587: JOUR,"Indep Stdy: Adv Journalism"
63588: JOUR,"Independent Study: Journalism"
63589: JOUR,"Independent Study: Typesetting"
63590: JOUR,"Independent Study:Typesetting"
63591: JOUR,"Invest/Interp Jrl"
63592: JOUR,"Journalism in Film"
63593: JOUR,"Jrnlsm Internship"
63594: JOUR,"Print Media Production"
63595: JOUR,"The Critical Review"
63596: JOUR,"Writing Critical Rew"
63597: MATE,"Advanced Outboards"
63598: MATE,"Advanced Welding"
63599: MATE,"Auxiliary Systems"
63600: MATE,"Boat Operat/Training"
63601: MATE,"Coastal Piloting"
63602: MATE,"Diesel Technology"
63603: MATE,"Fibergl/Refrig & Hidr Repairs"
63604: MATE,"Fish and Marine Technology"
63605: MATE,"IS Vessel Technology"
63606: MATE,"Independent Study: Marine Tech"
63607: MATE,"Independent Study: Seamanship"
63608: MATE,"Intro Maritime Tech"
63609: MATE,"Intro Outboard Motor"
63610: MATE,"Introduction to Diesel Engines"
63611: MATE,"Low Voltage Electrical Systems"
63612: MATE,"Marina Operations"
63613: MATE,"Marine Electrical Systems"
63614: MATE,"Marine Electronic Systems"
63615: MATE,"Marine Electronics"
63616: MATE,"Navigation"
63617: MATE,"Outboard and Inboard Engines"
63618: MATE,"Propulsion Systems"
63619: MATE,"Seafood Bus/Iss/Tren"
63620: MATE,"Seamanship"
63621: MATE,"Vessel Business Man"
63622: MATE,"Vessel Maintenance"
63623: MATE,"Vessel Systems"
63624: MATE,"Vessel Technology I"
63625: MATE,"Vessel Technology II"
63626: MATE,"Welding"
63627: MATH,"Anal Geom & Pre Calc"
63628: MATH,"Ap/Line Alge-Vec/Ana"
63629: MATH,"Biostatistics"
63630: MATH,"Boolean Alg/Elec Eng"
63631: MATH,"Business Statistics"
63632: MATH,"CUNY Start Math"
63633: MATH,"Calculus I"
63634: MATH,"Calculus II"
63635: MATH,"Calculus III"
63636: MATH,"Colg Algebra for STEM Majors"
63637: MATH,"College Algebra"
63638: MATH,"College Geometry"
63639: MATH,"College Trigonometry"
63640: MATH,"Concepts of Modern Mathematics"
63641: MATH,"Differential Equations"
63642: MATH,"Elementary Algebra"
63643: MATH,"Elementary Algebra II"
63644: MATH,"Elementary Algebra UIP"
63645: MATH,"Elements of Statistics"
63646: MATH,"Finite Mathematics"
63647: MATH,"Honors Seminar Math Comp Co"
63648: MATH,"IS Boolean Algebra"
63649: MATH,"IS Differential Equations"
63650: MATH,"IS Finite Mathematic"
63651: MATH,"IS Introduction to Set Theory"
63652: MATH,"Independent Study: Algebra"
63653: MATH,"Independent Study: College Alg"
63654: MATH,"Independent Study: Geometry"
63655: MATH,"Intermediate Algebra"
63656: MATH,"Intro Math Concepts in Proof"
63657: MATH,"Intro to Mathematical Thought"
63658: MATH,"Introduction to Set Theory"
63659: MATH,"Linear Algebra"
63660: MATH,"Math Comp & Vis Map"
63661: MATH,"Math Workshop M1"
63662: MATH,"Math Workshop M2"
63663: MATH,"Math. and Quant. Reasoning"
63664: MATH,"Mathematics of Finance"
63665: MATH,"Practical Math for Today"
63666: MATH,"Pre-Algebra"
63667: MATH,"Pre-Algebra UIP"
63668: MATH,"Principles of Mathematics"
63669: MATH,"Self Study"
63670: MATH,"Statistics and Probability"
63671: MATH,"Surv Math/Comp Cncpt"
63672: MEDI,"Comm: Tech & Culture"
63673: MEDI,"Mass Media"
63674: MEDI,"Media and Children"
63675: MEHE,"Assessment -Dom Viol Survivors"
63676: MEHE,"Human Services Organization"
63677: MEHE,"IS Conflict Resolut"
63678: MEHE,"IS Mental Health"
63679: MEHE,"Indep Study: Sup/Instr MH"
63680: MEHE,"Interview & Group Leadership"
63681: MEHE,"Intro to Domestic Violence"
63682: MEHE,"Introduction to Gerontology"
63683: MEHE,"Introduction to Human Services"
63684: MEHE,"MH  Prac / Spec Pop"
63685: MEHE,"Mntl Hlth-Vulnerable Populatns"
63686: MEHE,"Sup Inst Exp in MH I"
63687: MEHE,"Sup Inst Exp in MH II"
63688: MEHE,"Suprvsd Instr Exp in MH I"
63689: MEHE,"Suprvsd Instr Exp in MH II"
63690: MESG,"Cpi Hs Units For Eng"
63691: MESG,"Cpi Hs Units For Lan"
63692: MESG,"Cpi Hs Units For Mat"
63693: MESG,"Cpi Hs Units For Par"
63694: MESG,"Cpi Hs Units For Sci"
63695: MUSI,"Adv Seq & Comp Music"
63696: MUSI,"Band"
63697: MUSI,"Chorus"
63698: MUSI,"Contmp Midi Topics"
63699: MUSI,"Creative Use Anxiety"
63700: MUSI,"Ear Training 3"
63701: MUSI,"I.S. Music Theory Ear Training"
63702: MUSI,"IS - Ear Training III"
63703: MUSI,"IS Ear Training III"
63704: MUSI,"IS Theory I H&C"
63705: MUSI,"IS Theory III H&C"
63706: MUSI,"Ind Study - Midi Studio Operat"
63707: MUSI,"Indep Stdy-Thry of Music III"
63708: MUSI,"Indep Study:Harmony for Guitar"
63709: MUSI,"Independent Study - Band"
63710: MUSI,"Independent Study - Chorus"
63711: MUSI,"Independent Study - Music"
63712: MUSI,"Independent Study - Orchestra"
63713: MUSI,"Independent Study: Chorus"
63714: MUSI,"Individual Projects"
63715: MUSI,"Intro Computer Mus"
63716: MUSI,"Intro to Music"
63717: MUSI,"Introduction to Jazz"
63718: MUSI,"Introduction to Music"
63719: MUSI,"Introduction to Songwriting"
63720: MUSI,"Is Adv Mus/Ear Train"
63721: MUSI,"Is Song Writing II"
63722: MUSI,"Lab in Keyboard Prac"
63723: MUSI,"Midi/Computer Music"
63724: MUSI,"Music in World Cultures"
63725: MUSI,"Music of the Twentieth Century"
63726: MUSI,"Opera"
63727: MUSI,"Orchestra"
63728: MUSI,"Rudiments of Theory"
63729: NURS,"Advanced Surgical Procedures"
63730: NURS,"Alter Hlth Care Modalities"
63731: NURS,"CUNY Test **** DO NOT REGISTER"
63732: NURS,"Calc for Med Administration"
63733: NURS,"Cont Issue Hlth Care"
63734: NURS,"Diet in Health and Illness"
63735: NURS,"EKG Rhythm Recognition"
63736: NURS,"Emergency Health Care"
63737: NURS,"Emergency Med Tech - Clinical"
63738: NURS,"Emergency Medical Tech - Basic"
63739: NURS,"End of Life Issues"
63740: NURS,"Family Cntrd Maternity Nursing"
63741: NURS,"Fundamentals of Nursing"
63742: NURS,"IS Drug Calculation"
63743: NURS,"IS Emergency Medical Service"
63744: NURS,"Intro Hlth Assessmnt"
63745: NURS,"Intro to Hlth Assessmnt"
63746: NURS,"Issues in Nursing"
63747: NURS,"Nursing in the Community"
63748: NURS,"Nursing of Children"
63749: NURS,"Nursing the Emotionally Ill"
63750: NURS,"Nursing the Ill Adult I"
63751: NURS,"Nursing the Ill Adult II"
63752: NURS,"Pain Management Strategies"
63753: NURS,"Paramedic Clinical"
63754: NURS,"Paramedic Clinical  MSG"
63755: NURS,"Paramedic Clinical II"
63756: NURS,"Paramedic Clinical III"
63757: NURS,"Paramedic Clinical IV"
63758: NURS,"Paramedic I"
63759: NURS,"Paramedic II"
63760: NURS,"Paramedic III"
63761: NURS,"Paramedic IV"
63762: NURS,"Parenting"
63763: NURS,"Pathophysiology"
63764: NURS,"Perspectives on Death & Dying"
63765: NURS,"Pharmacology/Health & Disease"
63766: NURS,"Practicum I"
63767: NURS,"Practicum II"
63768: NURS,"Practicum III"
63769: NURS,"Practicum IV"
63770: NURS,"Prof Strategies/Surg Tech"
63771: NURS,"RN Intern: Med-Surg I"
63772: NURS,"RN Internsh Pgrm: Med-Surg III"
63773: NURS,"Rn Intern: Med-Surg II"
63774: NURS,"Surgical Pharmacology"
63775: NURS,"Surgical Procedures"
63776: NURS,"Surgical Technology I"
63777: NURS,"Surgical Technology II"
63778: NURS,"Surgical Technology III"
63779: NURS,"Transcultural Persp Hlth Care"
63780: NURS,"Vir Cert Home Enterp"
63781: OFAT,"Adv Stenography &Transcription"
63782: OFAT,"Basic Dictation"
63783: OFAT,"Ebusiness Tech"
63784: OFAT,"Ebusiness Technologies"
63785: OFAT,"Field Experience"
63786: OFAT,"Gregg Shorthand (Elementary)"
63787: OFAT,"Gregg Shorthand (Intermediate)"
63788: OFAT,"Hum Rltns Sch Office"
63789: OFAT,"I.S. Elem Sten Gregg"
63790: OFAT,"I.S. Field Exp"
63791: OFAT,"I.S. Schl Records Management"
63792: OFAT,"I.S. School Sec II"
63793: OFAT,"I.S. The School Secretary 1"
63794: OFAT,"Intmdt Sten Gregg In"
63795: OFAT,"Is Adv Steno & Trans"
63796: OFAT,"Is Ebusiness Tech"
63797: OFAT,"Is Intmdt Sten Gregg"
63798: OFAT,"Office Communication Skills"
63799: OFAT,"Office Systems and Procedures"
63800: OFAT,"School Records Management"
63801: OFAT,"Supervisory Skills - Off Admin"
63802: OFAT,"The School Secretary I"
63803: OFAT,"The School Secretary II"
63804: OFTC,"Adobe Flash/Web Dev"
63805: OFTC,"Basic Desktop Publishing"
63806: OFTC,"Computer Keyboarding I"
63807: OFTC,"Computer Keyboarding II"
63808: OFTC,"Computer Keyboarding III"
63809: OFTC,"Electronic Transcription"
63810: OFTC,"Elementary Sten Gregg"
63811: OFTC,"IS Adobe Flash Website Dev"
63812: OFTC,"IS Comp Keyboarding II"
63813: OFTC,"IS Computer Keyboarding III"
63814: OFTC,"IS Desktop Publish"
63815: OFTC,"IS Elctrnc Trnscrpt"
63816: OFTC,"IS Keybrdng Bus Comm"
63817: OFTC,"IS Leg Term/Law Tran"
63818: OFTC,"IS Legal Terminology"
63819: OFTC,"IS Macromedia Flash"
63820: OFTC,"IS Office Admin"
63821: OFTC,"IS Office Admin/Tech"
63822: OFTC,"IS Org Elec Office/Admn"
63823: OFTC,"IS Photodigital Illustration"
63824: OFTC,"IS Prof Portfolio"
63825: OFTC,"IS Transcription"
63826: OFTC,"IS Website Tech II"
63827: OFTC,"IS Website Techno I"
63828: OFTC,"IS Website Technology I"
63829: OFTC,"IS Word Info Proc II"
63830: OFTC,"IS Word/Info Process I"
63831: OFTC,"IS: Trans for Admin Secretary"
63832: OFTC,"Integ Tech in Teach"
63833: OFTC,"Inten Com Keybrd II"
63834: OFTC,"Inten Comp Kybrd III"
63835: OFTC,"Intranets / Virt Off"
63836: OFTC,"Keybrdng Bus Comm"
63837: OFTC,"Leg Term & Law Trans"
63838: OFTC,"Medical Coding"
63839: OFTC,"Medical Office Computer Appl"
63840: OFTC,"Medical Term and Electr Transc"
63841: OFTC,"New Student Technology Skills"
63842: OFTC,"Office Administration"
63843: OFTC,"Office Comp App II"
63844: OFTC,"Office Computer Applications I"
63845: OFTC,"Org Elec Office/Admn"
63846: OFTC,"Photodigital Illustration"
63847: OFTC,"Present Graphics/Off"
63848: OFTC,"Production Typewriting"
63849: OFTC,"Prof Portfolio Dev"
63850: OFTC,"The Computer as a Design Tool"
63851: OFTC,"Virtual Enterprise"
63852: OFTC,"Website Technology I"
63853: OFTC,"Website Technology II"
63854: OFTC,"Website Technology III"
63855: OFTC,"Word/Information Processing I"
63856: OFTC,"Word/Information Processing II"
63857: PERM,"Permit 1 Credit"
63858: PERM,"Permit 2 Credits"
63859: PERM,"Permit 2.5 Credits"
63860: PERM,"Permit 3 Credits"
63861: PERM,"Permit 4 Credits"
63862: PERM,"Permit 5 Credits"
63863: PERM,"Permit 6 Credits"
63864: PERM,"Permit Course"
63865: PHIL,"Criminal Justice Ethics"
63866: PHIL,"Environmental Philosophy"
63867: PHIL,"Ethcs/Morality-Health Prof"
63868: PHIL,"Ethical Problems in Bus & Soc"
63869: PHIL,"Global Ethics"
63870: PHIL,"History of Ancient Philosophy"
63871: PHIL,"History of Modern Philosophy"
63872: PHIL,"Intro Philosophical Problems"
63873: PHIL,"Introduction to Ethics"
63874: PHIL,"Logic: Argumentation"
63875: PHIL,"Phi of Beautiful- Aesthetics"
63876: PHIL,"Philosophy in Asian Traditions"
63877: PHIL,"Philosophy of Religion"
63878: PHIL,"Political Philosophy"
63879: PHIL,"Readings - Medieval Jewish Phi"
63880: PHTA,"Clinical Practicum I"
63881: PHTA,"Clinical Practicum II"
63882: PHTA,"Fndmtl Phys Ther I"
63883: PHTA,"Foundations PT II"
63884: PHTA,"Interactions in the Clinic"
63885: PHTA,"Interactns in Clinic"
63886: PHTA,"Intro Phys Therapy"
63887: PHTA,"Kinesiology/ Applied"
63888: PHTA,"Modalities and Procedures I"
63889: PHTA,"Modalities and Procedures II"
63890: PHTA,"Pathology"
63891: PHTA,"Selected Topics- Phy"
63892: PHTA,"Therapeutic Exercise"
63893: PHYS,"Advanced General Physics I"
63894: PHYS,"Advanced General Physics II"
63895: PHYS,"General Physics I"
63896: PHYS,"General Physics II"
63897: PHYS,"IS Advanced Physics"
63898: PHYS,"IS Modern Physics"
63899: PHYS,"IS: Ideas of Modern Physics"
63900: PHYS,"Ideas of Modern Physics"
63901: PHYS,"Independent Study: Electronics"
63902: PHYS,"Independent Study: Physics"
63903: PHYS,"Independent Study: Physics Lab"
63904: PHYS,"Preview of General Physics"
63905: PHYS,"Research I"
63906: PHYS,"Research II"
63907: PHYS,"Research III"
63908: PHYS,"Research IV"
63909: POSC,"African Politics"
63910: POSC,"American Govt and Politics"
63911: POSC,"American Political Parties"
63912: POSC,"Civil Rights and Liberties"
63913: POSC,"Comparative Government"
63914: POSC,"Constitutional Law"
63915: POSC,"Corrections and Sentencing"
63916: POSC,"Crime and Punishment"
63917: POSC,"Environmental Politics"
63918: POSC,"Global Politics"
63919: POSC,"Homeland Security"
63920: POSC,"IS Minorities & Crim Jus Sys"
63921: POSC,"IS Political Eco"
63922: POSC,"IS State & Local Gvts&Politics"
63923: POSC,"International Organizations"
63924: POSC,"International Relations"
63925: POSC,"Interntnl Orgnizatns"
63926: POSC,"Intro to Criminal Justice"
63927: POSC,"Intro to Political Theory"
63928: POSC,"Mass Media/ Pol Proc"
63929: POSC,"Minorities & Crim Just System"
63930: POSC,"Policing"
63931: POSC,"Public Policy and Public Admin"
63932: POSC,"State & Local Govts & Politics"
63933: POSC,"Supreme Crt/Life US"
63934: POSC,"The American Legal System"
63935: POSC,"The American Presidency"
63936: POSC,"The Politics of Economics"
63937: POSC,"Urban Politics"
63938: POSC,"War: Its Causes63939: POSC,"Women & Criminal Justice Sys"
63940: POSC,"Women and Politics"
63941: POSC,"Women in Politics"
63942: POTE,"Cardiopul Physiology of Sleep"
63943: POTE,"Classification Sleep Disorders"
63944: POTE,"Clincal Pract Sleep Medicine I"
63945: POTE,"Clncl Polysomnographic Scoring"
63946: POTE,"Clncl Pract Sleep Medicine II"
63947: POTE,"Fndations Polysomnography II"
63948: POTE,"Foundations Polysomnography I"
63949: POTE,"Neurosci & Pharmacology Sleep"
63950: POTE,"Sci Sleep & Circadian Rhythms"
63951: PSYC,"Abnormal Psychology"
63952: PSYC,"Child & Adolescent Development"
63953: PSYC,"Childhood Dev Disor"
63954: PSYC,"Contmp Psych Viewpts"
63955: PSYC,"Educational Psychology"
63956: PSYC,"General Psychology"
63957: PSYC,"Human Growth and Development"
63958: PSYC,"IS Exp Analysis Beh"
63959: PSYC,"IS Mysticism in Psychology"
63960: PSYC,"Independent Study: Psychology"
63961: PSYC,"Psy Disorders - Young Children"
63962: PSYC,"Psychology of Gender"
63963: PSYC,"Psychology of Personality"
63964: PSYC,"Social Psychology"
63965: PSYC,"The Psychology of Immigration"
63966: QSPS,"Quantitative Skills Phy Sci"
63967: QSPS,"Quantitative Skills Phy Sci I"
63968: QSPS,"Quantitative Skills Phy Sci II"
63969: QSPS,"Quantitative Skills Phy Sci IV"
63970: SCIE,"Anatomy-Art Students"
63971: SCIE,"Appl Phys Sci Hlth"
63972: SCIE,"Appl Phys Sci Lab"
63973: SCIE,"Chemistry and the Environment"
63974: SCIE,"Chm of Forensic Sci"
63975: SCIE,"Dev in the Phys Sciences w/Lab"
63976: SCIE,"IS Contemp Topics"
63977: SCIE,"IS Science of Nutrition"
63978: SCIE,"Intro to Green Chemistry"
63979: SCIE,"Intro to Mod Concept"
63980: SCIE,"Issues and Adventure"
63981: SCIE,"Phys Sci & Environ with Lab"
63982: SCIE,"Research I"
63983: SCIE,"Research II"
63984: SCIE,"Research III"
63985: SCIE,"Research IV"
63986: SCIE,"Science of Nutrition w/Lab"
63987: SOCI,"Health Care Crises"
63988: SOCI,"IS Urban Sociology"
63989: SOCI,"Independent Study: Sociology"
63990: SOCI,"Introduction to Sociology"
63991: SOCI,"Minority Groups in the US"
63992: SOCI,"Race and Ethnicity"
63993: SOCI,"Religion in America"
63994: SOCI,"Soc Prob Instit in Crisis"
63995: SOCI,"Social Problems"
63996: SOCI,"Sociological Fieldwork"
63997: SOCI,"Sociology of Gender"
63998: SOCI,"Sociology of Religion"
63999: SOCI,"Sociology of the Family"
64000: SOCI,"Urban Sociology"
64001: SPAN,"Advanced Spanish Conversation"
64002: SPAN,"Cont Lat Am Sh Story"
64003: SPAN,"Cont Lat/Am Sh Story"
64004: SPAN,"Conv Spa Elementary"
64005: SPAN,"Conv Spafor Travel"
64006: SPAN,"Court Interpretation I"
64007: SPAN,"Court Interpretation II"
64008: SPAN,"Crt Interpretation III"
64009: SPAN,"Elementary Spanish I"
64010: SPAN,"Elementary Spanish II"
64011: SPAN,"Hist & Civilization of Spain"
64012: SPAN,"IS His/Civilization of Spain"
64013: SPAN,"IS Intermediate Spanish I"
64014: SPAN,"IS Peninsular Spanish Lit Trns"
64015: SPAN,"IS Read Spa/Amer Lit"
64016: SPAN,"IS Readings in Hispanic Lit"
64017: SPAN,"IS Spanish Syntax & Comp"
64018: SPAN,"Indep Stdy Grammar & Convers"
64019: SPAN,"Independent Study: Spanish"
64020: SPAN,"Intensive Review Span Grammar"
64021: SPAN,"Intermed Spanish Conversation"
64022: SPAN,"Intermediate Spanish I"
64023: SPAN,"Latin Amer & Carib Culture"
64024: SPAN,"Latin American Cinema"
64025: SPAN,"Peninsular Spanish Lit Transl"
64026: SPAN,"Puerto Rican Folklore"
64027: SPAN,"Reading in Spanish Literature"
64028: SPAN,"Readings in Hispanic Lit"
64029: SPAN,"Readings in Span-Amer Literat"
64030: SPAN,"Spa Am Culture/Art/Music"
64031: SPAN,"Spa Career Programs"
64032: SPAN,"Spa Cinema Bunuel"
64033: SPAN,"Spa Grammar & Conversation"
64034: SPAN,"Spanish Cinema"
64035: SPAN,"Spanish Syntax and Composition"
64036: SPAN,"Spanish for Teachers"
64037: SPAN,"Spanish for Teachers I"
64038: SPAN,"Spanish for Teachers II"
64039: SPAN,"Spanish-American Literature"
64040: SPEE,"Art of Conv & Pers"
64041: SPEE,"Basic Comm Skills and Practice"
64042: SPEE,"Career Communication"
64043: SPEE,"Critical Issues/Comm"
64044: SPEE,"Dramatic Experience"
64045: SPEE,"Effective Public Speaking"
64046: SPEE,"Family Communication"
64047: SPEE,"Health Communication"
64048: SPEE,"IS Speech Communication"
64049: SPEE,"Independent Study: Forensics"
64050: SPEE,"Independent Study: Speech Comm"
64051: SPEE,"Integrative Speech Seminar"
64052: SPEE,"Intercultural Communication"
64053: SPEE,"Interpersonal Communication"
64054: SPEE,"Introduction to Linguistics"
64055: SPEE,"Language Development"
