68720: ACCT,"Accounting Information Systems"
69431: PHYS,"Physics II"
69432: PHYS,"Physics III"
69433: PHYS,"Physics Through Film"
69434: PHYS,"Physics of Light and Sound"
69435: PHYS,"Physics:Eng Tech 1"
69436: PHYS,"Physics:Eng Tech 2"
69437: PHYS,"Principles of General Physics"
69438: PHYS,"Sustainability69439: PHYS,"Thermodynamics"
69440: PORT,"Intro to Portuguese II"
69441: PORT,"Introduction to Portuguese"
69442: PORT,"Introduction to Portuguese I"
69443: PORT,"Introduction to Portuguese II"
69444: POSC,"American National Government"
69445: POSC,"Civil Rights (World)"
69446: POSC,"Civil Rights in Amer 1954"
69447: POSC,"Comparative Government"
69448: POSC,"Field Work Pol Sci"
69449: POSC,"International Politics"
69450: POSC,"Introduction to Politics"
69451: POSC,"Politics of Developing Areas"
69452: POSC,"Solving Social Prob."
69453: POSC,"State and Local Government"
69454: POSC,"Urban Politics"
69455: PRPW,"Phm 10 Tutorial"
69456: PRPW,"Pre-Pharmacology Workshop"
69457: PSYC,"Abnormal Psychology"
69458: PSYC,"Clinical Techniques1"
69459: PSYC,"Developmental Psych1"
69460: PSYC,"Developmental Psych2"
69461: PSYC,"Dynamics of Human Motivation"
69462: PSYC,"Environmental Psychology"
69463: PSYC,"Intro to Beh Neursci"
69464: PSYC,"Intro to Psychology"
69465: PSYC,"Life Span Development"
69466: PSYC,"Principles of Group Dynamics"
69467: PSYC,"Psychology of Women"
69468: PSYC,"Social Psychology"
69469: READ,"Academic Literacy"
69470: READ,"Basic Reading For Esl Students"
69471: READ,"Basic Reading Skills"
69472: READ,"College Reading"
69473: READ,"RDL 01 for Career Path Program"
69474: READ,"RDL 02 for Career Path Program"
69475: READ,"Reading & Assessing Research"
69476: READ,"Reading Not Required"
69477: READ,"Reading Skills Exemp"
69478: READ,"Reading and Study Skills"
69479: READ,"Reading:Technologies"
69480: REAW,"Academic Literacy Workshop"
69481: REAW,"Cuny Start Reading"
69482: REAW,"Reading Workshop 01"
69483: REAW,"Reading Workshop 02"
69484: REAW,"Reading Workshop 05"
69485: SCIE,"Scienece Exploration II"
69486: SOCI,"Introduction to Social Work"
69487: SOCI,"Marriage and Family"
69488: SOCI,"Race and Ethnic Relations"
69489: SOCI,"SOC of Gender and Sexuality"
69490: SOCI,"Social Advocacy"
69491: SOCI,"Social Deviance"
69492: SOCI,"Social Inequality"
69493: SOCI,"Sociology"
69494: SOCI,"Sociology of Religion"
69495: SOCI,"Urban Sociology"
69496: SPAN,"19th Century Literature"
69497: SPAN,"Advanced Spanish Composition"
69498: SPAN,"Advanced Spanish Grammar"
69499: SPAN,"Beginning Spanish I"
69500: SPAN,"Beginning Spanish II"
69501: SPAN,"Don Quijote"
69502: SPAN,"Generation of 1898"
69503: SPAN,"Inter Spanish Lang & Culture"
69504: SPAN,"Intermediate Spanish"
69505: SPAN,"Intro Spanish for Heritage Sp"
69506: SPAN,"Latin Amer Lan And Culture"
69507: SPAN,"Latin Amer Language Cul"
69508: SPAN,"Lit & Cult of Puerto Rico"
69509: SPAN,"Lit & Cult of Span Caribbean"
69510: SPAN,"Lit & Culture of Puerto Rico"
69511: SPAN,"Lit&Cult of Spn Cab"
69512: SPAN,"Skills:Legal Personl"
69513: SPAN,"Spanish Language and Culture"
69514: SPAN,"Spanish for Business"
69515: SPAN,"Spanish for Hertiage Speakers"
69516: SPAN,"Urban Conversation"
69517: SPAN,"Urban Conversation 2"
69518: SPAN,"Writing Skills"
69519: STAB,"Study Abroad - 12 Credits"
69520: TAXA,"Introduction to Taxation"
69521: TELE,"Advanced Topics"
69522: TELE,"Data Communications"
69523: TELE,"Local Area Networks"
69524: TELE,"Telecommunications I"
69525: TELE,"Telecommunications II"
69526: TELE,"Telecommunications III"
69527: TELE,"Telecommunications IV"
69528: TELE,"Voice Communications"
69529: THEA,"Introduction to Acting"
69530: THEA,"Introduction to Theatre"
69531: TPRE,"Alternative Therapie"
69532: TPRE,"Hist&Philo Perspctvs"
69533: TPRE,"Intr Therapeutic Rec"
69534: TPRE,"Recreation Leadership"
69535: WOFA,"Workplace First Aid Training"
