69536: ACCT,"Accnt Reqs Of Sec"
71363: EASC,"Advanced Ore Deposit Geology"
71364: EASC,"Aquatic Food Resources"
71365: EASC,"Biogeochemistry"
71366: EASC,"Case Studies in Urban Systems"
71367: EASC,"Climate Change - Myths & Facts"
71368: EASC,"Coal"
71369: EASC,"Coastal Watersheds & Estuaries"
71370: EASC,"Communicate Earth Environ Sci"
71371: EASC,"Concepts in Regional Geography"
71372: EASC,"Conservation Geol"
71373: EASC,"Contaminant Hydrogeology"
71374: EASC,"Data: Quant Treatm"
71375: EASC,"Earth &Envronmental Colloquium"
71376: EASC,"Earth Materials"
71377: EASC,"Earth Sc:Planetology"
71378: EASC,"Earth Sci Of Nyc Env"
71379: EASC,"Earth Science Field Studies"
71380: EASC,"Earth Science I"
71381: EASC,"Earth Science II"
71382: EASC,"Earth and Env Sci Advance Elec"
71383: EASC,"Earth?s Climate"
71384: EASC,"Earth?s Ocean"
71385: EASC,"Earth’s Internal Processes"
71386: EASC,"Earth’s Surface Processes"
71387: EASC,"Econ Geol/Energy Res"
71388: EASC,"Env Aspects of Urban Soils"
71389: EASC,"Environmenal Geochemistry"
71390: EASC,"Environment Science Field Stud"
71391: EASC,"Environmental Field Invest"
71392: EASC,"Environmental Systems"
71393: EASC,"Exploring the Earth System"
71394: EASC,"Field Geology"
71395: EASC,"Field Mapping"
71396: EASC,"General Geology I"
71397: EASC,"General Geology II"
71398: EASC,"General Geophysics"
71399: EASC,"Geo Nyc Wth Fld Stdy"
71400: EASC,"Geochemistry"
71401: EASC,"Geochemistry of Soils"
71402: EASC,"Geol Field Expl of Natl Parks"
71403: EASC,"Geol Global Art&Artf"
71404: EASC,"Geology of New York State"
71405: EASC,"Geology of the National Parks"
71406: EASC,"Geomorphology"
71407: EASC,"Geophysics"
71408: EASC,"Geostatistics"
71409: EASC,"Geotectonics"
71410: EASC,"Geothermal Energy"
71411: EASC,"Global Biochem Chang"
71412: EASC,"Global Catastrophes"
71413: EASC,"Global Environmental Change"
71414: EASC,"Global Tectonics"
71415: EASC,"Groundwater Hydrogeology"
71416: EASC,"High Temp Geochem"
71417: EASC,"History of Geology"
71418: EASC,"Hydrogeology of Water Resource"
71419: EASC,"Igneous &Metamorphic Petrology"
71420: EASC,"Igneous Petrology"
71421: EASC,"Independent Research"
71422: EASC,"Independent Research II"
71423: EASC,"Independent Research III"
71424: EASC,"Indust Mineralogy"
71425: EASC,"Internships in EESC"
71426: EASC,"Internships in Environment Sci"
71427: EASC,"Intr Urban Sustnblty"
71428: EASC,"Intro Environmental Geology"
71429: EASC,"Intro Geographic Info System"
71430: EASC,"Intro Petroleum Geol"
71431: EASC,"Intro to Environmental Science"
71432: EASC,"Introduction to Earth Science"
71433: EASC,"Introduction to Geochemistry"
71434: EASC,"Invertebrate Paleontology"
71435: EASC,"Isotope Geology"
71436: EASC,"Issues in EESC in NYC"
71437: EASC,"Low Temperature Geochemistry"
71438: EASC,"Map Interpretation"
71439: EASC,"Marine Geochemistry"
71440: EASC,"Marine Geology"
71441: EASC,"Medical Geology"
71442: EASC,"Metamor Petrology"
71443: EASC,"Meteorology"
71444: EASC,"Methods Enviro Geochem"
71445: EASC,"Mineral Explorat"
71446: EASC,"NYC Water Sources and Cycles"
71447: EASC,"Natural Resources"
71448: EASC,"Non-Metallic Ores"
71449: EASC,"Oceanography"
71450: EASC,"Ore Deposit Models"
71451: EASC,"Ore Microscopy"
71452: EASC,"Paleontology of Invertebrates"
71453: EASC,"Petroleum"
71454: EASC,"Petroleum Geosciences"
71455: EASC,"Petrophysics"
71456: EASC,"Photogeology"
71457: EASC,"Physical Geochem"
71458: EASC,"Pleistocene Geology"
71459: EASC,"Practicum Earth & Environ Sci"
71460: EASC,"Practicum in EESC"
71461: EASC,"Presenting Research in EESC"
71462: EASC,"Principles of Geochemistry"
71463: EASC,"Profesional Portfolio for EESC"
71464: EASC,"Remote Sensing"
71465: EASC,"Research Proposal"
71466: EASC,"Research for Teachers III"
71467: EASC,"Rock Mechanics"
71468: EASC,"Rsch for Teachers 1: Immersion"
71469: EASC,"Rsch for Teachers 2: Proposal"
71470: EASC,"Sediment Petrology"
71471: EASC,"Sedimentology"
71472: EASC,"Sem Clay Minrals &Nanopartcles"
71473: EASC,"Seminar"
71474: EASC,"Seminar II"
71475: EASC,"Seminar III"
71476: EASC,"Seminars in Geology"
71477: EASC,"Society and the Ocean"
71478: EASC,"Soils in the Landscape"
71479: EASC,"Solid&Haz Waste Mgmt"
71480: EASC,"Spec Topic Envronmntal Science"
71481: EASC,"Special Topic in Earth Science"
71482: EASC,"Stats &Data Analysis in Geosci"
71483: EASC,"Stratgrphy/Sedmentry Petrology"
71484: EASC,"Stratigraphy"
71485: EASC,"Structural Geology"
71486: EASC,"Structural Geology & Tectonics"
71487: EASC,"Sustainable Food Production"
71488: EASC,"Tchnq Geosptl Tchngy"
71489: EASC,"Terrest Plan:Evol"
71490: EASC,"Terrestrial & Aquatic Dynamics"
71491: EASC,"The Dynamic Earth"
71492: EASC,"The History of Life"
71493: EASC,"Thesis Research"
71494: EASC,"Uranium"
71495: EASC,"Urban Probs/Opport"
71496: EASC,"Urban Sustainability Theory"
71497: EASC,"Urban Water Dynamics"
71498: EASC,"Water &Stormwater Mangmnt NYC"
71499: EASC,"Water Resources Management"
71500: EASC,"Watershed Analysis"
71501: EASC,"Well Hydraulics"
71502: EASC,"World Stratigraphy"
71503: EASC,"Xray Diffract Anal"
71504: ECON,"Accounting Seminar"
71505: ECON,"Accounting Topics"
71506: ECON,"Acctg Reqs Of Sec"
71507: ECON,"Adv Econ & Bus Stats"
71508: ECON,"Adv Econometrics"
71509: ECON,"Adv Manager Acctg"
71510: ECON,"Advanced Accountg 1"
71511: ECON,"Advanced Econ &Busn Statistics"
71512: ECON,"Advanced Econometrics"
71513: ECON,"Amer Econ Devel"
71514: ECON,"Amer Econ History"
71515: ECON,"American Economic History"
71516: ECON,"Analysis of Developed Areas"
71517: ECON,"Auditing"
71518: ECON,"Behavioral Finance & Economics"
71519: ECON,"Budgeting Systems"
71520: ECON,"Bus Mgement Spts"
71521: ECON,"Bus Mgmt Of Sports"
71522: ECON,"Business Policy"
71523: ECON,"Comparat Eco Systs"
71524: ECON,"Comparative Economics Systems"
71525: ECON,"Computerized Acctg"
71526: ECON,"Contemporary Prob"
71527: ECON,"Corp Financ Mgemnt"
71528: ECON,"Corp.Concet &Pub Pol"
71529: ECON,"Cost Accounting"
71530: ECON,"Curr Prob Money Bnkg"
71531: ECON,"Current Prob Intnl"
71532: ECON,"Developed Areas"
71533: ECON,"Eco Dev Latin Amer"
71534: ECON,"Eco Of Consumption"
71535: ECON,"Ecological Economics"
71536: ECON,"Econ Devel Theory"
71537: ECON,"Econ Geogr Europe"
71538: ECON,"Econ Geogr N Amer"
71539: ECON,"Econometrics"
71540: ECON,"Econometrics 2"
71541: ECON,"Economic Analysis"
71542: ECON,"Economic Geography"
71543: ECON,"Economic Institute"
71544: ECON,"Economics Analysis"
71545: ECON,"Economics of Discrimination"
71546: ECON,"Economics of Environment"
71547: ECON,"Economics of Urban Areas"
71548: ECON,"Elementary Macroeconomics"
71549: ECON,"Elementary Microeconomics"
71550: ECON,"Enterpr Inc Determ"
71551: ECON,"Environ &Natural Resource Econ"
71552: ECON,"Environ Econ"
71553: ECON,"Evol Of Mod Econ"
71554: ECON,"Evolution of Modern Economy"
71555: ECON,"Federal Taxation"
71556: ECON,"Field Work 1"
71557: ECON,"Fin Inst&Pricing"
71558: ECON,"Financial Acctg 1"
71559: ECON,"Financial Economics"
71560: ECON,"Financial Instrument & Pricing"
71561: ECON,"Fundmental Method Math Econ II"
71562: ECON,"Government Finance"
71563: ECON,"Govt In Ind Rel"
71564: ECON,"Health Economics"
71565: ECON,"Health Economics and Policy"
71566: ECON,"Hum Res&Labor Mkts"
71567: ECON,"Income Taxation"
71568: ECON,"Ind Org&Control 1"
71569: ECON,"Ind Res Ec Devel 1"
71570: ECON,"Ind Res Eco Policy"
71571: ECON,"Ind Res Gr &Thgt"
71572: ECON,"Ind Res Hum Rsrc 1"
71573: ECON,"Ind Res Hum Rsrc 2"
71574: ECON,"Ind Res Macroeco 1"
71575: ECON,"Ind Res Macroeco 2"
71576: ECON,"Ind Res Math Econ"
71577: ECON,"Ind Res Microeco"
71578: ECON,"Ind Res Mon&Fin 1"
71579: ECON,"Ind Res Mon&Fin 2"
71580: ECON,"Ind Research Econ Develpment 1"
71581: ECON,"Ind Research Human Resources 1"
71582: ECON,"Ind Research Human Resources 2"
71583: ECON,"Ind Research Macroeconomics II"
71584: ECON,"Ind Research Mathematical Econ"
71585: ECON,"Ind Research Money & Finance 1"
71586: ECON,"Ind Research Money & Finance 2"
71587: ECON,"Ind Rsrch Bus 2"
71588: ECON,"Indep Research in Micro-econ"
71589: ECON,"Indep Rsrch Macroeconomics I"
71590: ECON,"Independent Reading"
71591: ECON,"Industrial Organization"
71592: ECON,"Intermediate Macroeconomics"
71593: ECON,"Intermediate Microeconomics"
71594: ECON,"International Prob"
71595: ECON,"International Trade"
71596: ECON,"International Trade Policy"
71597: ECON,"Internationl Finance"
71598: ECON,"Internatnal Macroecon &Finance"
71599: ECON,"Internatnl Finance"
71600: ECON,"Intro Eco & Bus Stat"
71601: ECON,"Intro Econ & Busn Statistics"
71602: ECON,"Intro Polit Econ"
71603: ECON,"Intro to Urban Sustainability"
71604: ECON,"Invest Science"
71605: ECON,"Investment Science"
71606: ECON,"Labor Arbitration"
71607: ECON,"Labor Economics"
71608: ECON,"Labor Legislation"
71609: ECON,"Labor Org And Reltns"
71610: ECON,"Labor Org Relation"
71611: ECON,"Legal Envir Of Bus"
71612: ECON,"Legal Problems 2"
71613: ECON,"Location Theory"
71614: ECON,"Macro Econ Anal"
71615: ECON,"Macroeconomics"
71616: ECON,"Managerial Econ"
71617: ECON,"Managerial Economics"
71618: ECON,"Marketing Mgmt"
71619: ECON,"Marxian Eco Analys"
71620: ECON,"Math Meth In Eco 1"
71621: ECON,"Math Meth In Eco 2"
71622: ECON,"Mathemat Econ 1"
71623: ECON,"Mathematical Economics 1"
71624: ECON,"Mgmt Techn Enterpr"
71625: ECON,"Microeconomics"
71626: ECON,"Mon & Fiscal Policy"
71627: ECON,"Monetary and Fiscal Policy"
71628: ECON,"Money and Banking"
71629: ECON,"Money and Capital Markets"
71630: ECON,"Natl Income Analys"
71631: ECON,"Nat’L Income & Cycle"
71632: ECON,"Oper Rsch &Decsn Sci"
71633: ECON,"Operations Research"
71634: ECON,"Organization Behav"
71635: ECON,"Personnel Management"
71636: ECON,"Princ Of Acctg 2"
71637: ECON,"Principal In Acctg 2"
71638: ECON,"Principal Of Acctg 1"
71639: ECON,"Principles of Accounting I"
71640: ECON,"Principles of Accounting II"
71641: ECON,"Prof.Develop@Sucess"
71642: ECON,"Profit Acctg Sys"
71643: ECON,"Pub Contrl Ind Pract"
71644: ECON,"Public Finance"
71645: ECON,"Public Finance & Public Policy"
71646: ECON,"Sem Business 1"
71647: ECON,"Sem Business 2"
71648: ECON,"Sem Ec Geog"
71649: ECON,"Sem Econ Gr &Thgt"
71650: ECON,"Sem Econ Policy"
71651: ECON,"Sem Hum Resour"
71652: ECON,"Sem In Eco Research"
71653: ECON,"Sem Math Econ 1"
71654: ECON,"Sem Microecon 1"
71655: ECON,"Sem Microecon 2"
71656: ECON,"Sem Money&Fin 1"
71657: ECON,"Sem Money&Fin 2"
71658: ECON,"Seminar Polit Econ"
71659: ECON,"Seminar in Macroeconomics"
71660: ECON,"Soc Sec Unemply Indu"
71661: ECON,"Soc Secur/Public"
71662: ECON,"Social Security"
71663: ECON,"Socialist Thought"
71664: ECON,"Sociolinguistics"
71665: ECON,"Special Topics"
71666: ECON,"Teach Nmbr&Ala Gr5-9"
71667: ECON,"Theory of Economic Growth"
71668: ECON,"Thesis Research"
71669: ECON,"Thesis Supervision"
71670: ECON,"Trends Eco Thought"
71671: ECON,"Underdevel Areas"
71672: ECON,"Urban Economics"
71673: ECON,"Urban Land Econ"
71674: ECON,"Urban Sustainability Theory"
71675: ECON,"Welfare Economics"
71676: ECON,"Women & Contemporary Economy"
71677: ECON,"Women Contemp Econmy"
71678: ECON,"Workplace Values and Happiness"
71679: ECOR,"2 Upper Cc Req’D"
71680: ECOR,"2 Upper Corc. Req"
71681: ECOR,"Exempt From Cc 1.1"
71682: ECOR,"Exempt From Cc 1.2"
71683: ECOR,"Exempt From Cc 1.3"
71684: ECOR,"Exempt From Cc 2.1"
71685: ECOR,"Exempt From Cc 2.2"
71686: ECOR,"Exempt From Cc 2.3"
71687: ECOR,"Exempt From Cc 3.11"
71688: ECOR,"Exempt From Cc 3.12"
71689: ECOR,"Exempt From Cc 3.21"
71690: ECOR,"Exempt From Cc 3.22"
71691: ECOR,"Exempt From Cc 3.31"
71692: ECOR,"Exempt From Cc 3.32"
71693: ECOR,"Exempt From Corc 1332"
71694: ECOR,"Exempt From Core 1"
71695: ECOR,"Exempt From Core 10"
71696: ECOR,"Exempt From Core 2.1"
71697: ECOR,"Exempt From Core 2.2"
71698: ECOR,"Exempt From Core 3"
71699: ECOR,"Exempt From Core 4"
71700: ECOR,"Exempt From Core 5"
71701: ECOR,"Exempt From Core 5.1"
71702: ECOR,"Exempt From Core 5.2"
71703: ECOR,"Exempt From Core 6"
71704: ECOR,"Exempt From Core 7.1"
71705: ECOR,"Exempt From Core 7.2"
71706: ECOR,"Exempt From Core 8.1"
71707: ECOR,"Exempt From Core 8.2"
71708: ECOR,"Exempt From Core 9"
71709: ECOR,"Exempt from Core 1130"
71710: ECOR,"No Cc Required"
71711: ECOR,"No Cc Req’D"
71712: ECOR,"No Corc. Required"
71713: ECOR,"No Core Required"
71714: ECOR,"One Cc Only-Req’D"
71715: ECOR,"One Core Only-Requrd"
71716: ECOR,"Only One Corc. Req"
71717: ECOR,"Xmpt From Corc 1110"
71718: ECOR,"Xmpt From Corc 1120"
71719: ECOR,"Xmpt From Corc 1210"
71720: ECOR,"Xmpt From Corc 1220"
71721: ECOR,"Xmpt From Corc 1230"
71722: ECOR,"Xmpt From Corc 1311"
71723: ECOR,"Xmpt From Corc 1312"
71724: ECOR,"Xmpt From Corc 1321"
71725: ECOR,"Xmpt From Corc 1322"
71726: ECOR,"Xmpt From Corc 1331"
71727: EDAR,"Admin & Sup ECE Prgm"
71728: EDAR,"Adol Educ: Art"
71729: EDAR,"Adv Psy Dev1:Caregiv-Child Yr1"
71730: EDAR,"Adv Psy Dev2:Caregiv-Child Int"
71731: EDAR,"Adv Sem Pedag & Curr71732: EDAR,"Art & Multi Dis Lrng"
71733: EDAR,"Art Ed: Stdnt Tchng Pract II"
71734: EDAR,"Art Ed:S/Tch Prac 1"
71735: EDAR,"Arts in Early Child Curriculum"
71736: EDAR,"Assmnt/Intervn EC Bil Learners"
71737: EDAR,"Comm Dev&Assm Multilingual Ch"
71738: EDAR,"Creative Art for the Classroom"
71739: EDAR,"Curr Yng Except Ch"
71740: EDAR,"Dev &Temp Challeng YoungChild"
71741: EDAR,"Dev&Ed Assmt Inf&Yng"
71742: EDAR,"Development of Language & Lit"
71743: EDAR,"Div Class in a Visual Cult"
71744: EDAR,"Early Childhood Ed Foundations"
71745: EDAR,"Early Ed & Infant Toddler Care"
71746: EDAR,"Env/Cur Adapt Spec Needs"
71747: EDAR,"Envrn Chd Spec Needs"
71748: EDAR,"Fam71749: EDAR,"Family &Community Relationship"
71750: EDAR,"Fld Exp in Child Develpmnt &Ed"
71751: EDAR,"Found Erly Chldhd Bili Spec Ed"
71752: EDAR,"Foundtion &Pedagogy EC Spec Ed"
71753: EDAR,"Human Track in Urban Landscape"
71754: EDAR,"Ident Art Interpretn&Relatnshp"
71755: EDAR,"Indep Project Ece"
71756: EDAR,"Infant & Child Development"
71757: EDAR,"Intro EC Biling & Multicult Ed"
71758: EDAR,"Intro Early Chldhd Blilngl"
71759: EDAR,"Lang Lern & Dev Young Children"
71760: EDAR,"Literacy Curriculum in ECE"
71761: EDAR,"Literacy Teaching &Learning EC"
71762: EDAR,"Mathematics in Early Childhood"
71763: EDAR,"Mthds Resrch In Tch Eng Lang"
71764: EDAR,"Parents As Teachers: Early Yrs"
71765: EDAR,"Pedagogy and Curriculum: Art"
71766: EDAR,"Phys Dev:Prevtn &Early Intrvtn"
71767: EDAR,"Pl Cr-Cult Contexts"
71768: EDAR,"Practice & Environment: ECE"
71769: EDAR,"Research in Early Childhood Ed"
71770: EDAR,"Sci Inq Yng Chld: Gen & Sp Edu"
71771: EDAR,"Scientific Inquiry Ece"
71772: EDAR,"Sem & Stud Tchng Prac I EC Edu"
71773: EDAR,"Sem Ed Res Art"
71774: EDAR,"Sem II in Pedagogy & Curr: Art"
71775: EDAR,"Sem&Stud Teach Prac II in ECE"
71776: EDAR,"Seminar & Fieldwork EC Spec Ed"
71777: EDAR,"Seminar & Student Teaching:ECE"
71778: EDAR,"Social Studies In ECE"
71779: EDAR,"Special Topics in Art Edu"
71780: EDAR,"Sprtng Dvse Fam&Par-Chld Rel"
71781: EDAR,"Stu Tch 2:Gen/Sp Ed"
71782: EDAR,"Tch YC w/ Emotion &Behave Prob"
71783: EDAR,"Tchg Math Early Yr"
71784: EDAR,"Teaching Through the Arts"
71785: EDAR,"Visual Arts In Early Child Edu"
71786: EDAR,"Workshop in Early Childhood Ed"
71787: EDAR,"YC with Emotion/Behavior Prob"
71788: EDCH,"Adminstration Literacy Program"
71789: EDCH,"Adoles & Emotional Conflict"
71790: EDCH,"Adv Methods Teach Child Math"
71791: EDCH,"Adv Pedagogy &Childhood Educ1"
71792: EDCH,"Adv Pedagogy &Childhood Educ2"
71793: EDCH,"Advanced Human Development II"
71794: EDCH,"Analy Learner Behvr"
71795: EDCH,"Assess Gifted & Talented Stud"
71796: EDCH,"Atypical Development"
71797: EDCH,"Autism Spectrum Disorders"
71798: EDCH,"Biling&Second Lang Acquisition"
71799: EDCH,"Biling&Second Language Learner"
71800: EDCH,"Bilingual & Multicultural Educ"
71801: EDCH,"Biliteracy & Content Instructn"
71802: EDCH,"Cases in Planned Intervention"
71803: EDCH,"Child & Adoles Urban Community"
71804: EDCH,"Child & Youth/Urban Educ"
71805: EDCH,"Child Development"
71806: EDCH,"Child&Youth with Special Needs"
71807: EDCH,"Childhood Math Education"
71808: EDCH,"Children & Youth in Urban Educ"
71809: EDCH,"Chld Educ: Stud Tchng Grds 1-6"
71810: EDCH,"Cognitive&Intellectual Develop"
71811: EDCH,"Collaboration with Families"
71812: EDCH,"Comm in Individual with Autism"
71813: EDCH,"Community Resource in Guidance"
71814: EDCH,"Compare Ed Programs &Practices"
71815: EDCH,"Contemporary Thought & Educatn"
71816: EDCH,"Contextualizing Literacy Instr"
71817: EDCH,"Contxt Lit Instr"
71818: EDCH,"Curric Design Gift&Talent Stud"
71819: EDCH,"Curric Modif Tch Stud SpecNeed"
71820: EDCH,"Curric Young Child Spec Needs"
71821: EDCH,"Diagnos&Correct Read Diffculty"
71822: EDCH,"Disab & Lang Arts"
71823: EDCH,"ESL Appr Across Content (1-6)"
71824: EDCH,"ESL: Science &Technology(7-12)"
71825: EDCH,"Educ & Sci71826: EDCH,"Educ & Science/Math/Technology"
71827: EDCH,"Educ Assmt Stud Spec Need"
71828: EDCH,"Educ Stud with Special Needs"
71829: EDCH,"Education & Culture in the US"
71830: EDCH,"Education Gifted Child & Youth"
71831: EDCH,"Education and Literacy"
71832: EDCH,"Education and Society"
71833: EDCH,"Education and Theories of Mind"
71834: EDCH,"Erly Intrv:Wkg W/Fam"
71835: EDCH,"Experiencing Education"
71836: EDCH,"Fam&Comm of Stud w/ Spec Needs"
71837: EDCH,"Foundation Literacy Instructn"
71838: EDCH,"Foundations of Educ & Science"
71839: EDCH,"Foundtn &Analysis of Teaching1"
71840: EDCH,"Hist Innov in Ed Method & Curr"
71841: EDCH,"Hist Phil &Cult Foundatn of Ed"
71842: EDCH,"Human Dev Birth to Young Adult"
71843: EDCH,"Human Relation Prob & Practice"
71844: EDCH,"Human Track in Urban Landscape"
71845: EDCH,"Humane Education"
71846: EDCH,"Improve Teaching: Open Classrm"
71847: EDCH,"Improve Teachng:Behavior Modif"
71848: EDCH,"Incl Educ /Tch Stu Spec Needs"
71849: EDCH,"Inclusive Teaching Practicum"
71850: EDCH,"Integrated Meth Liter Instruct"
71851: EDCH,"Integrating Soc Sci Chdhd Educ"
71852: EDCH,"Interpretation of Tests"
71853: EDCH,"Intl Dimensions Amer Curricula"
71854: EDCH,"Intro Autism Spectrum Disorder"
71855: EDCH,"Intro Biling & Sec Lang Acqtn"
71856: EDCH,"Intro Literacy Rsrch&Technolgy"
71857: EDCH,"Intro Technology in Childhd Ed"
71858: EDCH,"Issues & Strategies in Edu"
71859: EDCH,"Issues and Strategies in Educ"
71860: EDCH,"Lang Structure Mid &Sec School"
71861: EDCH,"Learn Env Child w/ Dev Needs"
71862: EDCH,"Learn Environmt Stud Spec Need"
71863: EDCH,"Learning Theory & Educ Process"
71864: EDCH,"Lit & Reading/Writing Process"
71865: EDCH,"Literacy Educ Current Issues"
71866: EDCH,"Literacy Educ: Communication"
71867: EDCH,"Literacy Skill71868: EDCH,"Literacy: Issues and Analysis"
71869: EDCH,"Math Sci Tech Ling Divrs Stud"
71870: EDCH,"Measurement & Eval in Teaching"
71871: EDCH,"Mental Hygiene & Behavior Prob"
71872: EDCH,"Meth&Practicum Literacy Grd3-6"
71873: EDCH,"Meth&Practicum in Literacy K-2"
71874: EDCH,"Method & Stud Teaching:Elem/EC"
71875: EDCH,"Methodologies for Bilngual Lit"
71876: EDCH,"Middle Childhood Math Educ"
71877: EDCH,"Moral Development & Moral Educ"
71878: EDCH,"Multicultural Education"
71879: EDCH,"Ped & Curr Ce 2"
71880: EDCH,"Ped&Cur M/Ch Adl:Ntr"
71881: EDCH,"Ped&Curric:Health&Nutrtion Sci"
71882: EDCH,"Plan &Teach in Urban Classroom"
71883: EDCH,"Practicum: Bilingual Tchng 1-6"
71884: EDCH,"Principle & Practice Elem Read"
71885: EDCH,"Programmed Instruction"
71886: EDCH,"Project Seminar in Computer Ed"
71887: EDCH,"Psy & Soc Prob Adol"
71888: EDCH,"Rec Prac Sup S/Tch"
71889: EDCH,"Research Methods Spec Educ"
71890: EDCH,"Schools and Communities"
71891: EDCH,"Sci Instruction Beyond Classrm"
71892: EDCH,"Sci&Environ Teaching/Learning1"
71893: EDCH,"Sci&Environ Teaching/Learning2"
71894: EDCH,"Sem & Stud Teaching:Spec Needs"
71895: EDCH,"Sem Appl Theory in Math Educ 1"
71896: EDCH,"Sem Appl Theory in Math Educ 2"
71897: EDCH,"Sem Appl Theory&Research"
71898: EDCH,"Sem Appl Thry/Rsch 1"
71899: EDCH,"Sem Appl Thry/Rsch 2"
71900: EDCH,"Sem Applied Theory &Research 1"
71901: EDCH,"Sem Applied Theory &Research 2"
71902: EDCH,"Sem Ed Res H Ed"
71903: EDCH,"Sem Ped & Curr: Hntr"
71904: EDCH,"Sem:Appl Theory&Res Literacy 1"
71905: EDCH,"Sem:Appl Theory&Res Literacy 2"
71906: EDCH,"Sem:Research Second Lang Learn"
71907: EDCH,"Sem:Science & Environmental Ed"
71908: EDCH,"Sepc Ed:Literacy &Communcation"
71909: EDCH,"Sexism in American Education"
71910: EDCH,"Skillful Teaching: Class Mgmt"
71911: EDCH,"Social Value:Health &Nutrition"
71912: EDCH,"Sources of Information"
71913: EDCH,"Soviet Education"
71914: EDCH,"Spe71915: EDCH,"Spec Ed:Development Disability"
71916: EDCH,"Spec Ed:Learning Process &Arts"
71917: EDCH,"Spec Ed:Math Stud w Spec Needs"
71918: EDCH,"Spec Ed:Stud wEmotion Conflict"
71919: EDCH,"Spec Ed:Stud wLearn Disability"
71920: EDCH,"Special Issues in Education"
71921: EDCH,"Special Topics in Education"
71922: EDCH,"Strat Mid & HS Stud:Spec Needs"
71923: EDCH,"Stud w/ Spec Needs:Gifted Educ"
71924: EDCH,"Stud/Tchg:Teaching ESL in K-12"
71925: EDCH,"StudTch:MidChild&Adol SpecNeed"
71926: EDCH,"Student Teaching 2:Bilingual"
71927: EDCH,"Student Teaching I:Childhood"
71928: EDCH,"Student Teaching II: Childhood"
71929: EDCH,"Student Teaching Practicum"
71930: EDCH,"Student Teaching: Childhood Ed"
71931: EDCH,"Student Teaching:Bilingual Ed"
71932: EDCH,"Student Techng I Bilingual Edu"
71933: EDCH,"Students with Special Needs"
71934: EDCH,"Studio II: Culture & Politics"
71935: EDCH,"Study of YoungChild’s Progress"
71936: EDCH,"Supervise Lab&Field Experience"
71937: EDCH,"Tch Chd Spec Needs"
71938: EDCH,"Tch Eng to Lang-Handcap:Primry"
71939: EDCH,"Tch Eng to Lang-Handcap:Sec Gr"
71940: EDCH,"Tch Literacy Inclusive Classrm"
71941: EDCH,"Tchg Eng to Emerg Biling Stud"
71942: EDCH,"Tchng Yng Chld with Spec Needs"
71943: EDCH,"Tchr&Crmd 1 Sp Ed"
71944: EDCH,"Teach & Learn Science:Chdhd Ed"
71945: EDCH,"Teach Lexicography &Vocabulary"
71946: EDCH,"Teach Literature Child & Adol"
71947: EDCH,"Teaching Autistic Students"
71948: EDCH,"Teaching Emergent Bilinguals"
71949: EDCH,"Teaching Least Restrictive Env"
71950: EDCH,"Teaching Math in Childhood Ed"
71951: EDCH,"Teaching Math in Elem School"
71952: EDCH,"Teaching Math: Childhood Ed"
71953: EDCH,"Teaching Science"
71954: EDCH,"Teaching Science Elem School"
71955: EDCH,"Teaching Students with Autism"
71956: EDCH,"Teaching Writing Across Curric"
71957: EDCH,"Teaching the Creative Arts"
71958: EDCH,"Teachng ESL:Arts of Expression"
71959: EDCH,"Theater in the Classroom"
71960: EDCH,"Theory & Practicum:Special Edu"
71961: EDCH,"Wkshp School Curriculum Dev"
71962: EDCH,"Workshop in the Language Arts"
71963: EDCH,"Young Children w/Special Needs"
71964: EDCS,"Applied Research Child Studies"
71965: EDCS,"Child Abuse and Neglect"
71966: EDCS,"Child Advocacy&NYS Legislation"
71967: EDCS,"Child Well-Being Global World"
71968: EDCS,"Children and Disability"
71969: EDCS,"Children and the Law"
71970: EDCS,"Children and the Media"
71971: EDCS,"Children in Crisis"
71972: EDCS,"Children of New York"
71973: EDCS,"Children?s & Young Adult Lit"
71974: EDCS,"Future Careers"
71975: EDCS,"Gen Next: Adol & Youth Culture"
71976: EDCS,"History of Children & US Law"
71977: EDCS,"Human Rights of Children"
71978: EDCS,"Independent Study"
71979: EDCS,"Internship Applied Child Stud"
71980: EDCS,"Intro Adv Research Methods"
71981: EDCS,"Perspectives on Childhood"
71982: EDCS,"Prof Perspective&Children"
71983: EDCS,"Profess Perform Chld"
71984: EDCS,"Special Topics"
71985: EDCS,"The Home and the World"
71986: EDOC,"Aging/Needs/Services"
71987: EDOC,"Applied Dress Des"
71988: EDOC,"City & Region Plan"
71989: EDOC,"Criminal Interrog"
71990: EDOC,"Devl In Nutrition"
71991: EDOC,"Fam Personality Dev"
71992: EDOC,"Fam.Econ&Consum Pblm"
71993: EDOC,"Financing & Invest"
71994: EDOC,"Home Eco Curricula"
71995: EDOC,"Independent Study 1"
71996: EDOC,"Law Enforce & Psych"
71997: EDOC,"Legal Problems 1"
71998: EDOC,"Nutrition Wld Prob"
71999: EDOC,"Police Org & Admin"
72000: EDOC,"Recent Devel Foods"
72001: EDOC,"Research 1"
72002: EDOC,"Research 2"
72003: EDOC,"Textile Fab Analys"
72004: EDOC,"Train Wkshp Sex Ed"
72005: EDOC,"Valuation & Apprais"
72006: EDOC,"Wkshp Hous Equip"
72007: EDPH,"Fund Golf"
72008: EDPH,"Fund Self Defense"
72009: EDPH,"Intermed Gymnast"
72010: EDPH,"Israeli Folk Dance"
