10740: ACCT,"Accounting for the S.E.C"
11420: CHEM,"Studies in Inorganic Chemistry"
11421: CHEM,"Studies in Organic Chemistry"
11422: CHEM,"Studies in Physical Chemistry"
11423: CHEM,"Topcs-Mod Orgnc Chem"
11424: CHIN,"Adv: Foreign Langage Study"
11425: CHIN,"Advanced Chinese I"
11426: CHIN,"Advanced Chinese II"
11427: CHIN,"Elementary Chinese I"
11428: CHIN,"Elementary Chinese II"
11429: CHIN,"Indiv Intermed For Lang Stdy"
11430: CHIN,"Intermediate Chinese I"
11431: CHIN,"Intermediate Chinese II"
11432: CLAS,"300-Level Elective"
11433: CLAS,"Greek & Roman Trag- Engl Trans"
11434: CLAS,"Synthesis of Classical Culture"
11435: CMGI,"Broadcast Design"
11436: CMGI,"Computer Animation I"
11437: CMGI,"Computer Animation II"
11438: CMGI,"Computer Modeling & Design II"
11439: CMGI,"Computer Modeling and Design I"
11440: CMGI,"Digital Media Prod:Advc-Narrtv"
11441: CMGI,"Digital Media Prod:TheoryPract"
11442: CMGI,"Digital Multimedia"
11443: CMGI,"Imaging/Appl To Www1"
11444: CMGI,"Indep Study in Comp Imaging"
11445: CMGI,"Introduction to Animation"
11446: CMGI,"Senior Project"
11447: CMGI,"Topics in Computer Imaging"
11448: CMIS,"Cmp Prog.Info Proc I"
11449: CMIS,"Comp Prgm Info Proc II"
11450: CMIS,"Computer Graphics in Business"
11451: CMIS,"Computer Grp Productivity Tool"
11452: CMIS,"Computer Information Systems"
11453: CMIS,"Computer Literacy"
11454: CMIS,"Computer System Fundamentals"
11455: CMIS,"Data Comms & Dist Netwks"
11456: CMIS,"Database Desgn&Prog"
11457: CMIS,"E-Commerce"
11458: CMIS,"Int Spreadsheet Analysis"
11459: CMIS,"Inter Lvl Tpc Cmp Ap"
11460: CMIS,"Internship In Cis"
11461: CMIS,"Intr Systems Analysis & Design"
11462: CMIS,"Intro Database Mgmt"
11463: CMIS,"Intro Local Area Netwrk"
11464: CMIS,"Intro Operatng Systs"
11465: CMIS,"Intro To Operat. Sys"
11466: CMIS,"Local Area Networks (LAN’s)"
11467: CMIS,"Microcomputer Architecture"
11468: CMIS,"Network Introduction"
11469: CMIS,"Network Security"
11470: CMIS,"Pract Unix:Prog&Syst"
11471: CMIS,"Spreadsheet Des&Prog"
11472: CMIS,"The Internet"
11473: CMIS,"Topics Computer Applications"
11474: CMSC,"Analysis of Algorithms"
11475: CMSC,"Artificial Intelligence"
11476: CMSC,"Automata Theory"
11477: CMSC,"Basic&Cmp Asstd Inst"
11478: CMSC,"Cmp Prog Inf Proc Ii"
11479: CMSC,"Combin & Graph Algorith"
11480: CMSC,"Communicating Robots"
11481: CMSC,"Comp Progrmng in Fortran"
11482: CMSC,"Comp.Organizationlab"
11483: CMSC,"Compiler Construction"
11484: CMSC,"Computability Theory"
11485: CMSC,"Computational Tools Bioinforma"
11486: CMSC,"Computer Graphics"
11487: CMSC,"Computer Organization"
11488: CMSC,"Computer Programming in C++"
11489: CMSC,"Computer Programming in Java"
11490: CMSC,"Computer Thinking for Educator"
11491: CMSC,"Cryptography"
11492: CMSC,"Data Struct & Algrms II"
11493: CMSC,"Data Struct & Algrthms I"
11494: CMSC,"Data Structures&Algorithms-Edu"
11495: CMSC,"Database Systems"
11496: CMSC,"E-commerce Technologies"
11497: CMSC,"Elem Disc Struc&Appl"
11498: CMSC,"Image Processing"
11499: CMSC,"Ind Study in Comp Science"
11500: CMSC,"Independent Study"
11501: CMSC,"Independent Study 3"
11502: CMSC,"Internet Programming"
11503: CMSC,"Internship in Computer Science"
11504: CMSC,"Intro Enterprise Cmp"
11505: CMSC,"Intro to Enterp Computing"
11506: CMSC,"Introduction to Networks"
11507: CMSC,"Linear Prg&Oper Res"
11508: CMSC,"Logo & Comp-Assisted Instruct"
11509: CMSC,"Master’s Thesis Research"
11510: CMSC,"Mastrs Comprehensive"
11511: CMSC,"Mobile Programming"
11512: CMSC,"Modeling Cellular Networks"
11513: CMSC,"Network Systems Lab"
11514: CMSC,"Numerical Analysis"
11515: CMSC,"Numerical Methods"
11516: CMSC,"Object Oriented Techniques"
11517: CMSC,"Operating Systems"
11518: CMSC,"Parallel Algorithms&Architect"
11519: CMSC,"Princ-Commnctn Netwk"
11520: CMSC,"Prog.Non-Com.Sci Maj"
11521: CMSC,"Programming Languages"
11522: CMSC,"Programming Methods I"
11523: CMSC,"Programming Methods I for Educ"
11524: CMSC,"Programming Methods II"
11525: CMSC,"Programming Methods II for Edu"
11526: CMSC,"Programming in Pascal"
11527: CMSC,"Programming in Visual Basic"
11528: CMSC,"Programming through Web Dev."
11529: CMSC,"Quantum Computer Science"
11530: CMSC,"Security of Networks"
11531: CMSC,"Simulation and Modeling"
11532: CMSC,"Software Engineering"
11533: CMSC,"Supvse Intrn Cmp Sci"
11534: CMSC,"Survey of Computer Hardware"
11535: CMSC,"System Programming Languages"
11536: CMSC,"Systems Analysis and Design"
11537: CMSC,"Topics in Computer Programming"
11538: CMSC,"Topics in Computer Science"
11539: CMSC,"Video Game Programming"
11540: COLI,"Afro-Antillean Litr"
11541: COLI,"Arts and Humanities Elect Cred"
11542: COLI,"Classics West Wrld 2"
11543: COLI,"Classics Western World I"
11544: COLI,"Classics of the Asian World"
11545: COLI,"Classics the Western World I"
11546: COLI,"Classics the Western World II"
11547: COLI,"History of the Theatre I"
11548: COLI,"Honors Tutorial"
11549: COLI,"Philosophy of Social Sciences"
11550: COLI,"Topics In Compar Lit"
11551: DANC,"Adv Student Performance Wkshp"
11552: DANC,"Advanced Dance Workshop"
11553: DANC,"Advanced Modern Dance"
11554: DANC,"Advanced Modrn Dance"
11555: DANC,"Advanced Stage Management"
11556: DANC,"Advanced Topics in World Dance"
11557: DANC,"Ballet Principles I"
11558: DANC,"Ballet Principles II"
11559: DANC,"Ballet Principles III"
11560: DANC,"Beg Ethnic&Jazz Dnc"
11561: DANC,"Beginning Ballet"
11562: DANC,"Beginning World and Jazz Dance"
11563: DANC,"Choreographic Workshop I"
11564: DANC,"Choreographic Workshop II"
11565: DANC,"Choreography and Improvisation"
11566: DANC,"Classcial Soul"
11567: DANC,"Dance History"
11568: DANC,"Dance Honors"
11569: DANC,"Dance Internship"
11570: DANC,"Dance Perspectives"
11571: DANC,"Dance Repertory"
11572: DANC,"Dance Workout I"
11573: DANC,"Dance Workshop"
11574: DANC,"Devised Multimedia Performance"
11575: DANC,"Edu & Recreational Pgrms Dance"
11576: DANC,"Fitness through Dance II"
11577: DANC,"Hip Hop"
11578: DANC,"Honors Multimedia Performing A"
11579: DANC,"Improvisation"
11580: DANC,"Intermediate Modern Dance"
11581: DANC,"Mind-Body Connection"
11582: DANC,"Modern Dance Fundamentals I"
11583: DANC,"Modern Dance Fundamentals II"
11584: DANC,"Modern Dance Principles I"
11585: DANC,"Modern Dance Principles II"
11586: DANC,"Movement for Actors & Dancers"
11587: DANC,"Multimedia Performing Arts Pro"
11588: DANC,"Multimedia Post-Production Wor"
11589: DANC,"Multimedia Production Workshop"
11590: DANC,"Performance Group: Ballet"
11591: DANC,"Performance Group: Ethnic"
11592: DANC,"Performance Group: Modern"
11593: DANC,"Rhythmic Analysis of Movement"
11594: DANC,"Selected Topics in Dance"
11595: DANC,"Semnr Practic Skills"
11596: DANC,"Social Dance Forms"
11597: DANC,"Somatics I"
11598: DANC,"Somatics II"
11599: DANC,"Special Projects"
11600: DANC,"Special Topics-Urban Dance II"
11601: DANC,"Student Repertory Workshop"
11602: DANC,"Tchnq Wshop: Intrmdt Mod Dance"
11603: DANC,"Tech Wksp: Ballet Principles"
11604: DANC,"Technique Wksp:Advanced Ballet"
11605: DANC,"Technique Workshop:  World"
11606: DANC,"Technique Workshop: Dance"
11607: DANC,"Technique Workshop:Urban Dance"
11608: DANC,"Technique Wrkshp:Adv Mod Dance"
11609: DANC,"Technique Wshop:Intrmdt Ballet"
11610: DANC,"Technique Wshop:Mdrn Dnc Princ"
11611: DANC,"The Body and Society"
11612: DANC,"Thry&Prac Dance Educ"
11613: DANC,"Thry&Prac Modn Dance"
11614: DANC,"Tools for Digital Storytelling"
11615: DANC,"Topics in Dance"
11616: DANC,"Urban Dance I"
11617: DANC,"Working in the Performing Arts"
11618: DANC,"Workshop in Music and Movement"
11619: DANC,"World Dance Principles"
11620: DIET,"Advanced Nutrition"
11621: DIET,"Cncpts/Mthds Dietetics Pract"
11622: DIET,"Comm. Nutrition & Food Justice"
11623: DIET,"Comprehensive Examin"
11624: DIET,"Curr Nutritn Concrns"
11625: DIET,"Dietetics11626: DIET,"Ethn/Thera.Meal Pat."
11627: DIET,"Experimental Foods"
11628: DIET,"Fld Exp Clinc Nutrtn"
11629: DIET,"Fld Exp-Commun Nutri"
11630: DIET,"Fld Exp-Food Ser Mgt"
11631: DIET,"Food Justice"
11632: DIET,"Food Science"
11633: DIET,"Food Service Management"
11634: DIET,"Food Service Operations& Mgmt"
11635: DIET,"Food11636: DIET,"Foods11637: DIET,"Geriatric Nutrition"
11638: DIET,"Honors-Dietetics & Nutrition"
11639: DIET,"Ind Stdy Clin Nutrtn"
11640: DIET,"Ind Stdy Comm Nutrtn"
11641: DIET,"Ind Stdy-Diet11642: DIET,"Introduction to Diet Therapy"
11643: DIET,"Life-Cycle Nutrition"
11644: DIET,"Meal Management"
11645: DIET,"Medical Nutrition Therapy"
11646: DIET,"Mgmnt Dietetic Servc"
11647: DIET,"Nutr Thru Life Cycle"
11648: DIET,"Nutrition Counseling"
11649: DIET,"Nutrition Education&Counseling"
11650: DIET,"Nutrition Mgmt of Disease II"
11651: DIET,"Nutrition Throughout Life Cyc"
11652: DIET,"Nutrition and Chronic Diseases"
11653: DIET,"Nutrition in Health Care"
11654: DIET,"Nutrition in Health Promotion"
11655: DIET,"Nutrition in Mgmt of Disease"
11656: DIET,"Nutrition:Integrated Approach"
11657: DIET,"Nutritional Assessment"
11658: DIET,"Nutritional Biochem Laboratory"
11659: DIET,"Nutritional Biochemistry"
11660: DIET,"Nutritional Support"
11661: DIET,"Pract-Clincl Nutritn"
11662: DIET,"Pract-Commnty Nutrtn"
11663: DIET,"Pub Hlth&Commnt Nutr"
11664: DIET,"Qnty Food Proc & Prd"
11665: DIET,"Res & Eval Method in Nutrition"
11666: DIET,"Research Methods in Nutrition"
11667: DIET,"Sel Top Dietic11668: DIET,"Sem Dietetics11669: DIET,"Sem in Prof Prac-Nutrn & Diet"
11670: DIET,"Special Topics in Nutrition"
11671: DIET,"Sports Nutrition"
11672: DIET,"Supervised Prof Practice"
11673: DIET,"The Nature and Science of Food"
11674: DIET,"Theory & Practice of Sport Nut"
11675: DIET,"Thes Smn-Comnty Nutr"
11676: DIET,"Thesis Seminar Clinical Nutrit"
11677: DIET,"Trends In Dietetics"
11678: DIET,"Wokshop in Nutrition Education"
11679: DISB,"Disability11680: DISB,"Fictions of Disability"
11681: DISB,"Introduction to Disability Stu"
11682: DISB,"Readings in Disability Studies"
11683: DISB,"Soc Sci Persp Hlth & Disab."
11684: DISB,"Sociology of Disability"
11685: DISB,"Special Tops in Disability Stu"
11686: ECON,"200-300 Level Elective"
11687: ECON,"Acad Perspectiv World of Work"
11688: ECON,"Advanced Auditing"
11689: ECON,"Advncd Acctng Theory"
11690: ECON,"Analysis Fin Statements"
11691: ECON,"Cmputr Info Sys Mgmt"
11692: ECON,"Computer-Based Accounting"
11693: ECON,"Consumer Economics"
11694: ECON,"Cost Accounting II"
11695: ECON,"Develpm Econ Thought"
11696: ECON,"Eco History Dev Countries"
11697: ECON,"Econ Development Latin America"
11698: ECON,"Econometrics"
11699: ECON,"Economic Analysis"
11700: ECON,"Economic Eval of Hlth Programs"
11701: ECON,"Economic Statistics"
11702: ECON,"Economics Seminar"
11703: ECON,"Economics of Aging"
11704: ECON,"Economics of Inequality"
11705: ECON,"Economics of Marketing"
11706: ECON,"Fundaments-Economics"
11707: ECON,"Graduate Seminar"
11708: ECON,"Health Economics"
11709: ECON,"His Amer Econmc Devlpmnt"
11710: ECON,"History of Economic Thought."
11711: ECON,"Honors Project in Economics"
11712: ECON,"Indep Study in Econ or Acct"
11713: ECON,"Independent Study"
11714: ECON,"Industrial Organization& Reg"
11715: ECON,"Int Mathematical Eco"
11716: ECON,"Intermediate Accounting I"
11717: ECON,"Intermediate Macroeconomics"
11718: ECON,"Intermediate Microeconomics"
11719: ECON,"International Economics"
11720: ECON,"Internship in Economics"
11721: ECON,"Intro To Coop Educ"
11722: ECON,"Introduction of Macroeconomics"
11723: ECON,"Introduction to Microeconomics"
11724: ECON,"Jumpstart Your Career:BravenAc"
11725: ECON,"Labor Economics"
11726: ECON,"Law and Economics"
11727: ECON,"Macroeconomics"
11728: ECON,"Managerial Economics"
11729: ECON,"Managerial Finance"
11730: ECON,"Microeconomics"
11731: ECON,"Money and Banking"
11732: ECON,"Public Economics"
11733: ECON,"Quantitative Analysis"
11734: ECON,"Society11735: ECON,"Sociology of Eco Development"
11736: ECON,"Socl Process-Wrk Env"
11737: ECON,"Urban Economics"
11738: EDBL,"Bil Chld Mild-Mod Lrn&Beh Prob"
11739: EDBL,"Curr Plan Bili Studs Mild Mod"
11740: EDBL,"Issues in Bilingualism"
11741: EDBL,"Pract Assess Bil Stu"
11742: EDBL,"Pract Remed Bil Stud"
11743: EDBL,"Psy-Ed Eval Bil Chld"
11744: EDCH,"Art Methods in Childhood Gr1-6"
11745: EDCH,"Lit/Ss In Chlhd Set."
11746: EDCH,"Math/Art Cldhd Set."
11747: EDCH,"Mthds of Math Chldhd Set Gr1-6"
11748: EDCH,"Sci&Music Chldhd Set"
11749: EDCH,"Ss&Litrcy Bilin Set."
11750: EDCH,"Stud Teaching Sem Chld Ed"
11751: EDCH,"Superv Stdnt Teach Bilingual"
11752: EDCH,"Suprv Student Tchng Grds 1-6"
11753: EDCU,"Adv Voctl Cnsel Thry"
11754: EDCU,"Advncd Career Devel"
11755: EDCU,"Alcholsm-Commnty Prb"
11756: EDCU,"Assessment in Counseling"
11757: EDCU,"Bilngl Counseling in Schl&Comm"
11758: EDCU,"Brief Couns Ch/Adol"
11759: EDCU,"Career Counseling"
11760: EDCU,"Chld Abus:Counsel&Ed"
11761: EDCU,"Clncl Assmt&Trmt Plng Mnt Hlth"
11762: EDCU,"College Access Counseling"
11763: EDCU,"Couns Rsrch Eval II"
11764: EDCU,"Counsel Research11765: EDCU,"Counsel Thry & Technques"
11766: EDCU,"Couples Counseling"
11767: EDCU,"Crisis11768: EDCU,"Cross-Cultrl Counsel"
11769: EDCU,"Develop School Counsel"
11770: EDCU,"FamCounselng&SchlCommPartnrshp"
11771: EDCU,"Foundations-Mental Hlth Cnslng"
11772: EDCU,"Group Counseling"
11773: EDCU,"Human Dev.In Counsel"
11774: EDCU,"Internship in K-12 SchlCoun II"
11775: EDCU,"Internship in K-12 SchlCouns I"
11776: EDCU,"Intrn Clncl Mntl Hlth Cnslng 2"
11777: EDCU,"Intrn Clncl Mntl Hlth Cnslng I"
11778: EDCU,"Intro Counsel Theory"
11779: EDCU,"Intro To Assess Thry"
11780: EDCU,"Mastrs Comprehensive"
11781: EDCU,"Multicult.&SoclJstceCounseling"
11782: EDCU,"Parenting Div Family Structure"
11783: EDCU,"Prac-Cnslng&Humn Rel"
11784: EDCU,"Practicum in Counseling"
11785: EDCU,"Practicum-Assessment"
11786: EDCU,"Prof.Ident.in SchoolCounseling"
11787: EDCU,"Psychopathology in Counseling"
11788: EDCU,"Sch/CommLdrshp11789: EDCU,"Seminr Counselng 7"
11790: EDCU,"SexualityCounselng-School &Fam"
11791: EDEC,"Adv Mthds Tchng Rdng Elem Schl"
11792: EDEC,"Adv Stdys Curriclm I & II"
11793: EDEC,"Adv Stu-Tch Intrnshp"
11794: EDEC,"Adv Stud Teaching Internship"
11795: EDEC,"Adv Tchng Music-Elem"
11796: EDEC,"Adv&Supv Early Child"
11797: EDEC,"Adv-Cmpar&Intrntl Ed"
11798: EDEC,"Advanced Study Curriculum I/II"
11799: EDEC,"Aesthetic Ed-Elementary School"
11800: EDEC,"Art In Elem School"
11801: EDEC,"Arts Curr Hispn Cult"
11802: EDEC,"Bil/Bicul Hispn Schs"
11803: EDEC,"Bilchld Litcydev-Ec"
11804: EDEC,"Blnglsm for Clssrm Tchrs B-6"
11805: EDEC,"Child Concepts of Sci & Music"
11806: EDEC,"Child Study&Dev Assessment 1-6"
11807: EDEC,"Child-HisPolSoccltCntxt B-Gr6"
11808: EDEC,"Chld Dev & Pgrm Design"
11809: EDEC,"Chld Literacy Dev-Ec"
11810: EDEC,"Chldconcept-Math&Art"
11811: EDEC,"Chldobserv&Devassess"
11812: EDEC,"Chldren11813: EDEC,"Comparative Education"
11814: EDEC,"Coord Sci Instr Elem"
11815: EDEC,"Curr Dev Env Edu for Elm Sch"
11816: EDEC,"Curr Dev: Soc Sci-Elem School"
11817: EDEC,"Curr Plan & Mgmt Elem Edu"
11818: EDEC,"Dev In-Service Programs for EC"
11819: EDEC,"Dev Music Appreciation Early C"
11820: EDEC,"Dev Sci Concept Early Chldhd"
11821: EDEC,"Dev Yng Children’s Concept Art"
11822: EDEC,"Diag-El Mat Lrn Difc"
11823: EDEC,"EC Edu Literacy & Social Stud"
11824: EDEC,"Early Childhood Program Trends"
11825: EDEC,"Ed Probs-Metro Areas"
11826: EDEC,"Ed Psy-Chld Stdy&Dev"
11827: EDEC,"Edu Psy Learning"
11828: EDEC,"Edu Tests & Msrmnts"
11829: EDEC,"Edu Wkshp Tchrs of Chldrn PR"
11830: EDEC,"Educational Evaluation"
11831: EDEC,"Elem Ed: Social Studies Adv"
11832: EDEC,"Ethics & Profes in Child Teach"
11833: EDEC,"Ethics/Prof.-Ec Tch"
11834: EDEC,"Fam11835: EDEC,"Fam11836: EDEC,"Fdns Erly Lang&Ltrcy Dev B-Gr2"
11837: EDEC,"Foundations of Education"
11838: EDEC,"Fund Curric Developm"
11839: EDEC,"His.Pol.Soc-Cultcntx"
11840: EDEC,"Int Tch Intern & Sem"
11841: EDEC,"Int. Intern/Semin Ii"
11842: EDEC,"Int.Tch Intern/Sem I"
11843: EDEC,"Int.Tch.Intern/Sem I"
11844: EDEC,"Intensive Tch Intern/Sem II"
11845: EDEC,"Intr Eductnl Reserch"
11846: EDEC,"Intro Teach Reading Elem Sch"
11847: EDEC,"Learn & Teach Math Chldhd I-VI"
11848: EDEC,"Learn & Teach S.S Bil-Bi-Cult"
11849: EDEC,"Learn&Teach Art Chldhd 1 to 6"
11850: EDEC,"Learn&Teach Music Chldhd 1-6"
11851: EDEC,"Learn&Teach Science Chldhd 1-6"
11852: EDEC,"Learn&Teach Soc Stu Chldhd 1-6"
11853: EDEC,"Lit & Soc Stds Erly Chldhd Edu"
11854: EDEC,"Lit Bil-Bicult Earl Child Sett"
11855: EDEC,"Lit In The Elem Schl"
11856: EDEC,"Literacy Dev Early Childhood"
11857: EDEC,"Lrng & Tchng Lit & Soc Stds"
11858: EDEC,"Lrng & Tchng Lit Chldhd Set II"
11859: EDEC,"Lrng& Tching Sci&Mus"
11860: EDEC,"Lrng&TchngChldhdSet:LitPrimGrd"
11861: EDEC,"Mainstrmg-Elem Class"
11862: EDEC,"Materials/Methods Math Educ"
11863: EDEC,"Math & Art Childhood Settings"
11864: EDEC,"Math & Art Early Chld Edu"
11865: EDEC,"Math Concept Form Early Chldhd"
11866: EDEC,"Mth&Matrl-Erly Chld1"
11867: EDEC,"Mths & Materials Erly Chld II"
11868: EDEC,"Multilingualism Clssrm Brth-6"
11869: EDEC,"Multilingualism ClssrmBrth-6th"
11870: EDEC,"Mus In The Elem Schl"
11871: EDEC,"Par/Tchr Chd Rltnshp"
11872: EDEC,"Parent11873: EDEC,"Phys Ed in Elementary School"
11874: EDEC,"Plan Pre-Kin&Kin Prg"
11875: EDEC,"Pol & Prac Learners Disability"
11876: EDEC,"Pracm Rem Prg El Mat"
11877: EDEC,"Prgm & Envir Infant & Toddler"
11878: EDEC,"Prog Dsgn in Chldhd Set-Gr 1-6"
11879: EDEC,"Program Plan: Early Childhood"
11880: EDEC,"Project Seminar I"
11881: EDEC,"Project Seminar II"
11882: EDEC,"Psy Elem-Adv Edu Psy"
11883: EDEC,"Psy in Ed Group Dynamics"
11884: EDEC,"Psych of Dev & Learn in Elem"
11885: EDEC,"Quantitative Methods"
11886: EDEC,"School and Community"
11887: EDEC,"Sci Instruc Elem Adv"
11888: EDEC,"Science & Music - Ec"
11889: EDEC,"Sec Lan Lrng & Tchng Elem Schl"
11890: EDEC,"Semi Prbms of Elmntry Edu"
11891: EDEC,"Seminr Elem Teachg 1"
11892: EDEC,"Seminr Elem Teaching"
11893: EDEC,"Soc Stu Conc Dev-Ec"
11894: EDEC,"Socstu Concdevbil/Ec"
11895: EDEC,"Span Spkng Am Urbn Schl Sett"
11896: EDEC,"Spec Stds Early Childhood Edu"
11897: EDEC,"Spec Stdys-Elem Educ"
11898: EDEC,"Special Stds Elem Ed"
11899: EDEC,"Stdys Tch El Mat Adv"
11900: EDEC,"Student Teaching Seminar"
11901: EDEC,"Student Teaching/Intership Sem"
11902: EDEC,"Sup Stu Tch Bil Pk-2"
11903: EDEC,"Sup Stu Tch Pk-2"
11904: EDEC,"Superv & Coordin-Elem Sch Mat"
11905: EDEC,"Supp Lang&Erly Lit Dev Inf&Tod"
11906: EDEC,"SuppCogntvDev Infants&Toddlers"
11907: EDEC,"Supprt Excptnl Inf&Tod Learner"
11908: EDEC,"Supptng Soc Emotnl Dev Inf&Tod"
11909: EDEC,"Supv Student Teach Bil Setting"
11910: EDEC,"Supvd Stud Tchng Biling Clsrms"
11911: EDEC,"Supvd Student Teach Internship"
11912: EDEC,"Supvd Student Teach Intshp 1-6"
11913: EDEC,"Supvd Student Teaching 1 to 6"
11914: EDEC,"Supvd Student Teaching Pre-K-2"
11915: EDEC,"Tch Engl As 2nd Lang"
11916: EDEC,"Tch. Intern/Semin I"
11917: EDEC,"Tch. Intern/Semin IV"
11918: EDEC,"Tch. Intern/Semin Ii"
11919: EDEC,"Tch.Intern/Semin III"
11920: EDEC,"Tch.Intern/Semin Iii"
11921: EDEC,"Tch.Intern/Semin Iv"
11922: EDEC,"Tch.Intern/Semin V"
11923: EDEC,"Tchng Eng As 2nd Lan"
11924: EDEC,"Tchng Eng Sec Lang (PreK-6 Gr)"
11925: EDEC,"Tchng His & Soc Stds"
11926: EDEC,"Tchng Intrnshp & Semi I"
11927: EDEC,"Tchng Mat-Elem Schl"
11928: EDEC,"Tchng Rding-Mid Grds"
11929: EDEC,"Tchng Rdng-Prima Grd"
11930: EDEC,"Tchng Sci- Elem Sch"
11931: EDEC,"Tchng Sci- Elem Schl"
11932: EDEC,"Teach Internship/Seminar II"
11933: EDEC,"Teach Lit in Bilingual Set 1-6"
11934: EDEC,"Teacher as Researcher"
11935: EDEC,"Teacher as Researcher&Writer"
11936: EDEC,"Teaching ESL(Pre-K to Grade 6)"
11937: EDEC,"Teaching Intrnshp Seminar V"
11938: EDEC,"Teaching Lit&SS in Grade 1-6"
11939: EDEC,"Teaching Math in Elem School"
11940: EDEC,"Teaching Profess-Birth to Gr 6"
11941: EDEC,"Using Computer in Classroom"
11942: EDEC,"Wksp Tch Frgn Lang 1"
11943: EDEC,"Wksp Tch Frgn Lang 2"
11944: EDEC,"Wksp-Tchng As Proces"
11945: EDEC,"Workshop: Curriculum Materials"
11946: EDEC,"Workshops in Curriculum Design"
11947: EDEC,"Yng Chld & the Arts Birth-Gr 2"
11948: EDEC,"Young Child & Music11949: EDFC,"Child Development"
11950: EDFC,"Clothing in XX Cent Society"
11951: EDFC,"Comprehensive Exam"
11952: EDFC,"Consumer Advocacy"
11953: EDFC,"Consumer Problems in Housing"
11954: EDFC,"Consumption Behavior"
11955: EDFC,"Curr Probs Cons Stdy"
11956: EDFC,"Curr Probs Fam & Cons Stds"
11957: EDFC,"Demnstr Matr&Techqs"
11958: EDFC,"Family Clothing"
11959: EDFC,"Family Relationships"
11960: EDFC,"Field Study Clothing & Textile"
11961: EDFC,"Fld Stdy-Housing Mgt"
11962: EDFC,"Historic Costume"
11963: EDFC,"Home & Coop Ownershp"
11964: EDFC,"Home Management"
11965: EDFC,"Honors Fam & Consumer Stdys"
11966: EDFC,"Household Equipment"
11967: EDFC,"Interior Decoration and Design"
11968: EDFC,"Intro Counsel for Fam Living"
11969: EDFC,"Mang Hous For Eldrly"
11970: EDFC,"Modern Housing"
11971: EDFC,"Orient Fam Cons Stdy"
11972: EDFC,"Problems in Home Management"
11973: EDFC,"Sem&Fld Stdy-Fam Rel"
11974: EDFC,"Seminar in Housing Management"
11975: EDFC,"Seminar in Human Sexuality"
11976: EDFC,"Spec Prb Cloth Desgn"
11977: EDFC,"Spec Proj in Fam&Consumer Stud"
11978: EDFC,"Textile Design"
11979: EDFC,"Textiles I"
11980: EDFC,"Textiles II"
11981: EDFC,"Trends In Fcs"
11982: EDFC,"Weaving I"
11983: EDLE,"Collab & Community Leadership"
11984: EDLE,"Communication and Team Work"
11985: EDLE,"Crt Eff/Supp Lrn Env"
11986: EDLE,"Decision Making"
11987: EDLE,"Decsn & Ethcs In Sch"
11988: EDLE,"Diversty&Ed Leadrshp"
11989: EDLE,"Ed Govern11990: EDLE,"Ethical Leadership"
11991: EDLE,"Ethics in School Leadership"
11992: EDLE,"Finance11993: EDLE,"Holistic Leadership"
11994: EDLE,"Instruct Curriculum Ldrship"
11995: EDLE,"Ldng Effective School District"
11996: EDLE,"Lead Exp Dist-Region Lvl"
11997: EDLE,"Leadership Exp-District Extens"
11998: EDLE,"Leadership Sem I:NeedAssesment"
11999: EDLE,"Leadership Sem II: Lit Rsrch"
12000: EDLE,"Leadership Sem III: Implm Plan"
12001: EDLE,"Leading for Strategic Change"
12002: EDLE,"Leadrshp Exp I-Building Level"
12003: EDLE,"Leadrshp Exp II-Building Level"
12004: EDLE,"Legal & Eco Issu & Admin Schls"
12005: EDLE,"Leveraging Human Capital"
12006: EDLE,"Managing Financial Resources"
12007: EDLE,"Principal As Leader"
12008: EDLE,"Prnts12009: EDLE,"Prog Development & Evaluation"
12010: EDLE,"School Building Leadership"
12011: EDLE,"School District Leadership"
12012: EDLE,"Tech12013: EDLE,"Vision12014: EDMI,"2nd Lang Lrng&Tchng"
12015: EDMI,"Academic Discourse Comm/MHSE"
12016: EDMI,"Accounting and Business Subj"
12017: EDMI,"Adv-Cmpar&Intrnat Ed"
12018: EDMI,"Advancd Educatnl Psy"
12019: EDMI,"Am Edu: Phil & Hist Fndtns"
12020: EDMI,"Assess Secnd12021: EDMI,"Bilngism & Blngl Edu"
12022: EDMI,"Clerical Subjects"
12023: EDMI,"Comm Chge Mdel: Crtng New Comm"
12024: EDMI,"Comm Resrces Sci Tchng & Lrng"
12025: EDMI,"Community Chge Model"
12026: EDMI,"Comparative Education"
12027: EDMI,"Curr12028: EDMI,"Current Issues & Probs in Ed"
12029: EDMI,"Current Issues in Math Edu"
12030: EDMI,"Curriculum Theory and Design"
12031: EDMI,"Deliver Instr in Bus&Industry"
12032: EDMI,"Ed Wksp-2ndary Tcher"
12033: EDMI,"Eng New Lang-Con Area"
12034: EDMI,"Europ Background Amer Educat"
12035: EDMI,"Eval & Assmnt Student Lrning"
12036: EDMI,"Evalu Tchng-Engl-Esl"
12037: EDMI,"Explrtns&Pract Acad Dscrs Comm"
12038: EDMI,"Family and Consumer Studies"
12039: EDMI,"Field Work 1"
12040: EDMI,"Field Work 2"
12041: EDMI,"Foundations of Education"
12042: EDMI,"Foundtn Bil-Bicul Ed"
12043: EDMI,"Hist Foundations US Educ"
12044: EDMI,"History of the American School"
12045: EDMI,"Human Relations"
12046: EDMI,"Human Rights Education"
12047: EDMI,"Ind Std in Mid & Hgh School Ed"
12048: EDMI,"Ind Stdy-Curric Devl"
