65077: ACCT,"Accounting 100-Level Elective"
65781: CIST,"East Asian Popular Cultures"
65782: CIST,"Elec Media:Video Hst"
65783: CIST,"European Cinema"
65784: CIST,"Film Editing"
65785: CIST,"Film Genres"
65786: CIST,"Film History"
65787: CIST,"Film Production"
65788: CIST,"Film Theory"
65789: CIST,"French Directors After 1960"
65790: CIST,"French Directors Before 1960"
65791: CIST,"Freshman Cinema"
65792: CIST,"Global Cinema"
65793: CIST,"Intro to 16mm Filmmaking"
65794: CIST,"Introduction to Film"
65795: CIST,"Introduction to Screen Writing"
65796: CIST,"Japanese Cinema: Theory & Hist"
65797: CIST,"Latina/o Media"
65798: CIST,"Media Internship"
65799: CIST,"Media Wrkshop"
65800: CIST,"Non-Lin/Multimda Prd"
65801: CIST,"Nonfiction Film and Television"
65802: CIST,"Politics65803: CIST,"Postwar Italian Cinema"
65804: CIST,"Screen Adaptations"
65805: CIST,"Screen Comedy"
65806: CIST,"Screen Writing"
65807: CIST,"Senior Project"
65808: CIST,"Soc. Jus65809: CIST,"Sound for Film and Media"
65810: CIST,"Television Studio Production"
65811: CIST,"Thesis Research"
65812: CIST,"Third Cinema"
65813: CIST,"Video I"
65814: CIST,"Video II"
65815: CIST,"Video Workshop"
65816: CIST,"Women and Film"
65817: CMSC,"36  Ooo"
65818: CMSC,"Adv Comput Game Programming"
65819: CMSC,"Adv High Perf Comp"
65820: CMSC,"Adv Micro Sys Design"
65821: CMSC,"Advanced Data Communications"
65822: CMSC,"Advanced Database Systems"
65823: CMSC,"Advanced Operating Systems"
65824: CMSC,"Advanced Systems Programming"
65825: CMSC,"Algrithms&Info Struc"
65826: CMSC,"Analysis of Algorithms"
65827: CMSC,"App Concepts in Info Systems"
65828: CMSC,"App Math Comp Sci"
65829: CMSC,"Applications Programming"
65830: CMSC,"Applied Cryptography"
65831: CMSC,"Artif Intel&Knw Engi"
65832: CMSC,"Artificial Intelligence"
65833: CMSC,"Assistive Tech for Univ Apps"
65834: CMSC,"Basic Desktop Publishing"
65835: CMSC,"Broadband and SONET Networks"
65836: CMSC,"C Programming"
65837: CMSC,"CSC Internship"
65838: CMSC,"Cobol Programming"
65839: CMSC,"Comp Aided Analysis & Design"
65840: CMSC,"Comp Perfrmnce Eval"
65841: CMSC,"Comp Sci Grad Cr"
65842: CMSC,"Comp Sci Grad Credit"
65843: CMSC,"Comp Sci Grad Credti"
65844: CMSC,"Comp Sci Ind Study"
65845: CMSC,"Comp Sci Indep Stdy"
65846: CMSC,"Compiler Construction"
65847: CMSC,"Computability"
65848: CMSC,"Computation Theory"
65849: CMSC,"Computational Problem Solving"
65850: CMSC,"Computer Architecture"
65851: CMSC,"Computer Graphics"
65852: CMSC,"Computer Hacking Revealed"
65853: CMSC,"Computer Organization"
65854: CMSC,"Computer Sci & Linguistics"
65855: CMSC,"Computer Sci Credit"
65856: CMSC,"Computer Sci Independent Study"
65857: CMSC,"Computer Science Internship"
65858: CMSC,"Computer System Design"
65859: CMSC,"Computer System Fundamentals"
65860: CMSC,"Computer Technology Concepts"
65861: CMSC,"Computer Technology Lab"
65862: CMSC,"Computer Vision"
65863: CMSC,"Computer and Windows"
65864: CMSC,"Computers & Society"
65865: CMSC,"Computers Perspctves"
65866: CMSC,"Computers for Today"
65867: CMSC,"Computers65868: CMSC,"Computing for Teachers I"
65869: CMSC,"Computing for Teachers II"
65870: CMSC,"Computr Sci Internsh"
65871: CMSC,"Cryptography"
65872: CMSC,"Data Science"
65873: CMSC,"Data Structures"
65874: CMSC,"Database Theory"
65875: CMSC,"Digital Circuits Design"
65876: CMSC,"Digital Circuits Laboratory"
65877: CMSC,"Digital Image Processing"
65878: CMSC,"Digital Signal Processing"
65879: CMSC,"Discrete Simulation"
65880: CMSC,"Discrete Structures"
65881: CMSC,"Discrte Mth Comp Sci"
65882: CMSC,"Formal Language Theory"
65883: CMSC,"Fund Wireless Comm"
65884: CMSC,"Graduate Research Laboratory"
65885: CMSC,"Graph-Based Analy for Big Data"
65886: CMSC,"High-speed LAN and WAN"
65887: CMSC,"Honors Workshop"
65888: CMSC,"Image Process Comp Sci"
65889: CMSC,"Info Retrieval"
65890: CMSC,"Info Structures for Business"
65891: CMSC,"Input/Output Operations"
65892: CMSC,"Intelligent Networks"
65893: CMSC,"Intermediate Programming"
65894: CMSC,"Internet Data Communications"
65895: CMSC,"Intrnet/Cdrom/Hsmath"
65896: CMSC,"Intrnt App Scrpt Lng"
65897: CMSC,"Intro Comp Game Prog"
65898: CMSC,"Intro Comp Technolog"
65899: CMSC,"Intro Computer Sci"
65900: CMSC,"Intro High Perf Computing"
65901: CMSC,"Intro To Info Sys"
65902: CMSC,"Intro To Ms-Dos"
65903: CMSC,"Intro To Wrdprocesng"
65904: CMSC,"Intro to Comp Thinking for Tch"
65905: CMSC,"Intro to Database Systems"
65906: CMSC,"Intro to Sci65907: CMSC,"Intro to Web Dev/The Internet"
65908: CMSC,"Introduction to Data Science"
65909: CMSC,"Introduction to Database"
65910: CMSC,"Introduction to Spreadsheets"
65911: CMSC,"Introductory Computer Graphics"
65912: CMSC,"Job Control Language"
65913: CMSC,"Knowledge Discovery"
65914: CMSC,"Lang & Computers"
65915: CMSC,"Mach Learn & Knowledge Disc"
65916: CMSC,"Machine Learning & Data Mining"
65917: CMSC,"Management Information Systems"
65918: CMSC,"Media Trans&Charac"
65919: CMSC,"Microcontrollers"
65920: CMSC,"Mobile Application Development"
65921: CMSC,"Modern Web Development"
65922: CMSC,"Natural Language Processing"
65923: CMSC,"Network Security"
65924: CMSC,"Neural Networks and Deep Learn"
65925: CMSC,"Oper Sys Des&Implmtn"
65926: CMSC,"Operatating Sys Prog Lab"
65927: CMSC,"Operating Systems I"
65928: CMSC,"Operating Systems II"
65929: CMSC,"Operations I"
65930: CMSC,"Operations II"
65931: CMSC,"Parallel Computing"
65932: CMSC,"Pattern Recogn & Neural Netw"
65933: CMSC,"Programing Languages"
65934: CMSC,"Robotic Explorations"
65935: CMSC,"Scientific Computing"
65936: CMSC,"Seminar in Computer Science"
65937: CMSC,"Serious Game Development"
65938: CMSC,"Shared Memory Parallel Comp"
65939: CMSC,"Software Design"
65940: CMSC,"Software Engineering"
65941: CMSC,"Software Systems Design"
65942: CMSC,"Spec Topics Adv Web Dev"
65943: CMSC,"Special Topics-Computer Vision"
65944: CMSC,"Tech Curr Dev & Instruction"
65945: CMSC,"Tech Infsd Curr Dev"
65946: CMSC,"Technology Programng"
65947: CMSC,"Telecommunication Networks"
65948: CMSC,"Text Editing Systems"
65949: CMSC,"Theory of Computation"
65950: CMSC,"Thesis Research"
65951: CMSC,"Topics in System Simulation"
65952: CMSC,"Tpc Applic Progrmg"
65953: CMSC,"Web Database Applications"
65954: COBL,"Bldg.Relat.& Capac.Comm.Ldrshp"
65955: COBL,"Curr.Stndrds.&Assmt. Com.Engmt"
65956: COBL,"Dissertation Advisement I"
65957: COBL,"Dissertation Advisement II"
65958: COBL,"Dissertation Proposal"
65959: COBL,"Global.Comm.Ed. Reform Global."
65960: COBL,"Policy Trends Chld65961: COBL,"Pub.Rel.65962: COBL,"Qualitative Meth. Appld Rsrch"
65963: COBL,"Quant&Mixed Methods Appld Rsrc"
65964: COBL,"Research Practicum"
65965: COBL,"Resource Mgmt. in School Comm."
65966: COBL,"Schol. Inq. Comm. Ldrshp I"
65967: COBL,"Schol. Inq. Comm. Ldrshp II"
65968: COBL,"Soc & Hist Contexts Sch. Comms"
65969: COBL,"Transf. Lrng & Tchng Sch/Comm"
65970: COCC,"Co Curricular Clue"
65971: COMM,"Adv Eds & Dig Med Wksp"
65972: COMM,"Advanced TV Studio Production"
65973: COMM,"African American Media"
65974: COMM,"African Americans in the Media"
65975: COMM,"Broadcast Journalism"
65976: COMM,"Cinema Independent Study"
65977: COMM,"Com Internship"
65978: COMM,"Comm in a Corporate Setting"
65979: COMM,"Communications Design Workshop"
65980: COMM,"Communications Internship"
65981: COMM,"Corp Comm Practices"
65982: COMM,"Data Visualization"
65983: COMM,"Digital Design for Journalists"
65984: COMM,"Digital Imaging I"
65985: COMM,"Digital Imaging II"
65986: COMM,"East Asian Popular Cultures"
65987: COMM,"Global Media"
65988: COMM,"History of Print Media"
65989: COMM,"History/Theory Tv"
65990: COMM,"Hst Advt&Pub Rlns"
65991: COMM,"Hst Des&Dig Media"
65992: COMM,"Hst Radio&Television"
65993: COMM,"Information Design"
65994: COMM,"Intr Online Journlsm"
65995: COMM,"Intro Des&Dig Media"
65996: COMM,"Intro To Online Journalism"
65997: COMM,"Intro to Online Journalism"
65998: COMM,"Introduction to Communications"
65999: COMM,"Introduction to Journalism"
66000: COMM,"Introduction to Media"
66001: COMM,"Japanese Cinema: Theory & Hst"
66002: COMM,"Journalism and Society"
66003: COMM,"Latina/o Media"
66004: COMM,"Mass Media in Modern Society"
66005: COMM,"Media Administration"
66006: COMM,"Media Analysis"
66007: COMM,"Media Audiences"
66008: COMM,"Media Culture Independent Stud"
66009: COMM,"Media Industries"
66010: COMM,"Media Internship"
66011: COMM,"Media Literacy"
66012: COMM,"Media Regulation"
66013: COMM,"Media Wksp Actors/Di"
66014: COMM,"Media Wrkshop"
66015: COMM,"Media and Culture"
66016: COMM,"Media and the Margins"
66017: COMM,"Motion Graphics"
66018: COMM,"Multicultural Literacy"
66019: COMM,"Music For Media"
66020: COMM,"Newspaper Reporting"
66021: COMM,"Princ Edit Design"
66022: COMM,"Radio Production"
66023: COMM,"Radio and TV News-Casting"
66024: COMM,"Radio/TV Newscasting"
66025: COMM,"Radio/Tv Performance"
66026: COMM,"Sen Sem Com Resrch"
66027: COMM,"Senior Proj Dig Med"
66028: COMM,"Small Form Tv Produc"
66029: COMM,"Soc. Jus66030: COMM,"Studies in Advanced Journalism"
66031: COMM,"Tech Web Dsgn&Animat"
66032: COMM,"Television Studio Production"
66033: COMM,"Theories of Communications"
66034: COMM,"Theories of Mass Media"
66035: COMM,"Tv Studio Production"
66036: COMM,"Typography and Design"
66037: COMM,"Web Des66038: COMM,"Web Design66039: COMM,"Workshop in Typesetting"
66040: COMM,"Writing for Advertising & PR"
66041: COMM,"Writing for the Media"
66042: CORE,"US Issues Ideas Inst"
66043: COUN,"75  Ooo"
66044: CUBA,"Cuny BA Credit"
66045: CUBA,"Cuny Ba Credit"
66046: DANC,"Afro-Haitian Rhythms I"
66047: DANC,"Afro-Haitian Rhythms II"
66048: DANC,"Black Dance Workshop"
66049: DANC,"Choreography I"
66050: DANC,"Choreography II"
66051: DANC,"Choreography III"
66052: DANC,"Choreography IV"
66053: DANC,"Contemp Dance II"
66054: DANC,"Contemp Dance III"
66055: DANC,"Contemp Dance IV"
66056: DANC,"Contemp Dance VI"
66057: DANC,"Contemporary Dance Technique I"
66058: DANC,"Contemporary Dance V"
66059: DANC,"Dance Elective Credit"
66060: DANC,"Dance For Men"
66061: DANC,"Dance Hst: 20th Century Survey"
66062: DANC,"Dance Ind Study"
66063: DANC,"Dance Independent Study"
66064: DANC,"Dance Internship"
66065: DANC,"Fundamentals of Ballet I"
66066: DANC,"Fundamentals of Ballet II"
66067: DANC,"Improvisation I"
66068: DANC,"Improvisation II"
66069: DANC,"International Folk Dance"
66070: DANC,"Modern Dance Ii"
66071: DANC,"Modern Dance Technique I"
66072: DANC,"Modern Jazz Dance I"
66073: DANC,"Modern Jazz Dance II"
66074: DANC,"Private Study in Dance I"
66075: DANC,"Private Study in Dance II"
66076: DANC,"Private Study in Dance III"
66077: DANC,"Private Study in Dance IV"
66078: DANC,"Square Dance"
66079: EAST,"East Asian Popular Cultures"
66080: EAST,"Eastern Philosophy"
66081: EAST,"Intro to Asian Phil Traditions"
66082: EAST,"Japanese Cinema: Theory & Hst"
66083: ECON,"52  Ooo"
66084: ECON,"Amer Economic Issues"
66085: ECON,"Behavioral Economics"
66086: ECON,"Black Communty Eco"
66087: ECON,"Business Forecasting"
66088: ECON,"Comparative Economic Systems"
66089: ECON,"Consumer Economics"
66090: ECON,"Contmporary Issues"
66091: ECON,"Developing Nations"
66092: ECON,"Eco Growth and Development"
66093: ECON,"Eco of Natur Resource/Envrn"
66094: ECON,"Economic Geography"
66095: ECON,"Economics 300-Level Elective"
66096: ECON,"Economics Grad Credt"
66097: ECON,"Economics Ind Stdy"
66098: ECON,"Economics Independent Study"
66099: ECON,"Economics Internship"
66100: ECON,"Economics and Philosophy"
66101: ECON,"Economics and Technology"
66102: ECON,"Economics for Engineers"
66103: ECON,"Ecophlpol Senior Sem"
66104: ECON,"Energy/Environment"
66105: ECON,"Engineering Economics"
66106: ECON,"Engineering Economy"
66107: ECON,"Finance Institutns"
66108: ECON,"Government Spending"
66109: ECON,"Government and Business"
66110: ECON,"Health Economics"
66111: ECON,"History of American Business"
66112: ECON,"History of Economic Thought"
66113: ECON,"Hum Beings-Busness"
66114: ECON,"Income Distrbution"
66115: ECON,"Industrial Organization"
66116: ECON,"Inequality and Welfare"
66117: ECON,"Intermed Math Eco"
66118: ECON,"Intermediate Macroeconomics"
66119: ECON,"Intermediate Microeconomics"
66120: ECON,"International Economics"
66121: ECON,"International Finance"
66122: ECON,"Internl Pol Economy"
66123: ECON,"Intro To Investments"
66124: ECON,"Intro to Mathematical Economic"
66125: ECON,"Introduction To Microeconomics"
66126: ECON,"Introduction to Econometrics"
66127: ECON,"Introduction to Economics"
66128: ECON,"Introduction to Macroeconomics"
66129: ECON,"Investment Analysis"
66130: ECON,"Labor Economics"
66131: ECON,"Labor Relations"
66132: ECON,"Law and Economics"
66133: ECON,"Managerial Economics"
66134: ECON,"Managerial Finance I"
66135: ECON,"Managerial Finance II"
66136: ECON,"Managerial Statistcs"
66137: ECON,"Marx And Marxism"
66138: ECON,"Modern Capitalism"
66139: ECON,"Monetary Theory and Policy"
66140: ECON,"Money and Banking"
66141: ECON,"Money and Capital Markets"
66142: ECON,"NYS Gov Internship"
66143: ECON,"Non-Profit Institutions"
66144: ECON,"Pol/Eco War-Peace"
66145: ECON,"Political Econmics"
66146: ECON,"Public Finance"
66147: ECON,"Public Sector Eco"
66148: ECON,"Quant Analys Bus/Eco Problems"
66149: ECON,"Seminar in Economic Analysis"
66150: ECON,"Sports Economics"
66151: ECON,"Sustainable Business & Society"
66152: ECON,"The Japanese Economy"
66153: ECON,"The Nonprofit Institution"
66154: ECON,"US Economic History"
66155: ECON,"Underdeveloped Areas"
66156: ECON,"Urban Economics"
66157: ECON,"Women and the Economy"
66158: EDEC,"71  Ooo"
66159: EDEM,"Adv Early Chldhd Sci & Math Ed"
66160: EDEM,"Adv Math Elem Grad 1-2"
66161: EDEM,"Adv Math-Elemntary"
66162: EDEM,"Adv Sci Elem Grd1-2"
66163: EDEM,"Adv Science-Elem"
66164: EDEM,"Adv Soc Stdy Ed Elem Schl Tchr"
66165: EDEM,"Advanced Art"
66166: EDEM,"Advanced Study in Reading"
66167: EDEM,"Aesthetic Education"
66168: EDEM,"Affective Dev Child"
66169: EDEM,"Big Ideas of Science"
66170: EDEM,"Child Abuse and Neglect"
66171: EDEM,"Child Naive Thry & Misconc Sci"
66172: EDEM,"Childhood Educatn"
66173: EDEM,"Children’s Literature"
66174: EDEM,"Cont Curr In Early Child Edu"
66175: EDEM,"Creat Arts Integrated Early Ch"
66176: EDEM,"Early Child Edu 100-Level Elec"
66177: EDEM,"Early Child Ind Sutdy"
66178: EDEM,"Early Child Independent Study"
66179: EDEM,"Early Child Internsh"
66180: EDEM,"Early Childhood Mathematics Ed"
66181: EDEM,"Educ Soc Foundatns"
66182: EDEM,"Effect Lit Instr Elem Schl Lvl"
66183: EDEM,"Elem Edu Indep Stdy"
66184: EDEM,"Elem Edu Intrnshp"
66185: EDEM,"Elem Educ Ind Stdy"
66186: EDEM,"Elem Educ Internship"
66187: EDEM,"Element Edu Indep Stdy"
66188: EDEM,"Elementary Education"
66189: EDEM,"Elementary Education Intern"
66190: EDEM,"Erly Chld Ind Stdy"
66191: EDEM,"Expressive Art"
66192: EDEM,"Fldwk Presch Classrm"
66193: EDEM,"Int Strgy Readers"
66194: EDEM,"Intr Keyboard Fr Tea"
66195: EDEM,"Intro Semi on Infnts & Toddler"
66196: EDEM,"Intro to Early Childhood Educ"
66197: EDEM,"Issues In Math Educa"
66198: EDEM,"Lang & Lit in the Early Child"
66199: EDEM,"Language66200: EDEM,"Learn Strat for Elem Soc Stud"
66201: EDEM,"Lit Dev&Lang Elem Ed"
66202: EDEM,"Literacy Assessment"
66203: EDEM,"Literacy Coaching"
66204: EDEM,"Math Curr In Elem Sc"
66205: EDEM,"Math Lab Methods"
66206: EDEM,"Math Pedagogy Elem"
66207: EDEM,"Math/Sci/Mus Elem Ed"
66208: EDEM,"Mdrn Physics Fr Teac"
66209: EDEM,"Music & Movement"
66210: EDEM,"Music Lit In Chld Ed"
66211: EDEM,"Part I: Big Ideas of Science"
66212: EDEM,"Part I: Children’s Naive Theo"
66213: EDEM,"Part I: Sci Exp Design Element"
66214: EDEM,"Part II: Big Ideas of Science"
66215: EDEM,"Part II: Nave Child Theories"
66216: EDEM,"Part II: Sci Exp Design Elemen"
66217: EDEM,"Patterns in Mathematics"
66218: EDEM,"Physics Elem Teachrs"
66219: EDEM,"Psy Found Early Chld"
66220: EDEM,"Psy Foundations"
66221: EDEM,"Reading & Writing in the Prim"
66222: EDEM,"Reading II"
66223: EDEM,"Reading In Lang Arts"
66224: EDEM,"Ref&Analy Ec Stu Tch"
66225: EDEM,"Ref&Analy Tchg Elem"
66226: EDEM,"Reflec&Analy Std Tch"
66227: EDEM,"Sci Curric- Elementary School"
66228: EDEM,"Science Exp Design Elementary"
66229: EDEM,"Soc Contexts of Early Child"
66230: EDEM,"Soc Stdys in Early Chldhd Edu"
66231: EDEM,"Soc Stud Curr & Peda"
66232: EDEM,"Soc. Found of Early Childhood"
66233: EDEM,"Soc/Art/Rdg & Lang Arts in Ed"
66234: EDEM,"Social Studies Issues Lit&Mus"
66235: EDEM,"Special Topics In Literacy"
66236: EDEM,"Stdnt Tchg Elem Ed"
66237: EDEM,"Stdnt Teachg/Elem Ed"
66238: EDEM,"Stud Teaching and Seminar II"
66239: EDEM,"Student Teaching"
66240: EDEM,"Student Teaching Elem Edu"
66241: EDEM,"Student Teaching and Seminar i"
66242: EDEM,"Tchg & Lrng Soc Stdy Ed"
66243: EDEM,"Tchg Prac II Elem Ed"
66244: EDEM,"Tchg Pract I Elem Ed"
66245: EDEM,"Tchg&Lrng Math El Ed"
66246: EDEM,"Tchg&Lrng Rdg Ele Ed"
66247: EDEM,"Tchg&Lrng Sci El Ed"
66248: EDEM,"Teach Sci As Ins in Early Chil"
66249: EDEM,"Thematic Content SS"
66250: EDEM,"Writing For Teachers"
66251: EDEM,"Writing for Teachers"
66252: EDET,"Assessment of Lang. Learners"
66253: EDET,"Bilingualism & Second Language"
66254: EDET,"Cont. Lit. for Eng Lang. Learn"
66255: EDET,"Education Independent Study"
66256: EDET,"Emergent Literacy for English"
66257: EDET,"Linguistics for Teachers"
66258: EDET,"Methods in read & Lang Arts"
66259: EDET,"Methods of Teach TESOL PreK-12"
66260: EDET,"Mthds Across Cnt Area Bil Edu"
66261: EDET,"TESOL Supervised Practicum"
66262: EDGC,"Counseling I"
66263: EDGC,"Counseling II"
66264: EDGC,"Counseling II Seminar"
66265: EDGC,"Counseling III Seminar"
66266: EDGC,"Counseling IV Seminar"
66267: EDGC,"Counseling VI Seminar"
66268: EDGC,"Counsling I Semnar"
66269: EDGC,"Counsling V Semnar"
66270: EDGC,"Counslng VII Semnr"
66271: EDGC,"Counslng Viii Smnr"
66272: EDGC,"Disorgnzd Persnlty"
66273: EDGC,"Group Procedures"
66274: EDGC,"Guid/Coun Ind Stdy"
66275: EDGC,"Guidance & Counsel Indep Stdy"
66276: EDGC,"Guidance Introduction"
66277: EDGC,"Guide Coun Independent Study"
66278: EDGC,"Illness/Bereavment"
66279: EDGC,"Learng Counseling II"
66280: EDGC,"Learning and Counseling I"
66281: EDGC,"Project Seminar I"
66282: EDGC,"Project Seminar II"
66283: EDGC,"Soc Sys/Counsel II"
66284: EDGC,"Soc Sys/Counslng I"
66285: EDGC,"Statistical Mthods"
66286: EDHE,"Basic Health Educ"
66287: EDHE,"Feelings and Drugs"
66288: EDHE,"First Aid and Safety"
66289: EDHE,"Health & Fitness: Lifestyle St"
66290: EDHE,"Health And Fitness"
66291: EDHE,"Health Ed Ind Stdy"
66292: EDHE,"Health Ed Internship"
66293: EDHE,"Health Edu Indep Stdy"
66294: EDHE,"Health Education Internship"
66295: EDHE,"Hlth Promo For Self"
66296: EDHE,"Human Sexuality"
66297: EDMS,"Math Spec Ed Tchrs"
66298: EDMS,"Sci Spec Ed Tchr Ado"
66299: EDMS,"Soc Stud for Spec Ed Teach"
66300: EDMS,"Tchg & Lrng Science Mid Sc"
66301: EDMS,"Tchg Soc Stdy Ms"
66302: EDMS,"Tchg&Lrng Mth Mid Sh"
66303: EDOC,"Comm Service Exp I"
66304: EDPH,"Developmental Activity"
66305: EDPH,"Fitness for Life"
66306: EDPH,"Ped Exempt"
66307: EDPH,"Weight Training"
66308: EDSE,"Adv Mathematics"
66309: EDSE,"Adv Stds-For Lang"
66310: EDSE,"Adv Stud in Teaching Sec SS"
66311: EDSE,"Advanced English"
66312: EDSE,"Advanced Science"
66313: EDSE,"Art Teaching"
66314: EDSE,"Chall Idea in Sch Math Part I"
66315: EDSE,"Chall Ideas in Sch Mth Part II"
66316: EDSE,"Curriculum/Suprvis"
66317: EDSE,"Disc Lrng&Inter Inst"
66318: EDSE,"Integ Curricula/Learn Discov"
66319: EDSE,"Pdgy Sec Sch English"
66320: EDSE,"Pdgy Sec Sch For Lng"
66321: EDSE,"Pdgy Sec Sch Math"
66322: EDSE,"Pdgy Sec Sch Science"
66323: EDSE,"Pedagogy of Sec Sch English"
66324: EDSE,"Pedagogy of Sec Schl Soc Stdys"
66325: EDSE,"Pedagogy of Sec Schl in Sci"
66326: EDSE,"Pedgy Sec Sch Soc St"
66327: EDSE,"Psych Fndtns of Sec Edu"
66328: EDSE,"Psych and Social Fdtn of Edu"
66329: EDSE,"Reading in the Content Areas"
66330: EDSE,"Ref & Analysis Tchng Sec Edu"
66331: EDSE,"Sec Educ Elective"
66332: EDSE,"Sec Educ Ind Study"
66333: EDSE,"Sec Educ Internship"
66334: EDSE,"Sec Sch Cur Soc Std"
66335: EDSE,"Sec Sch Curr Eng"
66336: EDSE,"Sec Sch Curr Math"
66337: EDSE,"Sec Schl Curr English"
66338: EDSE,"Sec Schl Curr Science"
66339: EDSE,"Sec Schl Curr Soc St"
66340: EDSE,"Sec School Curriculum in Math"
66341: EDSE,"Second Schl Curric in For Lang"
66342: EDSE,"Secondary Education Internship"
66343: EDSE,"Soc Fndtns Sec Educ"
66344: EDSE,"Std Tchg/Sec Ed Para"
66345: EDSE,"Student Teaching"
66346: EDSE,"Studnt Tchg Adol Ed"
66347: EDSE,"Tch Aca Fldwk Sem"
66348: EDSE,"Tchg Prac I Adol Ed"
66349: EDSE,"Tchg Prac II Adol Ed"
66350: EDSE,"Teacher Acad Fldwk Seminar"
66351: EDSE,"Teaching/Learning"
66352: EDSE,"The Sec Schl Curriculum in Sci"
66353: EDSE,"Youth Culture Lit"
66354: EDSP,"74  Ooo"
66355: EDSP,"94  Ooo"
66356: EDSP,"ASD: Intro Contemp Issues"
66357: EDSP,"Asd Speech Lng & Comm"
66358: EDSP,"Asses Instr Sp Ed&In"
66359: EDSP,"Assessment in SpecialEducation"
66360: EDSP,"Aut Spec Dis Part 2"
66361: EDSP,"Autism Spec Disorder"
66362: EDSP,"Classroom Mgmt in Spec Edu"
66363: EDSP,"Clssrm Mgmt Spec Edu II: Pract"
66364: EDSP,"Coop Lrn/Excp Stdnts"
66365: EDSP,"Creat Arts Spec Ed"
66366: EDSP,"Curriculum I"
66367: EDSP,"Curriculum II"
66368: EDSP,"Early Childhood Special Ed"
66369: EDSP,"Education 600 Level"
66370: EDSP,"Eng Lang & Soc Stdy Spe Edu"
66371: EDSP,"Exceptional Children I"
66372: EDSP,"Exceptnal Child II"
66373: EDSP,"Fnds Trmt of Asd"
66374: EDSP,"Found of Treating Autism"
66375: EDSP,"Foundations Spec Ed"
66376: EDSP,"Int Tech:Mth&Sci Ins"
66377: EDSP,"Issues in Biling in Sp Ed"
66378: EDSP,"It In Mth & Sci Adolescence"
66379: EDSP,"Learn Channels"
66380: EDSP,"Math66381: EDSP,"Normalization Spec Ed"
66382: EDSP,"Prac Mentor in Assess & Class"
66383: EDSP,"Pract. Mentor in Curr & Instru"
66384: EDSP,"Practicum in Special Education"
66385: EDSP,"Prim Supp Sys Sp&In"
66386: EDSP,"Psy Fndtns Spec Educ"
66387: EDSP,"Rdng Assmnt Spec Edu Mid Schl"
66388: EDSP,"Read:Adv Instr Methd"
66389: EDSP,"Reading & Instruct Adolesc Stu"
66390: EDSP,"Reading:Assmnt&Inst Sp Educ"
66391: EDSP,"Res Prj Sp Educ"
66392: EDSP,"Soc Fdnts Spec Ed"
66393: EDSP,"Spch66394: EDSP,"Spec Ed Resrch Fund"
66395: EDSP,"Spec Edu Indep Stdy"
66396: EDSP,"Spec Educ Ind Stdy"
66397: EDSP,"Spec Educ Internship"
66398: EDSP,"Spec Educ Leadership"
66399: EDSP,"SpecEd Needs of People W/Disab"
66400: EDSP,"Special Education Internship"
66401: EDSP,"Studnt Tchg Spec Ed"
66402: EDSP,"TRMNT APPR ASD Part 1"
66403: EDSP,"Tch Eng & Soc Stdy Sp Ed"
66404: EDSP,"Tch For Excep Studts"
66405: EDSP,"Tchg Eng & Ss To Ado"
66406: EDSP,"Tchg Prac I Spec Ed"
66407: EDSP,"Tchg Prac II Spec Ed"
66408: EDSP,"Tchng Excep Chldrn I"
66409: EDSP,"Teaching Excep Adol"
66410: EDSP,"Teaching Students with Disabil"
66411: EDSP,"The Gifted Child"
66412: EDSP,"Trans: Car & Voc Edu Spec Edu"
66413: EDSU,"Curric Des & Devel"
66414: EDSU,"Educational Leadership Part I"
66415: EDSU,"Educational Leadrshp66416: EDSU,"Field Exp Semnr II"
66417: EDSU,"Field Expr Semnr I"
66418: EDSU,"Hum Reltns Adm/Sup"
66419: EDSU,"Law&Finance Cont Sch"
66420: EDSU,"Org/Adm Of Sch I"
66421: EDSU,"Org/Adm Sch II"
66422: EDSU,"Research Seminar"
66423: EDSU,"Sup Admin Independent Study"
66424: EDSU,"Sup Imp Ins Sec II"
66425: EDSU,"Sup Imp Inst El Ii"
66426: EDSU,"Sup&Impr Inst In Sch"
66427: EDSU,"Sup/Admin Ind Stdy"
66428: EDSU,"Super Admin Indep Stdy"
66429: EDUC,"70  Ooo"
66430: EDUC,"70 Oooo"
66431: EDUC,"73  Ooo"
66432: EDUC,"76  Ooo"
66433: EDUC,"Activities Approach to Dev&Lrn"
66434: EDUC,"Adol Dev&Learning"
66435: EDUC,"Adv Educ Psychlogy"
66436: EDUC,"Apld Asess Data K-12"
66437: EDUC,"Art Educ Workshop"
66438: EDUC,"Assess Data K-12"
66439: EDUC,"Child Cog Dev & Lrng"
66440: EDUC,"Collegiate Field Experiment"
66441: EDUC,"Comparative & Int’l Education"
66442: EDUC,"Cult Cntxt of Thnkng & Lrng"
66443: EDUC,"Curr Tech I"
66444: EDUC,"Curr Tech II"
66445: EDUC,"Different Minds"
66446: EDUC,"Education Grad Credt"
66447: EDUC,"Education Graduate Credit"
66448: EDUC,"Education Ind Stdy"
66449: EDUC,"Education Industry Study"
66450: EDUC,"Education Internship"
66451: EDUC,"Educational Sem I"
66452: EDUC,"Educational Seminar II"
66453: EDUC,"Exp Phil Of Educatio"
66454: EDUC,"Factrs Educability"
66455: EDUC,"Frshmn Orientation"
66456: EDUC,"Hist Of Us Education"
