64317: ACCT,"Accounting I"
65029: SPAN,"Basic Spanish Composition II"
65030: SPAN,"Caribbean Literature"
65031: SPAN,"Contemp Span-Amer"
65032: SPAN,"Contemp Span-Amer Th"
65033: SPAN,"Elem. SPA - Healthcare Workers"
65034: SPAN,"Elementary Spanish I"
65035: SPAN,"Elementary Spanish II"
65036: SPAN,"Extensive Readings in Spanish"
65037: SPAN,"Hostos & Marti"
65038: SPAN,"Hostos Life & Works"
65039: SPAN,"Intermediate Spanish I"
65040: SPAN,"Intermediate Spanish II"
65041: SPAN,"Introduction to Literature"
65042: SPAN,"Lit of the Humanities-Spanish"
65043: SPAN,"Modern Spanish Literature"
65044: SPAN,"Spa English Dominant Hisp I"
65045: SPAN,"Span-Amer Short Sto"
65046: SPAN,"Spanish American Essay"
65047: SPAN,"Spanish American Literature I"
65048: SPAN,"Spanish American Literature II"
65049: SPAN,"Spanish Composition I"
65050: SPAN,"Spanish: Engl Dominant Hisp II"
65051: SPAN,"Spe Top in Spanish (HONORS)"
65052: SPAN,"Special Topics in Spanish"
65053: SPAN,"The Golden Age"
65054: STAB,"Study Abroad"
65055: STRM,"CUNY Start: ARITHMETIC/ALGEBRA"
65056: STRM,"Math Start: ARITHMETIC/ALGEBRA"
65057: STRR,"CUNY Start: DEVELOPMENTAL READ"
65058: STRW,"CUNY Start: Core English"
65059: WEBD,"Fundamentals of Web Design"
65060: WEBD,"Web Design Technology"
65061: WGST,"Gender and Work"
65062: WGST,"Gender and Work (HONORS)"
65063: WGST,"Modern Female Detective Novel"
65064: WGST,"Psychology of Women"
65065: WGST,"Topics In Women’s And Gender S"
65066: WGST,"US Latina Women?s Literature"
65067: WGST,"Women & Religious Experiences"
65068: WGST,"Women in Literature"
65069: WGST,"Women’s and Gender Studies"
65070: WOST,"Gender in the Workplace"
65071: WOST,"Introwomen’S Studies"
65072: WOST,"Special Topic On Wst"
65073: WOST,"Women Studies (HONORS)"
65074: WOST,"Women in Literature"
65075: WRIW,"Writing Workshop - MultiRepeat"
65076: WRIW,"Writing Workshop - Repeaters"
