17084: ACCT,"Acc Applications On Microcomp"
17798: EDHE,"Health Education I"
17799: EDHE,"Health Education and Exercise"
17800: EDHE,"Hed Directed Study"
17801: EDHE,"History & Princ Public Health"
17802: EDHE,"Hlt Per Of Death & Dy (Honors)"
17803: EDHE,"Hlt Perspctve Of Death & Dying"
17804: EDHE,"Hlth Edu Directed Study"
17805: EDHE,"Human Sexuality"
17806: EDHE,"Human Sexuality and Society"
17807: EDHE,"Intro Of Community Health Edu"
17808: EDHE,"Nutrition Across the Lifespan"
17809: EDHE,"Nutrition for Health"
17810: EDHE,"Prin & Prac of Behavior Change"
17811: EDHE,"Social & Behavior Determ Hlth"
17812: EDHE,"Stress Management"
17813: EDHE,"Stress Management (Honors)"
17814: EDHE,"Wellness Cardiovascular Care"
17815: EDLA,"Applied Lib Service"
17816: EDLA,"LTP Directed Study"
17817: EDLA,"Lib & Lib Resources"
17818: EDLA,"Ltp Directed Study"
17819: EDLA,"Media Mat & Equip"
17820: EDLA,"Pub Service In Lib"
17821: EDLA,"Tech Proc In Lib"
17822: EDOC,"Broker’s Qualifying Course"
17823: EDOC,"Essen Real Estate"
17824: EDOC,"Essent Real Estate"
17825: EDOC,"R E Appraisal"
17826: EDOC,"Real Estate Brokerage"
17827: EDOC,"Real Estate Financing"
17828: EDOC,"Real Estate Management"
17829: EDOC,"Salesperson’s Qualify Course"
17830: EDOC,"Traffic Management"
17831: EDOC,"Trans & Finance"
17832: EDPH,"20th Cent Dance"
17833: EDPH,"Adapted Activities"
17834: EDPH,"Advanced Life Saving"
17835: EDPH,"Advanced Modern Dance"
17836: EDPH,"Advanced Swimming"
17837: EDPH,"Aerobics"
17838: EDPH,"Afr-Am & Carib Dnce"
17839: EDPH,"Afro-Am & Carib Dan"
17840: EDPH,"Amer Dance Tech I"
17841: EDPH,"Amer Dance Tech II"
17842: EDPH,"Amer Dance Tech IV"
17843: EDPH,"Amer Dance Tech Iii"
17844: EDPH,"Backpkg & Trail Hkg"
17845: EDPH,"Badminton and Volleyball"
17846: EDPH,"Ballet I"
17847: EDPH,"Ballet II"
17848: EDPH,"Beginning Skiing"
17849: EDPH,"Body Aware & Move"
17850: EDPH,"Condit & Slimnast"
17851: EDPH,"Cultural Resources"
17852: EDPH,"Dance Composition"
17853: EDPH,"Dance Survey"
17854: EDPH,"Dance Workshop I"
17855: EDPH,"Dance Workshop Ii"
17856: EDPH,"Elem Modern Dance"
17857: EDPH,"Ethnic Dance"
17858: EDPH,"Fencing"
17859: EDPH,"Fund Of Swimming"
17860: EDPH,"Fundamentals Of Swimming I"
17861: EDPH,"Fundamentals of Swimming"
17862: EDPH,"Fundamentals of Swimming II"
17863: EDPH,"Golf"
17864: EDPH,"Gymnastics"
17865: EDPH,"Health Education"
17866: EDPH,"Improvisation"
17867: EDPH,"Intermediate Karate"
17868: EDPH,"Intermediate Swimming"
17869: EDPH,"Intermediate Tennis"
17870: EDPH,"Intro To Cycling"
17871: EDPH,"Intro To Dance"
17872: EDPH,"Intro. To Swimming"
17873: EDPH,"Jazz Dance"
17874: EDPH,"Karate"
17875: EDPH,"Lifeguard Training"
17876: EDPH,"Mime"
17877: EDPH,"Modern Dance I"
17878: EDPH,"Modern Dance II"
17879: EDPH,"PED Directed Study"
17880: EDPH,"Ped Directed Study"
17881: EDPH,"Performance Workshop"
17882: EDPH,"Phy Educ Requiremt"
17883: EDPH,"Phys Ed IV (Ski-Tn)"
17884: EDPH,"Physical Education"
17885: EDPH,"Physical Education Directed St"
17886: EDPH,"Post Relax & Move"
17887: EDPH,"Prog Resist Exer"
17888: EDPH,"Scuba Diving"
17889: EDPH,"Self-Defense for Men and Women"
17890: EDPH,"Senior Life Saving"
17891: EDPH,"Slf-Def Men & Women"
17892: EDPH,"Slim Body Building"
17893: EDPH,"Social Dancing"
17894: EDPH,"Sound & Move Wkshop"
17895: EDPH,"Sq and Folk Dancing"
17896: EDPH,"Square & Folk Dance"
17897: EDPH,"Synchronized Swim"
17898: EDPH,"Tennis"
17899: EDPH,"Water Safety"
17900: EDPH,"Water Safety Instr"
17901: EDPH,"Weight Training/Fitness"
17902: EDPH,"Yoga"
17903: EDSE,"Adolescent Learning & Dvlpmnt"
17904: EDSE,"Spcl Topics In Scndary Sch Edu"
17905: EDUC,"Art in Education"
17906: EDUC,"Aud Vis Dev & Tech"
17907: EDUC,"Curr & Prog Pl I"
17908: EDUC,"Curr & Prog Pl II"
17909: EDUC,"Current Concepts in Voc Edu"
17910: EDUC,"Demo Teach & Eval"
17911: EDUC,"Demo Teaching"
17912: EDUC,"EAP Directed Study"
17913: EDUC,"Eap Directed Study"
17914: EDUC,"Early Child Ed I"
17915: EDUC,"Early Child Ed II"
17916: EDUC,"Early Childhd & Element Edu"
17917: EDUC,"Ed & Behav Sciences"
17918: EDUC,"Ed & Communic Arts"
17919: EDUC,"Ed Asst Work Exp"
17920: EDUC,"Educ & Art Forms"
17921: EDUC,"Educ Asst Work Exp"
17922: EDUC,"Education in Modern Society"
17923: EDUC,"Eval Of Instruction"
17924: EDUC,"Intro To Teaching I"
17925: EDUC,"Intro Voc Ed"
17926: EDUC,"Introduction to Teaching II"
17927: EDUC,"Lab Org & Mgt"
17928: EDUC,"Meth Teach Tech Sub"
17929: EDUC,"Meth Teach Trde Sub"
17930: EDUC,"Music and Movement in Learning"
17931: EDUC,"Observing Children Development"
17932: EDUC,"Orientation Voc Tch"
17933: EDUC,"Priv Trade Prof Sem"
17934: EDUC,"Prof Develmnt Sem"
17935: EDUC,"Psych Found Of Ed"
17936: EDUC,"Shop Org & Mgt"
17937: EDUC,"Super Instruct"
17938: EDUC,"Supervised Field Work I"
17939: EDUC,"Supervised Field Work III"
17940: EDUC,"Suprvsd Fld Work 2"
17941: EDUC,"Teaching Observation"
17942: EDUC,"Teaching Obsrvation"
17943: EDUC,"Tech Contnt Analsis"
17944: EDUC,"Tech Course Org"
17945: EDUC,"Trade Analysis"
17946: EDUC,"Trade Course Org"
17947: EDUC,"Urban Sch in Diverse Amer Soc"
17948: EDUC,"Voc Co-Op Prog Ops"
17949: EDUC,"Voc Co-op Prgm Org"
17950: EDUC,"Voc Ed Psychology"
17951: EGSC,"Circuits and Systems I"
17952: EGSC,"Computer Aided Esc"
17953: EGSC,"Elements of Engineering Design"
17954: EGSC,"Engineering Graphics"
17955: EGSC,"Engineering Graphics - AutoCAD"
17956: EGSC,"Engineering Mech II"
17957: EGSC,"Engineering Mechanics"
17958: EGSC,"Engineering Mechanics I"
17959: EGSC,"Switching Sys & Log"
17960: EGSC,"Thermodynamics I"
17961: ELRN,"E-Learning Course"
17962: ENGL,"19th Cent Amer Lit"
17963: ENGL,"Acting I"
17964: ENGL,"Acting Ii"
17965: ENGL,"Advanced Composition"
17966: ENGL,"Amer Lit: Reconstruction-Pres"
17967: ENGL,"American Lit: Colonial - Civil"
17968: ENGL,"American Novel"
17969: ENGL,"Asian American Literature"
17970: ENGL,"Autobiography"
17971: ENGL,"British Lit: Medieval - 18 Cen"
17972: ENGL,"British Lit: Romantic - 20 Cen"
17973: ENGL,"CUNY Start Writing"
17974: ENGL,"Children’s Literature"
17975: ENGL,"Children’s Literature (Honors)"
17976: ENGL,"Class Greek Theatre"
17977: ENGL,"College Focus Reading & Writin"
17978: ENGL,"Comics and Graphic Narrative"
17979: ENGL,"Community Dramatics"
17980: ENGL,"Contemporary Urban Writers"
17981: ENGL,"Creative Writing"
17982: ENGL,"Creative Writing Foundations"
17983: ENGL,"Creative Writing Workshop"
17984: ENGL,"Discussion and Debate"
17985: ENGL,"Drama & Comp"
17986: ENGL,"ENG Directed Study"
17987: ENGL,"Eng As 2nd Language"
17988: ENGL,"Eng As A 2nd Lang"
17989: ENGL,"Eng As A 2nd Lang 2"
17990: ENGL,"Eng Com & Intr To Lit (Honors)"
17991: ENGL,"Eng Comp & Intro to Literature"
17992: ENGL,"Eng Comp I & II"
17993: ENGL,"Eng Comp Workshop"
17994: ENGL,"Eng Directed Study"
17995: ENGL,"English As 2nd Lang"
17996: ENGL,"English Comp I"
17997: ENGL,"English Comp II"
17998: ENGL,"English Composition"
17999: ENGL,"English Directed Study"
18000: ENGL,"English I"
18001: ENGL,"English II"
18002: ENGL,"English Lit I"
18003: ENGL,"English Lit II"
18004: ENGL,"English Literature I"
18005: ENGL,"English Literature II"
18006: ENGL,"English as a Second Language"
18007: ENGL,"Environmental Lit. and Film"
18008: ENGL,"Fic Dra Poet & Comp"
18009: ENGL,"Fiction & Comp"
18010: ENGL,"Fiction Writing"
18011: ENGL,"Fiction into Film"
18012: ENGL,"Film"
18013: ENGL,"Fund Of Speech"
18014: ENGL,"Fundamentals of Journalism"
18015: ENGL,"Int Writg Workshop"
18016: ENGL,"Intensive College Composition"
18017: ENGL,"Intensive English Composition"
18018: ENGL,"Intensive Writing"
18019: ENGL,"Intensive Writing - Cd Wksp"
18020: ENGL,"Intensive Writing MR Tutorial"
18021: ENGL,"Intensive Writing Tutorial"
18022: ENGL,"Intensive Writing Workshop"
18023: ENGL,"Intensive Writing-CD Workshop"
18024: ENGL,"Intro To Comp & Lit"
18025: ENGL,"Intro To Drama"
18026: ENGL,"Intro To Literary Studies"
18027: ENGL,"Intro to Literature (Honors)"
18028: ENGL,"Introduction to Drama"
18029: ENGL,"Introduction to Literature"
18030: ENGL,"Introduction to Shakespeare"
18031: ENGL,"Italian American Literature"
18032: ENGL,"Jewish Literature"
18033: ENGL,"Journalism I"
18034: ENGL,"Journalism: Feature Writing"
18035: ENGL,"Journalism: News Writing"
18036: ENGL,"Latino/a Literature in U.S."
18037: ENGL,"Middle Eastern Literature"
18038: ENGL,"Mod American Dram"
18039: ENGL,"Mod American Drama"
18040: ENGL,"Modern American Drama"
18041: ENGL,"Modern European Novel"
18042: ENGL,"Modern Poetry"
18043: ENGL,"Native American/Indigenous Lit"
18044: ENGL,"Oral Interpretation"
18045: ENGL,"Playwriting"
18046: ENGL,"Poetry Writing"
18047: ENGL,"Poetry and Composition"
18048: ENGL,"Postcolonial Literature"
18049: ENGL,"Public Speaking"
18050: ENGL,"Queer Literature"
18051: ENGL,"Science Fiction"
18052: ENGL,"Speech"
18053: ENGL,"Speech I"
18054: ENGL,"Speech Workshop"
18055: ENGL,"Survey of Judak Literature"
18056: ENGL,"The American Novel"
18057: ENGL,"The Art of the Detective Story"
18058: ENGL,"The Short Story"
18059: ENGL,"Theater Of Confront"
18060: ENGL,"Theatre History"
18061: ENGL,"Theatre and Society"
18062: ENGL,"Topics in Literature"
18063: ENGL,"Women Am & Eng Lit"
18064: ENGL,"Women in Literature"
18065: ENGL,"World Lit Antiquity to Modern"
18066: ENGL,"World Lit Early Modern to Pres"
18067: ENGL,"World Lit I"
18068: ENGL,"World Lit Ii"
18069: ENSL,"BLIIS Writing"
18070: ENSL,"CLIP Writing I"
18071: ENSL,"CLIP Writing II"
18072: ENSL,"CLIP Writing III"
18073: ENSL,"Eng As A 2nd Lang 3"
18074: ENSL,"Eng As A 2nd Lang 4"
18075: ENSL,"Eng as 2nd Lang Read/Write"
18076: ENSL,"Eng as a 2nd Lang IV - CD Wksp"
18077: ENSL,"Eng as a 2nd Lang MR Tutorial"
18078: ENSL,"English as a Second Language"
18079: ENSL,"Intensive Reading and Writing"
18080: ENSL,"Intensive Writing"
18081: ENSL,"Intensive Writing - CD Wksp"
18082: ENSL,"Intensive Writing MR Tutorial"
18083: ENSL,"Intensive Writing Tutorial"
18084: ENSL,"Intermdte-Advanced ESL Writing"
18085: EVSC,"Environmental Science"
18086: FINA,"BKG Directed Study"
18087: FINA,"Banking Org & Mgt"
18088: FINA,"Bkg Directed Study"
18089: FINA,"Bkgdirected Study"
18090: FINA,"Coml Cr & Col Mgt"
18091: FINA,"Coml Cr. & Col Mgt"
18092: FINA,"Commod & Sec Mkts"
18093: FINA,"Commod & Sec Mrkts"
18094: FINA,"Consumer Credit Management"
18095: FINA,"Consumer Credit Mgt"
18096: FINA,"Cred & Corp Fince"
18097: FINA,"Financial Management"
18098: FINA,"Financial Mgt"
18099: FINA,"Intro To Finance"
18100: FINA,"Intro to Finance (Honors)"
18101: FINA,"Introduction to Finance"
18102: FINA,"Investments"
18103: FINA,"Law Negot Instrmnts"
18104: FINA,"Money & Banking"
18105: FINA,"Money And Banking (Honors)"
18106: FINA,"Money and Banking"
18107: FOLA,"Art Appreciation"
18108: FOLA,"Spanish I"
18109: FREN,"19 Century French Literature"
18110: FREN,"20 Cent French Literature"
18111: FREN,"Advanced French Composition"
18112: FREN,"Advanced French Conversation"
18113: FREN,"Advanced French Grammar"
18114: FREN,"Basic Conversational French"
18115: FREN,"Elem Intensive French 1 & 2"
18116: FREN,"Existentialism French Literat"
18117: FREN,"Francophone Literature"
18118: FREN,"Fren-Speak Women Writ Trans"
18119: FREN,"French Carib Lit Trans(Honors)"
18120: FREN,"French Caribbean Lit in Transl"
18121: FREN,"French Conversation Hour"
18122: FREN,"French Film and Conversation"
18123: FREN,"French Heritage"
18124: FREN,"French I"
18125: FREN,"French II"
18126: FREN,"French III"
18127: FREN,"French IV"
18128: FREN,"His Drama & Theatre"
18129: FREN,"Introductory French I"
18130: FREN,"Introductory French II"
18131: FREN,"Liter & Cinema West Africa"
18132: FREN,"Modern French Civilization"
18133: FREN,"Survey of French Literature I"
18134: FREN,"Survey of French Literature II"
18135: FROR,"CLIP Orientation"
18136: FROR,"Conexines & Connections Sem"
18137: FROR,"Degree Under Three Success Sem"
18138: FROR,"First Semester Seminar"
18139: FROR,"First Year Experience Success"
18140: FROR,"Freshman Year Experience"
18141: FROR,"Freshmen Learning Academy"
18142: FROR,"Out in Two Program Seminar"
18143: GEIS,"Advanced Geographic Info Sci"
18144: GEIS,"Digital Earth"
18145: GEIS,"Geo Info Science Internship"
18146: GEIS,"Intro To Geographic Info Sci"
18147: GEIS,"Intro To Geographic Methods"
18148: GEOG,"Envrnmtl Conserv:Resource Mgmt"
18149: GEOG,"Human Geography"
18150: GEOG,"Population Geography"
18151: GEOL,"Geology I"
18152: GERM,"German I"
18153: GERM,"German II"
18154: GERM,"German III"
18155: GERM,"German IV"
18156: GERM,"German Literature I"
18157: GERM,"German Literature Ii"
18158: GOVT,"Fed Adminis Prac"
18159: GOVT,"Fed Financial Mgt"
18160: GOVT,"Fed Govt Org & Mgt"
18161: GOVT,"Fed Persnl Mgt"
18162: GOVT,"Fed Procuremnt Prac"
18163: GOVT,"Field Work Federal  Agencies"
18164: GOVT,"Gov Adm Seminar"
18165: GOVT,"Gov Directed Study"
18166: GOVT,"Government  Directed Study"
18167: GOVT,"Government Directed Study"
18168: GOVT,"Intro To Govt Adm"
18169: GOVT,"Law For Fed Manager"
18170: GOVT,"Procedures & Pract"
18171: GOVT,"Pub Ad Case Studies"
18172: GOVT,"Seminar Labor Relations"
18173: HEAL,"Abnormal Psychology"
18174: HEAL,"Arts & Crafts I"
18175: HEAL,"Arts & Crafts Ii"
18176: HEAL,"Clin Assistant"
18177: HEAL,"Clinic Asst Exp I"
18178: HEAL,"Clinic Asst Exp II"
18179: HEAL,"Cmh Clin Asst I"
18180: HEAL,"Counsel & Guid Tech"
18181: HEAL,"Counsel & Guide Tech"
18182: HEAL,"Counsel & Interview"
18183: HEAL,"Creative Therapies"
18184: HEAL,"Fund Nursing Care 2"
18185: HEAL,"Fund Nursing Care 3"
18186: HEAL,"Fund Nursing Care 4"
18187: HEAL,"Fund Nursing Care I"
18188: HEAL,"General Pathology"
18189: HEAL,"Intro Com Mntl Hlth"
18190: HEAL,"Intro Rehabilitat"
18191: HEAL,"M H Practicum"
18192: HEAL,"Meas & Eval Tech"
18193: HEAL,"Measurement & Eval Tech"
18194: HEAL,"Ment Hlth Seminar 2"
18195: HEAL,"Ment Hlth Tech Iii"
18196: HEAL,"Mental Health Seminar I"
18197: HEAL,"Mental Health Technology I"
18198: HEAL,"Mental Hlth & Rehab"
18199: HEAL,"Mental Hlth Practic"
18200: HEAL,"Mental Hlth Tech Ii"
18201: HEAL,"Mental Hlth Tech Iv"
18202: HEAL,"Music Therapy"
18203: HEAL,"Nursing Seminar"
18204: HEAL,"Psychol Meas & Eval"
18205: HEAL,"Psychopath & Sexual"
18206: HEAL,"Social Disability"
18207: HEAL,"Tchg Mental Retard"
18208: HEAL,"Teach & Treat Tech"
18209: HEAL,"Treatment & Teachng"
18210: HEAL,"Vocation Rehab I"
18211: HEAL,"Vocation Rehab II"
18212: HEBR,"Field Experience In Israel"
18213: HEBR,"HEB Directed Study"
18214: HEBR,"Heb Civiliz & Cult"
18215: HEBR,"Heb Directed Study"
18216: HEBR,"Hebrew Directed Study"
18217: HEBR,"Hebrew I"
18218: HEBR,"Hebrew II"
18219: HEBR,"Hebrew III"
18220: HEBR,"Hebrew IV"
18221: HEBR,"Hebrew V"
18222: HEBR,"Hebrew VI"
18223: HIST,"Af-Amer His To 1865"
18224: HIST,"Africa 1500 to Present"
18225: HIST,"Afro-Americ History: 1865-Pres"
18226: HIST,"Asian American History"
18227: HIST,"Caribbean History"
18228: HIST,"Confl in Middle East (Honors)"
18229: HIST,"Conflict in the Middle East"
18230: HIST,"Early Amer Hist"
18231: HIST,"Early American History"
18232: HIST,"His Directed Study"
18233: HIST,"Hist Of African Civilizations"
18234: HIST,"Hist Of P.R.To Pres"
18235: HIST,"Hist of Science and Technology"
18236: HIST,"Hist/Rsrch & Writing Methods"
18237: HIST,"Historical Directed Study"
18238: HIST,"History Directed Study"
18239: HIST,"History of Dominican Republic"
18240: HIST,"History of Latin America"
18241: HIST,"History of Women"
18242: HIST,"Intro to the Middle East"
18243: HIST,"Modern Amer Hist"
18244: HIST,"P.R.Hist To 1900"
18245: HIST,"Western Civilization"
18246: HIST,"Western Civilization (Honors)"
18247: HIST,"Western Civilization II"
18248: HIST,"World History I"
18249: HIST,"World History II"
18250: HLED,"Health Education"
18251: HLED,"Physical Education"
18252: HOMA,"Facility Mgt"
18253: HOMA,"Hosp Law & Finance"
18254: HOMA,"Hosp Personnel Dev"
18255: HOMA,"Hospital Marketing & Promoting"
18256: HOMA,"Intro to Hospitality Mgmt"
18257: HOMA,"Introduction to Sports Mgmt"
18258: HOMA,"Purch & Invent Mgt"
18259: HOMA,"Sociology Of Sports"
18260: HOMA,"Sports Entrepreneur"
18261: HOMA,"Sports Law & Fin"
18262: HOMA,"Sports Marketing & Promotion"
18263: HUSE,"Child Welfare"
18264: HUSE,"Disabilities & Behavioral"
18265: HUSE,"Fld Exp Hum Ser I"
18266: HUSE,"Fld Exp Hum Ser II"
18267: HUSE,"Human Services Skills"
18268: HUSE,"Intro Hum Ser & Sw"
18269: HUSE,"Introduction to Gerontology"
18270: HUSE,"Soc Wel Prog & Pol"
18271: INTE,"Effective Speaking"
18272: INTE,"English Composition II"
18273: ITAL,"Advance Grammar & Conversation"
18274: ITAL,"Elem Intensive Italian 1 & 2"
18275: ITAL,"Introductory Italian I"
18276: ITAL,"Introductory Italian II"
18277: ITAL,"Italian Cinema in Context"
18278: ITAL,"Italian Conversation Hour"
18279: ITAL,"Italian Film and Conversation"
18280: ITAL,"Italian I"
18281: ITAL,"Italian II"
18282: ITAL,"Italian III"
18283: ITAL,"Italian IV"
18284: ITAL,"Italian for Oral Communication"
18285: ITAL,"Lit Cult&Civ Of Italy (Honors)"
18286: ITAL,"Lit Culture & Civ Of Italy"
18287: ITAL,"Modern Italian Theater"
18288: ITAL,"Survey of Italian Literature"
18289: ITAL,"The Modern Italian Short Story"
18290: LANG,"Advanced French Conversation"
18291: LANG,"Comp Gram Frgn Stnt"
18292: LANG,"French I"
18293: LANG,"French II"
18294: LANG,"French III"
18295: LANG,"French IV"
18296: LANG,"French V"
18297: LANG,"French Vi"
18298: LANG,"German I"
18299: LANG,"German II"
18300: LANG,"German III"
18301: LANG,"Italian I"
18302: LANG,"Italian II"
18303: LANG,"Italian III"
18304: LANG,"Lang Requirement 3"
18305: LANG,"Lang Requirement II"
18306: LANG,"Span VII: Intro Span Am Lit"
18307: LANG,"Spanish I"
18308: LANG,"Spanish II"
18309: LANG,"Spanish IV"
18310: LANG,"Spanish Iii"
18311: LANG,"Spanish V"
18312: LANG,"Spanish VIII 20th Century"
18313: LANG,"Spanish Vi"
18314: LAST,"Contemp Pr Lit"
18315: LAST,"His Of Latin America (Honors)"
18316: LAST,"Hist Of Domin Rep"
18317: LAST,"Hist Of P.R To Pres"
18318: LAST,"History Of Latin America"
18319: LAST,"Intro to Mexican-American Stud"
18320: LAST,"Lat Amer&Carib Soc"
18321: LAST,"Lat Amer&Carib Soc (Honors)"
18322: LAST,"Latin American Theatre & Perfo"
18323: LAST,"Latino/Writer In Us"
18324: LAST,"P.R. Culture & Folk"
18325: LAST,"P.R.Hist To 1900"
18326: LAST,"PR Exp in Urban U.S. Settings"
18327: LAST,"PRN Directed Study"
18328: LAST,"Politics of PR Communities"
18329: LAST,"Ppls & Cultrs Lat Am & Crbn"
18330: LAST,"Pr Econ Development"
18331: LAST,"Prn Directed Study"
18332: LAST,"Puerto Rican Literature"
18333: LAST,"Puerto Rican Music"
18334: LAST,"Puerto Rican Theatre"
18335: LAST,"Puerto Rican Writers"
18336: LAST,"Short Story Carib"
18337: LAST,"The Latino Experience In U.S."
18338: LAST,"The Puerto Rican Family"
18339: LBST,"Amer. In Transition"
18340: LBST,"American Labor Movement"
18341: LBST,"Art18342: LBST,"Communica Skills 1"
18343: LBST,"Communica Skills 2"
18344: LBST,"Communication Skills III"
18345: LBST,"Contr Negot & Intrp"
18346: LBST,"Grievance & Arbit."
18347: LBST,"Introduction to Labor Studies"
18348: LBST,"Labor Economics"
18349: LBST,"Labor Law"
18350: LBST,"Leadership Skills"
18351: LBST,"Man Science & Natur"
18352: LBST,"Math & Comput Skill"
18353: LBST,"The World Of Work"
18354: LECO,"BMCC Learning Academy"
18355: LECO,"BMCC Workshop"
18356: LECO,"Ed Tech"
18357: LECO,"Graduate Advantage Success Sem"
18358: LECO,"Learning Beyond Class: Car Map"
18359: LECO,"Learning Beyond Class: Soc Jus"
18360: LECO,"Preparing for Transfer"
18361: LECO,"Professional Writing Workshop"
18362: LECO,"Study Smart"
18363: LECO,"Success Seminar 1"
18364: LECO,"Success Seminar II"
18365: LECO,"Success Seminar Ind Study"
18366: LING,"Forensic Linguistics"
18367: LING,"Forensic Linguistics (Honors)"
18368: LING,"Foundations of Bilingualism"
18369: LING,"Intro to Linguistics (Honors)"
18370: LING,"Intro to Linguistics for ESL95"
18371: LING,"Introduction to Linguistics"
18372: LING,"Lan18373: LING,"Lang18374: LING,"Language & Culture for ACR 95"
18375: LING,"Language & Culture for ESL 95"
18376: LING,"Language Acquisition"
18377: LING,"Language And Culture"
18378: LING,"Language And Culture (Honors)"
18379: LING,"Language Teaching Practices"
18380: LING,"Language and Power"
18381: LING,"Language18382: LING,"Sounds of English"
18383: LING,"The Structure of English"
18384: LING,"World/Global Englishes"
18385: LING,"World/Global Englishes Reading"
18386: MARK,"Bus Communications"
18387: MARK,"Consumer Motivation"
18388: MARK,"Consumer Motivation & Behavior"
18389: MARK,"Current Ret Trends"
18390: MARK,"Digital Marketing & Analytics"
18391: MARK,"Essentials of Advertising"
18392: MARK,"Essentials of Public Relations"
18393: MARK,"Intro To Marketing (Honors)"
18394: MARK,"Introduction to Marketing"
18395: MARK,"Marketing Res & Analy (Honors)"
18396: MARK,"Marketing Research & Analytics"
18397: MARK,"Merchandising and Promotion"
18398: MARK,"Ret Directed Study"
18399: MARK,"Retail Organiz18400: MARK,"Sales Principles and Practices"
18401: MATH,"Abstract Algebra"
18402: MATH,"Advanced Calculus I"
18403: MATH,"Anal Geom Cal III"
18404: MATH,"Analytic Geom  & Calc II"
18405: MATH,"Analytic Geom Cal I"
18406: MATH,"Analytic Geom Cal II"
18407: MATH,"Analytic Geom Cal Iii"
18408: MATH,"Analytic Geometry & Calc I"
18409: MATH,"Basic Arith & Algeb-CD Wksp"
18410: MATH,"Basic Arith & Algebra Tutorial"
18411: MATH,"Basic Arithmetic and Algebra"
18412: MATH,"Basic Mathematics"
18413: MATH,"Basic Mathematics - Cd Wksp"
18414: MATH,"Basic Mathematics MR Tutorial"
18415: MATH,"Basic Mathematics Tutorial"
18416: MATH,"Bridge to Advanced Mathematics"
18417: MATH,"CUNY Start Math"
18418: MATH,"College Focus Mathematics"
18419: MATH,"Elem & Interm Algeb with Trig"
18420: MATH,"Elem & Interm Algebra w/ Trig"
18421: MATH,"Elementary Algebra"
18422: MATH,"Elementary Algebra - Cd Wksp"
18423: MATH,"Elementary Algebra MR Tutorial"
18424: MATH,"Elementary Algebra Tutorial"
18425: MATH,"Elementary Algebra Workshop"
18426: MATH,"Essentials of Math"
18427: MATH,"Finite Mathematics"
18428: MATH,"Found Comp Network"
18429: MATH,"Fund Of Math I"
18430: MATH,"Fundamentals of Math"
18431: MATH,"Fundamentals of Math II"
18432: MATH,"Fundamentals of Mathematics I"
18433: MATH,"Fundamentals of Mathematics II"
18434: MATH,"History of Mathematics"
18435: MATH,"Interm Alg & Trig"
18436: MATH,"Interm Alg & Trig - Cd Wksp"
18437: MATH,"Interm Alg & Trig MR Tutorial"
18438: MATH,"Interm Alg & Trig Tutorial"
18439: MATH,"Intermed Algebra & Precalculus"
18440: MATH,"Intermediate Algebra & Trigon"
18441: MATH,"Intermediate Algebra Workshop"
18442: MATH,"Intro Statistics w/ Algebra"
18443: MATH,"Intro. Disc Math"
18444: MATH,"Introduction to Discrete Math"
18445: MATH,"Introduction to Geometry"
18446: MATH,"Introduction to Statistics"
18447: MATH,"Linear Algebra"
18448: MATH,"MAT Directed Study"
18449: MATH,"Mat Directed Study"
18450: MATH,"Math For Elementary Edu I"
18451: MATH,"Math For Elementary Edu II"
18452: MATH,"Math For Health Sci"
18453: MATH,"Math For Resp Thera"
18454: MATH,"Math Foundations For Bus"
18455: MATH,"Math Literacy Comp Tutorial"
18456: MATH,"Math Literacy I"
18457: MATH,"Math Literacy I Tutorial"
18458: MATH,"Math Literacy/Quant Reasoning"
18459: MATH,"Math Workshop"
18460: MATH,"Math for Elementary Education"
18461: MATH,"Math for Hlth Sci w/ Elem Alg"
18462: MATH,"Mathematical Problem Solving"
18463: MATH,"Mathematics Literacy with Comp"
18464: MATH,"Modern Applied Mathematics"
18465: MATH,"Ord Diff Equations"
18466: MATH,"Precalculus"
18467: MATH,"Precalculus (Honors)"
18468: MATH,"Quantitative Reasoning"
18469: MATH,"Research Study Workshop - 150"
18470: MATH,"Research Study Workshop - 51"
18471: MATH,"Sci/Math Research"
18472: MATH,"Statistics"
18473: MDAS,"EMC/Para Clin Int III"
18474: MDAS,"EMC/Para Clinic Intrn I"
18475: MDAS,"Emc/Par Clin Int II"
18476: MDAS,"Emer Med Care/Par III"
18477: MDAS,"Emer Med Care/Para II"
18478: MDAS,"Emerg Med Care Par I"
18479: MDAS,"Emerg Medical Care/Paramed IV"
18480: MDAS,"Emergency Medical Care"
18481: MDTC,"CPT/HCPCS Coding"
18482: MDTC,"Code & Class Systems I"
18483: MDTC,"Code & Class Systems II"
18484: MDTC,"Code/Class Systems III"
18485: MDTC,"HIM Medical Legal Applications"
18486: MDTC,"Health Care Delivery Systems"
18487: MDTC,"Health Data Information"
18488: MDTC,"Health Record Systems"
18489: MDTC,"Health Statistics"
18490: MDTC,"Health/Care Del."
18491: MDTC,"Health/Rec Systems"
18492: MDTC,"ICD-CM PCS Coding"
18493: MDTC,"Intr Hlth Data Info"
18494: MDTC,"Intro Health/Data"
18495: MDTC,"Intro to Health Info Mgmt"
18496: MDTC,"Management in the HIM Dept"
18497: MDTC,"Med Emeg Tech Ii"
18498: MDTC,"Med Emerg Seminar"
18499: MDTC,"Med Emerg Tech I"
18500: MDTC,"Med Emerg Tech III"
18501: MDTC,"Med Emerg Tech IV"
