15157: ACCT,"Accounting Independent Study 2"
15854: EDUC,"Curric&Mthd II Phys Ed PreK-12"
15855: EDUC,"Educ Psy:Teach&Learn"
15856: EDUC,"Education Elective Reviewed"
15857: EDUC,"Education NLA Elective"
15858: EDUC,"Em II: Instr/Class Environ"
15859: EDUC,"Emotion Handicapped"
15860: EDUC,"Erly Lang & Lit Eng Only Lrnrs"
15861: EDUC,"Field Act In Math Ed"
15862: EDUC,"Field Act-Sci Educ"
15863: EDUC,"Field Teach/Learning"
15864: EDUC,"Fldwk Ed Envmnts II"
15865: EDUC,"Fldwk In Ed Envmnts"
15866: EDUC,"Instruct Strats Mid & H.S.’s"
15867: EDUC,"Intro to Special Education"
15868: EDUC,"Lit & Storytelling"
15869: EDUC,"Lit Instruct Gr.2-6"
15870: EDUC,"Literacy Instruction"
15871: EDUC,"Math15872: EDUC,"Mental Retardation"
15873: EDUC,"Middle Child Dev Mathematics"
15874: EDUC,"Mildly Handicap"
15875: EDUC,"Phys Handicap"
15876: EDUC,"School Health C&M"
15877: EDUC,"Secondary Curr & Methods 2"
15878: EDUC,"Soc Studies Relation"
15879: EDUC,"Student Teaching15880: EDUC,"Sup Stud Teach Earth Sc 10-12"
15881: EDUC,"Sup Tch Earthsci 7-9"
15882: EDUC,"Sup Tch Elem Sch 1-3"
15883: EDUC,"Sup Tch Elem Sch 4-6"
15884: EDUC,"Sup Tch Eng 7-9"
15885: EDUC,"Sup Tch Eng Hs"
15886: EDUC,"Sup Tch Fren 7-9"
15887: EDUC,"Sup Tch Fren Hs"
15888: EDUC,"Sup Tch Hlth Ed 7-12"
15889: EDUC,"Sup Tch Hlth Ed Pre K-6"
15890: EDUC,"Sup Tch Pe 7-12"
15891: EDUC,"Sup Tch Pe Pre K-6"
15892: EDUC,"Sup Tch Soc St 7-9"
15893: EDUC,"Sup Tch Soc St Hs"
15894: EDUC,"Sup Tch Span 10-12"
15895: EDUC,"Sup Tch Span 7-9"
15896: EDUC,"Sup Teach Bio 10-12"
15897: EDUC,"Sup Teach Chem 10-12"
15898: EDUC,"Sup Teach Chem 7-9"
15899: EDUC,"Superv Stud Tchng15900: EDUC,"Supervised Teaching Math 7-9"
15901: EDUC,"Tch Bilingual Prog"
15902: EDUC,"Tchng ESL thru Content Areas"
15903: EDUC,"Teach Read & Spanish Lan Art"
15904: EDUC,"Teach W/Multimedia"
15905: ELEC,"Elective Credit Reviewed"
15906: ENGL,"19th C American Lit"
15907: ENGL,"20th C American Lit"
15908: ENGL,"20th Cent British Literature"
15909: ENGL,"Adv Eng Grammar & Style"
15910: ENGL,"Adv Tech Journalism"
15911: ENGL,"Adv Topics: Critical Theory"
15912: ENGL,"Advanced Composition"
15913: ENGL,"African-American Literature"
15914: ENGL,"American Romanticism"
15915: ENGL,"American Voices and Visions I"
15916: ENGL,"American Voices and Visions II"
15917: ENGL,"Broadcast Journalism Fieldwork"
15918: ENGL,"CLIP/ESL I"
15919: ENGL,"CLIP/ESL II"
15920: ENGL,"CLIP/ESL III"
15921: ENGL,"Caribbean Lit in English"
15922: ENGL,"Composition II: Writing Lit"
15923: ENGL,"Creative Nonfiction Workshop"
15924: ENGL,"Critical Literacy Studies"
15925: ENGL,"Critical Studies in English"
15926: ENGL,"English Bl- Lib Arts Elective"
15927: ENGL,"English Grammar & Syntax"
15928: ENGL,"English Liberal Arts Elective"
15929: ENGL,"English Sociolinguistics"
15930: ENGL,"Fiction Into Film"
15931: ENGL,"Food: Literary and Rhetorical"
15932: ENGL,"Founds of Western Lit"
15933: ENGL,"Global Women Writers"
15934: ENGL,"Harlem Renaissance"
15935: ENGL,"Hist Of Eng Lang"
15936: ENGL,"History English Lang"
15937: ENGL,"Honors Research in English"
15938: ENGL,"Indep Stud Prof/Creative Writ"
15939: ENGL,"Independent Study"
15940: ENGL,"Intro College Wrtng"
15941: ENGL,"Intro Creative Writing"
15942: ENGL,"Intro to Literary Studies"
15943: ENGL,"Intro to Telecommunications"
15944: ENGL,"John Donne"
15945: ENGL,"Language15946: ENGL,"Literary Genre or Movement"
15947: ENGL,"Literary Traditions In Us"
15948: ENGL,"Literature15949: ENGL,"Major Authors"
15950: ENGL,"Med& Renaissance Li"
15951: ENGL,"Milton"
15952: ENGL,"Multi-Media Journalism"
15953: ENGL,"N Testmnt&Apocrypha"
15954: ENGL,"Newswriting & Report"
15955: ENGL,"Non-Fiction Book Writing"
15956: ENGL,"Playwriting Workshop"
15957: ENGL,"Poetry Workshop"
15958: ENGL,"Publishing Fieldwork"
15959: ENGL,"Restor & XVIII Cent Lit"
15960: ENGL,"Rhetorical Theory & Criticism"
15961: ENGL,"Seminar in Literature"
15962: ENGL,"Seminar in Writing"
15963: ENGL,"Seminar:Spec Topics"
15964: ENGL,"Senior Research in English"
15965: ENGL,"Shakespeare: The Major Works"
15966: ENGL,"Short Story Workshop"
15967: ENGL,"Special Topic:Writing/Rhetoric"
15968: ENGL,"Special Topics in English"
15969: ENGL,"Special Topics in Literature"
15970: ENGL,"Special Topics in Writing"
15971: ENGL,"Studies in Major Authors"
15972: ENGL,"Technologies of Reading"
15973: ENGL,"The Comic Vision"
15974: ENGL,"The English Tradition I"
15975: ENGL,"The English Tradition II"
15976: ENGL,"The Old Testament"
15977: ENGL,"The Romantic Period in England"
15978: ENGL,"The Tragic Vision"
15979: ENGL,"Theories & Practices Tutoring"
15980: ENGL,"Topics in Global Literatures"
15981: ENGL,"Understanding Drama"
15982: ENGL,"Understanding Literature"
15983: ENGL,"Understanding Poetry"
15984: ENGL,"Victorian Literature"
15985: ENGL,"Women Writers"
15986: ENGL,"World Englishes"
15987: ENGL,"Writing for Business"
15988: ENGL,"Writing for Electronic Media"
15989: ENGL,"Writing of Diasporas"
15990: ENGL,"Writing15991: ENSL,"Read&Write Non-Nat 1"
15992: ENSL,"Read&Write Non-Nat 2"
15993: FINA,"Advanced Aviation Finance"
15994: FINA,"Advanced Topics in Wealth Mgmt"
15995: FINA,"Case Studies in Acct and Fin"
15996: FINA,"Communication15997: FINA,"Corporate Finance"
15998: FINA,"Decision Making in Finance"
15999: FINA,"Fin Planning and Wealth Mgmt"
16000: FINA,"Fin Planning and Wealth Mgt II"
16001: FINA,"Finance Independent Study I"
16002: FINA,"Finance Independent Study II"
16003: FINA,"Finance Independent Study III"
16004: FINA,"Financial Data Analytics I"
16005: FINA,"Financial Data Analytics II"
16006: FINA,"Financial Mathematics I"
16007: FINA,"Financial Mathematics II"
16008: FINA,"Financial Risk Management"
16009: FINA,"Foundations of Finance"
16010: FINA,"Fundamentals Personal Finance"
16011: FINA,"Futures and Options"
16012: FINA,"International Finance"
16013: FINA,"Invest & Sec Analysis"
16014: FINA,"Principles of Finance"
16015: FINA,"Real Estate Finance"
16016: FINA,"Regulations for Accounting"
16017: FREN,"16c&Mid Ages Lit"
16018: FREN,"19th C French Novel"
16019: FREN,"20th C French Novel"
16020: FREN,"Adv Grammar & Comp"
16021: FREN,"Advanced Conversation"
16022: FREN,"Commercial French I"
16023: FREN,"Commercial French II"
16024: FREN,"Elementary French I"
16025: FREN,"Elementary French II"
16026: FREN,"Francophone Lit"
16027: FREN,"Fren Theater To 1789"
16028: FREN,"French &Franco Women"
16029: FREN,"French For Health Professions"
16030: FREN,"French Linguistics"
16031: FREN,"French Novel Before 1789"
16032: FREN,"French Poetry After 1789"
16033: FREN,"French Poetry Before 1789"
16034: FREN,"French Soc&Civil"
16035: FREN,"French Stylistics"
16036: FREN,"French Theater After 1789"
16037: FREN,"Gide16038: FREN,"Haitian Culture & Civilization"
16039: FREN,"Haitian Novel After 1915"
16040: FREN,"Haitian Novel Up To 1915"
16041: FREN,"Haitian Poetry After 1915"
16042: FREN,"Haitian Poetry Up to 1915"
16043: FREN,"History of the French Language"
16044: FREN,"Intermediate Conversation"
16045: FREN,"Intermediate French I"
16046: FREN,"Intermediate French II"
16047: FREN,"Intro to Haitian Lit"
16048: FREN,"Lit Of Fren Africa"
16049: FREN,"Lit Theory&Analysis"
16050: FREN,"Literature French West Indies"
16051: FREN,"Rapid Review of Basic French"
16052: FREN,"Senior Seminar"
16053: FREN,"Survey of French Literature I"
16054: FREN,"Survey of French Literature II"
16055: FREN,"The Age of Classicism"
16056: FREN,"The Age of Enlightenment"
16057: FREN,"The Literature of Quebec"
16058: FREN,"Themes in French Literature"
16059: FREN,"Tourism&Travel Indst"
16060: FREN,"Translation I"
16061: FREN,"Translation II"
16062: FROR,"College Survival and Success"
16063: FROR,"Transfer Student Seminar"
16064: GEOG,"Geography of the New World"
16065: GEOG,"Geography of the Old World"
16066: GEOG,"Prin Phys & Eco Geo"
16067: GEOL,"Assessment of Environm Impact"
16068: GEOL,"Earth"
16069: GEOL,"Earth W/Paleontology"
16070: GEOL,"Energy16071: GEOL,"Field Mapping"
16072: GEOL,"Field Methods"
16073: GEOL,"Geochemistry"
16074: GEOL,"Geologic Techniques"
16075: GEOL,"Geology Liberal Arts Elective"
16076: GEOL,"Geomorphology"
16077: GEOL,"Ground Water Hydrology"
16078: GEOL,"History of Life"
16079: GEOL,"Independent Study"
16080: GEOL,"Lab Techniques-Geol"
16081: GEOL,"Mineral&Fossil Fuel"
16082: GEOL,"Mineralogy"
16083: GEOL,"Optical Mineralogy"
16084: GEOL,"Ore Deposits & Ore Evalu"
16085: GEOL,"Our Earth"
16086: GEOL,"Our Oceanic Environment"
16087: GEOL,"Paleoecology"
16088: GEOL,"Petrology"
16089: GEOL,"Remote Sensing"
16090: GEOL,"Rock and Soil Mechanics"
16091: GEOL,"Sedimentation"
16092: GEOL,"Stratigraphy"
16093: GEOL,"Structural Geology"
16094: GEOL,"Weather and Climate"
16095: GESS,"Alzheimer’S Disease"
16096: GESS,"Intermediate Gerontology II"
16097: GESS,"Introduction to Gerontology I"
16098: GESS,"Wellness & Elderly"
16099: GREK,"Elementary Greek I"
16100: GREK,"Elementary Greek II"
16101: HEAL,"Basic Concepts"
16102: HEAL,"Health Prof Gen Core NLA Elec"
16103: HEAL,"Hlth Prof Gen Core Elec"
16104: HEAL,"Principles of Epidemiology"
16105: HEAL,"Public Health"
16106: HESC,"Application of GIS"
16107: HESC,"Contaminant hydrology"
16108: HESC,"Disease Vector Control"
16109: HESC,"Environmental Management"
16110: HESC,"Environmental Physiology"
16111: HESC,"Field Study"
16112: HESC,"Field-based Experience"
16113: HESC,"Food Sanitation"
16114: HESC,"Fundamentals of Air Pollution"
16115: HESC,"Health & Safety Regulations"
16116: HESC,"Health Informatics"
16117: HESC,"Health Policy"
16118: HESC,"Independent Study"
16119: HESC,"Industrial Hygiene"
16120: HESC,"Intro to Environmental Science"
16121: HESC,"Marketing in Health Care"
16122: HESC,"Medical Terminology"
16123: HESC,"Nursing Home Administration"
16124: HESC,"Pollution Control Technology"
16125: HESC,"Prin Of Env Hlth Sc"
16126: HESC,"Prin-Env Hlth-Lab"
16127: HESC,"Sci Tech & Environ"
16128: HESC,"Solid Waste Management"
16129: HESC,"Supervised Field Experience"
16130: HESC,"Water Pollution Biology"
16131: HESC,"Water Quality Analysis"
16132: HIST,"Africa 1800-Present"
16133: HIST,"African History until 1800"
16134: HIST,"African-American History"
16135: HIST,"Amer Dip 1789-1914"
16136: HIST,"Amer Diplomacy-20c"
16137: HIST,"Amer Econ Hist since Civil War"
16138: HIST,"America 1760-1815"
16139: HIST,"American Military History"
16140: HIST,"American Teenager: Rwrite Hist"
16141: HIST,"Ancient Ne & Greece"
16142: HIST,"Begin Amer People"
16143: HIST,"Col Pd of Amer Hist16144: HIST,"Colonial Latin America"
16145: HIST,"Contemporary America"
16146: HIST,"Contemporary China and Japan"
16147: HIST,"Contemporary Europe"
16148: HIST,"Decolonization in West Africa"
16149: HIST,"East Asia 1800-Pres"
16150: HIST,"East Asia To XIX Cent"
16151: HIST,"Hist Mod Wrld Since 1815"
16152: HIST,"Hist of African Amer Music"
16153: HIST,"History Liberal Arts Elective"
16154: HIST,"History of Hip-Hop"
16155: HIST,"History of Modern India"
16156: HIST,"History of Science"
16157: HIST,"History of the Middle East"
16158: HIST,"Internship in History"
16159: HIST,"Jewish History 1"
16160: HIST,"Jewish History 2"
16161: HIST,"Latin America since 1825"
16162: HIST,"Modern China"
16163: HIST,"Modern England"
16164: HIST,"Modern France"
16165: HIST,"Modern Germany: 1648-1945"
16166: HIST,"Modern Japan"
16167: HIST,"Nineteenth-Century Europe"
16168: HIST,"Pacific Century"
16169: HIST,"Ren16170: HIST,"Revolution and Social Thought"
16171: HIST,"Russia From 1855"
16172: HIST,"Russia Midages-1855"
16173: HIST,"Seminar in History"
16174: HIST,"Senior Research in History"
16175: HIST,"Slave Trade"
16176: HIST,"Slavery in World History"
16177: HIST,"The American Ethnic Experience"
16178: HIST,"The American Worker"
16179: HIST,"The Ancient World: Rome"
16180: HIST,"The Birth of Europe"
16181: HIST,"The Caribbean Since Columbus"
16182: HIST,"The City in the Modern World"
16183: HIST,"The Civil War"
16184: HIST,"The Emergence of Urban America"
16185: HIST,"The History of Technology"
16186: HIST,"The Holocaust"
16187: HIST,"The Three Worlds"
16188: HIST,"Twentieth-Century Europe"
16189: HIST,"West Africa since Independence"
16190: HIST,"Women & Family in World Hist"
16191: HIST,"Women In the United States"
16192: HUMA,"20c Christ Thought"
16193: HUMA,"20ctradit & Innov"
16194: HUMA,"2nd Lang Acquisition"
16195: HUMA,"Amer Trad Soc Chang"
16196: HUMA,"Ancient Greek and Latin in Eng"
16197: HUMA,"Asian American Experience"
16198: HUMA,"Cinematic Adaptation"
16199: HUMA,"Fairness Equity"
16200: HUMA,"Fashion16201: HUMA,"Food Is Culture"
16202: HUMA,"Fren:People16203: HUMA,"Gateway to the Modern Age"
16204: HUMA,"Gender Dynamics 20c"
16205: HUMA,"Gender and Film"
16206: HUMA,"Gender and Language"
16207: HUMA,"Haitian Experience in the USA"
16208: HUMA,"Ibsen and Strindberg"
16209: HUMA,"Intercultural Communication"
16210: HUMA,"Interd Honors Seminar"
16211: HUMA,"Intro East Relig"
16212: HUMA,"Intro West Relig"
16213: HUMA,"Introduction to Film Studies"
16214: HUMA,"Introduction to Linguistics"
16215: HUMA,"Ital Exper In Us"
16216: HUMA,"Italian Culture & Civilization"
16217: HUMA,"Jewish Experience Us"
16218: HUMA,"Jewish in Greco-Roman World"
16219: HUMA,"Judaism 1"
16220: HUMA,"Judiasm 2"
16221: HUMA,"Language Development"
16222: HUMA,"Latin American Film"
16223: HUMA,"Latino Exp In U.S."
16224: HUMA,"Mahayana Buddhism"
16225: HUMA,"Natural Language Processing I"
16226: HUMA,"People of the Renaissance"
16227: HUMA,"Pictures Of Italy"
16228: HUMA,"Prejudice Viewed Existentially"
16229: HUMA,"Special Topics in Humanites"
16230: HUMA,"The Chng Depiction of Family"
16231: HUMA,"The Digital Revolution"
16232: HUMA,"The Language of Food"
16233: HUMA,"The Nature of Human Comm"
16234: HUMA,"Women’s Studies I"
16235: HUMA,"Women’s Studies II"
16236: HUMA,"World Of Opera"
16237: INTE,"Senior Seminar"
16238: INTE,"Waive Core Req."
16239: ITAL,"19c Italian Poetry"
16240: ITAL,"19th Century Italian Novel"
16241: ITAL,"20c Italian Poetry"
16242: ITAL,"Adv Grammar & Comp"
16243: ITAL,"Advanced Composition and Style"
16244: ITAL,"Advanced Conversation"
16245: ITAL,"Commercial Italian I"
16246: ITAL,"Commercial Italian II"
16247: ITAL,"Dantes Purgatorio"
16248: ITAL,"Dantes-Paradiso"
16249: ITAL,"Dante’s Div Comedy I: Inferno"
16250: ITAL,"Elem Ital For Health Prof"
16251: ITAL,"Elementary Italian I"
16252: ITAL,"Elementary Italian II"
16253: ITAL,"Guided Study In Italian"
16254: ITAL,"Hist Survey Italian Lit II"
16255: ITAL,"Individual Study"
16256: ITAL,"Intermediate Conversation"
16257: ITAL,"Intermediate Italian I"
16258: ITAL,"Intermediate Italian II"
16259: ITAL,"Ital Theatre I"
16260: ITAL,"Italian Literature I"
16261: ITAL,"Italian Renaissance"
16262: ITAL,"Italian Short Story"
16263: ITAL,"Italian Theatre II"
16264: ITAL,"Literature 3"
16265: ITAL,"Major Author-Trans"
16266: ITAL,"Petrarch and Boccaccio"
16267: ITAL,"Pirandello"
16268: ITAL,"Rapid Review of Basic Italian"
16269: ITAL,"Seminar"
16270: ITAL,"Translation I"
16271: ITAL,"Translation II"
16272: ITAL,"XX Century Italian Novel"
16273: JOUR,"Adv Report & Writing"
16274: JOUR,"Advanced Feature Writing"
16275: JOUR,"Basics of Online Journalism"
16276: JOUR,"Beat Reporting"
16277: JOUR,"Digital Photojournalism"
16278: JOUR,"Editorial Writing"
16279: JOUR,"Essentials of Editing"
16280: JOUR,"Ethics & Legal Issue"
16281: JOUR,"Independent Study"
16282: JOUR,"Intro Writing Broadcast News"
16283: JOUR,"Intro to Feature Wrtng"
16284: JOUR,"Introduction to Journalism"
16285: JOUR,"Investigative Journalism"
16286: JOUR,"Journalism Fieldwork I"
16287: JOUR,"Journalism Fieldwork II"
16288: JOUR,"Journalism Literature"
16289: JOUR,"Nonfiction Book Writing"
16290: JOUR,"Publishing Fieldwork"
16291: JOUR,"Social Justice Journalism"
16292: JOUR,"Special Topics in Journalism"
16293: MARK,"Advertising & Public Relations"
16294: MARK,"Aviation Market&Econ"
16295: MARK,"Consumer Behavior"
16296: MARK,"Digital Marketing"
16297: MARK,"Direct Marketing"
16298: MARK,"Independent Study in Marketing"
16299: MARK,"Industrial Marketing"
16300: MARK,"International Marketing"
16301: MARK,"Introduction to Marketing"
16302: MARK,"Marketing Management"
16303: MARK,"Marketing NLA Elective"
16304: MARK,"Marketing Research"
16305: MARK,"Marketing& Societal Well-Being"
16306: MARK,"Principles of Selling"
16307: MARK,"Retail Management"
16308: MARK,"Sales Management"
16309: MARK,"Service Marketing"
16310: MATH,"Actuarial Mathematics I"
16311: MATH,"Actuarial Mathematics II"
16312: MATH,"Actuarial Mathematics III"
16313: MATH,"Advanced Calculus I"
16314: MATH,"Advanced Calculus II"
16315: MATH,"Analyt Geom Calc 1"
16316: MATH,"Analyt Geom Calc 2"
16317: MATH,"Applied Regression Analysis"
16318: MATH,"Calculus 3"
16319: MATH,"College Algebra"
16320: MATH,"Combinatorial Geometry"
16321: MATH,"Computer Algebra System"
16322: MATH,"Computers in Modern Society"
16323: MATH,"Differential Eq& Dynamical Sys"
16324: MATH,"Discrete Math Structures"
16325: MATH,"Discrete Mathematics"
16326: MATH,"Finite Differ & Diff Equations"
16327: MATH,"Foundational Mathematics I"
16328: MATH,"Foundational Mathematics II"
16329: MATH,"Geometric Structures"
16330: MATH,"Geometry and Measurement"
16331: MATH,"Guided Study"
16332: MATH,"Hist & Phil Of Math"
16333: MATH,"Independent Study"
16334: MATH,"Individual Study"
16335: MATH,"Intermediate Algebra"
16336: MATH,"Introduction Complex Analysis"
16337: MATH,"Introduction to Topology"
16338: MATH,"Linear Algebra"
16339: MATH,"Math & Its Applications"
16340: MATH,"Math Meth Phys Sci"
16341: MATH,"Mathematical Logic"
16342: MATH,"Mathematical Modeling"
16343: MATH,"Mathematics for Social Justice"
16344: MATH,"Modern Algebra"
16345: MATH,"Numerical Analysis"
16346: MATH,"Operations Research"
16347: MATH,"Pre-Calculus"
16348: MATH,"Probability and Statistics I"
16349: MATH,"Probability and Statistics II"
16350: MATH,"Quant Approaches Urban Prob"
16351: MATH,"Quant Mth Decs Mkng"
16352: MATH,"Seminar Comtemp Math"
16353: MATH,"Seminar Contemp Math"
16354: MATH,"Seminar Contemporary Math"
16355: MATH,"Stat & Probability"
16356: MATH,"Statistics for Educators"
16357: MATH,"Theory of Numbers"
16358: MDTC,"Adv Practic Med Tec"
16359: MDTC,"Indep Study Med Tec"
16360: MDTC,"Microbiology & Immunology"
16361: MDTC,"Prin Of Toxicology"
16362: MESG,"FC_Creative Expression"
16363: MESG,"FC_Individual&Society"
16364: MESG,"FC_ScientificWorld"
16365: MESG,"FC_USExprienceinitsDivrsty"
16366: MESG,"FC_Wld Cultrs&GlblIssues"
16367: MILI,"Adaptive Leadership I"
16368: MILI,"Adaptive Leadership II"
16369: MILI,"Adaptive Team Leadership I"
16370: MILI,"Adaptive Team Leadership II"
16371: MILI,"Foundations of Leadership 1"
16372: MILI,"Foundations of Leadership II"
16373: MILI,"Introduction to Leadership 1"
16374: MILI,"Introduction to Leadership 2"
16375: MOSC,"Adult Fitness Programs"
16376: MOSC,"Biomechanics"
16377: MOSC,"Certified Exercise Phys Wrkshp"
16378: MOSC,"Field Work in Movement Sci I"
16379: MOSC,"Field Work in Movement Sci II"
16380: MOSC,"Recreation:Org & Lead"
16381: MSSR,"Field Work in Sports Rehab II"
16382: MSSR,"Fldwrk Sports Rehabilitation I"
16383: MSSR,"Introduction to Sports Rehab"
16384: MSSR,"Therap Exercise & Evaluation"
16385: MUSI,"20th Century Music and Beyond"
16386: MUSI,"Advanced Music Production"
16387: MUSI,"African-American Music"
16388: MUSI,"American Musical Theatre"
16389: MUSI,"Art & Sound of Video Games"
16390: MUSI,"Basic Music Theory II"
16391: MUSI,"Chorus"
16392: MUSI,"Chorus I"
16393: MUSI,"Chorus II"
16394: MUSI,"Chorus III"
16395: MUSI,"Chorus IV"
16396: MUSI,"Class Instruction in Piano I"
16397: MUSI,"Class Instruction in Piano II"
16398: MUSI,"Classical and Romantic Eras"
16399: MUSI,"Composition"
16400: MUSI,"Conducting"
16401: MUSI,"Ear Training I"
16402: MUSI,"Ear Training II"
16403: MUSI,"Electronic Music 1"
16404: MUSI,"Form and Analysis"
16405: MUSI,"Foundations of Mus Production"
16406: MUSI,"Fundamentals of Music Theory"
16407: MUSI,"Globalization of Jazz"
16408: MUSI,"Gospel Choir I"
16409: MUSI,"Gospel Choir II"
16410: MUSI,"Gospel Choir III"
16411: MUSI,"Gospel Choir IV"
16412: MUSI,"Guitar Workshop I"
16413: MUSI,"Guitar Workshop II"
16414: MUSI,"Guitar Workshop III"
16415: MUSI,"Guitar Workshop IV"
16416: MUSI,"Harmony"
16417: MUSI,"History of Film Music"
16418: MUSI,"History of Hip-Hop"
16419: MUSI,"History of Jazz"
16420: MUSI,"History of Rock"
16421: MUSI,"Instrumentation"
16422: MUSI,"Intro to Ethnomusicolgy"
16423: MUSI,"Introduction to Music"
16424: MUSI,"Jazz Analysis"
16425: MUSI,"Jazz Band I"
16426: MUSI,"Jazz Band II"
16427: MUSI,"Jazz Band III"
16428: MUSI,"Jazz Band IV"
16429: MUSI,"Jazz Improvisation I"
16430: MUSI,"Jazz Improvisation II"
16431: MUSI,"Jazz Improvisation III"
16432: MUSI,"Jazz Improvisation IV"
16433: MUSI,"Jazz Workshop"
16434: MUSI,"Keyboard Accompaniment"
16435: MUSI,"Middle Ages to Baroque Era"
16436: MUSI,"Mixing and Mastering"
16437: MUSI,"Music Industry"
16438: MUSI,"Music Theory I"
16439: MUSI,"Music Theory II"
16440: MUSI,"Music Theory III"
16441: MUSI,"Music Theory IV"
16442: MUSI,"Performance Workshop I"
16443: MUSI,"Performance Workshop II"
16444: MUSI,"Performance Workshop III"
16445: MUSI,"Performance Workshop IV"
16446: MUSI,"Recording Techniques for Music"
16447: MUSI,"Science of Recorded Sound"
16448: MUSI,"Senior Recital"
16449: MUSI,"Special Studies in Music"
16450: MUSI,"Studies in Mus Performance I"
16451: MUSI,"Studies in Mus Performance II"
16452: MUSI,"Studies in Mus Performance III"
16453: MUSI,"Studies in Mus Performance IV"
16454: NASS,"Honors Research Seminar"
16455: NURS,"Adult Health I"
16456: NURS,"Adult Health II"
16457: NURS,"Advanced Nursing Science"
16458: NURS,"Advanced Nursing Theory"
16459: NURS,"Advocacy16460: NURS,"Assesmnt & Eval in Nursing Edu"
16461: NURS,"Care Of Children"
16462: NURS,"Care Of Children Lab"
16463: NURS,"Clinical Teaching"
16464: NURS,"Curriculum Development"
16465: NURS,"Family & Comm 2"
16466: NURS,"Family & Comm 2 Lab"
16467: NURS,"Fund Of Nursing Lab"
16468: NURS,"Fundamentals of Nursing"
16469: NURS,"Health Assessment"
16470: NURS,"Health Assessment-Generic Prog"
16471: NURS,"Health Needs in Community"
16472: NURS,"Hlth Assessment Lab"
16473: NURS,"Introduction to Nursing Info"
16474: NURS,"Leadership and Legal Issues"
16475: NURS,"Mgmnt/Leadership"
16476: NURS,"Nurs Client Inter-syst: Pysch"
16477: NURS,"Nurs Process & Pharmacol"
16478: NURS,"Nurs-Client Int -Lab"
16479: NURS,"Nurs/Community 1"
16480: NURS,"Nurs/Community 1-Lab"
16481: NURS,"Nurse-Family Group"
16482: NURS,"Nurse-Family Grp Lab"
16483: NURS,"Nursing Education Practicum I"
16484: NURS,"Nursing Education Practicum II"
16485: NURS,"Nursing Process"
16486: NURS,"Nursing Process Lab"
16487: NURS,"Pharmacology for Nurses"
16488: NURS,"Pharmacotherapeautic"
16489: NURS,"Phys Function I Lab"
16490: NURS,"Phys Function II-Lab"
16491: NURS,"Research Prof Nurs"
16492: NURS,"Simulation and Online Educ"
16493: NURS,"Soctl Clnt Intersys"
16494: NURS,"Stat Analysis for Healthcare"
16495: NURS,"Teaching and Learning"
16496: NURS,"The Nurse Educator Role"
16497: NURS,"Values In Transition"
16498: OCTH,"Adv OT Theory&Practice"
16499: OCTH,"Adv Occup Analysis Lab"
16500: OCTH,"Advanced Neuroscience"
16501: OCTH,"Advanced Occupational Analysis"
16502: OCTH,"Assistive Technology"
16503: OCTH,"Capstone Community Experience"
16504: OCTH,"Clinical Kinesiology"
16505: OCTH,"Clinical Kinesiology - Lab"
16506: OCTH,"Collaboration In OT"
16507: OCTH,"Fieldwork Level II OT I"
16508: OCTH,"Fieldwork Level II OT II"
16509: OCTH,"Functional Human Anatomy"
16510: OCTH,"Functional Human Anatomy - Lab"
16511: OCTH,"Functional Human Physiology"
16512: OCTH,"Fundamentals Of Ot"
16513: OCTH,"Indep Study in Occup Therapy"
16514: OCTH,"Independent Study OT"
16515: OCTH,"Independent Study Ot"
16516: OCTH,"Medical Conditions"
16517: OCTH,"Neuroscience"
16518: OCTH,"OT2: Physical Intervention"
16519: OCTH,"Occ Thru Life Span"
16520: OCTH,"Occupational Analysis"
16521: OCTH,"Occupational Analysis Lab"
16522: OCTH,"Occupational Therapy Practice"
16523: OCTH,"Occupational Therapy Process I"
16524: OCTH,"Ot 1: Pediatric Lab"
16525: OCTH,"Ot 1:Pediatric Inter"
16526: OCTH,"Ot 1:Phys Interventn"
16527: OCTH,"Ot 2: Psychosocial"
16528: OCTH,"Phys Agent Modalitie"
16529: OCTH,"Phys Human Hlth-Lab"
16530: OCTH,"Professional Development I"
16531: OCTH,"Professional Development II"
16532: OCTH,"Research Design"
16533: OCTH,"Research Methods"
16534: OCTH,"Research Seminar I"
16535: OCTH,"Research Seminar II"
16536: OCTH,"Research Seminar IV"
16537: OCTH,"Systems Management"
16538: OCTH,"Use of Orthotics in OT"
16539: PERM,"Graduate Permit 3 credits"
16540: PERM,"Permit Course"
16541: PERM,"Permit Course 8.5 credits"
16542: PHAS,"Ambulatory Care Clin Rotation"
16543: PHAS,"Applied Medical Sciences"
16544: PHAS,"Biomedical Ethics"
16545: PHAS,"Clinical Anatomy"
16546: PHAS,"Clinical Correlations Sem I"
16547: PHAS,"Clinical Correlations Sem II"
16548: PHAS,"Clinical Medicine I"
16549: PHAS,"Clinical Medicine II"
16550: PHAS,"Clinical Medicine III"
16551: PHAS,"Clinical Skills"
16552: PHAS,"Diagnostic Studies"
16553: PHAS,"Emerg Med Clinical Rotation"
16554: PHAS,"Emergency Medicine"
16555: PHAS,"Evid Based Med & Hlth Info"
16556: PHAS,"Family Prac Clinical Rotation"
16557: PHAS,"Health Policy"
16558: PHAS,"Hlth Promo& Disease Prevention"
16559: PHAS,"Internal Med Clinical Rotation"
16560: PHAS,"Interviewing and Counseling"
