19364: ACCT,"Accounting Information Systems"
20064: CRIM,"Theories Terrorism"
20065: CRIM,"Unders Crim Behavior"
20066: CRIM,"Urb. Youth & Crime"
20067: CRIM,"Urban Violence"
20068: CRIM,"Us Intelligence"
20069: CRIM,"Victimology"
20070: CRIM,"Violence Across Globe"
20071: CRIM,"Violent Crime Investigation"
20072: CRIM,"Violnce Across Globe"
20073: CRIM,"White Collar Crime"
20074: CRIM,"Wildlife Crime"
20075: CRIM,"Women & Terrorism"
20076: CRIM,"Women Public Uniform"
20077: CRIM,"Women and Crime"
20078: CRIM,"Women and Criminal Justice"
20079: CRIM,"Writing for Management"
20080: CRIM,"Youth Crime & Delinq Control"
20081: CRIN,"Appl Rsrch Methods In ICJ"
20082: CRIN,"Capstone In ICJ"
20083: CRIN,"Comparative Crim Just Syst"
20084: CRIN,"Comprehensive Review"
20085: CRIN,"Corruption and the Global Econ"
20086: CRIN,"Crime & Justice in the Balkans"
20087: CRIN,"Crime Justice Cultural Struggl"
20088: CRIN,"Criminal Justice in the Balkan"
20089: CRIN,"Drug Trafficking"
20090: CRIN,"Environmental Crime"
20091: CRIN,"Fac Mentored Research Experien"
20092: CRIN,"Fac-Mentored Research in ICJ"
20093: CRIN,"Fieldwork-Internship"
20094: CRIN,"Fieldwork/Internship"
20095: CRIN,"Flang Proficency"
20096: CRIN,"Fndt Schlrshp In ICJ"
20097: CRIN,"History of Genocide"
20098: CRIN,"Human Rights and Counterterror"
20099: CRIN,"Human Trafficking"
20100: CRIN,"ICJ Internship"
20101: CRIN,"Illegal Markets and Econ Just"
20102: CRIN,"Independent Study"
20103: CRIN,"Independent Study 200-level"
20104: CRIN,"Independent Study 300-level"
20105: CRIN,"Independent Study 400-level"
20106: CRIN,"Info Tech & Cybercrime"
20107: CRIN,"Inter Crime&Justice Thesis II"
20108: CRIN,"International Criminal Law"
20109: CRIN,"Internship Int Crime & Justice"
20110: CRIN,"Intl Persp Women Crim Justice"
20111: CRIN,"Intl. Crime & Justice Thry"
20112: CRIN,"Intlperspwomencj"
20113: CRIN,"Intro Int Crim Just."
20114: CRIN,"Intro Interntnal Crj"
20115: CRIN,"Organized Crime"
20116: CRIN,"SP:International Crime & Justi"
20117: CRIN,"Selected Topics in Int’l CRJ"
20118: CRIN,"Seminar Int Crm Just"
20119: CRIN,"Supv Teach & Pedagogy in ICJ"
20120: CRIN,"Terror & Human Rghts"
20121: CRIN,"Terrorism & Transnatl Crime"
20122: CRIN,"Thesis I"
20123: CRIN,"Transitional Justice"
20124: CRIN,"Transnational Crime"
20125: CRIN,"UN Sustain & Global Justice"
20126: CRIN,"Unpfii:Ir&Beyond"
20127: DRAM,"Acting I"
20128: DRAM,"Acting II"
20129: DRAM,"African-American Theatre"
20130: DRAM,"Amer Queer Cinema"
20131: DRAM,"Black Female Sexuality in Film"
20132: DRAM,"Cj In The Theater"
20133: DRAM,"Contemporary Theatre"
20134: DRAM,"Directing"
20135: DRAM,"Drama Forum"
20136: DRAM,"Drama In Productn"
20137: DRAM,"Drama In Productn II"
20138: DRAM,"Drama Techniques in Crisis Int"
20139: DRAM,"Drama in Production"
20140: DRAM,"Fac Mntred Rsrch Expe in Drama"
20141: DRAM,"Film Criticism"
20142: DRAM,"Gender on Stage and Screen"
20143: DRAM,"History Of Theater"
20144: DRAM,"History of the Drama II"
20145: DRAM,"Improvisational Theatre"
20146: DRAM,"Independent Study 200-level"
20147: DRAM,"Independent Study 300-level"
20148: DRAM,"Independent Study 400-level"
20149: DRAM,"Interdisc Dra"
20150: DRAM,"Introduction to Playwriting"
20151: DRAM,"Introduction to Theatre"
20152: DRAM,"Latino Image In Film"
20153: DRAM,"Mime And Mask"
20154: DRAM,"Performance of Gender"
20155: DRAM,"Play Writing"
20156: DRAM,"Practicum Prod Mgmt"
20157: DRAM,"Reader’S Theater"
20158: DRAM,"Self Media & Society"
20159: DRAM,"Sociodrama"
20160: DRAM,"Sociodrama Ensemble"
20161: DRAM,"Sociodrama I"
20162: DRAM,"Sociodrama II"
20163: DRAM,"Stagecraft"
20164: DRAM,"Tech Cris Intvntn"
20165: DRAM,"Theatr Artist @ Work"
20166: DRAM,"Theatre of Americas since 1960"
20167: DRAM,"Theatre of the Oppressed"
20168: DRAM,"Thematic Drama"
20169: DRAM,"Topics in Theatre"
20170: DRAM,"Tv Production Intern"
20171: DRAM,"Tv Productn Intern 2"
20172: DRAM,"Video Production Basics"
20173: DRAM,"Voice & Diction"
20174: DRAM,"Women in Theatre"
20175: ECON,"Advanced Political Economy"
20176: ECON,"Alternative Economic Systems"
20177: ECON,"American Eco & Environ History"
20178: ECON,"American Economic History"
20179: ECON,"An Economic Analysis of Crime"
20180: ECON,"Applied Econometrics"
20181: ECON,"Community Economic Development"
20182: ECON,"Consumer Economcs"
20183: ECON,"Consumer Economics"
20184: ECON,"Corp White Col Cr"
20185: ECON,"Demyst Econ Stats"
20186: ECON,"Econ in History Perspectives"
20187: ECON,"Economic Analysis Crime"
20188: ECON,"Economic Development"
20189: ECON,"Economic History"
20190: ECON,"Economics & Crime"
20191: ECON,"Economics Finance"
20192: ECON,"Economics Of Gender"
20193: ECON,"Economics Of Justice"
20194: ECON,"Economics Tr Cred"
20195: ECON,"Economics of Labor"
20196: ECON,"Economics of Regulation & Law"
20197: ECON,"Environmntl Econ20198: ECON,"Fac Mentored Research Experien"
20199: ECON,"Finance for Forensic Economics"
20200: ECON,"Financial Economics"
20201: ECON,"Games20202: ECON,"Games20203: ECON,"Glob Eco Dev & Crime"
20204: ECON,"History of Economic Thought"
20205: ECON,"Independent Study"
20206: ECON,"Independent Study 200-level"
20207: ECON,"Independent Study 300-level"
20208: ECON,"Independent Study 400-level"
20209: ECON,"Interdisc Eco"
20210: ECON,"Intermediate Macroeconomics"
20211: ECON,"Intermediate Microeconomics"
20212: ECON,"International Economics"
20213: ECON,"Intro Forensic Acctg"
20214: ECON,"Intro to Economics"
20215: ECON,"Intro to Managerial Accounting"
20216: ECON,"Introduction to Accounting"
20217: ECON,"Introduction to Macroeconomics"
20218: ECON,"Introduction to Microeconomics"
20219: ECON,"Macroeconomics"
20220: ECON,"Mathematics for Economists"
20221: ECON,"Microeconomics"
20222: ECON,"Money & Banking"
20223: ECON,"Movements for Economic Justice"
20224: ECON,"PolEco: Middle East & N.Africa"
20225: ECON,"Polit Econ Of Gender"
20226: ECON,"Political Eco Gov"
20227: ECON,"Political Economy"
20228: ECON,"Political Economy of Gender"
20229: ECON,"PoliticalEconomyEnvironment"
20230: ECON,"Prin Accounting 1"
20231: ECON,"Principles of Accounting II"
20232: ECON,"Public Sector Economics"
20233: ECON,"Public Sector Economics & Pol"
20234: ECON,"Quant Analysis"
20235: ECON,"Research Methods I ? Quantitat"
20236: ECON,"Research Methods II"
20237: ECON,"Selected Topics in Economics"
20238: ECON,"Seminar in Economics"
20239: ECON,"Statistics for Economists"
20240: ECON,"Sustainability"
20241: ECON,"Sustainable Eco Devl"
20242: ECON,"The Political Economy of China"
20243: ECON,"Thematic-Econ"
20244: ECON,"Topics in Macroeconomics"
20245: ECON,"Understanding US Economic Data"
20246: ECON,"Urban Economics"
20247: ECON,"Women&Economic Power"
20248: EDOC,"Safety Control"
20249: EDPH,"Aerobics I"
20250: EDPH,"Afr-Am Athlete 20c"
20251: EDPH,"Air Pistol Shooting"
20252: EDPH,"Aquatic Safety 2"
20253: EDPH,"Aquatic Safety 3"
20254: EDPH,"Aquatics 3"
20255: EDPH,"Aquatics I: Beginner Swimming"
20256: EDPH,"Aquatics IV: Scuba"
20257: EDPH,"Baseball"
20258: EDPH,"Basketball"
20259: EDPH,"Cardiovascular Fitness"
20260: EDPH,"Cheerleading"
20261: EDPH,"Cross Country"
20262: EDPH,"Developmt Of Weapons"
20263: EDPH,"Golf I"
20264: EDPH,"Health &Wellness Programs"
20265: EDPH,"Health Unifm Service"
20266: EDPH,"Independent Study"
20267: EDPH,"Independent Study 200-level"
20268: EDPH,"Independent Study 300-level"
20269: EDPH,"Independent Study 400-level"
20270: EDPH,"Interc Athl Part: Swimming"
20271: EDPH,"Intercollegiate Athletics; Che"
20272: EDPH,"Introduction to Boxing"
20273: EDPH,"Judo I"
20274: EDPH,"Karate I"
20275: EDPH,"Karate II"
20276: EDPH,"Lifetime Wellness"
20277: EDPH,"Personal & Public Health"
20278: EDPH,"Personal Safety and First Aid"
20279: EDPH,"Phys Fitn Law Enforcement"
20280: EDPH,"Physical Fitness"
20281: EDPH,"Psych Of Sports"
20282: EDPH,"Rifle"
20283: EDPH,"Rifle Shooting"
20284: EDPH,"Self Defense"
20285: EDPH,"Self Defense Law Enforcement"
20286: EDPH,"Soccer"
20287: EDPH,"Softball"
20288: EDPH,"Stress Manag in Law Enforcem"
20289: EDPH,"Stress Management"
20290: EDPH,"Stress Mgmt Law Enf"
20291: EDPH,"Tennis"
20292: EDPH,"Tennis I"
20293: EDPH,"Track & Field"
20294: EDPH,"Triathlon"
20295: EDPH,"Volleyball"
20296: EDPH,"Water Aerobics & Bas Survival"
20297: EDPH,"Weapons & Aggression"
20298: EDPH,"Weight Training"
20299: EDPH,"Yoga I"
20300: EDUC,"Child Development"
20301: EDUC,"Diagnos Read Difc"
20302: EDUC,"Diagnosis Read Diff"
20303: EDUC,"Education and Justice"
20304: EDUC,"Education as Power"
20305: EDUC,"Education for Social Change US"
20306: EDUC,"Educational Foundations"
20307: EDUC,"Field Work Educ Ser"
20308: EDUC,"Field Work Education Ser"
20309: EDUC,"Field Work in Community"
20310: EDUC,"Field Wrk In Educ"
20311: EDUC,"Foundations of Special Educati"
20312: EDUC,"Language Literacy and Culture"
20313: EDUC,"Prob Contem Educ"
20314: EDUC,"Psych Chldrn Active Daily Live"
20315: EDUC,"SEEK Acad Support Hum/SocSci"
20316: EDUC,"SEEK Acad Support MAT/SCI"
20317: EDUC,"Select Topics Edu & Justice"
20318: EDUC,"Seminar in Teaching Soc Stud"
20319: EDUC,"Teaching Skills"
20320: EDUC,"Theories Learning"
20321: EMSA,"Disasters and Mass Casualty"
20322: EMSA,"Emergency Dispatch & Comm"
20323: EMSA,"Emergency Incident Management"
20324: EMSA,"GIS for EMERG SERVICES"
20325: EMSA,"Independent Study 200-level"
20326: EMSA,"Independent Study 300-level"
20327: EMSA,"Independent Study 400-level"
20328: EMSA,"Intro Emerg Medical Services"
20329: EMSA,"Intro to Emergency Mgmnt"
20330: EMSA,"Responder Health & Safety"
20331: EMSA,"Topics Emergency Serv Admin"
20332: ENAP,"Adv Eng Aca Purposes"
20333: ENAP,"Eng For Aca Purposes"
20334: ENAP,"Prep Eng Acad Purp"
20335: ENGL,"Adv Writ Manag/Busin/Publ Adm"
20336: ENGL,"Adv Writing Response"
20337: ENGL,"Advanced Fiction Writing"
20338: ENGL,"Advanced Poetry"
20339: ENGL,"Advanced Writing and Response"
20340: ENGL,"Argument Writing"
20341: ENGL,"Beat Reporting"
20342: ENGL,"College Composition Prep Works"
20343: ENGL,"College Compositn"
20344: ENGL,"Comp I Expl & Auth"
20345: ENGL,"Comp II Discip Inves"
20346: ENGL,"Contmp Media Form"
20347: ENGL,"Creative Exp & Human Nat"
20348: ENGL,"Creative Nonfiction"
20349: ENGL,"Creative Writing"
20350: ENGL,"Cultrl Jourlsm & Crj"
20351: ENGL,"Desktop Publishing"
20352: ENGL,"Digital Journalism"
20353: ENGL,"Digital Video Production"
20354: ENGL,"Documentary Film"
20355: ENGL,"Elements of Writing"
20356: ENGL,"Eng As 2nd Lang"
20357: ENGL,"Eng As 2nd Lang 2"
20358: ENGL,"Eng As 2nd Lang 2.1"
20359: ENGL,"Eng As 2nd Lang 3"
20360: ENGL,"Eng As 2nd Lang 3.1"
20361: ENGL,"English Language and Comp"
20362: ENGL,"English as a Second Language"
20363: ENGL,"Fac-Mentored Research Exp: ENG"
20364: ENGL,"Feminist Rhetorics"
20365: ENGL,"Fiction Writing"
20366: ENGL,"Forensic Linguistics"
20367: ENGL,"Forms & Genres"
20368: ENGL,"Grammar Syntax & Writ"
20369: ENGL,"Grammar and Style"
20370: ENGL,"History Eng Lang"
20371: ENGL,"Independent Study 200-level"
20372: ENGL,"Independent Study 300-level"
20373: ENGL,"Independent Study 400-level"
20374: ENGL,"Int Compostn Intnsve"
20375: ENGL,"Interdisc Eng"
20376: ENGL,"Interdisc English"
20377: ENGL,"Interdisc Internship"
20378: ENGL,"Intermed Reporting"
20379: ENGL,"Interpreting Objects & Culture"
20380: ENGL,"Intr Coll Compos"
20381: ENGL,"Intr Writtn Engs1"
20382: ENGL,"Intr Writtn Engs2"
20383: ENGL,"Intro To Rhetoric"
20384: ENGL,"Introduction Written English 2"
20385: ENGL,"Introduction to Forensic Ling"
20386: ENGL,"Introduction to Language"
20387: ENGL,"Introductory Writing English I"
20388: ENGL,"Investigative Report Writing"
20389: ENGL,"Journalism Workshop"
20390: ENGL,"Journalism in the 21st Century"
20391: ENGL,"Journslm Intern 1"
20392: ENGL,"Language and Justice"
20393: ENGL,"Legal Writing II"
20394: ENGL,"News Reporting & Writing"
20395: ENGL,"Playwriting"
20396: ENGL,"Podcast: Soc Impt20397: ENGL,"Poetry Writing and Reading"
20398: ENGL,"Pre-Fresh Composn"
20399: ENGL,"Psychopathol & Lit."
20400: ENGL,"Screenwriting"
20401: ENGL,"Selected Topics in Writing"
20402: ENGL,"Self20403: ENGL,"Special Topics"
20404: ENGL,"Technical Writing"
20405: ENGL,"Thematic-English"
20406: ENGL,"Topics in Creative Writing"
20407: ENGL,"Writing With Purpose"
20408: ENGL,"Writing Workshop:Autobiography"
20409: ENGL,"Writing and Research Skills"
20410: ENGL,"Writing for Legal Studies"
20411: ENGL,"Writng for Mgmt20412: ENGL,"Writng/Tutorng 1"
20413: ENGL,"Writng/Tutorng 2"
20414: ENGL,"Wrtng&Search Sk"
20415: ENGW,"Coll. Compostn Intsv"
20416: ENGW,"Literacy Inquiries"
20417: ETHN,"Honors Ethnic Stdies"
20418: ETHN,"Interdisc Eth"
20419: ETHN,"Latina/O In The U.S."
20420: ETHN,"Pol Superv Race&Cult"
20421: ETHN,"Race and Ethnicity in America"
20422: ETHN,"The Africanam Exp"
20423: ETHN,"Thematic Ethnic Stds"
20424: ETHN,"Thematic-Ethnic"
20425: EVSC,"Envirnmentl Probs"
20426: EVSC,"Independent Study 200-level"
20427: EVSC,"Independent Study 300-level"
20428: EVSC,"Independent Study 400-level"
20429: EXEM,"Eng 101 Exemption"
20430: EXEM,"English 201 Exemption"
20431: EXEM,"F Lang Exemp 101/111"
20432: EXEM,"F Lang Exemption All"
20433: EXEM,"In Service Exemption"
20434: EXEM,"Mat 105 Exemption"
20435: EXEM,"Math Gen Ed Exemption"
20436: EXEM,"Nsc 107 Exemption"
20437: EXEM,"Ped Exemption"
20438: EXEM,"Spe 113 Exemption"
20439: FIRE,"Adv Sem Protect Sys"
20440: FIRE,"Aut Fire Ext Syst"
20441: FIRE,"Bldg & Fire Codes"
20442: FIRE,"Cont Fire Prot"
20443: FIRE,"Contemp Iss Sec Mgt"
20444: FIRE,"Disast Cont & Plan"
20445: FIRE,"Independent Study"
20446: FIRE,"Int Fire Protection"
20447: FIRE,"Protect Mgt Sys"
20448: FIRE,"Risk Anl&Loss Prv"
20449: FIRE,"Sec&Safty Systems"
20450: FIRE,"Theo Design Sec Sys"
20451: FISC,"9/11 Emerg Response"
20452: FISC,"App Inc Com Systems"
20453: FISC,"Arson Inv Service"
20454: FISC,"Fac Ment Resrch Exper Fire Sci"
20455: FISC,"Fire Dynamics"
20456: FISC,"Fire In New York"
20457: FISC,"Fire Investigations"
20458: FISC,"Fire Protection Systems"
20459: FISC,"Fire Safety Admin"
20460: FISC,"Fire Safety Administration"
20461: FISC,"Fire Service Hydraulics"
20462: FISC,"Fire/Emergency Tactics"
20463: FISC,"Hazard Id Mitigation"
20464: FISC,"Hazard Material"
20465: FISC,"Hum Behav Fire Emer"
20466: FISC,"Incident Management Utility"
20467: FISC,"Independent Study 200-level"
20468: FISC,"Independent Study 300-level"
20469: FISC,"Independent Study 400-level"
20470: FISC,"Introduction to Fire Science"
20471: FISC,"Life Safety Sys 1"
20472: FISC,"Life Safety Sys 2"
20473: FISC,"Manag App Fire Protection"
20474: FISC,"Mgt Of Emerg Incdnts"
20475: FISC,"Resrch New Fire Prot"
20476: FISC,"Risk Management"
20477: FISC,"Safety Engineering"
20478: FISC,"Safety Engineerng"
20479: FISC,"Sci FoundTN EMG MGMT"
20480: FISC,"Selected Topics Fire Science"
20481: FISC,"Sem Fire Prot Prb"
20482: FISC,"Surv of Concepts Oper Research"
20483: FISC,"Theory Comm Systems"
20484: FISC,"Water Supress System"
20485: FOSC,"Adv Instrmntl Anal1"
20486: FOSC,"Adv Instrmntl Anal2"
20487: FOSC,"Adv Molecular Bio 1"
20488: FOSC,"Adv Molecular Bio 2"
20489: FOSC,"Adv Plm & Trace Evid"
20490: FOSC,"Adv Polarized Light"
20491: FOSC,"Adv Topics Phys Evid"
20492: FOSC,"Advanced Criminalistics I"
20493: FOSC,"Advanced Criminalistics II"
20494: FOSC,"Advanced Genetics"
20495: FOSC,"Analytical Toxicology"
20496: FOSC,"Bio Statistics"
20497: FOSC,"Case Analysis in Forens Tox"
20498: FOSC,"Concepts of Forensic Science"
20499: FOSC,"Crime Scene Investig Foren Sci"
20500: FOSC,"Crime Scene Reconstruction"
20501: FOSC,"Crime-Scene Investig"
20502: FOSC,"Ct Techno & Techniqs"
20503: FOSC,"Current Trends Foren Path Ento"
20504: FOSC,"Current Trends Forensic Path"
20505: FOSC,"Data Analysis-Forens Scientist"
20506: FOSC,"Fac Mentored Research Experien"
20507: FOSC,"Fac-Mentored Research in FOS"
20508: FOSC,"Field Work in Forensic Science"
20509: FOSC,"Forensic Analy Chem"
20510: FOSC,"Forensic DNA Technology"
20511: FOSC,"Forensic Electron Microscopy"
20512: FOSC,"Forensic Examination"
20513: FOSC,"Forensic Human Identification"
20514: FOSC,"Forensic Imaging"
20515: FOSC,"Forensic Medicine"
20516: FOSC,"Forensic Pharmacology"
20517: FOSC,"Forensic Sci Capstone"
20518: FOSC,"Forensic Science Internship"
20519: FOSC,"Forensic Science Laboratory"
20520: FOSC,"Forensic Tox 2"
20521: FOSC,"Forensic Toxicology I"
20522: FOSC,"Fos Ant: Osteo & Gen"
20523: FOSC,"Fos Ant:Osteo & Gen"
20524: FOSC,"Human Genetics"
20525: FOSC,"Id Organic Molecules"
20526: FOSC,"Impression Evidence"
20527: FOSC,"Ind & Env Toxicol"
20528: FOSC,"Independent Study"
20529: FOSC,"Investgtns/Enviromnt"
20530: FOSC,"Lab Research"
20531: FOSC,"Math Stat Fos Anlsys"
20532: FOSC,"Math Stats Forensic Analysis"
20533: FOSC,"Microscopy20534: FOSC,"Microspctrophotomtry"
20535: FOSC,"Molecular Biology"
20536: FOSC,"Organic Comp Structr"
20537: FOSC,"Physical Bio Evidenc"
20538: FOSC,"Prin Forensic Toxico"
20539: FOSC,"Probs Physcl Evdnc"
20540: FOSC,"Prospectus Seminar"
20541: FOSC,"Research Internship"
20542: FOSC,"Sci Evid & Ethics"
20543: FOSC,"Sci Evid & Exprt Tes"
20544: FOSC,"Sci Fire Investig"
20545: FOSC,"Sci. Firearm Examin."
20546: FOSC,"Selected Topics in FOS w/ Lab"
20547: FOSC,"Selected Topics in For Sci"
20548: FOSC,"Seminar in Special Topics"
20549: FOSC,"Stat Law&Forensc Sci"
20550: FOSC,"Survey Criminalstcs"
20551: FOSC,"Survy Criminalist M"
20552: FOSC,"Thesis Prospectus I"
20553: FOSC,"Thesis Prospectus II"
20554: FOSC,"Thesis Prospectus III"
20555: FREN,"French Films and Translations"
20556: FREN,"Independent Study 200-level"
20557: FREN,"Independent Study 300-level"
20558: FREN,"Independent Study 400-level"
20559: FREN,"Intermediate French I"
20560: FREN,"Intermediate French II"
20561: FREN,"Introductory French I"
20562: FREN,"Introductory French II"
20563: FROR,"Child Comm Respon"
20564: FROR,"Culture Family Self"
20565: FROR,"Homelessness Nyc"
20566: FROR,"Immigration"
20567: FROR,"Public Housing"
20568: FROR,"Race & Eth America"
20569: GEND,"Interdisc Gen"
20570: GERM,"German Tr Cred"
20571: GERM,"Independent Study 200-level"
20572: GERM,"Independent Study 300-level"
20573: GERM,"Independent Study 400-level"
20574: GERM,"Intermed German I"
20575: GERM,"Intermediate German I"
20576: GERM,"Intro German I"
20577: GERM,"Intro To German II"
20578: GERM,"Introductory German I"
20579: GERM,"Introductory German II"
20580: GNST,"Biology of Gender & Sexuality"
20581: GNST,"Economics Of Gender"
20582: GNST,"Fac Mentored Research Experien"
20583: GNST,"Feminist Praxis: Internship"
20584: GNST,"Feminist&Critica Methodologies"
20585: GNST,"Gend&Sex Muslim Soc"
20586: GNST,"Gender & Activism"
20587: GNST,"Gender and Justice"
20588: GNST,"History Gender I"
20589: GNST,"Independent Study 200-level"
20590: GNST,"Independent Study 300-level"
20591: GNST,"Independent Study 400-level"
20592: GNST,"Intro to Feminist Praxis"
20593: GNST,"Introduction to Gender Studies"
20594: GNST,"Sr Sem Gen Studies"
20595: GNST,"Sr Sem Gendr Studies"
20596: GNST,"Theories Gender & Sex"
20597: GNST,"Topics In Gender Studies"
20598: GOVT,"Adm Personnel Res"
20599: GOVT,"American Pol.Thought"
20600: GOVT,"American Political Philosophy"
20601: GOVT,"Budgeting"
20602: GOVT,"Comp Urban Pol Sys"
20603: GOVT,"Const & Crimnl Jstc"
20604: GOVT,"Crim Law Pol Admin"
20605: GOVT,"Cuny Wash Dc Intrnsh"
20606: GOVT,"Government Elective Credit"
20607: GOVT,"Honors Tutorial"
20608: GOVT,"Independent Study"
20609: GOVT,"Interdisc Gov"
20610: GOVT,"Law/Pol Sex Orient"
20611: GOVT,"News Media & Just"
20612: GOVT,"Nyc Politics &Policy"
20613: GOVT,"Nys Assembly/Senate"
20614: GOVT,"Planning"
20615: GOVT,"Pol Prty Prss Gps"
20616: GOVT,"Pol Theory Crj"
20617: GOVT,"Pol Transnatnl Crime"
20618: GOVT,"Polit Judicial Proc"
20619: GOVT,"Politic Glob Inequal"
20620: GOVT,"Political Sociology"
20621: GOVT,"Productivity Mgmt"
20622: GOVT,"Reparation Afram Exp"
20623: GOVT,"Sem Civil Rgts Lib"
20624: GOVT,"Sem Nyc Politics"
20625: GOVT,"Seminar in Government"
20626: GOVT,"Semr&Intrn Nyc Go"
20627: GOVT,"St:Women & Politics"
20628: GOVT,"State Crts & Cons Law"
20629: GOVT,"The Chief Executive"
20630: GOVT,"Transnational Crime"
20631: GOVT,"United Nations Systm"
20632: GOVT,"Urban Politics"
20633: GOVT,"Us For Plcy Latin Am"
20634: GOVT,"Women And Law"
20635: HIST,"Afr Diaspora Hist 1"
20636: HIST,"African Diaspora II"
20637: HIST,"Am Prob 1840-Pres"
20638: HIST,"Amer Civilztn 1"
20639: HIST,"Amer Civilztn 2"
20640: HIST,"American Legal History"
20641: HIST,"Ancient Egypt"
20642: HIST,"Ancient Greece&Rome"
20643: HIST,"Ancient Law & Soc"
20644: HIST,"Ancient Near East Law/Society"
20645: HIST,"Ancient Warfare"
20646: HIST,"Asian History"
20647: HIST,"Blacks in Latin America"
20648: HIST,"Cairo Then and Now"
20649: HIST,"Carib Migratn-Us"
20650: HIST,"China 1650 - Present"
20651: HIST,"China to 1650"
20652: HIST,"China: 1650-Present"
20653: HIST,"Civl Lib Dis Hist"
20654: HIST,"Class Race&Fam Latin Amer Hist"
20655: HIST,"Comp Revolutions"
20656: HIST,"Cont His I"
20657: HIST,"Cont Hist II"
20658: HIST,"Crime & Pun In Us"
20659: HIST,"Crit Persp on Middle East"
20660: HIST,"Crj Eur 1750-Pres"
20661: HIST,"Crj In Europe"
20662: HIST,"Developmt Of Weapons"
20663: HIST,"Doing History"
20664: HIST,"Exempt Hist Gen Ed"
20665: HIST,"Exploring Global History"
20666: HIST,"Fac Mentored Research Experien"
20667: HIST,"Famous Trials"
20668: HIST,"Fem Felon Premodern World"
20669: HIST,"Gend&Sex Muslim Soc"
20670: HIST,"His Carib Islands"
20671: HIST,"His Crim Jus&Pop Cul"
20672: HIST,"His Muslim Societies"
20673: HIST,"His Of Jus & Ineqlty"
20674: HIST,"His&Jus Worldwide"
20675: HIST,"Hist Crime Nyc"
20676: HIST,"Hist Muslim Society"
20677: HIST,"Hist Of Gender Image"
20678: HIST,"Hist Sci/Med To 1650"
20679: HIST,"Hist Slavery To 1650"
20680: HIST,"Historiography"
20681: HIST,"History Gender I"
20682: HIST,"History Of Lynching"
20683: HIST,"History Of Slavery I"
20684: HIST,"History Of Terrorism"
20685: HIST,"History of Catholicism"
20686: HIST,"History of Contemporary Cuba"
20687: HIST,"History of Eugenics"
20688: HIST,"History of Genocide"
20689: HIST,"History of Islamic Law"
20690: HIST,"History of New York City"
20691: HIST,"History of Puerto Rico"
20692: HIST,"History of the Cold War"
20693: HIST,"Immigra Ethnic US"
20694: HIST,"Imperialism"
20695: HIST,"Independent Study 200-level"
20696: HIST,"Independent Study 300-level"
20697: HIST,"Independent Study 400-level"
20698: HIST,"Individual Readings"
20699: HIST,"Interdisc Hist"
20700: HIST,"Islamic History"
20701: HIST,"Just Islam 500-Pres"
20702: HIST,"Marriage in Medieval Europe"
20703: HIST,"Medieval Marriage"
20704: HIST,"Microhistories"
20705: HIST,"Mod Military Hist"
20706: HIST,"Modern Military Hist"
20707: HIST,"Orchest Music & War"
20708: HIST,"Origin Contp West"
20709: HIST,"Premodern Punishment"
20710: HIST,"Psychohistory"
20711: HIST,"Reacting to the Past"
20712: HIST,"Religions of the Ancient World"
20713: HIST,"Research Methods in History"
20714: HIST,"Rev & Soc Chng Contemp Lat Am"
20715: HIST,"Selected Topics in History"
20716: HIST,"Senior Seminar in History"
20717: HIST,"Social History of Catholicism"
20718: HIST,"The Ancient World"
20719: HIST,"The Medieval World"
20720: HIST,"The Modern World"
20721: HIST,"The Sixties"
20722: HIST,"Topics His Sci&Med"
20723: HIST,"Topics in Legal History"
20724: HIST,"Us Forn Pol Latam"
20725: HIST,"Violence&Soc Chng"
20726: HONS,"Com & Common Good I"
20727: HONS,"Com & Common Good Ii"
20728: HONS,"Fac Mentored Research Experien"
20729: HONS,"Faculty Mentored Capstone"
20730: HONS,"Foundation:Lead 2"
20731: HONS,"Foundations Justice"
20732: HONS,"Foundations Lead II"
20733: HONS,"Foundations:Lead I"
20734: HONS,"Honors Capstone Seminar"
20735: HONS,"Honors Colloq Soph"
20736: HONS,"Honors Colloquium I"
20737: HONS,"Honors Colloquium II"
20738: HONS,"Honors Reading Course"
20739: HONS,"Honors Research Smnr"
20740: HONS,"Honors Thesis"
20741: HONS,"Independent Study 200-level"
20742: HONS,"Independent Study 300-level"
20743: HONS,"Independent Study 400-level"
20744: HONS,"Intellect Fnds Common Good"
20745: HONS,"Mentored Research Common Good"
20746: HONS,"Research Across Disciplines"
20747: HONS,"Resrch Meth X Discip"
20748: HONS,"Selected Topics Honors"
20749: HONS,"Thematic-Honors"
20750: HUJU,"Fac Mentored Research Experien"
20751: HUJU,"Independent Study 200-level"
20752: HUJU,"Independent Study 300-level"
20753: HUJU,"Independent Study 400-level"
20754: HUJU,"Internship in the Humanities"
20755: HUJU,"Just Westrn Tradit’N"
20756: HUJU,"Perspectives On Just"
20757: HUJU,"Race & Rebellion"
20758: HUJU,"Reading Scholarship in HJS"
20759: HUJU,"Res Met In Hum & Jus"
20760: HUJU,"The Individual on Trial"
20761: HUJU,"Thesis In Humanities & Justice"
20762: HUJU,"Topics In Humnities & Justice"
20763: HUMA,"Humanities Writing"
20764: HUMA,"Humanities in Action"
20765: HUMA,"Independent Study 200-level"
20766: HUMA,"Independent Study 300-level"
20767: HUMA,"Independent Study 400-level"
