22171: ACIM,"Remedial Math"
22855: EGMT,"Metallurgy and Materials"
22856: EGMT,"Metallurgy and Materials Lab"
22857: EGMT,"Microcomputer Programming"
22858: EGMT,"Parametric Comp-Aided Design"
22859: EGMT,"Parametric Computer Lab"
22860: EGMT,"Power Tech Lab"
22861: EGMT,"Principles of Automotive Tech"
22862: EGMT,"Principles of CAD Management"
22863: EGMT,"Strength of Materials"
22864: EGMT,"Strength of Materials Laborato"
22865: EGMT,"Survey & Layout Lb"
22866: EGMT,"Tech Geom & Autocad"
22867: EGMT,"Technical Graphics"
22868: EGMT,"Thermo-Fluid Sys - Lab"
22869: EGMT,"Thermo-Fluid Systems"
22870: EGMT,"Thermodynamics"
22871: EGMT,"Virtual Auto Lab"
22872: ENGL,"Advanced Fiction Writing"
22873: ENGL,"Advanced Prose Writing"
22874: ENGL,"American Literature I"
22875: ENGL,"American Literature II"
22876: ENGL,"Autobiography"
22877: ENGL,"CWAT Score > 7"
22878: ENGL,"Children’s Literature"
22879: ENGL,"Contemporary Lit in English"
22880: ENGL,"Cooperative Educ In Journalism"
22881: ENGL,"Creative Writing: Fiction"
22882: ENGL,"Creative Writing: Poetry"
22883: ENGL,"Devl Competence In College"
22884: ENGL,"Documentary Film"
22885: ENGL,"English Composition I"
22886: ENGL,"English Composition II"
22887: ENGL,"English Literature I"
22888: ENGL,"English Literature II"
22889: ENGL,"Film and Literature"
22890: ENGL,"Genre"
22891: ENGL,"Graphic Genres"
22892: ENGL,"Holocaust Literature"
22893: ENGL,"Immigrant Experience in Lit"
22894: ENGL,"Integrtd Rdg & Wrt for Adv ESL"
22895: ENGL,"Introduction To Literary Study"
22896: ENGL,"Introduction to Journalism"
22897: ENGL,"Introductn to Creative Writing"
22898: ENGL,"Journalism in a Digital Age"
22899: ENGL,"Literary History"
22900: ENGL,"Literature and Film"
22901: ENGL,"Modern Drama"
22902: ENGL,"New York"
22903: ENGL,"Popular Culture"
22904: ENGL,"Readings in Drama"
22905: ENGL,"Readings in Poetry"
22906: ENGL,"Readings in Prose Fiction"
22907: ENGL,"Revlt & Rebl Lit"
22908: ENGL,"Shakespeare in Elizabthn Drama"
22909: ENGL,"Special Topics Writing Studies"
22910: ENGL,"Special Topics in Literature"
22911: ENGL,"The Bible as Literature"
22912: ENGL,"The Novel"
22913: ENGL,"World Literature I"
22914: ENGL,"World Literature II"
22915: ENGL,"Writing for the New Media"
22916: FREN,"Elementary French I"
22917: FREN,"Elementary French II"
22918: FREN,"French & Francophone Cultures"
22919: FREN,"French Lit 19th Century"
22920: FREN,"French Literature Twentieth Ce"
22921: FREN,"French for Business & Prof"
22922: FREN,"Intermediate French I"
22923: FREN,"Intermediate French II"
22924: GEOL,"Earth Resources: Gems22925: GEOL,"Earth Science"
22926: GEOL,"Fundamentals of Earth Science"
22927: GEOL,"Gems and Semi-precious Stones"
22928: GEOL,"Hist Geology Lab"
22929: GEOL,"Historical Geology"
22930: GEOL,"Phy Geology Lab"
22931: GEOL,"Physical Geology"
22932: GEOL,"The Geology of Gems"
22933: GERM,"Advanced German 1"
22934: GERM,"Advanced German 2"
22935: GERM,"Business and Technical German"
22936: GERM,"Culture in German Speaking Cou"
22937: GERM,"Elementary German I"
22938: GERM,"Elementary German II"
22939: GERM,"German Lit In Trans I"
22940: GERM,"German Lit in Translation II"
22941: GERM,"German for the Traveler"
22942: GERM,"Intermediate German I"
22943: GERM,"Intermediate German II"
22944: HEBR,"Elementary Hebrew I"
22945: HEBR,"Elementary Hebrew II"
22946: HEBR,"Hebrew Lit Trans 1"
22947: HEBR,"Hebrew Literature"
22948: HEBR,"Intermed Hebrew Conversation"
22949: HEBR,"Intermediate Hebrew I"
22950: HEBR,"Intermediate Hebrew II"
22951: HIST,"African-American History"
22952: HIST,"American Cities"
22953: HIST,"American Civil War & Reconstrc"
22954: HIST,"Ancient Greek History"
22955: HIST,"Barbarians: From Roman Empire"
22956: HIST,"British History since 1688"
22957: HIST,"Economic History of Ancient"
22958: HIST,"Environmental Hist Nor America"
22959: HIST,"Europe & the World Since 1945"
22960: HIST,"Fascism22961: HIST,"First World War I: 1914-1918"
22962: HIST,"Genocide in the Twentieth Cent"
22963: HIST,"Greek & Roman Mythology"
22964: HIST,"Grow Amer Civ I"
22965: HIST,"Grow Amer Civ II"
22966: HIST,"Hist of the Modern Middle East"
22967: HIST,"History Of World War II"
22968: HIST,"History and Health Care"
22969: HIST,"History of Early Christianity"
22970: HIST,"History of Germany"
22971: HIST,"History of New York State"
22972: HIST,"History of Russia"
22973: HIST,"History of the Cold War"
22974: HIST,"History of the Mediterranean"
22975: HIST,"Immigration and Ethnic Groups"
22976: HIST,"Intro Ancient Civilization-EX"
22977: HIST,"Intro East Asian Civilization"
22978: HIST,"Intro Medieval and West Civil"
22979: HIST,"Intro Modern West Civilization"
22980: HIST,"Intro to Ancient Civilization"
22981: HIST,"Judaism22982: HIST,"Latin American History I"
22983: HIST,"Latin American History II"
22984: HIST,"Legal History I"
22985: HIST,"Legal History II"
22986: HIST,"Medieval & Early Modern Spain"
22987: HIST,"Modern Economic History"
22988: HIST,"Modern Japan: 1868-1989"
22989: HIST,"Nationalism & Identity Politic"
22990: HIST,"Pirates and the Sea"
22991: HIST,"Recent American Civilization"
22992: HIST,"Special Topics in History"
22993: HIST,"The European Renaissance"
22994: HIST,"The Greeks and the Persians"
22995: HIST,"The Holocaust"
22996: HIST,"The Romans and Their Empire"
22997: HIST,"Topics in History of Slavery"
22998: HIST,"U.S.-Mexico Borderlands"
22999: HIST,"War and Warfare in Western His"
23000: HIST,"Women In World History"
23001: HIST,"Women in America"
23002: HIST,"World History since 1500"
23003: IMME,"CLIP College Knowledge Seminar"
23004: INTE,"A Search For Popular Culture"
23005: INTE,"Compl & Altern Therapy"
23006: INTE,"Herbs:Nature’s Pharmacy"
23007: INTE,"Intl Lang & Frgn Media"
23008: INTE,"Intro To Research"
23009: INTE,"Introduction to Research"
23010: INTE,"Middle East dilemma"
23011: INTE,"Natures Pharmacy II"
23012: INTE,"Secondary Math"
23013: INTE,"The Health of The Nation"
23014: INTE,"Writ Prep"
23015: ITAL,"Elementary Italian I"
23016: ITAL,"Elementary Italian II"
23017: ITAL,"Intermediate Italian I"
23018: ITAL,"Intermediate Italian II"
23019: ITAL,"Italian Culture through Film"
23020: LANG,"Elementary Foreign Language II"
23021: LISC,"Fund Of Information"
23022: MATH,"Algebra & Trig"
23023: MATH,"Analytic Geometry & Calc I"
23024: MATH,"Analytic Geometry & Calc II"
23025: MATH,"Anl Geom & Calc III"
23026: MATH,"Bas Math Skills"
23027: MATH,"Bas Mth Skl Lb"
23028: MATH,"Basic Math"
23029: MATH,"Basic Math Skills Lab"
23030: MATH,"Calculus for Business"
23031: MATH,"Calculus for Tech & Bus Studnt"
23032: MATH,"Cmptr Asst Stat Lb"
23033: MATH,"Col Algebra & Trig for Technic"
23034: MATH,"Col Algebra For Tech & Bus"
23035: MATH,"College Algebra"
23036: MATH,"Coop Ed Ma & Cs"
23037: MATH,"Coop Edu Math & Com Sci"
23038: MATH,"Dept Math Exemp MA 119"
23039: MATH,"Dept Math Exemp MA 121"
23040: MATH,"Differential Equations"
23041: MATH,"Elem Algbra B Lb"
23042: MATH,"Elementary Algebra"
23043: MATH,"Elementary Trigonometry"
23044: MATH,"Indepn Stdy Math"
23045: MATH,"Inter Math"
23046: MATH,"Internship in Math Teaching"
23047: MATH,"Intro Statistics - Coreq"
23048: MATH,"Introduction to Discrete Math"
23049: MATH,"Introductory Statistics"
23050: MATH,"Linear Algebra"
23051: MATH,"MA 10 Express-Workshop Format"
23052: MATH,"MA 10 Workshop"
23053: MATH,"MA 71 CUNY Start"
23054: MATH,"MA10 CUNY Start"
23055: MATH,"MA10 USIP Online Workshop"
23056: MATH,"MA5 Express Workshop"
23057: MATH,"Ma 10 Cuny Intervention Wksh"
23058: MATH,"Math In Contemporary Society"
23059: MATH,"Math Module"
23060: MATH,"Math in Contemporary Society"
23061: MATH,"Mathematics for Liberal Arts"
23062: MATH,"Number Systems"
23063: MATH,"Pre-Cal & El of Cal for Bus St"
23064: MATH,"Pre-Calculus Mathematics"
23065: MATH,"Probability and Statistics"
23066: MATH,"Quantitative Reasoning"
23067: MATH,"Remedial Math Waiver"
23068: MATH,"Statistics"
23069: MATH,"Statistics with Basic Algebra"
23070: MATH,"Tech Math II:Verizon"
23071: MATH,"Topics In Math"
23072: MATH,"Undergraduate Research in Math"
23073: MEDI,"American Film History"
23074: MEDI,"Digital Media Field Production"
23075: MEDI,"Editing"
23076: MEDI,"Elements of Film"
23077: MEDI,"Intro Digital Media Production"
23078: MEDI,"Intro to Electronic Media"
23079: MEDI,"Media Criticism"
23080: MEDI,"Television Studio Production"
23081: MEDI,"Writing for the Screen"
23082: MESG,"Non-Transferable"
23083: MSTH,"East Massage Ii Lab"
23084: MSTH,"East Massage Iii Lab"
23085: MSTH,"Eastern Massage I"
23086: MSTH,"Eastern Massage II"
23087: MSTH,"Eastern Massage III"
23088: MSTH,"Eastern Massage Lab"
23089: MSTH,"Foundation Therapeutic Massage"
23090: MSTH,"Hospital-Based Massage"
23091: MSTH,"Issues Massage Theory"
23092: MSTH,"Massage Practicum I"
23093: MSTH,"Massage Practicum II"
23094: MSTH,"Pathology Massage Therapy I"
23095: MSTH,"Pathology Massage Therapy II"
23096: MSTH,"Pregnancy Massage"
23097: MSTH,"Sports Massage"
23098: MSTH,"Thai Massage"
23099: MSTH,"West Massage Ii Lab"
23100: MSTH,"West Massage Iii Lab"
23101: MSTH,"West Massage Lab"
23102: MSTH,"Western Massage I"
23103: MSTH,"Western Massage II"
23104: MSTH,"Western Massage III"
23105: MUSI,"Basic Keyboard Techniques"
23106: MUSI,"Class Instruction Percussion I"
23107: MUSI,"Class Instruction Piano III"
23108: MUSI,"Class Instruction in Guitar I"
23109: MUSI,"Class Instruction in Guitar II"
23110: MUSI,"Class Instruction in Piano II"
23111: MUSI,"Class Instruction in Piano IV"
23112: MUSI,"Class Instruction in Voice I"
23113: MUSI,"Class Instruction in Voice II"
23114: MUSI,"Class InstructionPercussion II"
23115: MUSI,"Co-op Edu Internshp Music Prod"
23116: MUSI,"Convocation I"
23117: MUSI,"Convocation II"
23118: MUSI,"Convocation III"
23119: MUSI,"Convocation IV"
23120: MUSI,"Coop Edu MusTech/Intertship"
23121: MUSI,"Digital Audio Lab"
23122: MUSI,"Digital Audio for New Media"
23123: MUSI,"Digital Music Lab"
23124: MUSI,"Digital Music Sequencing"
23125: MUSI,"Digital Record Lab"
23126: MUSI,"Digital Recording"
23127: MUSI,"Digital Sound Design"
23128: MUSI,"Digital Sound Lab"
23129: MUSI,"Elm Sght-Rdr Ear"
23130: MUSI,"Fundamentals of Music"
23131: MUSI,"Fundamentals of Music II"
23132: MUSI,"History of Western Music:18&19"
23133: MUSI,"Improvisation Lab"
23134: MUSI,"Independent Record Production"
23135: MUSI,"Individual StdyFrench Horn III"
23136: MUSI,"Individual Stu Double Bass III"
23137: MUSI,"Individual Stud Double Bass II"
23138: MUSI,"Individual Study  Clarinet II"
23139: MUSI,"Individual Study Bassoon III"
23140: MUSI,"Individual Study Clarinet IV"
23141: MUSI,"Individual Study Double Bass I"
23142: MUSI,"Individual Study French Horn I"
23143: MUSI,"Individual Study Guitar I"
23144: MUSI,"Individual Study Guitar II"
23145: MUSI,"Individual Study Guitar III"
23146: MUSI,"Individual Study Guitar IV"
23147: MUSI,"Individual Study Percussion I"
23148: MUSI,"Individual Study Percussion II"
23149: MUSI,"Individual Study Percussion IV"
23150: MUSI,"Individual Study Piano I"
23151: MUSI,"Individual Study Piano II"
23152: MUSI,"Individual Study Piano III"
23153: MUSI,"Individual Study Piano IV"
23154: MUSI,"Individual Study Saxophone I"
23155: MUSI,"Individual Study Saxophone II"
23156: MUSI,"Individual Study Saxophone III"
23157: MUSI,"Individual Study Saxophone IV"
23158: MUSI,"Individual Study Trombone I"
23159: MUSI,"Individual Study Trombone II"
23160: MUSI,"Individual Study Trombone III"
23161: MUSI,"Individual Study Trombone IV"
23162: MUSI,"Individual Study Trumpet I"
23163: MUSI,"Individual Study Trumpet II"
23164: MUSI,"Individual Study Trumpet III"
23165: MUSI,"Individual Study Trumpet IV"
23166: MUSI,"Individual Study Tuba I"
23167: MUSI,"Individual Study Tuba II"
23168: MUSI,"Individual Study Tuba III"
23169: MUSI,"Individual Study Tuba IV"
23170: MUSI,"Individual Study Voice I"
23171: MUSI,"Individual Study Voice II"
23172: MUSI,"Individual Study Voice III"
23173: MUSI,"Individual Study Voice IV"
23174: MUSI,"Individual Study in Bassoon I"
23175: MUSI,"Individual Study in Bassoon II"
23176: MUSI,"Individual Study in Bassoon IV"
23177: MUSI,"Individual Study in Cello I"
23178: MUSI,"Individual Study in Cello II"
23179: MUSI,"Individual Study in Cello III"
23180: MUSI,"Individual Study in Cello IV"
23181: MUSI,"Individual Study in Clarinet I"
23182: MUSI,"Individual Study in Flute I"
23183: MUSI,"Individual Study in Flute II"
23184: MUSI,"Individual Study in Flute III"
23185: MUSI,"Individual Study in Flute IV"
23186: MUSI,"Individual Study in Harp I"
23187: MUSI,"Individual Study in Harp II"
23188: MUSI,"Individual Study in Harp III"
23189: MUSI,"Individual Study in Harp IV"
23190: MUSI,"Individual Study in Oboe I"
23191: MUSI,"Individual Study in Oboe II"
23192: MUSI,"Individual Study in Oboe III"
23193: MUSI,"Individual Study in Oboe IV"
23194: MUSI,"Individual Study in Viola I"
23195: MUSI,"Individual Study in Viola II"
23196: MUSI,"Individual Study in Viola III"
23197: MUSI,"Individual Study in Viola IV"
23198: MUSI,"Individual Study in Violin I"
23199: MUSI,"Individual Study in Violin II"
23200: MUSI,"Individual Study in Violin III"
23201: MUSI,"Individual Study in Violin IV"
23202: MUSI,"Individual StudyDouble Bass IV"
23203: MUSI,"Individual StudyFrench Horn II"
23204: MUSI,"Individual StudyFrench Horn IV"
23205: MUSI,"Individual StudyPercussion III"
23206: MUSI,"Instrumental & Vocal Ensemble"
23207: MUSI,"Intr Rcrd Std Lb1"
23208: MUSI,"Intro Recording Studio & Midi"
23209: MUSI,"Intro to Recording Studio 1"
23210: MUSI,"Introduction to Music"
23211: MUSI,"Jazz Ensemble"
23212: MUSI,"Jazz Theory & Improvisation I"
23213: MUSI,"Jazz Theory & Improvisation II"
23214: MUSI,"Jazz: An Introduction"
23215: MUSI,"Microphones & Amplificatn Syst"
23216: MUSI,"Mus Ther Child Sp"
23217: MUSI,"Music Around the World"
23218: MUSI,"Music In America"
23219: MUSI,"Music Theory I"
23220: MUSI,"Music Theory II"
23221: MUSI,"Music Theory III"
23222: MUSI,"Music Theory IV"
23223: MUSI,"Music Therapy for Adults"
23224: MUSI,"Music for Teachers of Children"
23225: MUSI,"Musicianship 11 Lab"
23226: MUSI,"Musicianship I"
23227: MUSI,"Musicianship I Lab"
23228: MUSI,"Musicianship II"
23229: MUSI,"Percussion Ensemble"
23230: MUSI,"Performance Forum Songwrtr I"
23231: MUSI,"Performance Forum Songwrtr II"
23232: MUSI,"Performance Forum Songwrtr III"
23233: MUSI,"Performance Forum Songwrtr IV"
23234: MUSI,"Pop Choir"
23235: MUSI,"Queens Symphonic Band"
23236: MUSI,"Queensborough Chorus"
23237: MUSI,"Queensborough Orchestra"
23238: MUSI,"Rec Tech II:Studio Operation"
23239: MUSI,"Record Tech I: Studio Equipmt"
23240: MUSI,"Record Tech II: Studio Operatn"
23241: MUSI,"Record Tech:Studio"
23242: MUSI,"Recording Techniques"
23243: MUSI,"Recording Techniques I: Studio"
23244: MUSI,"Recording Techniques III"
23245: MUSI,"Sight Reading & Ear Train II"
23246: MUSI,"Sight Reading & Ear Train III"
23247: MUSI,"Sight Reading & Ear Training I"
23248: MUSI,"Sight Reading/Ear Training IV"
23249: MUSI,"Songwriters I"
23250: MUSI,"Songwriters II"
23251: MUSI,"Songwriters III"
23252: MUSI,"Songwriters Iv"
23253: MUSI,"Special Topics in Music"
23254: MUSI,"Studio Equip Lab"
23255: MUSI,"Studio Equipment Lab"
23256: MUSI,"Studio Operation Lab"
23257: MUSI,"Study in Chamber Music Per III"
23258: MUSI,"Study in Chamber Music Perf II"
23259: MUSI,"Study in Chamber Music Perfm I"
23260: MUSI,"Study in Chamber Music Perm IV"
23261: MUSI,"Survey of Western Music"
23262: MUSI,"The Business of Music"
23263: MUSI,"Twentieth-Century Music"
23264: MUSI,"Virtual Instruments"
23265: NURS,"Cmplx-Multi Def Lb"
23266: NURS,"Dev Slf-Care Lb"
23267: NURS,"Fundamental Pathway to Nursing"
23268: NURS,"Intr Slf-Cr Def Lb"
23269: NURS,"Issues & Trends"
23270: NURS,"Mjr Slf-Care Df Lb"
23271: NURS,"Nursing and Societal Forces"
23272: NURS,"Safe & Effective Nurs Care I"
23273: NURS,"Safe & Effective Nurs Care II"
23274: NURS,"Safe & Effective Nurs Care III"
23275: NURS,"Safe & Effective Nurs Care IV"
23276: NURS,"Technical / Clinical Work Cred"
23277: PERM,"On Permit PR Initiative"
23278: PERM,"Student On Non Cuny Permit"
23279: PERM,"Student On Permit"
23280: PERM,"Student on Permit"
23281: PHIL,"American Philosophy"
23282: PHIL,"Asian Philosophies"
23283: PHIL,"Computers & Ethics"
23284: PHIL,"Ethics: Theories of Good Life"
23285: PHIL,"Introduction to Philosophy"
23286: PHIL,"Medical Ethics"
23287: PHIL,"Philosophy of Religion"
23288: PHIL,"Public Health Ethics"
23289: PHYS,"Acoustics: Physics of Sound"
23290: PHYS,"Analytical Mechanics"
23291: PHYS,"Calculus Optics"
23292: PHYS,"Calculus Phys 1 Lb"
23293: PHYS,"Calculus Phys 2 Lb"
23294: PHYS,"Calculus Phys 3 Lb"
23295: PHYS,"Calculus Physics I"
23296: PHYS,"Calculus Physics II"
23297: PHYS,"Calculus Physics III"
23298: PHYS,"Cause and Effect Analysis"
23299: PHYS,"College Phys 1 Lab"
23300: PHYS,"College Phys 2 Lab"
23301: PHYS,"College Physics A"
23302: PHYS,"College Physics B"
23303: PHYS,"College Physics I"
23304: PHYS,"College Physics II"
23305: PHYS,"Coop Ed Laser/Fiber-Optics"
23306: PHYS,"Electricity and Magnetism"
23307: PHYS,"Energy and Environment"
23308: PHYS,"Fb Optics Dev Lab"
23309: PHYS,"Fiber Optics Devices"
23310: PHYS,"Frontiers of Physics"
23311: PHYS,"Frontiers of Physics Lab"
23312: PHYS,"Fund Las&Fb Opt Lb"
23313: PHYS,"Fund of Lasers & Fiber Optics"
23314: PHYS,"Gen. Physics 1 Lab"
23315: PHYS,"Gen. Physics 2 Lab"
23316: PHYS,"General Calculus Physics A"
23317: PHYS,"General Calculus Physics B"
23318: PHYS,"General Physics I"
23319: PHYS,"General Physics II"
23320: PHYS,"Global Warming"
23321: PHYS,"Graph Program Lab"
23322: PHYS,"Graphical Programming"
23323: PHYS,"How Things Work"
23324: PHYS,"Intr Comp El-Op Lb"
23325: PHYS,"Intro Computers In El-Op"
23326: PHYS,"Intro Lab in Fiber Optics"
23327: PHYS,"Intro To Physics Research"
23328: PHYS,"Introduction to Meteorology"
23329: PHYS,"Introduction to Photonics"
23330: PHYS,"Introductory Laser Laboratory"
23331: PHYS,"Las & El Opt Tech Lb"
23332: PHYS,"Las El-Op Dev Lab"
23333: PHYS,"Las El-Op Dev M&A"
23334: PHYS,"Las El-Opt Proj Lb"
23335: PHYS,"Laser & Electro-Opt Tech"
23336: PHYS,"Matrix Optics and Aberrations"
23337: PHYS,"Meteorology Laboratory"
23338: PHYS,"Modern Physics"
23339: PHYS,"Natural Hazards"
23340: PHYS,"Natural Science in Finance"
23341: PHYS,"Numerical Methods for Scientis"
23342: PHYS,"Photonics Lab"
23343: PHYS,"Phys Fr Hist Vw Lb"
23344: PHYS,"Physics Colloquium"
23345: PHYS,"Physics Sound Lab"
23346: PHYS,"Physics from Historical View"
23347: PHYS,"Physics of Life Processes"
23348: PHYS,"Pr Ast & Space Lab"
23349: PHYS,"Prin Of Phys Lab"
23350: PHYS,"Principle of Astronomy & Space"
23351: PHYS,"Principles of Physics"
23352: PHYS,"Research Projects"
23353: PHYS,"Scien Use Comp Lab"
23354: PHYS,"Science Of Dance23355: PHYS,"Scientific Explortns of Sci Fi"
23356: PHYS,"Scientific Measurement In Medi"
23357: PHYS,"Scientific Use of Computers"
23358: PHYS,"Space Sci I: Stars & Norml Gal"
23359: PHYS,"Space Sci II: Universe & Strng"
23360: PHYS,"Space23361: PHYS,"Space23362: PHYS,"Special Topics in Physics"
23363: PHYS,"Tech Physics 1"
23364: PHYS,"Thermodynamics"
23365: POSC,"American Foreign Policy"
23366: POSC,"American Government & Politics"
23367: POSC,"Comparative Political Systems"
23368: POSC,"War23369: PSYC,"Abnormal Psychology"
23370: PSYC,"Child Development"
23371: PSYC,"Cross-Cultural Psychology"
23372: PSYC,"Human Growth and Development"
23373: PSYC,"Personality"
23374: PSYC,"Psy of Personal Adjustment"
23375: PSYC,"Psych Disorders of Childhood"
23376: PSYC,"Psychology"
23377: PSYC,"Research Methods in Psychology"
23378: PSYC,"Social Psychology"
23379: PSYC,"States of Consciousness"
23380: PSYC,"The Psychology of Aging"
23381: PSYC,"The Psychology of Women"
23382: RELI,"Contemporary Religious Thought"
23383: SOCI,"Human Behavior in Soc Environ"
23384: SOCI,"Introduction to Social Work"
23385: SOCI,"Media and Society"
23386: SOCI,"Racial and Ethnic Relations"
23387: SOCI,"Social Problems and Deviance"
23388: SOCI,"Sociology"
23389: SOCI,"Sociology and the Arts"
23390: SOCI,"Sociology of Education"
23391: SOCI,"Sociology of Gender"
23392: SOCI,"Sociology of the Family"
23393: SOCI,"Socy Of Health And Medicine"
23394: SOCI,"Urban Sociology"
23395: SOSC,"Intro Criminal Justice"
23396: SOSC,"Philosophy And Religion"
23397: SOSC,"Psych Of Everyday Living"
23398: SPAN,"Elem Spanish/Health Care Prof"
23399: SPAN,"Elementary Spanish I"
23400: SPAN,"Elementary Spanish II"
23401: SPAN,"Interm Spa Conv I"
23402: SPAN,"Intermediate Spanish Conv II"
23403: SPAN,"Intermediate Spanish I"
23404: SPAN,"Intermediate Spanish II"
23405: SPAN,"Latin Amer & Caribb Cult Today"
23406: SPAN,"Read & Write Spanish Speak III"
23407: SPAN,"Read & Write Spanish Speaker I"
23408: SPAN,"Read & Write Spanish Speakr II"
23409: SPAN,"Read Cont Spanish-American Lit"
23410: SPAN,"Sp Comp&Orthog Nat"
23411: SPAN,"Spain Today"
23412: SPAN,"Spanish Lit 19th Century"
23413: SPAN,"Spanish Lit 20th Century"
23414: SPEC,"Acting I"
23415: SPEC,"American English Sound Structu"
23416: SPEC,"Communication in Professional"
23417: SPEC,"Coop Ed Speech-Media"
23418: SPEC,"Impr. Speech Skls."
23419: SPEC,"Improv Spoken Eng"
23420: SPEC,"Improving Speech Skills"
23421: SPEC,"Intercultural Communication"
23422: SPEC,"Interpersonal Communication"
23423: SPEC,"Intro  Language Science & Ling"
23424: SPEC,"Intro Radio-Tv Brdcst"
23425: SPEC,"Intro Speech & Hearing Prob"
23426: SPEC,"Intro to Media Criticism"
23427: SPEC,"Introduction to Communication"
23428: SPEC,"Oral Performance for the Actor"
23429: SPEC,"Phonetics"
23430: SPEC,"Sp Comm Esl Intone"
23431: SPEC,"Sp Comm Esl Sound"
23432: SPEC,"Sp Fprgn & Bilingu"
23433: SPEC,"Sp Fr Forgn&Bil St"
23434: SPEC,"Sp Lg & Hr Hand Children"
23435: SPEC,"Speech Communication"
23436: SPEC,"Speech Skills"
23437: SPEC,"Speech Therapy"
23438: SPEC,"Video Production II"
23439: STAB,"Study Abroad Program"
23440: STAF,"Asap Seminar"
23441: STAF,"Freshmen Questionnaire"
23442: STAF,"Introduction to College Life"
23443: STAF,"Strategies for College Success"
23444: STRT,"CUNY Start Boost Workshop"
23445: STRT,"CUNY Start College Success Sem"
23446: STRT,"Math Start College Success Sem"
23447: TECH,"Co-op Education Engineer Tech"
23448: TECH,"Intro Engineering & Technology"
23449: THEA,"Acting I"
23450: THEA,"Acting II"
23451: THEA,"Actors’ Workshop I"
23452: THEA,"Actors’ Workshop II"
23453: THEA,"Costume Construction"
23454: THEA,"Independent Study in Theatre"
23455: THEA,"Intro Acting Major"
23456: THEA,"Introduction to Theatre"
23457: THEA,"Movement for the Actor"
23458: THEA,"Practicum in Stagecraft I"
23459: THEA,"Practicum in Stagecraft II"
23460: THEA,"Stage Makeup"
23461: THEA,"Stage Management"
23462: THEA,"Stagecraft I"
23463: THEA,"Stagecraft II"
23464: THEA,"Summer Theatre Workshop"
23465: THEA,"Voice and Speech for the Actor"
23466: UBST,"URB STUD INTERN PGM"
23467: UBST,"URB STUD INTERN PGM 3"
